node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
344,20140700_E22_12,0.152173913043,0.0186512053062,0.11066107202440569,28,7
345,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26,,,,,7
346,20110600_S1D_11,0.103260869565,0.0017017922473,0.0936702773568798,19,7
347,PLTT01,,,,,7
340,20111000_S3S_12,,,,,7
341,Bog.None.R3.T0.JGI.BFC.metaspades_bin.162_97.41_2.35,0.0054347826087,0.0,5.392487567622871e-18,1,7
342,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05,,,,,7
343,20110600_S1D_17,0.157608695652,0.00405792215528,0.1639500390373924,29,7
348,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10,0.0054347826087,0.0,1.8569728597171644e-18,1,7
349,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,0.0163043478261,0.0,1.2596914849438172e-18,3,7
298,20120600_S1S_4,0.141304347826,0.00889161936675,3.698325290031207e-17,26,7
299,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59,,,,,7
296,20140700_S11_15,,,,,7
297,20110700_P2D_11,0.0217391304348,0.000241898116152,0.014672640495777569,4,7
294,20130700_P1Y_10,,,,,7
295,20140700_S11_11,,,,,7
292,20150700_P15_4,,,,,7
293,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.104_97.47_4.73,0.0434782608696,0.000445005521128,8.109495218628838e-18,8,7
290,20140700_S16_20,,,,,7
291,20150700_P15_5,0.0380434782609,0.000622374598994,-2.0067343868230053e-18,7,7
199,20120800_E1D_18,0.0978260869565,0.00105351620456,0.09890562215828735,18,7
198,Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88,,,,,7
195,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78,0.0163043478261,0.0,4.8192733223868e-19,3,7
194,20130700_S1X_7,0.0978260869565,0.0123926734013,-1.8939186465461965e-17,18,7
197,20120700_S1D_6,,,,,7
196,Bog.None.R3.T0.JGI.BFC.metaspades_bin.123_97.95_1.37,,,,,7
191,Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15,,,,,7
190,20170700_S25_8,0.103260869565,0.000915520736696,0.09912399267900722,19,7
193,Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77,,,,,7
192,Bog.None.R3.T0.JGI.BFC.metaspades_bin.166_92.84_2.72,0.0217391304348,0.0,-3.2608301828441428e-18,4,7
270,PLTK01,,,,,7
271,20140700_S31_11,0.0434782608696,9.51356578262e-05,1.3202022453988705e-17,8,7
272,PMEE01,,,,,7
273,20170700_S24_8,0.114130434783,0.00270655304221,0.09920920229006669,21,7
274,20170700_S24_9,0.141304347826,0.0113342409537,0.1331079016955498,26,7
275,Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,,,,,7
276,20170700_S24_4,0.135869565217,0.00584829474218,0.14248422108263303,25,7
