node_id,genome_id,degree_centrality,betweeness_centrality,eigenvector_centrality,degree,layer
231,20110800_P2D_8,0.00602409638554,0.0,0.0015011726932515528,1,7
232,20110800_P2D_9,0.00602409638554,0.0,0.010620205602399777,1,7
233,3300036886_17,,,,,7
1,20170700_P34_1,0.0421686746988,0.0308092977972,7.040800875407604e-05,7,7
146,20120600_P2M_9,0.0722891566265,0.0301964735208,-6.348037258364198e-18,12,7
147,20120600_P2M_5,0.0903614457831,0.0443604343176,-4.318580355385377e-18,15,7
144,Bog.None.R2.T0.JGI.BFC.metaspades_bin.335_92.02_1.58,,,,,7
145,20120600_P2M_8,,,,,7
142,20110700_P3M_11,,,,,7
143,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91,,,,,7
140,20111000_P2D_14,0.0120481927711,3.89436534015e-05,1.2006081809101417e-09,2,7
141,PLJD01,0.066265060241,0.112599188966,0.14438740655077975,11,7
148,20120600_P2M_7,0.0421686746988,0.000404463072837,1.39488908716025e-17,7,7
149,20120700_P3D_40,,,,,7
133,3300037200_7,,,,,7
132,20111000_P3D_3,,,,,7
131,20111000_P3D_2,,,,,7
130,20111000_P3D_1,,,,,7
137,Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.4_95.88_2.80,,,,,7
136,20111000_P2D_12,,,,,7
135,20111000_P2D_13,,,,,7
134,20120700_P3D_143,0.078313253012,0.0174981122836,0.23188359805445632,13,7
139,20111000_P2D_16,,,,,7
138,PLHP01,,,,,7
24,20120700_S1D_19,,,,,7
25,20110700_P2D_9,,,,,7
26,20110700_P2D_8,,,,,7
27,20110700_P2D_7,0.0120481927711,0.0,0.036500580733529846,2,7
20,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.116_93.98_2.97,0.0481927710843,0.0010017529322,-1.306817834421945e-16,8,7
21,20120800_E1X_21,,,,,7
22,20110700_P2D_19,0.0180722891566,0.0,0.05118371243278934,3,7
23,3300037136_8,,,,,7
28,20110700_P2D_2,0.0301204819277,0.082876962395,0.002854710711603988,5,7
29,20120500_P23_1,,,,,7
407,20120500_P24_7,0.0120481927711,0.0,3.6776114052816273e-09,2,7
406,20110800_P1D_13,,,,,7
405,20120500_P24_8,,,,,7
404,20170700_P31_1,0.0542168674699,0.0154150669711,-5.673170781986986e-18,9,7
403,20150700_P15_16,,,,,7
402,20150700_P15_11,,,,,7
401,20150700_P15_12,,,,,7
400,20150700_P15_13,,,,,7
409,20110600_P1M_18,,,,,7
408,20120500_P24_5,0.0542168674699,0.00652012988868,1.5866795145511148e-08,9,7
379,20110800_P1D_36,,,,,7
378,20111000_P1M_10,0.0301204819277,4.90272779429e-05,0.051632976837494494,5,7
