,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
17,-1,-0.573,0.4678,-0.0514,0.9772,0.8508,-0.7772,-0.1138,-0.9756,0.959,-1,-0.6646,-0.9012,-0.8536,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-1,0.7226,0.9048,-0.0762,0.8734,0.0244,-0.8582,-0.8056,0.564,0.9734,-1,-0.8974,-0.9366,0.2116,0.394,-1,0.6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-1,0.8812,0.9034,0.2146,0.8538,0.1496,-0.7434,-0.5818,0.8164,0.9852,-1,-0.9868,-0.9266,0.25,0.7128,-1,0.8148,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.4612,0.9942,0.3626,0.7358,0.9876,0.2362,0.1776,-0.0648,0.8686,0.9894,-1,-0.8276,-0.1284,0.9412,0.9342,-1,0.9876,0.000399999999999956,0.2558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.6798,-0.9992,0.6886,-0.9616,0.0722,0.5962,-0.7574,-0.8256,-0.9392,-0.5888,-1,-0.9236,-0.986,-0.4784,-0.976,-0.3244,-0.8268,-0.5632,-0.4292,0.0336000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.9622,-0.9874,0.911,-0.756,0.767,0.9662,-0.9038,-0.574,-0.3212,0.7552,-1,-0.683,-0.945,0.3904,-0.9676,-1,-0.1804,0.2056,0.5374,0.9212,-0.8734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,-1,-1,-0.723,-1,-1,-1,-1,-1,-1,-1,-1,-0.8294,-1,-1,-0.9988,-1,-1,-1,-1,-0.2936,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.9962,-0.7766,-1,-0.8104,0.3196,-0.0644,-1,-0.802,-1,-1,-1,-0.6548,-0.8938,-1,-0.9456,-0.9982,-1,-0.734,-0.6768,0.3796,-0.5756,-0.894,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.949,-0.864,-1,-0.9008,0.00219999999999998,-0.229,-0.7622,-0.7526,-0.8652,0.4468,-1,-0.7466,-0.887,-0.947,-0.861,-0.9078,-1,-0.7728,-0.2758,0.2552,-0.9596,-0.6268,-0.8692,-0.8816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.3176,-0.0668,0.962,0.1494,0.8776,0.7308,0.1828,0.6502,0.3866,0.99,-1,0.6486,-0.4824,0.0249999999999999,-0.1494,-0.6194,0.0291999999999999,0.5894,0.8054,0.9518,-0.9926,-0.1226,-0.5876,0.1118,-0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
