,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
21,-1,0.0800000000000001,-1,-1,0.5716,1,0.2222,-0.2784,0.999,-1,1,-1,0.9946,-1,0.9998,1,-1,1,0.8334,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.1728,0.4888,0.1738,0.3226,0.4146,0.9994,0.1692,0.038,0.8324,-0.1048,1,0.5512,-1,-0.1092,0.9655,-1,0.323,0.9992,0.6381,0.1676,0.7702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.2062,0.6304,0.2102,0.3845,0.6222,0.9998,0.214,0.2742,0.9796,0.1112,1,-0.0508,-1,0.0198,0.9867,-1,0.3906,0.9996,0.7341,0.2152,0.8816,-0.9982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.091,0.1116,-0.09,-0.0108,0.0638000000000001,0.9978,-0.1536,-0.6518,1,-0.818,1,-0.9366,0.9834,-0.839,0.996,1,-0.3782,1,0.799,-0.1352,0.0386,0.5332,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.044,-0.4828,0.0423,-0.8584,-0.3744,0.5814,-0.9084,-0.8556,0.9562,0.2608,1,0.1675,0.85,-0.4318,0.0733999999999999,1,0.0832999999999999,1,0.22,0.0427,0.0462,0.1685,0.2115,-0.3128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.2159,-0.4158,0.2145,-0.4124,-0.35,0.8774,-0.9064,-0.699,-1,-0.2304,-1,-0.7274,-1,-0.2506,0.6554,-1,-0.5892,-1,0.1522,-0.7048,-1,-0.00360000000000005,-0.4066,-0.9602,-0.9058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-1,0.768,-1,-1,0.2416,0.9988,-1,-0.0116000000000001,0.9826,-1,1,-1,0.7954,-1,1,1,-1,1,0.6828,-1,0.998,0.8474,0.9588,0.9194,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.1259,-0.613,0.1302,0.2448,-0.4632,0.5592,0.1308,-0.1698,-1,-1,-1,-0.8606,-1,-0.7458,0.3318,-1,-0.8164,-1,0.531,0.1371,-1,0.4492,-0.2054,-0.3632,0.1286,-0.1778,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,0.164,-1,-1,0.265,0.9968,0.275,-0.0308,0.7612,-0.7746,1,-1,0.3778,-1,0.9988,1,-1,1,0.736,-1,-0.6374,-0.2014,0.0516000000000001,-0.2656,0.2702,-0.4318,0.6586,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0452999999999999,-0.335,0.0426,-0.843,-0.1662,0.6646,-0.914,-0.4246,0.9562,0.2559,1,0.1749,0.8436,-0.408,0.0835999999999999,1,0.0818000000000001,1,0.2165,0.04,0.2828,0.1687,0.21,-0.1182,-0.9128,-0.6932,0.8306,0.1209,0.2588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-1,-0.3244,-1,-1,0.0618000000000001,1,-1,-1,0.8914,0.925,1,-1,0.546,0.9974,1,1,-1,1,-1,-1,0.9996,0.997,0.9996,0.9936,-1,-1,1,0.7356,0.9942,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.4492,-0.988,-1,0.6274,-0.6716,0.983,-1,0.9318,-1,0.9874,1,0.5446,-0.8204,0.998,1,-1,-0.018,1,0.6728,0.00320000000000009,0.9004,0.9908,0.9918,0.885,-1,0.5524,0.2452,0.3854,0.9522,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.6456,-0.9572,0.2132,-0.6226,-0.9438,-1,-0.917,-0.9766,-1,-0.8858,-1,-0.9472,-1,-0.3858,-0.3708,-1,-0.9104,-1,-0.2332,-0.74,-0.7616,0.644,0.3614,-0.911,-1,-0.828,0.3042,-0.8176,-0.3248,-1,-1,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,-0.3296,-1,-1,-0.553,0.99,-1,-0.4412,0.0895999999999999,0.0606,1,-0.4752,-0.7326,0.6114,0.9956,-1,-1,1,0.4544,-1,0.7564,0.849,0.95,0.8606,-1,0.1444,0.8728,-1,0.8224,-1,0.0506,-0.5664,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,0.9982,0.9998,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-1,-0.4258,0.2594,-1,-0.8338,0.3382,-0.6158,-0.9218,0.7642,-0.7548,1,-0.9162,-1,0.2206,0.115,-1,-0.7066,1,0.1334,-0.567,-0.4254,-0.0942,0.2484,-0.5566,-0.6218,-0.6354,0.6316,-0.7564,-0.34,-1,-0.0522,0.929,-0.9974,-0.8142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0876999999999999,-1,0.0881000000000001,-0.6876,-0.4824,-1,-1,-0.948,-1,-0.18,-1,-0.466,-1,0.0638000000000001,0.5836,-1,0.1709,-1,0.3809,0.0908,0.5694,0.3168,-0.2238,0.1792,-1,-0.7828,0.6818,-0.6848,0.6674,-1,-1,0.0438000000000001,-0.883,0.4034,-1,-0.3966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.4947,-0.8788,-1,0.382,-0.2266,-0.0454,-1,0.0531999999999999,-1,0.7138,-1,0.2226,-1,0.9122,0.9954,-1,-0.3888,1,-0.2248,-0.7136,0.5032,0.721,0.8194,0.272,-1,-0.1386,0.5014,-0.6422,0.4914,-1,-0.5074,0.1588,-0.247,-0.351,-1,0.5286,-0.9356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,-1,0.1246,-1,-0.2154,0.5886,0.8144,-1,-0.8812,-1,0.3716,-1,-0.6918,0.489,0.9116,0.9978,-1,-1,1,-0.9392,-1,0.9852,0.966,0.974,0.979,-1,0.1784,0.9292,-0.1654,0.9646,-1,0.9018,-0.5278,-1,-0.1622,-1,-0.4792,-1,-0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.2583,-0.7044,0.2578,-0.3824,-0.6878,0.8328,-0.6784,-0.7942,-1,-0.9972,-1,-0.83,-1,-0.9132,0.2762,-1,-0.9044,-1,0.2016,-0.7258,-1,-0.1466,-0.233,-0.736,-0.678,-0.8016,-1,-1,-1,-1,0.7264,0.6704,-0.9062,-1,-1,-0.8374,-0.6762,-0.7288,-0.0478,NA,NA,NA,NA,NA,NA,NA,NA
41,-1,-0.2692,-1,-1,-0.4936,1,-1,-1,0.9798,-1,1,-1,0.965,0.5596,1,1,-1,1,0.8884,-1,0.989,0.9476,0.9896,0.9482,-1,-1,0.9936,-1,0.1088,-1,0.8764,-0.8364,-1,0.0642,1,0.3054,-1,-0.4872,0.9984,-1,NA,NA,NA,NA,NA,NA,NA
42,-0.9152,-0.39,0.0411999999999999,-0.9056,-0.2418,0.6762,0.0448999999999999,-0.6098,0.9538,-0.5796,1,0.1713,0.8452,-0.587,0.0486,1,0.0829,1,-0.684,0.044,0.2186,0.1684,0.2149,-0.1796,0.0431999999999999,0.2142,0.7274,0.1356,0.135,0.0445,0.698,0.311,-0.752,0.1736,1,-0.6538,0.0880000000000001,0.5022,0.0209999999999999,0.2524,0.714,NA,NA,NA,NA,NA,NA
43,-1,-0.6044,-1,-1,-0.6302,0.9992,-1,-0.7766,0.9804,0.3624,1,-0.6822,-0.0766,0.8858,0.9992,-1,-0.278,1,0.6988,0.0518000000000001,0.9356,0.9112,0.9622,0.5802,-1,0.1812,0.966,-0.172,-0.1712,-1,1,-0.8548,-0.9412,-0.1946,1,-0.8564,0.0862000000000001,-0.0756,0.9556,-0.0432,0.9984,-1,NA,NA,NA,NA,NA
44,-1,0.3806,-1,-1,0.5886,0.0356000000000001,-1,-0.6904,-1,0.7444,1,-0.3398,-0.706,0.9916,0.9734,-1,-1,1,-1,-1,0.9978,0.9778,0.9956,0.9558,-1,0.6118,0.9998,0.204,0.7634,-1,0.9964,-0.2516,-0.7512,0.5948,-1,-0.5586,-0.0292,-0.7328,0.5998,0.47,0.8908,-1,-0.6234,NA,NA,NA,NA
45,0.0431999999999999,-0.8654,0.0448,-0.8412,-0.8206,0.2414,-0.9066,-1,0.8396,0.2555,0.8816,0.1677,0.7118,-0.4218,0.1038,0.8812,0.0876999999999999,0.8844,0.2169,0.0419,0.0351999999999999,0.1719,0.2186,-0.2916,-0.914,-0.8774,-0.4754,0.127,0.224,-0.9152,0.107,-0.7976,-0.9212,-0.3342,0.8776,-0.688,-0.9718,-0.9876,-0.6394,-0.6538,0.124,0.0470999999999999,-0.2182,-0.64,NA,NA,NA
46,-0.8332,-0.7094,0.087,-0.8372,-0.2404,-1,-1,-0.9784,-1,-0.1426,-1,0.3168,0.8404,-0.1568,0.571,-1,0.1728,0.9998,-0.2974,0.0881000000000001,0.6342,0.3205,0.3949,0.2346,-1,-0.7958,0.7706,0.2543,0.6642,-1,0.5524,0.1578,-0.8942,0.4792,-1,-0.473,-0.9824,-0.8742,-1,-0.3872,0.7064,-1,0.3654,0.268,-1,NA,NA
47,-0.1216,-0.8022,-1,0.0398000000000001,0.3348,0.2252,-1,-0.2306,-1,0.7924,-1,0.3174,0.00439999999999996,0.921,0.987,-1,-0.252,1,-0.4882,-0.5436,0.974,0.779,0.8504,0.9058,-1,-0.0562,0.9022,0.4802,0.962,-1,-1,0.6234,-0.3228,0.4056,-1,0.552,-1,-0.7896,-0.9992,0.0775999999999999,0.6008,-0.1084,0.6518,-0.3374,-1,-0.9984,NA
