,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,0.9998,0.9118,0.9952,0.9534,-1,1,0.7932,0.3358,0.992,0.9016,-1,1,1,0.6932,0.993,0.817,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.2862,-0.9162,0.6572,-0.844,-0.9518,0.0833999999999999,-0.4598,-0.9548,0.4206,-0.435,-0.9566,0.5794,0.1036,-0.957,0.6444,-0.7542,-0.9578,-0.9516,0.2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.0764,-0.7354,-1,-0.5008,-1,-1,-0.5214,-0.9798,0.565,-0.3694,-1,0.801,0.6656,-0.995,0.7682,-0.465,-1,-1,0.7398,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.9196,-0.2922,0.9866,0.0226,-1,0.7422,-0.758,0.1348,0.9612,0.1584,-1,0.9776,0.9104,0.326,0.9936,-0.9348,-1,-1,0.9998,-1,0.2454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.7996,-0.3888,1,-0.4546,-1,0.613,-0.946,-1,0.9642,-0.4342,-1,0.9974,0.5292,-1,1,-0.9746,-1,-1,0.9932,-1,-0.623,-0.5076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.9216,-0.6972,1,0.0366,-1,0.671,-0.9612,0.0524,0.941,-0.4906,-1,0.9926,-0.1614,0.1196,1,-0.903,-1,-1,0.9964,-1,-0.1592,0.4372,-0.6268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.877,-0.8796,1,-0.2474,-1,0.464,-0.651,-0.1116,0.9284,-0.1602,-1,0.9926,0.1784,-0.1036,0.9992,-0.9446,-1,-1,0.9952,-1,-0.478,0.5044,-0.4946,-0.9202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.951,0.6068,0.9612,0.8734,-1,0.9842,0.5868,0.3062,0.942,0.8774,-1,0.9886,1,0.6846,0.9672,0.6976,-1,-1,0.966,-1,0.769,0.9072,0.7672,0.958,0.9258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9026,0.0562,0.9848,0.7906,-1,0.9126,0.4942,0.1046,0.8906,0.728,-1,0.9916,0.9776,0.5118,0.9804,0.309,-1,-1,0.9536,-1,0.5678,0.823,0.0546,0.5206,0.3752,0.8858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.3332,-0.3294,0.191,0.3902,-1,-0.8112,-0.9444,-0.8964,0.1826,-0.8844,-1,0.5928,-0.4678,-0.8316,-1,-0.9012,-1,-1,-0.2526,-1,-0.8848,-0.6884,-0.8348,-0.911,-0.9636,0.0396000000000001,-0.1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
