,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
17,0.4296,0.2446,-1,-1,0.5088,-0.7848,-1,0.4382,0.3848,-1,-0.9772,-0.6338,-1,-0.999,-0.0944,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.2122,-0.4754,-0.7144,0.141,-0.3652,-0.5256,-0.854,-0.51,0.0125999999999999,-0.8626,0.0167999999999999,-0.6034,0.2088,-0.1694,0.3986,0.1373,-0.1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.2067,-0.5252,-0.7288,0.1376,-0.3702,-0.5646,-0.8236,-0.508,-0.0928,-0.8518,0.0376000000000001,-0.6766,0.2108,-0.2276,0.4021,0.1404,-0.2154,-0.8602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.3758,-0.485,-0.7376,0.2757,-0.2652,-1,-0.6072,0.0256000000000001,-1,-1,-1,-0.6664,-0.3774,-1,0.649,0.2647,-1,-0.733,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.9996,-1,-1,-1,0.9988,0.9828,0.8034,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.5884,0.29,0.567,-1,-0.6754,0.8152,0.3376,-0.2534,0.4782,0.6035,-0.3312,-0.2712,-1,0.4248,0.8926,0.4672,0.543,0.6133,0.6185,0.55,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.2071,-0.4202,-0.722,-0.8346,-0.3186,-0.4966,-0.828,-0.4972,0.0274000000000001,0.0725,0.0187999999999999,-0.5708,-0.7012,-0.1482,-0.2164,0.1411,-0.1172,0.0777000000000001,0.0725,0.1414,0.9422,0.2114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.2087,-0.5046,-0.7394,0.1444,-0.3828,-0.5322,-0.8246,-0.4988,-0.0622,-0.848,0.0105999999999999,-0.68,0.1967,-0.2238,0.3892,0.1446,-0.2162,-0.8526,-0.8522,-0.812,0.942,0.6025,0.0728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.2165,-0.4726,-0.7128,-0.8594,-0.3596,-0.511,-0.8604,-0.5338,0.0356000000000001,0.0779000000000001,0.0354000000000001,-0.5642,-0.7106,-0.1536,-0.182,0.144,-0.1238,0.0743,0.0760000000000001,0.1413,0.9542,0.2248,-0.865,0.0717000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-1,-1,0.975,-1,-1,0.9978,-1,-1,0.7114,-1,0.9998,-1,-1,0.9954,-1,-1,0.9938,-1,-1,-1,1,0.9952,-1,0.949,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9406,-1,-1,-1,-1,-1,-1,-1,0.3552,-1,0.7238,-1,-1,-0.091,0.8944,-1,-1,-1,-1,-1,1,0.9976,-1,0.8218,-1,0.9978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.97,-0.8764,-0.1642,-1,0.0132000000000001,0.1172,-1,-0.2478,-0.5622,-0.2214,-0.936,-0.8918,-0.6328,-0.0354,0.93,0.766,0.6224,-1,-1,-0.409,0.924,0.00419999999999998,-1,-0.1278,-1,-1,0.9186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.5458,0.5742,-0.419,-1,0.746,0.3212,-1,0.6868,0.5236,-1,-0.688,-0.1692,-1,-0.9164,-0.705,-0.3108,-0.9522,-1,-1,-0.3218,0.931,0.4236,-1,0.0436000000000001,-1,-1,-1,0.6702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
