,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
16,0.3404,0.998,0.9994,-0.145,0.1966,0.999,0.6414,0.808,1,-0.00180000000000002,0.9754,0.7904,-0.6752,0.98,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-0.905,-0.7468,-0.9818,-0.3378,-0.8948,-0.9564,0.00120000000000009,-0.5826,0.9996,-0.7316,-0.6136,-0.6666,-0.7792,0.3632,0.7012,0.4154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-0.4702,-1,-0.9876,-0.5348,-0.955,-0.8832,0.1698,-0.1574,-1,-0.7076,-0.0570000000000001,-0.5598,-0.8174,0.5566,0.896,0.805,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.8534,-1,-0.8832,-0.3646,-0.86,-0.918,0.2364,-0.351,-1,-0.7896,-0.5726,-0.7824,-0.7318,0.444,0.9314,0.7194,-1,-1,-0.9924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.9998,0.9998,0.7986,0.0431999999999999,-0.552,0.974,0.9888,0.9788,1,0.7036,0.767,0.8416,0.0702,0.9796,1,1,1,0.0582,-0.2226,0.3776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.9588,0.9476,0.5112,-0.6996,-0.9768,0.7408,0.9664,0.7478,1,-0.3744,0.3474,-0.444,-0.7638,0.9844,0.9994,0.9706,1,-0.423,-0.2154,-0.3342,0.1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.1258,0.9922,0.9748,0.5312,-0.2312,0.9816,0.8652,0.2076,1,-0.4896,0.9222,0.1156,0.0891999999999999,0.9706,0.9996,0.1084,1,-0.4554,0.3614,0.1064,1,0.9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0646,0.4652,0.9996,0.0464,-0.0356,0.9964,0.9808,0.1768,1,-0.0694,0.9742,-0.9358,-0.4964,1,0.9938,0.273,1,-0.8924,-0.7832,-1,0.9998,0.9844,-0.8964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,0.9576,-0.025,-0.0808,1,1,0.9412,1,0.9592,0.9996,-0.0426,-1,0.9724,1,1,1,0.2482,0.3862,0.2912,1,0.9768,1,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.9998,0.9996,0.9398,0.4266,0.0598000000000001,0.999,0.9964,0.9498,1,0.982,0.9768,0.8338,0.6184,0.9786,0.9902,0.9998,1,0.8246,0.8542,0.9342,0.9586,0.8324,0.999,0.9964,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9998,0.9986,0.8784,0.3854,0.2252,0.9916,0.9888,0.9516,1,0.9552,0.9202,0.9226,0.5242,0.3844,0.9986,0.9968,1,0.9766,0.9374,0.9728,0.77,-0.2308,0.9998,0.9984,0.9994,0.8894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.9126,0.2062,0.7116,-0.0302,-1,0.8266,0.8118,-0.2702,1,-0.2622,0.8096,-0.7742,-0.9228,0.8986,1,0.9938,1,-0.9542,-0.9118,-0.9122,0.9902,0.8672,0.9246,0.4162,0.9972,0.9966,0.9936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,0.9948,0.9412,-1,1,1,0.9816,1,0.9762,1,-1,0.7004,0.979,0.9862,0.9992,1,0.7094,0.7666,0.7122,1,0.9856,0.992,1,0.9966,0.9996,0.9806,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.9998,1,0.7372,-0.1712,0.0244,0.9968,0.9998,0.9912,1,0.8398,0.9056,0.9334,-0.1594,0.9854,1,0.9998,1,0.9268,0.9046,0.9548,0.2444,-0.7922,1,1,1,0.994,0.353,0.9992,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0.9998,0.912,0.494,0.4462,0.9444,0.998,0.9924,1,0.8532,0.8792,0.9792,0.5886,0.9908,1,0.9998,1,0.958,0.9058,0.957,0.3578,-0.984,1,1,0.9994,0.9922,0.5736,0.9964,0.999,-0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.956,0.8774,0.7156,0.2626,0.028,-0.0828,0.9834,0.9322,-1,0.4618,0.5948,0.3864,0.4034,-1,0.999,0.997,-1,0.4712,0.3938,0.2956,-0.238,-0.9836,0.9646,0.958,0.8912,0.9924,0.464,0.76,-1,-0.7882,-0.7734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.3778,-1,-0.2346,0.2526,0.0846,-1,-1,-0.872,-1,-0.995,-0.861,0.1128,0.042,-1,0.5328,-0.387,-1,-0.00780000000000003,-0.1968,-0.2454,0.6984,0.187,-1,-1,0.9372,0.9744,0.9806,-0.3794,0.8328,0.6604,0.539,0.2456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,-1,-0.053,-0.4222,-0.5696,-0.1104,-1,-1,-1,-0.9548,-0.7402,-0.3588,-0.652,-1,0.5096,-1,-1,-0.455,-0.468,-0.4918,0.5386,-0.3702,-1,-1,0.8954,0.7818,0.6378,-1,0.8462,0.0933999999999999,0.215,-0.0246,-0.9996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
