,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
19,-1,0.511,1,-0.4828,0.4068,0.6094,-0.4958,0.8688,-1,-0.797,0.5828,-0.3164,-1,0.408,-0.711,-1,0.4788,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.9616,-0.9952,0.9908,-1,-0.9986,1,-1,-1,0.894,-0.9838,-1,0.9826,-1,-0.9934,0.2092,-1,-0.989,0.9566,0.3088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.4698,0.88,0.9838,-0.487,0.624,-1,-0.454,0.7102,-0.246,-0.3398,0.434,-1,-0.3856,0.3624,0.0972,-0.2118,0.525,0.5606,-0.6194,0.3204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-1,1,1,0.6538,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0342,0.547,0.9858,0.0842000000000001,0.756,0.9942,-1,0.998,1,0.1884,0.9716,1,0.0571999999999999,0.9038,1,-0.0664,0.8344,0.9884,0.9964,0.5736,0.9898,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.9642,-0.9824,0.959,-0.9912,-0.994,0.9928,-1,-0.9148,0.7964,-0.9778,-0.9736,0.9436,-1,-0.9736,-0.2416,-1,-0.9766,0.8612,-0.1776,-0.9846,-0.2962,1,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.9924,-1,0.9152,-0.9924,-0.9812,0.9848,-1,-1,0.7336,-0.9976,-1,0.9298,-1,-0.9612,-0.1342,-1,-0.9612,0.7548,-0.2308,-0.9786,-0.1096,-1,-0.02,-0.9872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.9954,-0.9962,0.949,-1,-0.9968,0.991,-1,-1,0.8666,-0.9948,-1,0.9652,-0.9912,-1,0.2954,-1,-1,0.884,-0.122,-0.997,-0.0714,0.9822,0.3468,-0.983,-0.9884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-1,-0.9926,0.9972,-1,-0.9972,1,-1,-0.9924,0.9658,-0.9782,-0.9994,0.9962,-1,-0.998,0.5838,-1,-0.9844,0.9874,0.4024,-1,0.3666,1,0.7754,-0.9778,-0.9706,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.9702,-0.8924,0.8196,-0.9196,-0.8612,0.9214,-0.92,-0.5938,0.7122,-0.9876,-0.6704,0.8574,-0.9802,-0.7494,0.2006,-0.9626,-0.819,0.7654,-0.5824,-0.8512,-0.671,0.8494,0.2288,-0.8704,-0.8952,-0.874,-0.7856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.8908,-0.9696,0.9936,-1,-0.979,0.9998,-1,-1,0.955,-0.9338,-1,0.9944,-0.886,-0.9962,0.4816,-0.9512,-0.994,0.9626,0.3014,-0.99,0.3286,1,0.6714,-0.9624,-0.9534,-0.99,-0.9996,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.6532,-0.3202,0.74,-0.9656,-0.7656,0.9528,-1,-0.531,-0.0676,-0.6904,-0.8146,0.8292,-0.6528,-0.8004,-1,-0.8414,-0.7978,0.5008,-0.7518,-0.8188,-0.4504,1,0.817,-0.9628,-0.9168,-0.9114,-0.8012,-1,-0.8922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.884,-1,-0.1444,-0.9232,-0.9994,0.933,-0.9224,-0.927,0.3966,-0.9672,-0.8976,0.7694,-0.89,-0.863,-0.3116,-0.9306,-0.984,0.3754,-0.6888,-0.9878,-0.61,-0.1346,-0.432,-0.9944,-0.9982,-0.9608,-0.9466,-0.9192,-0.9718,-0.9974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.8926,-0.9998,-0.113,-0.92,-0.9984,0.9326,-0.9212,-0.9214,0.3844,-0.9716,-0.8952,0.7652,-0.8904,-0.8666,-0.3072,-0.9386,-0.984,0.3596,-0.6806,-0.9804,-0.6262,-0.0762,-0.4438,-0.9912,-0.9946,-0.9544,-0.942,-0.9222,-0.9652,-0.998,-0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.9548,-0.9966,0.9612,-1,-0.9974,0.9948,-1,-1,0.9008,-0.9838,-1,0.9738,-0.9582,-0.9732,0.4456,-0.9856,-0.993,0.911,-0.1388,-0.9928,-0.0606,0.9776,0.4816,-0.9726,-0.984,-0.9942,-0.9962,-1,-0.9998,-0.9356,-1,-0.8986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
