,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
21,0.5252,0.6598,0.0291999999999999,0.5814,0.7148,0.0255000000000001,0.2532,0.9724,-0.8102,-0.8794,0.0269999999999999,0.6112,0.9036,0.0565,0.4662,0.9408,0.1656,0.5854,0.8686,0.0310999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.185,-1,0.1044,0.1972,-1,0.1062,-0.4212,0.976,-0.7488,-0.9958,0.107,0.0758000000000001,-1,0.2109,-0.2932,-1,-0.6322,0.8002,0.5724,0.112,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.4396,0.2528,-0.9474,0.4492,0.5324,-0.945,0.056,0.9248,-0.9742,0.1084,0.0259,0.3968,0.7998,-0.9804,0.3408,0.9172,-0.9588,0.423,0.732,-0.9452,0.0282,0.1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.4308,-1,-0.9812,-1,-1,-1,-1,-1,-1,-0.5608,0.0840000000000001,0.117,-1,-0.9968,0.3272,-1,-0.9962,-1,0.716,-0.977,0.0809,-0.5486,-0.9608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,-1,1,1,-1,0.9996,1,-1,-1,-1,0.9944,1,-1,0.9796,1,-1,0.9012,1,-1,-1,0.9696,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-1,-1,-0.9682,-1,-1,-0.9696,-1,-1,-1,0.204,0.0576000000000001,-1,-1,-1,-1,-1,-1,-1,0.7354,-0.9676,0.0528999999999999,0.2111,-0.9676,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.2076,-1,0.112,0.564,0.147,0.1097,0.0915999999999999,-1,-0.8296,-0.9956,0.103,0.306,-1,0.2059,-0.28,-1,-0.582,0.345,-1,0.11,-1,-0.9998,0.1072,-0.6212,-1,0.2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.5444,0.7218,0.0291999999999999,0.5958,0.7314,0.0263,0.2506,0.9718,-0.7508,-0.8548,0.0256000000000001,0.6312,0.9012,0.0536000000000001,0.4886,0.9364,0.1664,0.5894,0.859,0.026,-0.9464,-0.7974,0.0262,0.0852999999999999,0.9694,0.056,-0.8424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.869,0.3464,0.1893,0.682,0.5344,0.1937,0.2844,0.9972,-0.8234,-0.9776,-1,0.9666,0.9562,-0.449,0.6756,0.925,-0.7054,0.9962,0.9378,0.1927,-1,-1,0.188,-0.504,1,-0.486,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-1,-1,0.0779000000000001,-1,-1,0.0803,0.6208,-1,-0.734,-0.8348,-0.9494,-1,-1,0.1542,-1,-1,-0.3704,-1,-1,0.0798000000000001,-0.9158,-0.8196,0.0809,0.2357,-1,0.159,-0.8326,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.5498,0.6626,0.0256000000000001,0.6078,0.7218,0.0259,0.636,0.9726,0.1568,0.1103,-0.945,0.6238,0.8942,0.0567,0.4714,0.9396,0.168,0.5868,0.861,0.0254000000000001,0.026,0.1029,0.0286,0.0822000000000001,0.9732,0.0566,0.1109,0.0248999999999999,-0.6334,-0.9832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.7386,-1,-0.99,-1,-1,-1,0.1998,-1,-0.9736,0.2087,0.0536000000000001,0.6876,-1,-0.9522,0.7026,-1,-0.9922,0.6378,-1,-1,0.0571999999999999,0.2071,-0.9172,-0.9532,-1,-0.9348,0.2142,0.0564,0.3493,0.1604,0.0541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.4306,-0.2962,-0.9468,-0.00119999999999998,-0.000199999999999978,-0.9532,-0.1824,0.755,-0.9986,0.1085,0.0279,0.3252,0.6184,-0.9444,0.3624,0.7454,-0.9998,0.3772,0.309,-0.9418,0.0282,0.1117,-0.9454,-0.957,0.7676,-0.9012,0.1041,0.0266,0.1842,0.0799000000000001,0.0259,-0.9932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,-1,1,0.9998,-1,1,1,-0.5742,0.2806,-1,1,1,-1,0.9998,1,-0.95,1,1,-1,0.5295,0.5022,-1,-1,1,-1,0.0156000000000001,0.5258,0.7238,-0.2048,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.469,-1,0.0829,0.7864,-1,0.0831999999999999,0.6906,-1,-0.7656,-1,0.0764,0.5838,-1,0.1546,0.3888,-1,-0.4024,-1,-1,0.0841000000000001,-0.8978,-0.9182,0.0789,0.2318,-1,0.16,-0.9192,-1,-0.8344,-0.9032,0.0838000000000001,0.162,0.0787,-0.1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.9308,0.8974,0.1861,0.9976,0.9828,0.186,0.9434,0.9948,-0.328,-0.9764,0.1879,0.9958,0.9226,0.3419,0.859,-1,-0.117,0.9842,0.976,0.1933,-1,-0.7576,0.1865,-0.2534,0.9996,0.3522,-0.999,-1,-0.8,-0.6808,0.1897,0.3484,0.1883,0.5532,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.5518,0.725,0.0255000000000001,0.5978,0.7304,0.0254000000000001,0.2668,0.9694,-0.7274,-0.8306,0.0266,0.6344,0.8922,0.0546,0.4966,0.9354,0.1625,0.6094,0.863,0.024,-0.9488,-0.8014,0.0291999999999999,0.0819000000000001,0.971,0.0532999999999999,-0.8432,-0.9452,-0.6306,-0.9348,0.0226,0.0573999999999999,0.0245,0.5294,-0.9112,-0.6578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.9988,0.9752,0.2373,0.9988,0.9996,0.2415,0.9488,1,-0.614,-1,0.244,0.9994,0.9996,-0.1952,0.9712,1,-0.6202,1,0.9942,0.2391,-1,-1,0.2405,-0.2058,1,-0.3054,-1,-1,-0.8662,-0.561,0.2418,0.4281,0.2344,0.822,-1,-0.9966,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.9238,0.7784,0.1874,0.915,0.9202,0.193,0.448,0.996,-0.7358,-0.9984,0.1948,0.9704,0.9774,-0.3206,0.7588,0.9922,-0.7086,0.9896,0.656,0.1883,-1,-1,0.193,-0.3128,0.9994,-0.372,-1,-1,-0.9606,-0.663,0.189,0.3522,0.1903,0.7964,-1,-0.8362,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.4938,-1,0.1085,0.7782,-1,0.1017,-0.0542,-1,-0.996,-0.9588,0.1119,0.6106,-1,0.2072,0.4192,-1,-0.703,0.5598,-1,0.1059,-0.888,-0.9982,0.1032,-0.5858,-1,0.2117,-0.9874,-1,-1,-0.8508,0.1091,0.2032,0.1116,0.2496,-0.9614,-0.9866,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,-0.6998,0.9334,0.5525,-0.0294,0.8508,0.5478,0.385,0.6376,0.6746,-0.5578,-1,0.3322,0.4294,0.8096,-0.9746,-1,0.471,0.1542,0.4818,0.5638,-1,-0.223,0.5575,0.6748,0.8684,0.8004,-1,-1,0.1638,-1,-1,0.5288,0.5596,0.4578,-0.1094,0.3314,-1,0.5266,0.374,-0.7876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,-1,1,1,-1,1,1,-0.2724,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.8386,-1,-1,0.266,-1,0.991,-1,-0.6256,-1,0.9752,0.8754,-1,-0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.9994,0.9502,-1,1,1,-1,0.9982,1,-0.1686,-1,-1,1,1,-1,0.9752,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.6622,-1,-1,-1,-1,0.9906,-1,-0.5504,-1,0.9812,0.849,-1,-0.6524,-0.9206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.8492,0.8678,-1,0.9988,0.9752,-1,0.9096,1,-1,-1,-1,0.9492,1,-1,0.8018,1,-1,0.8712,0.9998,-1,-1,-1,-1,-1,1,-1,-1,-1,0.1874,-1,-1,-1,-1,0.9998,-1,-1,-1,0.9922,0.5078,-1,0.6306,0.8872,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.9868,1,0.6646,0.945,1,-1,0.974,1,0.7418,0.3394,-1,0.7152,0.9714,0.676,0.9998,0.999,0.871,0.622,0.9986,0.669,-1,0.7282,0.674,0.6316,1,-1,0.5466,-1,0.9958,-1,-1,0.8614,0.6686,1,-1,0.9966,-1,1,0.9884,-1,0.5946,1,1,0.9706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.9988,1,-1,1,1,-1,0.9974,1,0.8792,-1,-1,0.9946,1,-1,0.5764,1,-1,0.9956,1,-1,-1,-1,-1,0.9136,1,-1,-1,-1,0.9912,-1,-1,-1,-1,1,-1,-1,-1,1,0.914,-1,-1,1,1,1,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,1,0.1748,1,0.9932,-1,1,-1,0.7246,0.888,-1,1,-0.9598,0.6512,1,0.2752,0.2562,0.982,0.7812,-1,0.8124,0.969,-1,0.5476,0.3632,-1,0.7894,-1,0.9988,-1,-1,0.6284,0.1616,1,-1,0.9726,-1,1,0.999,0.7246,0.997,1,1,0.9358,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
