,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
712_S-2-D,-2.24157641893021,-1.04510107086976,-0.878639217532463,1.29432901678077,-0.47970980746974,-0.836196635548078,-0.0183678265519936,-0.144198151289648,1.42542106310515,-0.447042635993814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-X,-1.95439371679304,-0.782104774301481,-0.618763877146415,3.82837804948848,0.290044632472057,0.470967395798315,-1.19358443706643,-1.2157220774765,2.31071706220399,-0.538908974296026,-0.566885947718708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,0.809509455323642,-0.691223580297698,-1.46453651245982,-0.452595545454935,-0.890379523031474,-1.47467700453098,-0.744647896325715,-1.56939354591089,-0.625963138250883,-1.34504105725573,-1.40332866371971,-1.80565521728775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,-2.38916578417333,0.0199208855121632,0.311700492841739,0.798785516375154,-0.848501193746529,1.90978964834944,-1.18458586722053,-1.1346176365717,2.54604095356735,-0.311051900590335,-0.697748363023001,-0.335305499282192,-1.32325625841577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,-2.4478669632079,-0.190394931198778,0.0454729809292081,0.729821493917853,-0.858785614067987,1.59857508337569,-1.24353077538414,-1.20676831265735,2.25726351962723,-0.305658972359246,-0.693881591097893,-0.35825736263355,-1.30593783456356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-0.0993568446708835,-0.332266726899647,-0.098515443250154,-0.967981728902303,-0.909659690966326,0.27225106538978,-1.39058034162279,-1.48673343778583,-0.360423096827403,-1.1798250997467,-1.15856097534503,-1.52103131834468,-1.21133665639582,-0.699929480385248,-0.785006316163154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,-1.82783063513352,0.572797505450831,0.817416698569782,-0.485117473343642,-0.884134826275692,1.95164850446207,-0.699137811745589,-1.3019172559578,2.6030645813384,-0.953708438359195,-0.193621786149449,-0.66053986586936,-0.841852686666283,0.942270590696937,0.721392543396514,-1.25881445397632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-2.63800372390716,0.566054971487832,1.0678646307369,-0.37240949086209,-0.439394308438349,0.0478063412456094,-1.45727345217457,-1.12769519393476,1.12880371168851,-0.311214001598613,-0.642043505865713,0.00325489570520718,-1.81752516835818,0.656544580080065,0.409661722328392,-0.695342978085516,1.72043523499205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-1.61117798999364,-0.93336638507931,-0.820693741238001,0.586703346674413,1.04236204413218,-0.578661225033334,0.931218438596934,1.0939473211366,0.619992888732058,-0.684961816886701,-0.662478202477591,-0.151156292429884,-0.978973057926909,-0.559634811108823,-0.681744438188129,-0.226068258190703,-0.1331377233392,-0.715385060716288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,-1.52620010259543,-0.472644398575861,-0.334486751424128,4.94782063641165,-0.80296775372229,0.474161059791887,-1.0531877327544,-0.873845450186953,1.86852245428079,-0.420118350062483,0.112202194734444,0.516047820548011,-1.37902822766163,0.414114596582729,0.306068047799839,-1.32413258224305,-0.272336134803344,0.384848683887457,-0.408293264786666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
