,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-M,712_P-1-D,712_P-2-M,712_P-2-D,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P3_30-34,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
711_P-1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-D,0.902383121119293,0.744955358972686,0.00410004513607294,0.703137869154709,1.24330974053285,-0.63018250344048,0.362353556996834,1.04928076871395,-1.05493445352248,1.73989398238889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-M,1.14665205944153,-0.988587660526312,-1.81021831861495,1.70416278084019,-1.04807748572828,1.83669928931318,1.27029980749958,0.284774739162282,0.339946171648316,-0.763990719994705,1.49232675763507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-D,1.36550132705175,-1.21504975736915,-0.62267197419298,0.596264331363957,0.163957449394551,-0.176723398644046,-0.0612293916509494,-0.468044960839104,-0.685123079184458,1.17574920333197,-0.429502891019933,0.751239480905848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-M,0.929446365607032,-1.20900823852551,-1.31972407497912,1.2690982132161,-0.916831215265032,-0.0599218458188667,0.914016178626361,0.644766439259833,-1.4770247709768,-0.464495610752933,0.664791214271359,-1.39784405024608,-1.16034551216766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-D,0.894310645840631,0.537080420042411,-0.219125993865731,1.38842024857784,1.30052812963274,-0.455433289370653,1.1054551208427,2.16005048585748,-0.866131403028936,1.8862605194552,-0.374941517485622,1.49962306414301,-0.413537738947367,1.29413610024472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-1-X1,0.986228547602046,-1.08884934317212,-1.23132241594669,1.21712898709917,1.57825024722795,-0.0681968465649889,0.66442509647729,-0.0186953746166147,-1.05493445352248,0.696745108733631,NA,0.846231042499901,0.513266901986032,-1.34212551252942,-0.313606509444778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-M,0.906215563210501,-1.52046651576498,-1.81124781311196,1.32307386076509,-1.29346327323196,1.26467860575933,1.03674924356978,0.866627907849616,-0.594879756799304,-0.547780236409435,0.669071890685043,-1.70108132053312,-0.0606409702899008,-1.35936723729844,1.32526397377274,-0.331648022408593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-X1,0.73786249530956,-0.653553365840037,-1.10682982017163,1.04029287266817,0.788219166726487,-0.577874492491291,0.743133339300076,0.395436793046246,-1.05493445352248,0.803085807827435,NA,0.896718270626118,-0.725887800533951,-0.336457766361048,-0.604394682669905,NA,0.106424773396428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_20-24,0.607339551597077,-1.3188133880781,-1.33508705432021,1.32018613501432,-0.994126250430024,1.10656805197337,1.10060651250439,-0.274370292690273,-0.0680174211137354,-0.988622549020945,0.845480588011528,-1.44141609149588,0.455086607139634,-0.993453557689024,1.00751131774456,-0.41486072977335,-1.26814533606914,-0.0272855661812554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_30-34,0.642455199051659,-1.63465053063767,-1.84633732743675,0.928746819334531,-2.10841596077787,0.112100293122371,0.758477295456206,-1.11274040282042,-1.34347292842815,-1.98179065646056,-0.167875809686794,-2.91325434581088,-0.875985503856007,-1.61294856477532,0.689491787883361,-1.08242348341694,-2.52665527211177,-0.78127324019508,-1.21881601966832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_30-34,1.17520540155549,0.092190851107696,-1.68004984463423,1.75453019577058,1.13066659900937,2.23019265122305,1.01840542353174,0.252058917155623,0.954154886853399,-0.5044990247766,1.85030460962424,0.475227994594612,2.70434774936815,-2.27753750254059,2.67643197706786,2.19632634960934,-0.582152655039098,1.26680773054959,-0.286674652121781,-1.41652855193064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_P1_10-14,1.01347069256883,-1.82451678966382,-2.31067983729558,1.45317515950677,-1.50393641731498,0.236438037197825,1.1408700019058,-0.4105191806477,-0.615320047555111,-0.918126374360943,1.24716590582308,-1.87399716314448,0.466372842316802,-0.661637507342828,0.433329281180816,0.479218486726121,-1.6710036109779,0.881438289988486,-1.07963694457543,-1.60618942659387,-0.329411127091724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
