,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
21,0.0217000000000001,0.0266999999999999,0.0249999999999999,0.1958,0.8594,-0.195,-0.8728,-0.875,-0.8428,0.0237000000000001,0.0227999999999999,0.0462,0.0965,0.0255000000000001,0.119,0.5868,0.9394,-0.0628,-0.9002,-0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-1,-1,-1,0.9996,0.9996,0.9994,-1,-1,-1,-1,-1,-1,0.9608,-1,-1,0.9998,0.984,0.9954,-1,0.8154,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0469999999999999,0.0470999999999999,0.0486,0.3462,-1,-1,-1,-1,-0.919,0.0472999999999999,0.0503,0.0945,0.1836,0.0496000000000001,0.2354,-1,-1,-1,-0.959,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0503,0.0454000000000001,0.0518000000000001,0.3476,-1,-1,-1,-1,-0.9268,0.0498000000000001,0.0483,0.0978000000000001,0.1865,0.0491999999999999,0.2289,-1,-1,-1,-0.989,-1,-1,-1,-0.9996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0703,-0.8916,0.0699000000000001,-1,-1,0.368,0.3846,0.325,0.265,0.0738000000000001,0.0744,0.1391,-0.833,0.0690999999999999,-0.9316,0.9656,-1,0.5106,0.2667,0.712,0.0741000000000001,0.9268,0.1426,0.1483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0468,-0.9412,0.0509999999999999,-1,-1,-1,0.2661,0.2345,0.1877,0.0496000000000001,0.0483,0.0967,-1,0.0472999999999999,-1,-1,-1,-1,0.1848,0.8645,0.0464,-1,0.0998000000000001,0.0951,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.0864,-1,-0.1036,0.8788,0.9996,-0.1812,-1,-1,-1,0.6074,-1,-1,0.4478,-1,0.2472,0.997,0.555,-0.4544,-1,-0.3292,-1,0.9968,-1,-1,0.3032,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.9298,0.0479000000000001,-0.9374,0.3473,-1,-1,-0.899,-0.8812,-0.8684,0.0491999999999999,-0.933,-0.9208,0.1873,-0.9352,0.2204,-1,-1,-1,-0.8562,-1,-1,-1,-0.917,-0.908,0.1453,0.0907,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0945,0.0953999999999999,0.0920000000000001,-0.1468,-1,-0.2214,-0.867,-0.9638,-0.952,0.0931999999999999,0.0952999999999999,0.1844,0.3346,0.0951,0.4075,0.7602,-1,-0.3914,-0.976,-1,-1,-1,-0.9378,-0.9254,0.2686,0.1839,-1,-1,-0.9208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.0243,0.0241,0.0246999999999999,0.1897,0.9444,0.0411999999999999,-0.8112,-0.8362,-0.8282,0.0249999999999999,0.0245,0.0526,0.093,0.0241,0.128,0.77,0.9498,0.0331999999999999,-0.8604,-0.002,-0.9504,0.9402,-0.922,-0.9334,0.0739000000000001,0.0482,1,0.168,-0.913,-0.8828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-1,0.8564,-1,0.9782,1,0.913,-1,-1,-1,0.9273,-1,-1,0.9868,-1,0.7346,0.9796,0.9976,0.9364,-1,0.6298,-1,0.9976,-1,-1,0.7994,-1,0.9972,0.3482,-1,0.7664,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.8798,0.1411,-1,0.0700000000000001,-1,-1,-0.9158,-1,-0.8646,0.1436,-1,-0.773,0.4637,-1,0.5532,0.1694,-1,-1,-1,-1,-1,-1,-1,-1,0.3741,0.266,-1,-0.861,-1,-0.9534,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-0.7658,0.1455,-0.773,-0.0664,-1,-1,-0.8632,-1,-0.8798,0.148,-0.7744,-0.6576,0.465,-0.7762,0.5562,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3821,0.2705,-1,-1,-0.8384,-0.9524,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.0239,0.0250999999999999,0.0222,0.1824,0.789,-0.2708,-0.8968,-0.9012,-0.8536,0.024,0.0242,0.0487,0.0929,0.0255000000000001,0.1163,0.4808,0.9326,-0.096,-0.908,-0.3404,-0.9478,0.709,-0.9622,-0.9604,0.0745,0.0475000000000001,0.8948,0.0314000000000001,-0.9358,-0.9314,-0.9544,0.8426,-0.8412,-0.8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-1,-1,-1,0.9882,1,0.977,-1,-1,-1,0.9563,-1,-1,0.7436,-1,-1,0.9988,0.9992,0.75,-1,-0.2654,-1,0.9996,-1,-1,0.935,-1,1,0.9198,-1,-1,-1,0.9972,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-1,0.3384,-1,0.697,0.4634,-0.2646,-0.9528,-1,-1,0.3473,-1,-0.3698,0.8341,-1,0.8936,0.9536,0.867,-0.5968,-1,-0.0842000000000001,-1,0.6046,-1,-1,0.7349,0.581,1,0.2464,-1,-0.7726,-1,-0.3656,-0.9984,-0.9988,-1,0.0182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-0.9186,0.1398,-0.9206,-0.0144,-1,-0.8224,-0.8874,-0.9386,-0.7638,0.1426,-1,-0.779,0.4715,-1,0.5612,-1,-1,-0.951,-0.8604,-0.9252,-1,-1,-1,-1,0.3795,0.2725,-1,-1,-1,-0.946,-1,-1,-0.9962,-0.8382,-1,-1,-0.9988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.0992999999999999,0.0978000000000001,0.0952999999999999,-0.0434,-1,-1,-0.9826,-0.922,-0.8082,0.0987,0.0992,0.1841,0.3415,0.0963000000000001,0.4154,-1,-1,-1,-0.8888,-0.7564,-1,-1,-1,-1,0.2661,0.1876,-1,-1,-0.8658,-0.8724,-1,-1,-0.9998,-0.919,-1,-1,-0.9754,-0.9722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0483,0.0475000000000001,0.0503,0.3498,-1,-1,-1,-1,-0.7884,0.0482,0.0494000000000001,0.0985,0.1866,0.0499000000000001,0.2296,-1,-1,-1,-0.8332,-1,-0.9204,-1,-0.9364,-0.9394,0.1414,0.0891,-1,-1,-0.8496,-0.8174,-0.926,-1,-1,-1,-0.9192,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.046,0.0487,0.0491999999999999,-0.7334,-1,-0.0462,-0.8376,-0.8064,-0.6668,0.0451999999999999,0.0515000000000001,0.0992,0.1783,0.0455000000000001,-0.7762,-1,-1,0.046,-0.762,-1,0.0444,-1,0.0986,0.0965,0.1464,0.0916999999999999,-1,0.1756,0.1004,-0.772,0.0484,-1,-0.7164,-0.7784,0.0504,-1,-0.3576,-0.7242,-0.7268,0.0945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-1,-1,-1,0.9904,1,-1,-1,-1,-1,-1,-1,-1,0.8582,-1,0.8098,0.9994,0.9998,0.9122,-1,-1,-1,0.9998,-1,-1,0.9728,-1,1,-0.4138,-1,-1,-1,0.9976,-1,-1,-1,0.9996,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,-0.7896,0.2447,-1,0.1798,0.6002,-1,-0.9856,-1,-1,0.2301,-1,-0.583,-0.1118,-1,-0.0524,-0.1262,-1,-0.9796,-1,-0.6866,-1,0.6906,-1,-1,-0.1718,0.4204,-1,-0.9636,-1,-0.8792,-1,0.364,-0.9998,-1,-1,-1,-0.8704,-0.9824,-0.9968,-1,-0.6076,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
