,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
20,0.733,-0.5618,-0.9644,0.097,-0.85,0.3348,0.2848,-0.847,-0.49,0.7472,0.0898000000000001,-0.8054,-0.8304,-0.022,0.0503,0.9232,-0.0374,-0.8544,-0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,0.1524,-1,-1,0.5618,-1,1,-1,-1,1,0.8098,-1,0.7968,0.5372,-1,1,0.5538,-0.1694,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-1,-1,-1,-0.6246,-0.8932,0.188,-1,-0.8532,-0.4118,-1,-1,-0.9242,-0.9636,-1,0.143,-1,-1,-1,-0.981,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,-1,-0.9268,-0.9226,-0.7576,-0.5864,-1,-0.9398,-1,-1,-1,-0.7234,-0.6852,-1,-0.7512,-1,-1,-0.8964,-0.9272,-0.8446,-1,-0.8398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.9822,-1,-1,-1,-1,-1,-0.2772,-1,-1,0.9706,-0.3434,-1,-1,-1,-1,1,-0.3912,-1,-1,-1,0.977,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.9912,-0.6808,-0.4156,0.1456,-1,0.7314,0.9356,-0.7522,0.0242,0.9998,-0.65,-0.8968,-0.824,-0.31,-1,-1,0.2142,-0.7502,-0.305,-1,0.7594,-0.6198,-0.036,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-1,-0.5674,-0.8682,-0.5422,-0.9688,-0.00800000000000001,-1,-0.7814,-0.1712,-1,-0.0600000000000001,-0.5378,-0.9112,-1,-1,-1,-1,-0.9278,-0.8334,-1,-1,-0.8708,-0.7256,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.7862,-1,-1,-1,-1,-1,1,-1,-1,0.9454,0.4548,-1,-1,0.964,-1,1,-0.8256,-1,-1,-1,0.995,-1,-1,0.9992,0.3972,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,-1,-1,-1,-1,-1,0.9998,-1,-1,1,0.5918,-1,-1,0.9404,-1,1,-0.646,-1,-1,-1,1,-1,-1,0.9734,-1,-1,0.9978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,-0.0452,-1,-1,0.2186,-0.3442,0.9986,-1,0.2704,1,0.9968,-0.5226,0.5456,0.6342,-1,1,0.5228,-0.094,-1,-1,0.9954,-1,-1,0.3452,0.6558,-1,1,0.8748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.758,-0.4758,-0.9442,0.0949,-0.8336,0.3349,0.3448,-0.8432,-0.4514,0.8192,0.1374,-0.7324,-0.8232,0.0187999999999999,0.0495000000000001,0.9218,0.079,-0.7676,-0.9274,-0.8986,0.5852,-0.9194,-0.8882,0.8236,-0.3128,-0.891,0.727,0.7482,0.3458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0.3076,-1,-1,-1,-0.0192,0.9294,-1,-1,0.9928,0.6182,0.4858,0.4116,0.7672,-1,1,-0.2164,0.3706,-1,-1,0.9646,-1,-1,0.814,-0.1798,-1,1,0.9986,0.969,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.973,0.3652,-0.602,0.499,-0.314,0.579,0.4116,-0.00839999999999996,0.4362,0.957,0.9154,0.1216,-0.3704,-0.1302,0.2952,-1,0.8856,-0.0948,-0.524,-1,0.8332,-0.775,-0.1184,0.8716,0.349,-0.5962,-1,-1,0.9842,-1,0.8776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-1,-0.6564,-0.0278,-0.8528,-0.0427999999999999,-0.6066,0.2118,-0.4076,-0.4032,-1,0.6318,0.4814,0.6284,-0.1892,-1,-1,-0.674,0.0227999999999999,-0.1676,0.3837,-0.1172,0.173,-0.7028,-1,0.3812,-0.127,-1,-1,-1,0.3734,-1,0.4682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,0.1746,-0.2254,-0.7066,-0.1482,-0.6388,-0.6948,-0.3718,-0.3384,-1,0.8584,0.5008,0.1822,-0.871,-1,-1,0.2472,0.1962,-0.307,-0.3244,-0.305,0.0653999999999999,-0.7228,-1,0.4884,-0.1752,-1,-1,0.5234,-0.2966,-1,-0.3574,-0.9706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.9856,-1,-1,-1,-1,1,1,-1,1,0.9754,-1,-1,-1,0.9984,-1,1,0.987,-1,-1,-1,0.9818,-1,-1,1,0.6934,-1,0.9984,1,0.9998,-1,1,0.9976,0.9088,0.9996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-1,-0.9076,-0.8948,0.1879,-0.919,0.5655,0.459,-0.6814,0.093,-1,-0.1494,-0.6558,-0.9218,-0.3232,0.0979000000000001,-1,-0.1766,-0.9796,-0.8454,-1,0.5886,-0.9678,-0.6644,-1,-0.6442,-0.9136,-1,-1,0.4462,-1,0.6834,-0.6396,0.6296,0.1798,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.8022,-0.3658,0.0934999999999999,0.1008,0.0928,-0.4688,0.3984,0.2426,0.5222,0.8638,0.2118,-0.6304,0.099,0.071,0.0510999999999999,0.982,0.686,0.3747,0.0942000000000001,0.0495000000000001,0.6088,0.1448,0.1477,0.8594,0.3747,0.1474,0.754,0.7902,0.4342,0.0511999999999999,0.8754,0.2936,0.3743,0.4644,0.9518,0.0979000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.8098,-0.3186,0.1043,0.0980000000000001,0.1016,-0.4286,0.4106,0.2417,0.5102,0.863,0.2038,-0.6074,0.0982000000000001,0.0802,0.0488,0.9848,0.685,0.3831,0.0992,0.0491999999999999,0.606,0.1498,0.1396,0.8624,0.3747,0.1409,0.7652,0.804,0.4348,0.0488999999999999,0.8733,0.2917,0.3812,0.4681,0.9524,0.0922000000000001,-0.9024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.7858,0.569,-1,0.8686,0.9106,0.9998,0.7488,0.9786,1,0.9992,0.9612,0.8474,0.9948,0.7671,-1,0.923,0.9002,0.5554,0.4954,0.778,0.6618,0.4262,1,0.9974,0.8364,0.9998,1,1,0.478,0.9992,0.9934,0.3738,0.8646,0.999,0.8014,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.9972,-0.024,-1,0.0176000000000001,-0.3032,0.8696,0.9996,-0.2888,0.8156,0.9996,0.5694,0.2194,-0.6492,0.9748,-1,1,0.9806,-0.9722,-1,-1,0.9946,-1,-0.527,0.957,0.1954,-0.471,0.7816,0.9628,0.9996,-1,0.9992,0.0298,0.7134,0.8272,-1,-1,0.4765,0.4743,0.9984,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.949,-0.2712,-1,-0.2114,-0.8118,0.8334,0.8868,-0.2016,0.8362,-1,0.00580000000000003,0.266,-0.9774,0.1842,0.4331,-1,0.625,-0.9564,-1,-1,0.732,-1,-0.2434,0.9202,-0.6716,-0.5976,0.827,0.919,0.932,-1,0.8636,0.431,0.6186,0.7514,-1,-0.8972,0.4297,0.4177,0.865,-0.9954,NA,NA,NA,NA,NA,NA,NA,NA
42,1,-0.3682,-1,-1,-1,-0.6302,0.9998,-1,-0.7962,1,0.9568,-0.702,0.46,0.863,-1,-1,-0.313,-1,-1,-1,0.9894,-1,-1,0.9988,0.2728,-1,0.9844,0.0722,0.9824,-1,0.9984,0.5268,0.6348,-0.2134,0.9998,-1,-1,-1,1,0.9616,-0.2488,NA,NA,NA,NA,NA,NA,NA
43,0.9776,-1,-1,-1,-1,0.9924,1,-1,0.9828,0.9326,0.7758,-1,-1,1,-1,1,0.8758,-1,-1,-1,0.9966,-1,-1,0.999,0.9682,-1,0.9808,1,1,-1,1,0.983,0.4766,0.9732,1,-1,-1,-1,0.9948,0.433,-1,0.9994,NA,NA,NA,NA,NA,NA
44,-1,-0.627,-1,-0.2448,-0.937,0.378,0.8186,-0.5858,0.5562,-1,-1,-0.5084,-0.9968,-0.0128,-1,-1,0.6922,-0.8426,-0.827,-1,0.9392,-0.8236,-0.6022,-1,-0.949,-0.8436,-1,-1,0.8452,-1,0.238,0.2872,0.4852,0.4864,-1,-0.8692,-0.5392,-1,0.9932,-0.8566,-0.7722,0.6656,-1,NA,NA,NA,NA,NA
45,0.477,-0.9342,-0.8758,0.1019,-0.9246,0.3277,-0.037,-0.755,-0.4268,0.3072,-0.326,-0.7808,-0.8838,-0.2992,0.0484,0.8452,-0.5356,-1,-0.875,-0.9076,0.1876,-0.914,-0.8204,0.756,-0.601,-0.9516,0.5408,0.4204,-0.1676,-0.9012,0.4324,-0.726,0.3841,-0.4148,0.8276,-0.9206,0.0519000000000001,0.0488999999999999,0.4608,-0.3978,-0.9782,-0.089,0.6182,-0.951,NA,NA,NA,NA
46,-1,-0.6068,-0.7034,-0.8028,0.184,-0.5752,-1,-0.5652,0.0798000000000001,-1,-1,-0.7346,0.1915,-1,0.099,-1,0.464,-0.289,-0.7738,0.0982000000000001,-1,-0.6322,-0.7342,-1,0.6176,0.2731,-1,-1,-1,0.0969,0.828,0.5016,-0.3656,-0.154,-1,0.2005,-1,-1,0.2026,0.0538000000000001,-0.1252,0.2964,-1,-0.5122,0.0960000000000001,NA,NA,NA
47,1,-1,-1,-1,-1,-1,0.9816,-1,-1,0.993,0.9862,-1,-1,0.9902,-1,1,-1,-1,-1,-1,0.8114,-1,-1,1,0.915,-1,1,0.9988,0.999,-1,0.9732,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,NA,NA
48,0.8642,-0.4012,0.1847,0.1912,-0.8938,-0.3896,0.3166,-0.7814,-0.2302,0.971,0.119,-0.6702,0.1927,-0.0776,-1,-1,0.2036,-0.173,0.1841,0.1006,0.6206,0.2776,-0.5778,0.87,-0.4432,-0.5838,0.7892,-1,-1,0.1022,-1,0.4991,-0.098,0.00859999999999994,-1,0.1916,0.0982000000000001,0.0975999999999999,0.9526,0.1702,0.6836,0.4234,0.8628,-0.685,0.0952999999999999,0.1894,-1,NA
