,712_E-1-M,715_E1_20-24,715_E1_30-34,715_E2_10-14,716_E2_1-5,716_E2_10-14,716_E2_20-24,717_E1_1-5,717_E1_10-14,717_E1_30-34
712_E-1-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E1_20-24,1.03813899532733,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E1_30-34,0.944271085932526,-1.33613682230245,NA,NA,NA,NA,NA,NA,NA,NA
715_E2_10-14,1.10445891924586,0.699883186675524,-0.512931025182973,NA,NA,NA,NA,NA,NA,NA
716_E2_1-5,1.25642537826344,1.8019865806118,1.28995380325059,1.26556681756413,NA,NA,NA,NA,NA,NA
716_E2_10-14,0.98856515758964,1.17704621661808,-0.0325828710367744,1.06050768072256,2.21018600624812,NA,NA,NA,NA,NA
716_E2_20-24,1.1580300970291,1.79086700750615,1.36088120264805,2.05597836990074,2.69925220073891,2.23318947457372,NA,NA,NA,NA
717_E1_1-5,0.690906534270012,2.42816626390684,1.76107957625554,0.363386638585857,0.654196006942692,1.28393887287443,3.56443974666419,NA,NA,NA
717_E1_10-14,0.715182769479027,2.34636900382201,1.79625549395794,-0.757841168930705,0.398412791675289,-0.132620022785042,2.31371684202382,-0.231551660631245,NA,NA
717_E1_30-34,0.413673617694676,1.76469598669586,1.5027740837755,-0.787826842479399,0.243012196194517,0.0750007693648272,1.72818167798053,-0.222153877109413,-0.0328348649608456,NA
