,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-1-X2,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,713_S-3-X2,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S1_40-44,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S2_40-44,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,714_S3_40-44,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
712_S-2-D,0.352066813725617,-0.147722460324451,-0.279161986628895,-0.252264385117638,-0.70015731335706,0.395072536644794,-0.665049685232029,-0.119418476135095,0.463798431630495,-0.564166595187148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-X,-1.39681552196683,-1.4546002460034,-1.48923655895529,-0.298678409593668,0.0486133974190682,-1.74439778291809,-1.67808458603837,-1.92661968673485,-0.672865827616415,-0.366079266240594,-0.695754554202999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,-1.26818811089028,-1.99942409178956,-1.41399735382339,-0.476545536702454,-1.20846042644975,-1.32701862532352,-0.744124441326245,-1.16962954054579,-0.781165910405004,-0.498749017842578,-0.397198625603041,-1.46422673890945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,-2.09332686447694,-0.0419615268909754,-0.741871340190253,-0.388834813823054,-0.468129330073359,-0.792642365917482,-1.41013772111936,-1.1578322411816,-0.216728444343204,-1.26291024230051,-0.400723787033415,-1.75962259204593,-1.90383444428757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,-2.10131778031806,-0.00658025469280959,-0.751510774310116,-0.37687319849962,-0.470590444946848,-0.796444788590054,-1.39953444891678,-1.1599817201705,-0.215769517792101,-1.25234304829772,-0.401955524013113,-1.75371980669219,-1.89787912823584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-0.599532958775933,-0.680207641741593,0.479710093284773,0.525198443664696,-0.434071972268544,0.462331286733227,-1.05993568210492,-0.676809735202358,0.194760522354636,-1.22480298331164,0.619568419915324,-1.34107540419794,-1.38774739178529,-1.30322480262426,-1.30357548759598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,-0.233980071438387,0.379909932417898,-0.329595138316531,-0.804780496164582,-0.0591989932308282,-0.237647302524365,-1.10391797582868,-1.330347532376,0.051369694010591,-1.70389893250881,-0.343865487386777,-2.36919643459575,-1.28618617631812,-1.04006789776961,-1.04638006366096,-1.28713472221504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-0.39592728578484,0.841582621828078,1.32034582439102,-0.261127388249606,0.107953327664829,0.249860487842051,-0.793363404696792,1.13498003751529,2.12896019583823,-0.319304387288047,0.808508147708295,-0.294109692324365,-1.1509137246399,-0.724901335329851,-0.723628596168119,0.752136734599951,0.749989599446568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-1.3437527162909,-0.761141147356557,-0.53780473814092,-1.02410592181159,-0.633961934626288,-0.509101155050187,-0.855815393978344,-0.443483560056069,-0.885844114667594,-1.17612030358702,-1.08211927873357,-0.944151848869005,-1.39509056040443,-0.699440493026659,-0.694366367735341,0.275338993432507,-0.49155112828497,-0.28350566874872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,-1.06003491469806,-1.28148537807809,-0.955194061157151,0.547698304258529,-0.70864381760668,0.305771392542003,-1.30080908873214,-1.29740811791038,-0.113132521366086,-0.790137748710446,1.03049280395144,-1.81970160785495,-1.30008692965649,-1.74136033544294,-1.74174917461696,-1.82231391615786,-1.93343911774607,-0.916394832423929,0.110747806427463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
