,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
712_E-1-D,-1.26987034470173,-1.01996210260441,3.1840550654765,-0.701180927089519,-0.949597645989509,2.21545094155871,-0.864790119769294,-0.116450635060049,0.242901714758892,2.76951706461088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,-0.847692729175794,-0.661789259583174,-0.749027580468833,-0.453014760554924,0.0989102754374863,-1.54454300524187,-0.502803300333709,-0.194085169901629,-0.411771434193126,0.263218832763948,-0.224077906824065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,-1.29949295845267,-1.67488288293286,-1.48012371638091,-1.00253563463884,-1.05167578214351,-1.49647457965441,-1.07078587355606,-1.39687592479389,-1.80952416123879,-0.0220534298710697,-1.39849602048088,-1.00185211244884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,-0.620927204030834,-1.37694200286433,-0.301150939168843,-0.305203415774613,0.855975572848966,0.117939775326067,-0.31630364831215,0.431788974559549,-0.20783460777549,0.700342073881912,2.0214059716534,-1.33023119858932,-1.52519978848354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,-1.30907382016267,-1.00022230099298,-1.72700664246286,-1.19779492409091,-1.37447547176494,-1.72007986197853,-1.19965708015912,-1.0636820515975,-1.56756895277681,-0.831444422159884,-1.35630816992229,-1.80163567026585,-2.34611218310796,-1.97858261577131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,1.11856689411038,0.531392808923191,0.22597564875926,-0.727363538925301,-0.645299576814831,-0.0282126632084402,-0.144910809510559,-0.324648798799484,1.31863268308457,0.608777613011868,0.0423745998683198,0.247675220230462,0.636748620293122,1.02723268581242,0.747552849091438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,-0.623737053974668,-1.59723438852477,0.0819994428286775,-0.34998456765195,1.10157017544395,1.76992207113581,-0.350208436175442,0.281672326321585,-0.914378383760033,1.35272438123739,0.554125910804871,0.231464518010164,-1.51473453442792,2.39805027765713,-1.98513748116287,1.17854636882489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-S,-0.839755969134184,-1.38642922083786,-0.265094181511454,-0.445201465055966,1.79249999896074,-0.986785096318692,-0.520710825843727,0.0569513636748644,-1.09537713022885,0.523946563399771,1.79883141367534,-0.611659417684255,-2.00224854944029,-1.2429353001555,-2.03705440434294,-0.177671662600482,-1.44371343036752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-M,-0.723858745111981,-1.2790153504989,-0.373496559317728,-0.193084111445112,0.626443382255501,-0.0238886830305758,-0.328691250718104,0.464538384865834,-0.453499329182055,0.563734855258116,0.0430216609974751,-1.01550707189262,-1.7034694636138,-0.432156979797978,-2.1212612070246,0.0328488479357784,0.191816933243251,1.16214838890023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,-0.597308902414439,-0.629825462610576,0.140750858471077,0.0467637321508674,-0.097095469391765,0.942212299524635,-0.120602188879613,0.679067056091117,0.312671424664826,0.523390422190915,0.043886624527629,-0.690071782699884,-1.20799890729258,-0.0120518214741045,-1.85589028247934,-0.0642086377455004,1.13794156608522,0.26816129905498,-1.48977950220768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,0.938997337984219,1.0954671354751,0.554888559005936,-0.228430117537985,0.160560059818361,0.863723445161819,0.977673348753183,0.668862438460241,0.944923649100829,0.705167343774521,0.820725593342075,0.887869149816846,-0.0463192837363466,0.661508050079103,0.632194738478209,1.50516429315367,0.758272902685303,-0.25994134543486,-0.217915298510842,0.842717175637103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,-0.426908019212417,-0.815545126697042,-1.37649919114459,-0.625171622684916,-0.26565487628261,-1.58080991956014,-0.541848199388028,-0.390902742221931,-1.80189293690839,-0.258726002650935,-1.12317349482123,-0.953939184452743,-0.579486546640071,-1.5233304065336,-1.65881742300978,-0.175243330457652,-1.40394942319166,-1.81155768304437,-1.50731350168432,-1.24199818752496,0.0314158593774954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-S,1.11856689411038,0.531392808923191,0.22597564875926,-0.727363538925301,-0.645299576814832,-0.0282126632084402,-0.144910809510559,-0.324648798799484,1.31863268308457,0.608777613011868,0.0423745998683198,0.247675220230462,0.636748620293122,1.02723268581242,0.747552849091438,NA,1.17854636882489,-0.177671662600482,0.0328488479357784,-0.0642086377455004,1.49940655795384,-0.175243330457652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,0.881227918361309,0.293150858190114,-0.641287317351803,-0.729531764059082,-1.1475005103996,-0.707910306531932,-0.272451882612537,-0.954373677654401,-0.17941513437322,-0.793916616461712,0.025501318397199,-0.759973870132079,-0.693950823944055,-0.386813389739228,0.0744347165859375,0.672964497160404,-0.303915937442116,-0.462557765744205,-0.434238280256422,-0.477518987769774,1.04281342142892,-0.412284859385019,0.672964497160403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
