,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.45,0.8226,0.1326,0.6716,1,0.1878,0.4252,0.6584,-0.5326,0.9054,-0.1342,0.3836,0.0891999999999999,-0.9866,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-1,0.9956,0.9484,0.9882,1,0.941,-1,-1,0.9234,0.971,0.7246,0.4336,-1,0.9476,-1,-1,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-1,0.9872,0.9742,0.9794,1,0.9866,-1,-1,0.8186,0.9774,0.8324,0.4346,-1,0.9946,-1,-1,0.9918,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.1808,0.944,0.9092,0.9278,1,0.8018,0.8724,0.9216,0.23,0.889,0.6484,0.7278,0.5058,0.8558,-1,-1,0.7368,0.919,0.9392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.00740000000000007,0.7456,0.7718,0.2722,0.9946,0.6716,0.3212,0.7492,0.5016,0.9758,-0.956,0.5072,-0.1784,0.6014,-0.8344,-0.4184,0.2506,0.9058,0.9558,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.335,-0.034,-1,-0.417,0.909,-1,-0.2626,0.159,-1,0.6894,-1,-0.3492,-0.5798,-1,-0.8348,-0.753,-1,0.4426,-1,-1,-0.9886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9392,-0.9962,-1,-1,-1,-1,-0.5662,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.3746,-0.04,-0.332,-0.3926,-1,0.424,-0.7822,-0.4262,-0.6124,0.3348,-0.4348,0.2706,-0.684,0.5072,-0.8492,-1,-0.038,-1,-1,0.425,-0.3356,-0.737,-0.9782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.2958,0.4242,-1,-0.1574,-1,-0.72,0.0107999999999999,0.5808,-1,0.956,-0.5012,-0.0336,-0.4788,-0.7956,-0.9978,-1,-1,-1,-1,-0.69,0.0568,-0.63,-1,-0.5054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
