,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-1-X,712_E-2-S,712_E-2-M,712_E-2-D,712_E-2-X,712_E-3-S,712_E-3-M,712_E-3-D,712_E-3-X,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-1-X2,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-2-X2,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,713_E-3-X2,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E1_20-24,715_E2_1-5,715_E2_10-14,715_E2_20-24,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E2_1-5,716_E2_10-14,716_E2_20-24,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E1_1-5,717_E1_10-14,717_E1_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_20-24,717_E3_30-34
712_E-1-D,1.0679648441055,0.685522773808966,-0.217270245738766,0.950541846568538,1.2434235967709,0.636968396585174,1.54905416419884,0.526749869123615,0.399104998541961,0.953932777368666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-X,0.29436265218536,1.40799260120034,-0.182841240636835,0.217380161307657,-0.685513181678829,0.977107820810884,0.131756796819218,0.745041793336795,0.506415392585314,0.585018670002352,-0.753835301626408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,-1.02296569891556,-0.859689480676995,0.289725795569316,-0.846134705916707,0.150049771800906,1.59604165813365,0.0497916934291387,-0.140051721010101,1.10774595959875,0.504445227403892,0.764811217401336,-0.801939995880213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,0.148722520390622,-0.318593666667151,0.849801309219199,-0.428041306847948,-0.247636958649081,1.23469290408835,0.533328317279561,0.681137130791558,0.916418013072544,1.56313431215283,0.965621336112961,0.904582431637622,-0.385851634673192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,-0.994429867646242,-0.578356193425541,-0.264999880652327,-1.27678696472516,0.0880234498786866,1.47992983791099,1.06316326621205,-0.0338147770371819,0.743671820986027,0.38476160613716,-0.450255823620686,0.0828885059505502,-0.0308176900801136,0.803241866931075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-X,-0.149712594475282,0.50361858460921,1.02363268080036,0.615080922303107,0.116671483427245,0.761473842536949,1.08103148977994,0.430573456505063,0.256614088625332,-0.175363638584115,0.615911977896721,0.364912767202606,0.708591761063913,0.697899733607415,0.502098667767415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,0.770739227316311,0.459567082435483,-0.115565182172619,0.606948115052538,0.971427127519182,0.542929325385944,0.718841002695245,0.202422732204407,0.0722505207479896,0.550065073154547,0.379833637362768,-0.377156308713593,0.435478699333055,0.353750695845502,0.369690053042615,0.21520159219295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,-0.116229741736056,0.798438262410614,-0.0467718019133613,-0.918526818736127,-1.40235661457743,1.05266918270606,-0.125137324446603,0.0905753681258135,1.24517353004625,0.65930290942403,-0.413548359899016,-1.80013181669898,-1.19388875286864,-0.70918658191863,-1.53801133743928,1.24724152245489,-0.138631836229679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,-0.718757583720776,-0.217144245178096,0.538654358174166,-1.37707384444985,0.999280665005702,0.634687867891522,1.30842584374854,0.364138944064435,0.459561570613738,1.16247110110466,-0.0233966566353663,0.542425614839345,0.895204521999626,0.978124637001263,0.120926122952364,0.285002669771828,0.189477461575968,0.650518149878278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-X,-0.00108627657491823,-0.199688406892821,-0.444943019639034,-0.0631851973259699,0.296095195258087,0.952807115491168,0.748017674771366,-0.752630051127935,0.746763248948568,-0.184781180923137,0.331924895156774,0.313813006054898,-0.654564697850443,-0.103988775158705,0.369164041048367,-0.316529344135284,-0.418626832014649,-0.163818379826423,0.528746906648045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
