,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14
712_S-3-S,-0.565584146477301,0.577210041949064,0.0402751892887191,-0.605271856374585,0.863838610487417,-1.16919190218967,-1.28473768745902,-0.948165294196242,-0.47234987566906,-0.990743570794472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,-1.56334987373445,0.753384951079675,0.257436306506819,0.497528305552209,0.826960897770226,-0.15752595805024,1.70352189550221,-1.2564301570302,0.352296040492753,-0.6741939904725,-1.12608317207588,0.508591035568035,0.508591035568035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,-0.889384495937746,1.6739058705307,1.25813869860012,-0.143845476930003,1.34810227376981,0.635705517936043,0.547357733344886,1.31287376889797,-0.867148449875646,1.33313209769563,1.00494216739596,0.411121312480086,0.411121312480086,-0.338756674239452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,-0.738967549261294,-1.64748026560232,-1.6185454936748,0.461316242707291,0.645216087487978,-0.450257093272905,-0.0794504367057641,-1.14395158304816,0.332644046697793,-0.21774664289949,-0.71173786872672,0.263524503526987,0.263524503526987,0.294719027331257,-0.398875748653509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,-0.266607050771425,-1.64748026560232,-1.6185454936748,0.461316242707291,0.645216087487978,-0.450257093272905,-0.0794504367057641,-1.14395158304816,0.332644046697793,-0.21774664289949,-0.71173786872672,0.327655024122722,0.327655024122722,0.294719027331257,-0.398875748653509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,0.400397552545666,0.374929792432893,0.366239271392054,0.351656955535928,0.48799780052034,0.534929563284659,0.589810011914292,0.392823737739257,0.450435628446561,0.387906180158842,0.438638738475446,NA,NA,0.508591035568035,0.411121312480086,0.263524503526987,0.327655024122722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-S,-1.25107125094084,0.694316532088893,0.420548472042057,0.442966379160098,1.16484442234114,0.828451149266344,1.62029915455282,-1.21820083627802,0.523857711756327,-0.363630532738696,-0.723547513621664,0.457022153854519,0.457022153854519,-0.555628883436457,-0.228913323918321,0.139769450663485,0.139769450663485,0.457022153854519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-2-M,-0.178511240386238,1.8339081529086,1.60281592758198,-0.515829272611601,NA,-0.0330563883311136,0.328193766242544,-0.396800570015852,-1.54519369376207,-0.645159637087599,1.0925939721052,0.2789829138074,0.2789829138074,0.826960897770226,1.34810227376981,-0.114318017607531,-0.114318017607531,0.2789829138074,1.16484442234114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
