,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
22,-1,-0.9996,-0.3238,-0.3082,-1,-0.9056,0.2288,-1,-0.4982,0.9674,-0.872,0.783,-0.2168,-0.9488,-0.9788,0.9432,0.492,-0.3798,-0.9732,0.4338,-0.4996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,0.458,1,0.9986,1,0.9994,-1,1,0.9964,1,0.8442,1,0.9512,0.8016,-1,1,1,0.9098,0.9996,1,0.9924,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.9996,0.8426,1,0.976,1,0.995,0.7274,0.588,0.9882,0.1672,0.9816,0.999,0.9296,0.7978,-1,0.9826,0.8176,0.9732,0.9946,1,1,0.6474,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.4144,-0.8096,0.8292,-0.3778,0.857,-0.9976,-0.4216,0.9524,-0.997,0.9656,-0.954,0.7152,-0.548,-0.93,-0.8898,0.9922,0.333,-0.9326,-0.4442,0.9218,-0.9996,-0.4938,0.5264,0.8544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-1,-0.9268,0.737,-0.8288,-1,-1,0.1389,-1,-1,-1,-1,-1,-0.9842,-0.9614,-0.9256,0.5158,-0.3602,-1,-1,-1,-1,-0.7372,0.854,0.4896,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.2144,0.8674,1,0.9724,1,0.9924,-1,0.999,0.00499999999999989,1,0.3974,0.9998,-1,0.9806,-1,1,0.9982,0.0780000000000001,0.991,1,0.9994,0.9724,1,1,0.6256,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9988,-0.4756,1,0.7576,1,0.997,-1,0.802,0.9894,1,0.9996,0.9994,0.5916,0.5946,-1,1,1,0.9996,0.9648,1,1,-1,1,1,0.9146,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.942,-0.922,0.983,-0.1626,1,-0.9228,0.1274,0.9992,-0.6828,1,-0.0872000000000001,0.9988,0.1836,-0.956,-1,1,0.9872,-0.2772,0.1472,1,0.6552,-1,1,1,-0.9338,-1,1,1,0.9974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.6536,-0.9614,0.9192,-0.8386,-1,-1,-0.7132,0.89,-0.9658,0.8886,-0.173,0.9342,-0.625,-0.9328,-0.9358,0.9768,0.7548,0.107,-0.8,0.668,-0.5152,-0.9224,0.876,0.2024,-0.5906,-0.709,1,-1,0.66,-0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.6058,-0.995,0.958,0.014,0.7542,-0.9984,-1,0.6834,-0.9866,0.9982,-0.1682,0.8368,-0.9994,-0.2198,-1,0.9998,0.9838,0.0664,-0.9954,0.9782,-0.5976,-0.9932,0.993,0.9992,-0.3114,-1,1,0.8072,0.9016,0.165,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.9746,-1,1,0.9892,1,0.8752,-1,0.9682,0.389,1,0.2728,1,-1,0.8662,-1,1,1,-0.1516,0.5328,1,0.9634,-1,1,1,-0.3712,-1,1,1,1,0.7318,-1,0.1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-0.4892,-0.803,0.9854,-0.1196,-1,0.2218,-1,0.1846,-0.385,0.9992,0.7202,0.8052,-0.8438,0.149,-1,0.9952,0.7402,0.1744,0.2156,0.9984,0.0804,-0.584,1,0.9886,-0.4866,-0.9566,-1,0.712,0.6306,0.8816,-0.9398,-0.6204,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.7404,-0.6862,0.3814,-0.7522,0.8654,-0.3296,-0.9672,0.9146,-0.4912,0.796,0.5874,0.5812,0.2669,-0.3242,0.0609,0.7994,0.5263,0.3943,0.3496,0.6484,0.5509,0.1182,0.8556,0.6743,0.3768,0.073,0.9846,0.7642,0.5848,0.0187999999999999,-0.8972,-0.521,0.559,-0.5672,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.8132,-0.9328,0.7966,0.3478,0.2402,-1,-0.3786,0.3448,-0.9998,0.9874,-0.654,0.3404,-0.6454,-0.565,-1,0.9786,0.4586,-0.7414,-0.9974,0.985,-0.9058,-0.7144,0.996,0.914,-0.5986,-1,1,0.6584,0.8758,-0.4532,-0.6158,-0.9964,-0.5014,-0.4134,0.4027,NA,NA,NA,NA,NA,NA,NA
37,-1,-1,0.1984,-0.6638,-1,-1,0.0901000000000001,-1,-0.3352,0.9038,-1,-1,-0.5046,-1,-0.7332,0.7306,0.1596,-0.4468,-1,-1,-1,-0.9418,-1,0.5056,-0.2152,-0.9078,-1,-1,-1,-1,-0.7384,-1,-1,-0.7664,0.044,-1,NA,NA,NA,NA,NA,NA
38,0.1666,0.2882,-0.3456,0.96,0.9998,0.2268,-0.3472,-0.211,0.247,0.9212,0.7174,0.3048,0.5522,-0.5124,-0.2052,0.9922,0.7054,-0.1664,0.9576,0.9998,0.5754,0.2064,0.8506,0.6426,-0.2814,0.615,1,0.9994,0.9926,0.6684,0.5288,0.911,0.9916,0.743,0.0226,0.2664,0.6566,NA,NA,NA,NA,NA
39,0.4164,-0.1034,0.9634,-0.963,-1,-0.7188,-0.8208,0.991,-0.8202,0.9624,-0.2466,0.98,0.3458,-0.7578,0.2246,0.9646,0.826,0.5522,-0.3992,-1,-0.4024,-0.4014,-1,0.4046,-0.6834,0.2682,1,-1,-1,-0.487,-0.9264,-0.082,0.5526,0.0842000000000001,-0.8868,0.0132000000000001,0.1687,0.7216,NA,NA,NA,NA
40,1,-1,1,0.5486,1,0.8748,-1,1,-1,1,0.7654,1,0.4402,0.9574,-1,1,1,0.8674,0.7436,1,0.0105999999999999,-1,1,1,0.3804,-1,1,0.9922,0.4842,0.9994,-1,-1,0.9644,0.6464,-1,-0.0192,-1,0.9874,-1,NA,NA,NA
41,0.909,-1,0.9972,-0.693,1,-0.996,-1,1,-0.9888,1,-0.35,1,-0.366,-0.7694,-1,1,1,-0.7132,-0.7028,0.9944,-0.371,-1,1,1,-0.6948,-1,1,0.9928,0.9984,0.0474000000000001,-1,-0.7942,0.9604,0.5458,-1,-0.9108,-1,0.6832,-0.0458,1,NA,NA
42,-0.511,-0.8914,0.8172,-0.0452,0.4538,-0.7484,-1,-0.0228,-0.821,0.8236,-0.0348000000000001,0.2986,-0.9372,-0.3126,-0.9066,0.9558,0.4804,-0.1516,-0.3622,0.9076,-0.9946,-0.7972,0.4474,0.887,-0.7684,-0.5742,-1,0.0848,0.4226,0.3196,-0.9792,-0.9036,-0.3328,-0.9998,-1,-0.5968,-1,0.3288,-0.1256,-1,-0.56,NA
