,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
25,0.1885,0.852,0.0508999999999999,0.3283,0.8286,0.2131,0.1685,0.939,0.4848,0.0216000000000001,-0.9494,-0.9066,-0.824,0.0443,0.2139,0.8162,0.5335,0.2125,0.5676,0.4094,0.2307,0.9662,-0.9446,-0.9108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.6448,0.8686,0.0521,-0.3862,0.8192,0.2057,0.1639,0.9508,0.4822,0.0255000000000001,0.0241,0.0512999999999999,0.0942000000000001,0.0486,-0.584,0.8188,0.0466,-0.5966,0.5622,0.4252,-0.559,0.9704,0.0477000000000001,0.069,0.0229999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.3428,0.7828,0.0979000000000001,0.5524,-1,0.3899,0.3124,-1,0.3468,0.0477000000000001,-0.9788,-0.9636,-1,-0.848,0.3869,-1,0.4042,0.3873,0.5936,0.5542,0.4174,-1,-0.924,-1,-1,0.0504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.3442,0.7804,0.0921000000000001,0.5523,-1,0.3886,0.3073,-1,0.2978,0.0466,-0.9812,-0.9702,-1,-0.8436,0.3766,-1,0.4118,0.3773,0.5834,0.5634,0.4205,-1,-0.9298,-1,-1,0.0477000000000001,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.4582,0.9946,0.4883,0.795,0.9732,-0.00860000000000005,0.9191,0.9984,-0.9616,0.2729,0.2779,0.4857,-0.8664,-0.4784,0.8144,0.9124,0.2656,0.8748,-0.1532,-0.5282,0.8458,0.7962,-0.3138,0.1862,0.2799,-1,-0.1514,-0.1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.749,0.9922,0.1534,-0.7832,0.9372,0.9982,0.3468,0.9898,1,0.7514,-1,0.8216,0.983,0.8278,-0.5406,0.7972,1,0.1866,0.5838,1,-0.7642,1,0.6888,0.8204,-1,-1,0.281,0.262,0.9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.4334,0.9986,0.3832,0.8322,0.8022,0.0298,0.8324,0.9982,0.1018,0.2149,0.2093,0.3828,-0.8832,-0.7514,0.5428,0.9642,-0.2614,0.6414,0.7152,0.0731999999999999,0.6132,0.7954,-0.6822,-0.0752,0.211,-1,-0.3632,-0.3442,-0.9808,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.5821,0.9422,0.1822,0.8069,-1,0.1232,0.5295,0.9746,-0.3614,0.0948,-0.8522,-0.9546,-1,-1,0.6352,0.8636,-0.0318000000000001,0.63,0.3542,0.1286,0.6729,0.9908,-0.7558,-0.972,-1,0.0951,-0.9286,-0.9552,-0.4438,0.9436,-0.7278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.3008,0.9868,0.2232,0.7284,-1,0.378,0.2056,0.999,-0.1084,0.1168,-1,-0.9994,-0.9376,-0.9268,0.3962,0.9944,0.7616,0.416,0.9528,0.898,0.4662,1,-0.7014,-1,-1,0.1221,-1,-1,0.3786,0.978,-0.031,-0.9574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.3406,-1,0.0940000000000001,0.5489,-1,0.383,0.316,-1,0.1656,0.0505,-0.9622,-1,-1,-0.8764,0.375,-1,0.2614,0.3796,0.4536,0.41,0.4158,-1,-0.9396,-0.9932,-0.9654,0.0489999999999999,-0.9512,-0.963,0.4857,-1,0.3804,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.4699,-1,0.1406,0.7002,-1,-0.4992,0.4319,-1,0.1046,0.0748,-1,-0.9342,-0.8486,-0.824,0.5271,0.7746,-0.1864,0.5143,0.8574,0.1962,0.56,0.9444,-1,-0.891,-1,0.0688,-0.9496,-0.9506,-0.00119999999999998,0.6314,-0.4184,-0.816,-0.838,-0.9932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.0822000000000001,0.98,0.3049,0.4868,0.8224,0.2038,0.2128,-1,-1,-1,-0.7414,-0.5062,-0.945,-0.9472,0.0498000000000001,-1,-0.4122,0.0356000000000001,0.3564,-0.8138,0.1496,-1,-0.5202,-0.5678,-0.7378,-1,-0.738,-0.733,-0.8134,0.9856,-0.9044,-0.9436,-0.7108,-0.568,-0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.577,0.9724,0.1776,0.8032,-1,0.0966,0.5192,-1,-1,0.0943000000000001,-0.876,-0.7462,-0.966,-0.941,0.6299,-1,-0.5814,0.6281,-1,-0.4534,0.6678,-1,-0.7664,-0.8066,-0.875,0.0955999999999999,-0.8668,-0.8662,-0.9164,0.963,-0.9618,-0.9716,-0.9164,-0.782,-0.6328,-0.9944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.4801,0.9924,0.1392,0.71,0.776,0.5229,0.4292,0.9486,-0.1242,0.0732999999999999,-0.8806,-0.8038,-1,-0.9174,0.5196,-1,0.2248,0.5191,0.0387999999999999,-0.1614,0.5582,-1,-0.8132,-0.814,-1,0.0708,-0.9926,-1,-0.8646,0.9056,-0.9512,-0.9496,-0.7606,-1,-0.8202,-0.9436,-0.9602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
