,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-S,711_P-3-M,711_P-3-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,713_P-1-X1,713_P-3-M,713_P-3-X1,714_P1_20-24,714_P1_30-34,714_P1_40-44,714_P3_30-34,714_P3_40-44,714_P3_50-54,714_P3_60-64,714_P3_70-74,715_P1_1-5,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_1-5,715_P2_10-14,715_P2_20-24,715_P2_30-34,715_P3_1-5,715_P3_10-14,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,717_P1_1-5,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24
712_P-1-M,-0.680770545502926,0.514150561804657,-1.57357128609717,0.651423988329842,3.23347300977992,-0.658843579555386,1.40429946321753,-0.750347226736945,1.03963808642831,-0.215631291443424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-D,-0.711093885284981,0.312091149436126,-2.07437393563843,-0.66079365015642,-0.291020783266693,-1.45372531306692,2.26909024364695,-0.368436025548937,1.16133577887084,-0.294695593478744,-0.0438571485885207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-S,0.796958449647095,-1.44481837967189,-1.02279527743923,0.418734730127982,-1.0973533250688,-0.419815287126498,0.128736967576999,0.0695883228042266,1.06990912750642,-0.400261680054599,-0.566889829235995,-0.79240461088032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-M,-0.623270364993453,0.31044162906074,0.0472679632279663,-0.158883514940261,-0.892467065320025,-0.22436549150209,2.4185023530945,-0.773956621517075,1.75250660666249,-0.544406888042597,-0.340658266475354,0.25956166944817,-0.529128113371825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-D,1.99308238831899,1.44430045320057,-0.753879085899367,1.07471048559744,0.369398104420363,-0.983923652831719,3.62857640763639,-0.502484508444656,-0.94387035913903,1.90144582636103,0.519527660672387,-0.869596270980143,2.67561478558451,0.772590818899094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-S,-0.727754986372024,-0.415303822147879,0.447750895679036,-0.15321956267181,-0.392348918777717,0.40059630550904,1.44119550607754,0.352425076611685,0.962732704758636,-0.829608002623919,-0.0276361442522742,-0.349350294617401,-1.32927437808424,-0.314285341217128,0.672520927422861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-M,-1.30148794293506,0.124694152614182,-0.683978269155769,-0.372092108489265,2.67108043042843,-0.349645510695682,1.63291197513251,-0.211249444840528,0.638100349021262,-1.18669550160995,0.267979039990756,-0.14636268835203,-0.928916682941337,0.64581246023785,0.698231483417309,-0.190019788840256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-D,-0.160574095459143,-0.581281703863115,-1.02176961295405,-0.0879670156571096,-0.618988348354089,-0.333002884858666,0.673684844366782,-1.40027443780938,-0.675366122095026,-0.118695537303264,-1.21852856797339,-1.62898860227606,-0.567639388797121,-0.715525886329288,-1.13735957625729,0.0109248841677658,-0.949500721057312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-1-X1,-0.477121125494667,0.432040833720879,-1.97537461742488,-0.549699131148998,0.716230710515283,-1.63665424812255,0.570027012911099,-0.732809195881387,1.38955002141357,-0.579328994465658,-0.095318834494024,-0.440667549427272,-0.90797483487133,0.220513118732764,0.987233493193623,-0.449044253076059,-0.0843765530063062,-1.83716329863395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-M,-0.993307481961554,1.08148046581241,-1.29994611469613,0.628636102597522,0.240476443961827,-1.02023116722958,1.97087781487821,2.12945903663015,1.55383988722416,-0.567837000299596,1.04609000998633,-0.307838966339804,-1.30214871904836,-0.577241852253632,0.478006959450363,-0.647627687572566,-0.402826912747322,-1.18392847273986,-0.760144066459538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_P-3-X1,0.090704129253935,-0.0448567453852301,-1.2024948846443,-0.0495957061723046,-0.176398787800611,-0.765962542491532,0.699323901447759,-1.01024408488986,-0.0142131080510803,-0.287817171954965,-0.649770280759893,-0.407999548183107,-0.257562321086572,0.162200756324655,-0.411075883943202,0.917426460478942,-0.131661090183319,-0.509101570251682,-0.841074514800413,-0.910192498497025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_20-24,-2.25073423456461,-0.839366954590363,-1.34337064405142,-2.14332629740286,-1.35051316293822,-0.499977189074318,1.83735415614581,1.20796394674563,0.881273463390856,-1.35274507143817,-0.00612338755717527,-1.51744980277547,-1.59205328413378,-0.31281220407237,0.477133631306232,-1.15643230841955,-0.839903494427743,-1.28178554021913,-1.36755628315217,0.0637448967193333,-1.28352871153241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_30-34,-0.430312220643989,0.614456564532726,-0.574438856897646,-0.273089647953531,0.648010240856811,-0.881331422772346,-0.0584988095383433,0.382071911105553,0.558432015413283,-0.406311500681254,0.405650270234344,-2.29809160392718,-0.582811733290951,0.24221075570205,0.423913126843036,-0.110810542512178,0.368866386179029,-1.38558178329803,-1.20572116098092,0.0197313371651799,-0.718618956068802,-0.352480953664869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P1_40-44,-1.03673406264884,-0.813600546451774,-1.2584001075257,-1.32375961870596,-0.774260682746843,-1.85953246067283,-0.691240091854153,-1.28350492063483,-0.685553333546569,-0.88075823594791,-1.2183017378372,-2.64122835587418,-1.28787070069192,-0.922069973301667,-0.455441366913444,-0.599618560345358,-1.20030462301794,-1.55093814023855,-2.14989921866104,-1.66824916204715,-1.34370064948915,-1.59954055955366,-1.65351745559769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_30-34,-0.398896965384981,-0.857773464135345,-0.914597633432393,0.809930450651731,-0.910993141431445,-0.697972433053153,2.68161089480041,-0.828899697143948,0.560361006162044,-0.234783256865671,-0.546728717443403,0.300767047543246,0.0160113008636802,0.0386232740390538,0.306997158065534,0.0880512609423526,-1.14036443586488,-0.969549771335432,-0.343577533518212,-0.915053423135328,-0.737376346018436,-0.188246935788205,-0.0921087824354518,-1.38711053069138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_40-44,0.847529561245264,-0.296115915141281,-0.150991327249484,-0.467125829728768,-0.199733408547836,-0.744490676093403,2.50148006794698,-0.112347706300414,-0.366800462346097,1.10769736468141,-0.232776727391988,-0.166576258434559,0.913153458663248,0.704669124343645,-1.18327552839709,0.0386161754638732,-0.21048413123119,-0.417558516675238,2.20479290096536,-0.189038381921067,0.646625491075948,-0.0139664949577909,0.323658805628272,-0.418871283772835,-0.0169011725721495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_50-54,0.0197787181718279,-0.237178029293237,-0.991370388488433,-0.171694614250008,-0.310288435345153,-0.336972170788215,0.4939172806155,-0.885590501254665,-0.0903963966916433,-0.241638740839057,-0.780329021709949,-1.2330819275722,-0.335656413542777,-0.240877776133083,-0.872873848212774,0.368823188625094,-0.429292919716566,-0.237074065451766,-1.2801002511972,-0.76295334596439,-0.311083013559322,-1.21701569336258,-1.39501556882804,-1.48043243097867,-0.812760692133962,-0.0634572278639585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_P3_60-64,0.825125589944892,1.36391799708147,-0.175329638897406,-0.0146966690957549,1.69895466412703,-0.394231852189479,1.85201650065833,0.485120463281277,1.56997290618853,0.985780897031776,0.41543918584216,-1.46238023892523,0.559058259647784,1.16400219106248,0.453322373086622,0.583113904473983,1.06103746165045,-0.381025256596671,0.459416355065997,0.126911766901701,1.1332590010902,-0.465539770539453,-0.310617150342314,-0.906504761703338,0.752795465784018,0.998678990908604,-0.588655071517547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
