,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
20,0.9996,1,1,0.9982,1,1,-0.1362,1,1,-1,0.9998,1,-0.8854,1,1,-1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.875,0.917,0.1666,0.8168,0.379,0.3622,0.2178,0.3586,0.4558,0.6235,-0.9762,-1,-0.5222,0.3582,0.4708,0.3444,1,0.63,-1,0.3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,1,1,1,1,-0.00760000000000005,1,1,-1,1,1,-1,1,1,-1,1,-1,0.5972,0.9842,-0.8098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.9988,0.6836,1,1,0.9864,1,0.0940000000000001,1,1,-1,0.9782,1,-1,1,1,-1,1,-1,-1,0.9918,-0.695,-0.9054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.8144,0.1676,0.9998,0.9796,0.41,1,-1,0.9364,1,-1,0.8178,1,-1,0.8926,1,-1,1,-1,-1,1,0.639,0.9054,0.8438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.9728,1,0.9738,1,0.9762,1,-1,0.6462,0.9902,-1,1,1,-1,0.7272,0.9988,-1,1,-1,-1,1,0.7316,1,1,0.9632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,1,0.9928,1,-0.6334,0.932,1,-0.9166,0.8416,1,0.5676,-1,0.9956,0.8038,0.771,1,-1,-1,1,1,1,1,0.9548,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.9988,1,1,1,0.999,1,0.8228,0.974,1,0.8066,0.9976,1,0.2344,1,1,0.7174,1,-1,-1,1,0.2996,1,1,0.9998,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9924,0.0644,0.9992,0.992,0.9746,1,0.4692,0.9192,0.9996,-1,-0.279,1,-0.2244,0.9186,1,-1,1,-1,-1,1,-0.9984,1,1,0.9998,0.9392,1,0.4678,0.8706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0.9788,1,1,0.975,1,0.0358000000000001,0.999,1,-1,1,0.9872,-1,1,0.9934,-1,1,-1,-1,0.8742,0.7164,1,1,0.9788,1,1,0.9992,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.9618,0.9994,1,0.9982,0.9966,1,0.2678,0.958,0.9718,0.5288,0.9998,0.8656,-0.3426,0.9928,0.9434,0.4434,1,0.5452,-1,0.8964,0.0122,0.9872,0.4772,0.9396,1,1,1,0.9808,0.9216,1,0.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.205,0.9382,0.9888,1,0.316,1,-1,0.498,0.9892,-1,-0.2658,0.981,-1,0.6068,1,-1,1,-1,-1,1,-1,1,1,0.936,0.4222,1,1,1,0.9874,1,1,0.2964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-0.8294,0.3484,0.2348,0.2644,0.5804,-1,-0.4076,0.0782,-1,-0.5128,-0.7406,-1,-0.5324,-0.3376,0.0069999999999999,-0.5258,-1,-1,0.2718,-0.9878,-0.97,-1,-1,-1,-1,-1,0.0620000000000001,-0.2788,-0.6626,-1,-1,-0.8622,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,1,1,0.7138,1,0.8478,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,0.9552,1,1,1,1,1,1,1,1,1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.292,-0.6952,0.991,-0.907,1,-0.1144,-0.1296,0.8564,-1,0.312,0.9816,0.0946,0.1926,-0.5438,-0.722,0.2054,1,-1,-1,-0.0184,0.9952,0.8252,0.3128,-0.8894,0.7882,1,-0.5836,0.9606,-0.3846,1,0.1528,0.4302,-0.4514,0.1024,0.986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-1,-1,-1,-1,-1,-1,-0.8786,-1,-1,0.0575000000000001,-1,-1,-0.97,-1,-1,-0.8626,1,0.0587,0.0575000000000001,-0.0994,-1,-1,-1,-1,-1,-1,0.7938,-1,-1,-1,-1,-1,-1,-0.2296,-1,-1,0.4926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.987,1,1,0.9724,1,0.7632,0.9992,1,0.9076,0.9916,1,-1,1,1,0.8454,1,-1,-1,1,0.8182,1,1,1,0.9226,1,0.995,1,1,1,1,1,1,-1,1,1,-0.652,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,0.9998,1,1,0.9868,1,0.802,1,1,-1,0.9966,1,-1,1,1,-1,1,-1,-1,1,0.8498,1,1,1,1,1,0.961,1,1,1,1,1,1,-1,1,1,0.1244,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,0.9996,1,1,0.9998,0.9962,-0.2292,0.3228,1,0.5472,0.7618,1,0.8666,-1,1,0.7166,0.5772,1,-1,-1,0.9996,0.7962,1,0.9858,0.9854,1,1,1,1,0.9966,1,0.8104,0.996,0.9892,-1,1,1,0.226,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,-0.0629999999999999,0.4632,0.2582,0.3834,-1,-1,-0.6952,0.2714,-1,-0.8526,0.0553999999999999,-1,-0.8942,0.2574,0.6584,-0.8098,-1,-1,0.0888,-0.6044,-0.3282,-1,-1,-1,-1,-1,0.6252,0.501,0.148,-1,-1,-0.017,-1,-0.9722,-1,-1,0.5424,0.176,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.8912,-1,0.9998,0.9264,0.1608,1,-1,0.8992,1,-1,0.0394000000000001,1,-1,0.3696,1,-1,1,-1,-1,1,-1,1,1,1,0.2312,1,0.5438,0.986,1,1,1,0.9436,0.8298,-1,1,1,-0.1018,-1,1,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA
44,-0.1252,0.1388,0.9006,0.9328,0.9784,-1,-0.5638,0.9798,-1,-1,0.58,0.4876,-0.632,0.9148,-0.1126,-1,1,-1,-1,-0.4578,0.4144,-0.7848,-0.9434,-1,0.99,1,0.9824,0.9774,-0.156,-1,-0.9544,0.6222,0.5398,-0.9888,0.9992,1,0.2598,-0.04,0.1312,0.9606,0.7414,-0.717,-1,NA,NA,NA,NA,NA,NA,NA
45,0.325,0.9798,-0.2948,0.9996,0.5924,1,0.1914,0.8212,1,-1,-0.042,1,0.7204,0.0327999999999999,1,-1,1,-1,-1,1,0.1984,1,1,1,0.7424,1,0.9962,0.9996,0.9998,1,1,0.9972,0.9936,-1,1,1,0.4342,0.7422,1,1,1,-1,1,0.853,NA,NA,NA,NA,NA,NA
46,0.5984,-0.8258,0.8808,0.00839999999999996,0.7236,-1,-0.5048,0.8726,0.0913999999999999,-1,0.7014,0.9986,0.0880000000000001,0.8756,0.7368,-0.2832,-1,-1,-0.2952,0.8422,0.8426,-0.051,0.1152,-1,0.8374,-1,0.9992,0.9946,0.8024,-1,0.984,0.7432,0.7414,0.3828,0.691,-1,0.7884,0.0256000000000001,0.0149999999999999,-1,0.8696,-0.2164,-1,0.9008,0.5744,NA,NA,NA,NA,NA
47,0.2022,-1,0.4916,-1,-1,-1,-0.8336,0.5122,-1,-0.855,0.2882,-1,-0.9184,0.5068,0.4954,-0.735,-1,-0.8172,0.155,-0.519,-0.3594,-1,-1,-1,-1,-1,0.6622,0.2512,0.4006,-1,-1,-0.364,-1,-0.9856,-1,-1,-1,0.2853,-1,-1,-1,-0.9854,-1,-0.2774,-1,-0.9862,NA,NA,NA,NA
48,0.9738,1,0.9996,1,0.6246,0.9986,-1,0.7656,0.5218,-1,0.973,0.1592,-1,0.9846,0.9998,-1,1,-1,-1,1,0.2296,1,1,0.5616,0.996,1,1,1,0.9934,1,1,0.9836,0.1788,-1,1,1,0.5244,-1,0.9928,0.9752,1,-1,0.3506,0.7088,0.9988,0.903,-1,NA,NA,NA
49,0.9984,0.9972,1,1,0.7888,1,-1,0.554,1,-1,0.7636,1,-1,0.8592,1,-1,1,-1,-1,1,-0.2066,1,1,1,0.334,1,0.4894,0.998,0.9998,1,1,0.999,0.9992,-1,0.9984,1,-0.4586,-1,1,1,0.999,-1,1,0.9518,1,-1,-1,-0.232,NA,NA
50,0.6498,1,0.9986,0.9996,0.4142,0.826,-0.1554,0.3904,-1,-1,0.8988,-0.1438,-1,0.8772,0.0406,-1,1,-1,-1,0.9934,0.7518,1,0.969,0.9844,1,1,1,0.999,0.8008,1,0.2936,0.827,0.6784,-0.4244,0.9926,1,0.999,0.3152,0.9928,0.4848,-0.5434,-1,0.8224,0.9196,0.9858,0.9606,-1,0.1404,-0.7434,NA
