,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
25,0.922,-0.4684,-0.4584,-1,-1,-0.2762,0.3015,-0.4074,-1,-0.196,-0.00639999999999996,0.2953,0.6398,-0.247,-0.017,-0.7568,-1,-1,-0.556,-1,-1,-1,-1,-0.7876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.8884,0.0741000000000001,0.0683,0.964,0.9299,0.3696,0.0399,0.577,0.8476,0.7982,0.2684,0.0384,0.9807,0.3043,0.2672,0.6312,0.0359,0.0381,0.5068,0.0335000000000001,0.075,0.8238,0.0402,0.6514,0.2989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9948,-1,-1,-1,-0.093,0.2248,-1,0.457,1,0.721,0.7436,-1,0.9,0.4118,0.4928,0.2682,-1,-1,0.5172,-1,-1,0.69,-1,0.5172,-1,0.7115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-1,0.1415,0.1518,-1,0.8054,-0.0316,0.0769,0.4466,-1,0.6708,0.4585,0.0739000000000001,-1,-0.2584,0.4527,-0.1036,0.0721000000000001,0.0765,0.7918,0.0760000000000001,0.1464,0.6488,0.0765,-1,-0.1962,0.0806,0.7044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,-0.5754,-1,-1,-1,-0.9866,-1,-0.8868,-1,-1,-0.7034,-1,-1,-0.7628,-0.6918,-1,-1,-0.6024,-1,-1,-1,-1,-1,-0.553,-0.6006,0.2991,-0.6004,-0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-1,-0.4462,-1,-1,-1,-0.7838,-1,-0.8968,-1,-1,-0.7096,-1,-1,-0.8082,-0.7084,-0.9844,-1,-1,-0.5294,-1,-1,-1,-1,-0.047,-0.328,0.328,-0.141,-0.1498,-1,NA,NA,NA,NA,NA,NA,NA,NA
31,-1,-1,-1,-1,0.9506,-0.3022,-1,0.0693999999999999,-1,0.3068,-0.0628,-1,0.994,-0.9266,-1,-0.6338,-1,-1,0.7732,-1,-1,-0.8754,-1,-0.2858,-0.802,0.5373,0.26,0.3862,-0.6214,-0.499,NA,NA,NA,NA,NA,NA,NA
32,0.8622,0.7462,-1,0.9988,0.9986,-0.2446,-1,-0.6702,0.8038,0.942,0.6618,-1,1,-1,-1,0.1604,-1,-1,0.9828,-1,-1,0.6476,-1,-0.4586,-1,0.8232,0.8774,-1,-1,-1,0.1308,NA,NA,NA,NA,NA,NA
33,-1,0.1485,0.1505,-1,-1,-0.2664,0.0773999999999999,0.1986,-1,-1,0.4639,0.0795999999999999,-1,-0.3632,0.4539,-1,0.0751999999999999,0.0722,0.439,0.0747,0.1486,-1,0.0682,-1,-0.4224,0.0766,0.4992,-0.9184,-0.4944,-0.3724,0.155,-1,NA,NA,NA,NA,NA
34,-1,-0.885,-0.8804,-1,-1,-0.4384,0.0727,0.0236000000000001,-1,-1,-0.6048,0.0730999999999999,-1,-0.6436,-0.6658,-1,-1,-0.879,-1,-1,-0.9136,-1,-0.9412,-1,-1,0.0729,-1,0.1489,-0.6446,-0.5392,-1,-1,0.1557,NA,NA,NA,NA
35,0.9932,-1,-1,1,1,-1,-1,-0.302,0.9976,0.8164,-0.0824,-1,0.9972,-1,-1,-0.966,-1,-1,0.7874,-1,-1,0.3492,-1,0.2412,0.1372,-1,-0.00539999999999996,0.691,-1,-1,-1,0.9402,-1,-1,NA,NA,NA
36,0.893,0.0815999999999999,0.0759000000000001,0.958,0.7774,-0.5352,0.0392999999999999,-0.3176,0.893,0.4424,-0.7274,0.0387999999999999,0.9228,-0.7788,-0.7792,0.1556,0.0408999999999999,0.0361,0.4642,0.0395000000000001,0.0785,0.4918,0.0355000000000001,-0.124,0.295,0.0362,0.1076,0.079,-0.7962,-0.723,-0.271,0.6042,0.0732999999999999,0.0747,0.6292,NA,NA
37,0.7862,-0.0580000000000001,-1,-1,0.9714,0.5,-1,0.5606,-1,0.6798,0.4458,-1,0.996,0.1318,0.342,-0.0238,-1,-1,0.7914,-1,-1,0.6706,-1,-0.602,-0.8054,0.6469,0.1054,-1,-0.7382,-0.0354,-0.3676,-0.6234,-1,-1,0.2802,-1,NA
