,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
44,0.9424,0.9216,-0.7824,0.9054,0.316,-0.3714,0.9644,0.7198,0.4946,-0.4904,-0.4068,-1,-0.0284,-0.9984,0.5574,0.8392,0.3836,-0.3268,0.9728,0.0471999999999999,-0.3706,-1,-1,-0.3976,0.1182,-0.9328,-0.3114,-0.1306,0.669,0.5146,0.183,-0.9632,-0.2926,0.8024,0.0354000000000001,-0.1498,0.0118,0.4386,-1,-1,0.4588,0.083,-0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,0.9974,0.9994,0.8226,0.9402,0.849,0.9888,0.9498,0.9904,0.9241,0.781,-1,0.9588,0.7158,0.9326,0.426,0.988,0.2826,1,0.9616,0.9102,-1,-1,0.9844,0.9964,0.6192,0.796,-0.3284,0.9944,0.9968,0.999,0.7362,0.7882,0.9932,0.7902,0.6644,0.4578,0.032,-1,-1,0.3604,0.7462,0.8346,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.9998,0.7526,0.922,0.3548,-0.5482,-0.2674,0.9842,0.8184,0.6816,-0.1152,0.6524,-1,0.786,-0.2256,0.7278,0.8272,0.4798,0.3878,0.9994,-0.0876,0.5132,-1,-1,0.9602,0.7266,-0.615,-0.1604,-0.951,0.969,0.9892,0.9458,0.0922000000000001,0.2364,0.7124,0.2282,-0.2928,-0.6484,-0.6774,-1,-1,0.8322,0.6642,-0.2592,-0.3666,0.5142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.9998,0.9606,-0.0612,0.9,-0.4876,-0.995,0.9928,0.9646,0.6022,0.4596,-0.1614,-0.1706,0.8808,-0.7466,0.7562,0.9538,0.2034,-0.651,0.9898,0.0092000000000001,0.398,0.2098,0.33,-0.3464,0.00679999999999992,-1,-0.5842,-0.7266,0.8754,0.8674,0.608,-0.9956,0.1554,0.9466,-0.3638,-0.3098,-0.3598,-0.4884,-1,-0.0728,0.8094,0.5666,-0.6132,-0.6168,0.7284,-0.6114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.9972,0.991,0.9952,0.989,0.9326,0.922,0.9976,0.9762,0.985,-0.8908,-0.7614,-1,0.7948,0.9632,0.976,0.9756,0.9842,0.7468,0.9976,0.9892,-0.8404,-1,-1,0.9614,0.9626,0.74,0.4522,-0.399,0.9886,0.9812,0.9872,0.6854,0.4494,0.9898,0.983,0.1758,-0.1684,-0.5644,-1,-1,0.6708,0.2328,0.181,0.1794,0.813,0.5164,0.8578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0698000000000001,-0.8,-1,-1,-1,-1,-1,-1,0.4176,-1,-1,0.1716,-0.961,-0.958,-1,-1,-1,-1,-1,-1,-1,-1,-0.2644,-1,-1,0.1582,-1,-1,-1,-0.9768,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-1,-1,0.5276,-1,-1,0.3834,-1,-1,0.6894,0.0637000000000001,-0.766,-0.966,-1,0.0893999999999999,-1,-1,0.485,0.6702,-1,0.4166,0.1656,-1,-0.9994,-1,-1,-0.0812,-1,-0.732,0.7478,0.4552,0.6118,0.1018,-1,-1,0.5294,-1,-1,-1,-0.9458,-0.9824,-1,-1,-1,-1,-1,-1,0.2368,-1,-0.9992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,0.8804,0.7782,0.9686,0.5984,0.8334,1,0.9988,0.8436,0.7694,0.4942,-1,0.995,0.2376,0.9262,0.9998,0.903,-0.4402,0.998,0.592,0.9518,-1,-1,0.8696,0.9096,-0.4664,0.7318,0.2622,0.7444,0.8184,0.5112,-1,0.9638,0.9196,-0.0466,0.8314,0.8014,0.6254,-1,-1,0.9998,1,0.9804,0.725,0.9982,0.6202,0.9038,0.99,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,0.9998,0.917,0.9968,0.9996,0.995,0.9974,0.998,0.9976,0.9512,0.6718,-1,1,0.9196,0.944,0.9968,1,-0.408,0.806,0.9656,0.9784,-1,-1,0.9992,1,-0.0738,0.9314,0.6694,0.8978,0.9882,0.9896,-1,0.9956,1,0.8032,0.9624,0.9478,0.865,-1,-1,1,1,0.9996,0.9866,0.9824,0.9148,0.9958,0.9986,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,0.89,0.71,0.8622,0.5892,0.3022,0.9946,0.9568,0.763,0.9376,0.0431999999999999,0.4756,0.9974,0.53,0.9938,0.9962,0.5112,-0.1896,0.9994,0.1232,0.8622,0.6042,0.7232,0.9318,0.9718,-0.72,0.6462,-0.203,0.9644,0.9854,0.787,-1,0.912,0.9368,0.0152000000000001,0.5928,0.496,0.2126,-1,0.552,1,1,0.569,0.0704,0.999,0.7076,0.3416,0.9948,-1,0.6722,0.3002,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,0.717,0.5802,0.506,0.1106,0.2158,0.9836,0.7028,0.38,0.922,-0.07,0.4694,0.9958,-0.2268,0.9824,0.9644,-0.686,-0.5816,0.9998,-0.9412,0.7736,0.7204,0.7728,0.9916,0.983,-0.226,0.3792,-0.4608,0.991,0.9866,0.8926,-0.9976,0.871,0.8354,-0.0996,0.3366,0.3748,0.1132,-1,0.5592,1,0.9998,0.2544,0.1118,0.997,0.6574,0.2548,0.996,0.3948,0.717,-0.4422,0.9368,-0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.9998,0.9328,0.9998,0.9134,0.9884,0.9446,0.9516,0.9058,0.969,0.8778,0.9326,-1,0.9428,0.8954,0.979,0.9436,0.9782,0.865,0.9966,0.9398,0.9802,0.3284,0.5216,0.9992,0.9996,0.988,0.9822,-0.0916,0.9994,0.9696,0.9976,0.974,0.98,0.9726,0.9558,0.8714,0.8862,0.728,-1,0.1818,0.8672,0.9012,0.8998,0.7278,0.9548,0.9448,0.96,0.827,-1,0.4618,0.9904,0.9234,0.9982,0.9896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,0.9984,0.409,0.97,0.9906,0.875,1,0.9218,0.8916,0.8854,0.7258,-1,0.9872,-0.5938,0.7184,0.9714,0.8926,-0.4508,0.845,0.486,0.9858,-1,-1,0.9376,0.9978,-0.776,0.763,0.5886,0.7864,0.9178,0.8872,-0.471,0.9752,0.9676,0.5516,0.8898,0.891,0.7394,-1,-1,0.9998,0.9972,0.9994,0.8802,0.9656,0.0429999999999999,0.9442,0.9778,-1,-1,0.9834,0.9974,0.9248,0.2884,0.7432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,0.915,0.6934,0.7976,-0.2816,0.8804,0.9982,0.9386,0.9628,0.8646,0.069,-1,0.9968,0.4598,0.964,0.997,0.938,0.3642,1,0.7728,0.8298,-1,-1,0.8066,0.977,-0.736,0.2056,0.2542,0.9716,0.9876,0.785,-0.9602,0.9038,0.995,0.565,0.6186,0.624,0.39,-1,-1,0.9998,0.9992,0.2638,-0.1672,0.9976,0.38,0.7634,0.9818,-1,-1,0.914,0.9996,0.8514,0.5408,0.9962,0.8204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,-0.9302,0.6244,0.4216,-0.377,0.4514,0.9594,-0.3458,0.1956,0.8506,-0.2264,-1,0.9828,0.4952,0.9936,0.8972,0.1486,0.19,1,-0.744,0.6032,-1,-1,0.9606,0.862,-0.0204,0.6904,0.0234000000000001,0.9934,0.979,0.947,-0.9922,0.8606,0.7364,0.6046,0.6176,0.6804,0.554,-1,-1,0.996,0.9882,-0.357,-0.6202,0.9986,0.845,0.1934,0.9966,-1,-1,-0.8454,0.881,0.4252,0.2066,0.9988,0.231,-0.7494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-1,-1,-1,-1,-1,0.202,-1,-1,0.5234,0.0728,-0.7982,-0.9984,-1,-0.1224,-1,-1,-1,0.6706,-1,0.2078,0.168,-0.9962,-0.995,-1,-1,-1,-1,-0.905,-1,-1,0.5122,0.1112,-1,-1,0.4948,-1,-1,-1,-0.9508,-0.9992,-1,-1,-1,-1,-1,-1,0.0346,-1,-0.98,-0.9984,-1,-1,0.5282,0.6122,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.8676,0.8796,0.6108,0.8026,0.775,0.3446,0.938,0.8144,0.6864,0.0358000000000001,-0.8684,-0.9502,0.6562,0.0471999999999999,0.745,0.7678,0.6722,0.772,0.7994,0.5098,0.0871999999999999,-0.966,-0.9638,0.6484,0.7002,0.0833999999999999,-0.0404,-0.5466,0.6814,0.6232,0.5706,0.4859,-0.136,0.8128,0.6522,-0.2458,-0.38,-0.6362,0.0207999999999999,-0.952,0.3756,0.4206,0.3014,-0.0762,0.3294,0.2162,0.226,-0.6938,-0.9548,-0.9538,0.804,0.8912,0.6752,0.6536,0.3634,0.8566,0.6614,0.57,-0.9736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.9978,0.8444,0.9996,0.4546,0.8076,0.969,0.9796,0.9046,0.9924,-1,-0.078,-1,0.9988,0.9622,0.99,0.8796,0.9976,-0.6816,0.985,0.9712,0.685,-1,0.6954,0.9946,0.9972,0.8002,0.9462,0.1008,0.7482,0.988,0.998,-0.4668,0.9892,0.954,0.8716,0.8802,0.8764,0.6474,-1,-1,0.9994,0.9996,0.924,0.7612,0.9976,0.9742,0.9308,0.9898,-1,0.683,0.9502,0.8934,0.995,0.9958,0.9874,0.8382,0.9882,0.996,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,0.8698,0.9528,0.9096,0.073,0.9752,1,0.9994,0.97,0.918,0.3602,-1,1,0.7374,0.9978,1,0.9914,-0.1392,0.9998,0.9508,0.9514,-1,-1,0.9948,0.9982,0.2148,0.807,0.0431999999999999,0.9344,0.9254,0.0266,-1,0.9876,0.9914,0.7964,0.9204,0.8632,0.6996,-1,-1,1,1,0.9552,0.789,0.9998,0.8566,0.97,0.9956,-1,-1,0.949,1,0.9636,0.8886,0.9946,0.9932,0.9422,0.2612,-1,-1,0.9922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,-0.6532,0.1118,0.4566,-0.312,0.3184,0.9978,0.9376,-0.134,0.8826,-0.069,0.3186,0.9998,-0.6222,0.979,0.9966,0.3338,-0.554,0.9992,-0.1938,0.7656,0.584,0.6778,0.9442,0.795,-0.3746,-0.0492,-0.5718,0.8878,0.8414,-0.0278,-0.9998,0.7138,0.6394,-0.6914,0.1494,0.1096,-0.0696,-1,0.412,1,0.9998,0.4164,0.23,0.9918,0.3192,0.1976,0.9956,-1,0.607,-0.6356,0.9896,0.3464,-0.0288,0.9848,0.8798,0.7332,-0.1636,0.5046,0.5844,0.981,0.0842000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,0.8994,-0.042,0.0716000000000001,-0.558,-0.1382,0.9996,0.9748,0.4582,0.8112,0.2854,0.2736,0.9982,-0.5082,0.8222,0.9956,-0.2984,-0.7104,0.994,-0.5042,0.754,0.72,0.7238,0.88,0.9182,-0.8552,-0.0974,-0.6462,0.9276,0.9358,0.487,-0.9972,0.603,0.9192,-0.9864,0.0562,0.0226,-0.1966,-1,0.3586,0.9998,0.9994,0.7166,0.4252,0.9496,-0.133,0.2004,0.9972,0.323,0.6384,0.6962,0.9812,0.553,-0.824,0.9328,0.8254,0.7908,-0.5676,0.606,0.7276,0.942,0.8318,-0.4076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.9986,0.6088,1,-0.555,0.5794,0.9808,0.9886,0.9118,0.966,0.8494,-0.6912,-0.0244,0.9952,0.9992,0.8056,0.8456,0.8208,0.5964,0.9916,0.856,-0.2876,0.3768,0.5238,0.9898,0.9968,0.9576,0.9722,-0.0928,0.9436,0.9558,0.9496,0.871,0.9392,0.6436,0.9272,0.9118,0.768,0.2674,-1,0.1598,0.9954,0.9998,0.9424,0.8534,0.9456,0.9568,0.8882,0.6516,-1,0.436,0.7048,0.9696,0.9714,0.8736,0.9968,0.7956,0.8454,0.9538,0.2762,-1,0.8562,0.415,0.9602,0.5634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,0.7448,0.8534,0.974,0.7838,0.9298,0.9998,0.9952,0.8438,0.83,0.3412,-1,0.9998,0.6024,0.9818,0.9998,0.9842,-0.3376,0.9996,0.8562,0.95,-1,-1,0.988,0.9932,0.1842,0.6852,0.1128,0.7612,0.8758,0.22,-0.7796,0.9792,0.8604,0.598,0.8514,0.813,0.552,-1,-1,1,1,0.98,0.7352,0.9984,0.767,0.9158,0.9956,-1,-1,0.8984,0.9994,0.8354,0.73,0.9936,0.925,0.9928,0.6816,-1,-1,0.989,0.9974,0.72,0.933,0.8604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,0.5714,-0.0891999999999999,0.4594,-0.1752,-0.212,0.9824,0.7512,-0.7824,0.8384,-0.1528,0.361,0.9912,-0.8104,0.9558,0.9218,-0.729,-0.584,0.9952,-0.9936,0.716,0.7728,0.7624,0.867,0.8062,-0.9594,-0.1246,-0.574,0.938,0.9156,0.4456,-0.9944,0.6638,0.8,-0.9682,0.0955999999999999,0.00520000000000009,-0.2102,-1,0.4408,0.9996,0.9994,0.2222,0.000599999999999934,0.9748,0.3066,-0.2202,0.9968,0.3946,0.6944,-0.4962,0.9146,-0.1586,-0.7664,0.9822,0.2882,0.6366,-0.2668,0.6794,0.76,0.9726,0.8432,-0.714,-0.8612,0.982,0.6562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.6818,0.7634,0.3418,0.672,0.6908,0.3206,0.8188,0.6236,0.6882,0.0356000000000001,-0.8606,-0.9466,0.3872,0.0336000000000001,0.3456,0.5646,0.5934,0.7721,0.418,0.4976,0.0893999999999999,-0.9766,-0.9846,0.2556,0.4218,-0.01,-0.361,-0.5586,0.5104,0.4808,0.5652,0.4908,-0.4,0.608,0.6711,-0.4308,-0.508,-0.698,0.0165,-0.9584,0.1398,0.208,0.1956,-0.192,-0.048,-0.105,0.206,-0.8148,-0.9458,-0.977,0.6524,0.7772,0.6466,0.669,0.2156,0.7324,0.4216,0.156,-0.9644,-0.9618,0.5168,0.646,0.5758,0.7259,0.2362,0.6532,0.7588,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,1,0.9884,1,1,0.9942,1,1,0.9972,-1,0.9066,-1,0.999,-1,0.995,1,1,0.342,0.9828,0.9996,0.9952,-1,-1,0.9928,0.997,-1,0.9888,0.9882,0.8658,0.9942,0.9836,-1,0.9998,1,0.9414,0.9948,0.9976,0.9966,-1,-1,1,0.9984,1,0.995,0.9986,0.9936,0.992,0.9982,-1,-1,1,1,0.9958,0.9936,0.9814,1,1,0.9918,-1,-1,0.9908,1,0.9986,1,0.9936,0.9994,0.9966,-1,NA,NA,NA,NA,NA,NA,NA,NA
70,0.9994,0.9958,0.5836,0.9816,0.9984,-0.202,1,0.9034,0.7978,-1,0.8176,-1,0.8834,-0.3898,0.7054,0.9956,0.825,-0.0642,0.866,0.52,0.9828,-1,-1,0.663,0.0891999999999999,-0.1302,0.7114,0.7926,0.1206,0.6586,-0.3396,-1,0.9652,0.8156,-0.3316,0.8964,0.865,0.696,-1,-1,0.9974,0.9456,0.9986,0.686,0.9828,-0.3608,0.4626,0.9738,-1,-1,0.7576,0.999,0.3132,-0.4828,0.8754,0.9834,0.6278,-0.3282,-1,-1,0.8064,0.939,0.4992,0.7364,0.5728,0.8358,-0.372,-1,1,NA,NA,NA,NA,NA,NA,NA
71,1,0.9362,0.9624,0.9728,0.8248,0.9876,1,0.994,0.976,0.9492,0.1994,-1,1,0.8742,0.998,1,0.9922,0.4572,1,0.9152,0.9224,-1,-1,0.9958,0.9984,0.6706,0.8808,0.332,0.9892,0.9988,0.8772,-1,0.984,0.9902,0.6346,0.9104,0.8558,0.6144,-1,-1,1,1,0.8264,0.6694,1,0.9036,0.9658,0.999,-1,-1,0.8722,1,0.9446,0.7748,0.999,0.9888,0.8724,-0.2668,-1,-1,0.9978,0.9982,0.8358,0.8872,0.947,0.9928,0.832,-1,0.9996,-0.6028,NA,NA,NA,NA,NA,NA
72,1,0.9724,1,0.9992,0.997,1,0.9996,0.9982,0.9986,-1,-0.1428,-1,1,0.9986,1,0.9996,1,0.4544,0.9992,0.9986,0.4924,-1,-1,1,1,0.9992,0.9912,0.2282,0.9536,0.9994,0.9998,-0.1174,0.9992,0.9892,0.9984,0.9578,0.951,0.8616,-1,-1,1,1,0.9992,0.9586,1,0.9996,0.9976,0.9864,-1,-1,0.9996,1,1,1,0.9994,0.9986,1,1,-1,-1,1,1,0.9996,0.9994,0.7576,0.9986,0.9998,-1,0.989,0.8722,1,NA,NA,NA,NA,NA
73,1,0.9352,0.831,0.9998,0.9832,0.9966,1,1,0.966,0.858,0.3982,-1,0.9998,0.4834,0.929,0.9998,0.9998,-0.5214,0.9802,0.9878,0.941,-1,-1,0.9872,0.9954,0.712,0.5962,0.5312,0.4218,0.7398,0.0878000000000001,-0.9192,0.968,0.979,0.398,0.7884,0.896,0.7326,-1,-1,1,1,0.9996,0.9362,0.9932,0.9066,0.9938,0.981,-1,-1,0.9948,1,0.9768,0.8786,0.9808,0.9996,0.998,0.7556,-1,-1,0.9644,0.9998,0.8696,0.9922,0.1408,0.9678,0.9174,-1,0.9998,0.771,0.985,0.7978,NA,NA,NA,NA
74,0.9996,0.5786,-0.0688,0.6696,0.596,-0.6366,0.5986,-0.3538,-0.4102,0.8945,-0.1242,0.1006,0.7152,-0.7498,0.906,0.8068,-0.9988,-0.8472,0.9918,-0.9996,0.3606,0.6286,0.6274,0.9046,0.82,-0.5928,0.0902000000000001,-0.6632,0.9074,0.8082,0.5594,-0.9936,0.3362,0.8078,-0.926,-0.0868,0.229,0.1314,-1,0.2402,0.9972,0.9808,0.00560000000000005,-0.2862,0.847,0.5418,-0.2736,0.9898,0.1578,0.5446,0.5802,0.337,0.464,-0.5494,0.954,-0.7922,0.6662,0.4834,0.4788,0.6606,0.9272,0.91,-0.118,-0.9116,0.9226,0.8376,-0.9008,0.662,0.7332,-0.554,0.8426,1,0.7662,NA,NA,NA
75,0.8782,0.8826,0.6184,0.7886,0.7798,0.3392,0.9396,0.812,0.6848,0.0326,-0.862,-0.9458,0.6492,0.0454000000000001,0.7524,0.7758,0.6594,0.7773,0.7994,0.5046,0.0863,-0.973,-0.9662,0.6422,0.701,0.0891999999999999,-0.0414,-0.5608,0.6722,0.6242,0.5572,0.485,-0.1426,0.8054,0.662,-0.239,-0.364,-0.638,0.0182,-0.9542,0.3808,0.443,0.2824,-0.1014,0.3386,0.1946,0.2098,-0.6998,-0.9578,-0.9582,0.8122,0.8898,0.6734,0.65,0.3678,0.8422,0.6474,0.5432,-0.9764,-0.9622,0.75,0.8468,0.566,0.7304,0.2462,0.7836,0.7592,-0.9662,0.9584,0.8466,0.788,0.804,0.7812,0.6605,NA,NA
76,0.8838,0.879,0.634,0.8032,0.7844,0.3576,0.9436,0.8218,0.6884,0.0357000000000001,-0.862,-0.9394,0.6542,0.0416000000000001,0.7664,0.7904,0.6606,0.7701,0.8108,0.5086,0.0862000000000001,-0.9682,-0.9608,0.6578,0.7054,0.097,-0.0548,-0.5498,0.6866,0.6504,0.5586,0.4795,-0.117,0.8128,0.6644,-0.2298,-0.3668,-0.614,0.0168999999999999,-0.9464,0.3884,0.4448,0.2882,-0.0966,0.3492,0.1954,0.2134,-0.7046,-0.955,-0.9548,0.8194,0.9064,0.6832,0.6412,0.3912,0.8486,0.6724,0.5746,-0.969,-0.9636,0.767,0.8576,0.5566,0.7316,0.2902,0.8112,0.7605,-0.97,0.957,0.8684,0.799,0.8176,0.7864,0.6649,-0.969,NA
