,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
21,-0.378,-0.7374,-1,-1,-1,-0.8444,-0.7784,-0.8792,-1,0.4747,-1,-1,0.6076,-0.9502,-0.965,-0.6788,-1,-0.9522,-0.8438,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.6152,-1,-0.653,-1,-0.67,-0.5702,-1,-0.9862,-0.6572,0.8096,-1,0.8242,0.9102,-0.6686,-0.566,-0.656,-0.5146,-0.848,-1,-0.6548,-0.7378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.5182,-0.8574,-0.9842,-0.7028,-0.869,-0.995,-0.551,-0.8182,-0.9726,0.8122,0.9638,0.7746,0.9074,-1,-1,-0.9712,-0.886,-1,-0.6504,-0.9994,-1,-0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.9791,0.9899,0.9658,0.9797,0.9619,0.9816,0.981,0.9811,0.9631,0.0775999999999999,0.786,0.7498,-0.7374,0.802,0.8044,0.9645,0.9686,0.8877,0.8818,0.9641,0.6557,0.9382,0.9361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.9986,0.9262,0.7512,0.8396,0.197,0.6756,0.9818,0.9788,0.8646,-1,0.9964,0.9916,-1,-1,-1,0.9686,0.8608,0.6054,0.7498,0.9548,-1,0.8736,0.8454,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.2864,-0.4574,-0.6968,-0.6496,-0.989,-0.8034,-0.3078,-0.5786,-0.635,0.6232,0.9564,-1,0.7563,-0.9964,-0.965,-0.4334,-0.973,-0.8272,-0.5522,-0.6622,-1,-0.5634,-0.7848,0.8036,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.2854,-0.4966,-1,-0.8892,-1,-1,-0.3756,-0.649,-1,0.6242,0.8714,-1,0.7474,-0.9924,-1,-0.465,-1,-0.87,-0.6488,-1,-0.9694,-0.568,-1,0.7935,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.0926,0.069,-0.0620000000000001,0.0427999999999999,-0.036,0.0593999999999999,0.0276000000000001,-0.00160000000000005,-0.0397999999999999,0.473,0.8584,0.9354,-0.5652,-0.525,-0.454,-0.0654,-0.0414,-0.33,0.1144,-0.0504,-0.6232,-0.3294,-0.1706,-0.4418,-1,-0.441,-0.4558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.088,0.0768,-0.047,0.0589999999999999,-0.028,0.0628,0.0145999999999999,0.00279999999999991,-0.0342,0.4762,0.8766,0.9466,-0.6066,-0.5264,-0.4508,-0.0998,-0.0196,-0.3332,0.1222,-0.022,-0.6304,-0.3172,-0.1552,-0.4756,-1,-0.4558,-0.4618,-0.9962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-0.1366,-0.9162,-0.9986,-0.7198,-0.9994,-0.9986,-0.558,-0.6578,-0.9982,0.8134,0.5934,0.0144,0.9072,-1,-0.871,-0.6008,-0.7794,-0.9084,-0.722,-0.9992,-1,-0.764,-0.9852,0.9375,0.2454,-0.7452,-0.7946,-0.2376,-0.2128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-0.1238,-0.844,-0.994,-0.7426,-0.9986,-0.999,-0.4796,-0.5994,-0.9998,0.8079,0.5966,-1,0.9105,-0.9824,-0.902,-0.4952,-0.7548,-0.9646,-0.7828,-0.9988,-1,-0.759,-0.9928,0.9402,-1,-0.7674,-0.8656,-0.1732,-0.1812,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-0.3724,-0.8784,-0.999,-0.6214,-0.9804,-0.9976,-0.5424,-0.899,-0.999,0.8059,-1,0.348,0.91,-1,-0.9708,-0.6546,-1,-0.947,-0.5922,-0.9994,-1,-0.602,-1,0.9386,0.4932,-0.893,-0.9036,-0.2512,-0.2564,-0.9934,-0.9944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.6732,0.2526,-0.1052,0.3354,-0.6042,-0.3586,0.689,0.348,0.1144,0.8952,0.9974,0.939,0.785,-1,-1,0.5218,-0.5314,-0.3508,0.4068,0.2052,-1,0.0596000000000001,-0.1906,0.867,0.957,-0.8526,-1,0.418,0.4466,-0.4868,-0.5064,-0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.7728,0.202,0.1194,0.4402,-0.4226,-0.5276,0.6282,0.5144,0.2378,0.5696,1,1,0.917,-1,-1,0.557,-0.0606,-1,0.2858,0.617,-1,0.2216,0.1468,0.9626,1,-0.5652,-1,0.6654,0.6726,-0.8024,-0.6812,-1,-0.9278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,-0.986,-1,-0.5472,-1,-0.5426,-0.447,-1,-1,-0.5494,0.7403,-1,0.8244,0.8532,-0.6144,-0.5678,-0.5514,-0.56,-0.7452,-1,-0.5438,-0.729,-1,-0.6568,0.8894,0.883,-0.568,-0.5658,-0.5122,-0.5364,-0.6466,-0.6578,-0.6768,-0.0387999999999999,0.2788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,-0.5012,-1,-0.7478,-1,-0.7316,-0.6626,-1,-0.9104,-0.7486,0.8101,-1,0.7582,0.9111,-0.8202,-0.7092,-0.7654,-0.494,-0.7524,-1,-0.7426,-0.854,-0.916,-0.6278,0.9336,0.8214,-0.7202,-0.7054,-0.307,-0.3336,-0.838,-0.8244,-0.7002,0.0598000000000001,0.13,-0.9916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,-0.66,-1,-1,-0.3828,-1,-1,-0.4228,-0.7094,-1,0.7351,-1,-1,0.8535,-0.7834,-0.9004,-0.735,-1,-0.722,-0.3076,-1,-0.7084,-0.743,-1,0.8905,-1,-0.6988,-0.6826,-0.4478,-0.4562,-1,-1,-0.9906,-1,-1,-0.804,-0.5504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,-0.3514,-0.5994,-0.8462,-0.8608,-1,-0.8866,-0.5618,-0.7024,-0.8558,0.4742,0.8608,-1,0.611,-0.9348,-0.966,-0.5774,-1,-0.91,-0.741,-1,-0.9864,-0.7206,-1,0.6562,-1,-1,-0.9772,-0.628,-0.605,-0.7858,-0.8294,-0.895,-1,-1,-0.7042,-0.8122,-0.6854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.8296,0.2792,-0.2566,0.2182,-0.8186,-0.7126,0.6542,0.5806,0.0271999999999999,0.6864,0.9414,0.9958,0.8538,-1,-1,0.6142,-0.034,-0.4174,0.034,0.3478,-1,0.1142,-0.0614,0.9728,0.832,-0.6804,-1,0.6106,0.6218,-0.8472,-0.8894,-0.6424,-0.9024,0.1008,0.2204,0.0129999999999999,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,-0.5638,-0.989,-1,-0.5142,-0.8494,-0.996,-0.841,-0.9516,-1,0.8115,0.813,0.7108,0.9075,-0.9854,-0.8074,-0.8836,-0.9942,-0.9564,-0.4938,-1,-0.9376,-0.8064,-1,0.9374,0.784,-0.7206,-0.7762,-0.246,-0.242,-0.9354,-0.9212,-0.9826,-0.259,-0.5482,-0.6676,-0.6838,-0.9694,-0.7732,-0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
