,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20,-1,0.908,-0.5568,0.3606,0.9012,0.958,0.2074,1,-1,0.6386,-0.6988,-1,-1,1,0.3818,0.2172,0.4244,-0.4488,-0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.5243,1,-0.9556,0.3752,1,-0.6676,0.0553999999999999,-1,0.5193,0.3868,-1,0.5204,0.1974,-1,0.7844,0.4282,0.584,0.3546,0.3616,0.9498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.1267,0.8744,-0.2172,-0.647,0.9192,-1,0.4728,-1,0.1255,0.6072,-1,0.123,-0.3402,-1,0.2325,0.6652,-1,0.3822,0.00520000000000009,-0.1506,-0.6788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,0.692,0.9184,-1,0.9276,1,0.6726,1,-1,0.5646,1,-1,-1,1,-1,0.623,1,0.997,0.018,0.983,0.9998,0.9878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-1,0.2934,0.7093,-0.9376,-1,0.6818,-1,-1,-0.7872,-0.8144,0.7186,-0.7924,-0.9612,-1,-0.9664,-1,0.8013,0.3844,-0.97,-0.1378,0.9023,0.3339,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.205,0.6036,-0.1824,-0.419,-1,0.7306,-0.7576,-1,0.2023,-0.9872,0.6182,0.2028,-1,-1,0.3596,-0.7518,0.0946,-1,-0.9708,-0.592,0.4448,0.000599999999999934,-1,-0.9142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.3606,0.843,-0.2142,0.0092000000000001,-0.0926,0.9146,-0.584,-1,0.3648,-0.669,0.7834,0.3611,-1,-1,0.6068,-0.9882,0.3288,0.8942,-0.8482,0.6184,0.6732,0.512,0.8568,-0.7382,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.1585,0.466,-0.3172,-0.5412,-0.2662,0.409,-0.9082,-1,0.1651,-0.9282,-1,0.162,-0.988,-1,0.3021,-0.7734,-0.0422,-1,-0.983,-0.4526,-0.0432,-0.1682,-1,-0.9356,-0.986,-0.9548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.7029,-0.795,0.4466,0.7332,0.9798,0.9504,-0.4902,1,0.7021,0.0651999999999999,0.995,0.7066,-1,1,0.9207,0.0329999999999999,0.9186,0.9534,-0.3658,0.3104,0.9588,0.8946,0.9994,-0.0276,-0.7064,0.3908,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.926,0.438,0.3298,-0.9312,0.4872,0.7776,-0.1802,1,-0.919,0.4019,0.9468,-0.9152,0.1241,1,-0.9632,-0.3912,0.3936,0.757,0.1994,0.4976,0.5198,0.1241,0.763,-0.8518,0.2073,0.3615,0.1614,0.7088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.0425,-0.4092,0.3234,0.1271,0.2202,0.5564,-0.889,1,0.0427999999999999,-0.884,0.873,0.0397000000000001,-0.9532,1,0.0860000000000001,-0.937,0.3953,0.7286,-0.9882,0.2056,0.5162,0.1206,0.7282,-0.993,-0.982,-0.8982,-0.9796,0.3758,0.0375000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.0782,0.1306,-0.4008,-0.7664,-1,0.7592,-0.7518,-1,0.0798000000000001,-0.8332,0.8532,0.0832999999999999,-0.9666,-1,0.1602,-0.833,0.1122,-1,-0.992,0.2186,0.3914,-0.5142,-1,-0.982,-0.9998,-0.8922,-0.9882,-1,0.0834999999999999,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-1,-0.5678,0.776,0.5368,0.967,1,-0.3936,1,-1,0.2666,0.9724,0.6294,-1,1,0.537,-0.0754,0.9988,0.8306,0.0588,0.8958,0.9966,0.9642,0.999,0.1104,-1,0.0406,-1,0.7506,-1,-1,0.3328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.9226,0.453,0.3302,-0.9244,0.476,0.7752,-0.1754,1,-0.9174,0.3979,0.9469,-0.9084,0.1268,1,-0.9496,-0.3304,0.4022,0.7562,0.2027,0.5074,0.5263,0.1245,0.7616,-0.8374,0.2025,0.3653,0.1625,0.709,-0.9132,0.0427999999999999,0.0799000000000001,0.6416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
