,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
713_E-3-M,0.906868495330935,1.18065375100146,0.914002489663773,-0.911605733827166,1.22386842327567,0.171375493773863,0.914002489663773,0.534562470150428,1.05477542978102,0.187857230325096,1.41768125078405,0.171375493773863,0.117363058115082,1.11041889135266,0.297074985062029,0.864756802971462,0.979506122242746,0.187857230325096,0.187857230325096,-0.104900344553252,1.22359367026427,0.953265454307302,-0.0206387267041413,0.187857230325096,-0.0206387267041413,-0.29584031167547,-0.817585582512956,1.14676844635557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-D,1.54528323906262,0.186206869693298,-0.103548901539713,-0.826697420607802,0.396260477431863,-0.361906511728794,-0.103548901539713,-0.573551459949854,0.763781884857435,0.381877692308,0.608651618627631,-0.361906511728794,-0.0536459724354571,0.496103362855143,1.02910033761135,1.96574684568117,0.265156512200728,0.381877692308,0.381877692308,0.176972524522708,0.404261084419883,1.18651845963161,-0.312352598655385,0.381877692308,-0.312352598655385,-1.30818050301136,0.622247120309035,0.545278566723926,0.337042734602822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X0,1.21652931187682,0.321046478811208,0.0477986896661267,-2.44942525588064,0.599697004768096,-0.668665904937746,0.0477986896661267,-2.16018909324875,1.00179704269442,0.0941902724994681,0.832182449075152,-0.668665904937746,-0.476523908147248,0.712832880629536,1.67222375664827,1.54749607875823,0.858664539730868,0.0941902724994681,0.0941902724994681,-0.547106447030118,-1.12572256953196,0.653507894357532,-0.447297261145191,0.0941902724994681,-0.447297261145191,-1.30818050301136,0.622247120309034,0.619056877014801,0.787091410447609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X1,1.31783037804741,0.669568311946561,0.272033075956302,-2.33041986520126,0.984195808017535,-0.6230570526775,0.272033075956302,-2.13033319672388,1.34735072736936,0.162963329519643,1.19119345638941,-0.6230570526775,-0.516285840079249,1.02452957058496,0.842526425845546,1.48340683540784,1.10266519255116,0.162963329519643,0.162963329519643,-0.936048318153491,-0.23900652643264,0.695303085063341,-0.376186594055531,0.162963329519643,-0.376186594055531,-0.55618225140712,0.481646102291549,1.02205015425499,1.03612925066713,0.221999365929707,0.415499615059152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_20-24,-1.76530821827197,-2.86854033947914,0.359602670548883,-3.36111400874081,-2.84095840996169,-3.41093649742518,0.359602670548883,-3.31828676107339,-2.34207153549136,-0.0604168291362571,-2.78276502829329,-3.60673326825692,-2.28652138435413,-2.41203149331055,0.550402395789833,0.810186435723866,-1.10506900760552,-0.0604168291362571,-0.0604168291362571,-1.2901475553993,-0.438236385222155,-0.813288528234587,-0.236355093814028,-0.0604168291362571,-0.236355093814028,-0.646633746006342,-1.06331508111479,-2.73428688284649,0.0744435502226747,-0.119821093453513,-0.168698434028269,-0.0586152018394508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E1_30-34,0.793460643032093,0.202837031071536,0.382457033916585,-4.19399633686333,0.459752781397648,-2.77450774598929,0.382457033916585,-3.14450724099064,0.907023283340258,0.147144924132778,0.559358896039887,-2.77450774598929,-2.01040967135659,0.857862785650417,1.07313145697212,1.04429989199463,1.1999442052003,0.147144924132778,0.147144924132778,-4.20509254937085,0.538115887821782,-0.73599968549886,-0.288865172762926,0.147144924132778,-0.288865172762926,0.749798032796933,0.0854478854498588,0.958194078706741,1.49785422415264,0.407715727598035,0.746680410316335,1.37340929858469,-2.67587716832316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_1-5,0.169766311551173,-0.245684287255215,-0.163982777725391,-0.155471783840853,-0.183154207461554,-0.184114774163177,-0.16398277772539,-0.0739003796189481,-0.186654159165327,-0.16398277772539,-0.361132401385022,-0.196418398681802,-0.165570411054051,-0.294946128245927,-1.00151461432821,0.496126872015852,-0.165507914344233,-0.16398277772539,-0.16398277772539,0.0674992874196442,-0.826127992883911,-0.617849090667942,NA,-0.16398277772539,NA,-0.823724986068091,-0.222516780730204,-0.291515210042103,-0.0206387267041413,-0.312352598655385,-0.447297261145191,-0.376186594055531,-0.236355093814028,-0.288865172762926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_5-9,-2.08078562381201,-4.62107681856803,0.316323380047738,-4.31943675964161,-3.96229956775693,-0.0969762603583731,0.332192304957284,-3.29437458130211,-3.54934623091595,0.11966984827667,-3.74416814681269,-2.94580397722433,-3.685650159576,-1.46829868594407,-0.0145426157730197,0.460997968369473,-0.748376778681625,0.11966984827667,0.11966984827667,0.291869023438661,-1.21390768754113,-1.81652398083091,-0.0971609937151425,0.11966984827667,-0.0971609937151425,-2.11255750347367,-1.67040266337502,-3.8414267356633,-1.06872399834137,-0.522259094692097,-1.09438427194872,-1.3319733613575,-1.59911649574274,-3.24707885250739,-0.0971609937151425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_E2_20-24,0.681761618191634,NA,0.427074374091212,-1.29759832279132,-0.202828537875404,-2.82732626036242,0.427074374091212,-1.55116384489253,0.31602697031901,0.0437551644710486,0.249370085664678,-2.82732626036242,0.00469145537871322,0.564475794234792,0.744962583097605,0.946339783355872,0.932810324683575,0.0437551644710486,0.0437551644710486,-3.48720303951809,0.189072505917372,0.623851610761228,-0.218516426057066,0.0437551644710486,-0.218516426057066,0.0633920438185529,-0.490069994494909,0.522085589115955,1.18065375100146,0.186206869693298,0.321046478811208,0.669568311946561,-2.86854033947914,0.202837031071536,-0.218516426057066,-1.27821860174198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E1_1-5,0.528554463846569,0.387041997196912,NA,0.292515754022479,0.41485092277059,0.390270818572488,NA,0.538176441588803,0.638785881544276,-0.163982777725391,0.271406857240435,0.399900077336652,0.488048732691449,0.351722169895438,0.166959560278579,0.915773822565037,0.751105314097876,-0.163982777725391,-0.163982777725391,0.31897935922518,-0.313842869114525,0.55673576203269,-0.163982777725391,-0.163982777725391,-0.163982777725391,-0.251010398366511,-0.377218334620503,0.328439665131123,0.914002489663773,-0.103548901539713,0.0477986896661267,0.272033075956302,0.359602670548883,0.382457033916585,-0.163982777725391,0.339579251947723,0.427074374091212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E2_1-5,0.169766311551173,-0.245684287255215,-0.163982777725391,-0.155471783840853,-0.183154207461554,-0.184114774163177,-0.16398277772539,-0.0739003796189481,-0.186654159165327,-0.16398277772539,-0.361132401385022,-0.196418398681802,-0.165570411054051,-0.294946128245927,-1.00151461432821,0.496126872015852,-0.165507914344233,-0.16398277772539,-0.16398277772539,0.0674992874196442,-0.826127992883911,-0.617849090667942,NA,-0.16398277772539,NA,-0.823724986068091,-0.222516780730204,-0.291515210042103,-0.0206387267041413,-0.312352598655385,-0.447297261145191,-0.376186594055531,-0.236355093814028,-0.288865172762926,NA,-0.0971609937151425,-0.218516426057066,-0.163982777725391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E2_20-24,-1.64218493799904,-4.27016180094967,0.329176579700371,-2.3681276914341,-3.77093046323726,-3.22858863842087,0.329176579700371,-2.93760963478329,-3.60041354444099,-0.138488950055523,-3.5919897211446,-3.22858863842087,-1.02784612200058,-3.81007519490524,0.265345655400228,0.787938844742504,-2.80247869238962,-0.138488950055523,-0.138488950055523,0.249013463286904,-1.29829832109136,-0.176108344909588,-0.173085233884819,-0.138488950055523,-0.173085233884819,-1.88935845415564,-2.42268520505411,-3.49042179961959,-0.98381475220812,-0.705895075376601,-1.17300097395646,-1.34087187291704,-3.12891994494843,-4.01853758822953,-0.173085233884819,0.253669811792047,-4.15211413433127,0.329176579700371,-0.173085233884819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E2_30-34,0.401370165896201,-1.24187452353623,1.23010793617974,-1.09962362246219,0.328696389048104,0.829280722961606,1.23010793617974,0.130321174706989,-0.643764795949965,0.167434933446809,0.331675986828407,0.829280722961606,0.723463165876512,0.0753012318366489,0.834499029056968,0.993559788144739,0.418238441322584,0.167434933446809,0.167434933446809,0.245763582082239,0.0948312725527005,1.03848618808575,0.272652290587889,0.167434933446809,0.272652290587889,-0.778050359767889,-0.972725106900424,-0.109980233349165,0.0879058560985403,0.396641223222954,-0.0352693858547391,-0.0236534521591771,-1.23461212987586,-0.912845908763005,0.272652290587889,0.0873414663250849,-0.0908100607830059,1.23010793617974,0.272652290587889,0.329243247382136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E3_1-5,0.169766311551173,-0.245684287255215,-0.163982777725391,-0.155471783840853,-0.183154207461554,-0.184114774163177,-0.16398277772539,-0.0739003796189481,-0.186654159165327,-0.16398277772539,-0.361132401385022,-0.196418398681802,-0.165570411054051,-0.294946128245927,-1.00151461432821,0.496126872015852,-0.165507914344233,-0.16398277772539,-0.16398277772539,0.0674992874196442,-0.826127992883911,-0.617849090667942,NA,-0.16398277772539,NA,-0.823724986068091,-0.222516780730204,-0.291515210042103,-0.0206387267041413,-0.312352598655385,-0.447297261145191,-0.376186594055531,-0.236355093814028,-0.288865172762926,NA,-0.0971609937151425,-0.218516426057066,-0.163982777725391,NA,-0.173085233884819,0.272652290587889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E3_10-14,0.223148718861762,0.0148976926743282,0.28156501051443,-0.0661808612352442,0.0592049540498584,0.253044213359227,0.298571748992721,0.101439904084688,0.261443647598843,0.0757466487012692,0.0692505842373472,0.108636536083365,0.00503133682415657,0.271769988327139,-0.216500746461982,0.721985898072666,0.422983443950667,0.0757466487012692,0.0757466487012692,0.246156948541222,-0.300906950902853,-0.331015379739138,-0.0240019935364967,0.0757466487012692,-0.0240019935364967,-0.395578699883653,0.22663715276334,0.0679039388561664,0.665617452599391,0.16758576103127,-0.0147540230929037,0.114662447349694,0.159982971474486,0.00265595218326393,-0.0240019935364967,-0.010697365743689,0.227357013903487,0.312441662645111,-0.0240019935364967,0.256929963258814,0.767091734717004,-0.0240019935364967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E3_20-24,-1.55804317950346,-2.86854033947914,0.363150039763137,-3.37227623176231,-2.84095840996169,-3.61803327818448,0.363150039763137,-3.05409659817316,-2.34207153549136,-0.108745839704954,-2.78276502829329,-3.20321672575917,-2.33894265228258,-2.41203149331055,0.359335500590454,0.782601861111048,-1.10506900760552,-0.108745839704954,-0.108745839704954,-0.0177198349301971,-0.438236385222155,-0.800530805812482,-0.196048987462474,-0.108745839704954,-0.196048987462474,-0.646633746006342,-1.06331508111479,-2.73428688284649,0.0744435502226747,-0.119821093453513,-0.168698434028269,-0.0586152018394508,NA,-2.67587716832316,-0.196048987462474,-0.828600460391499,-2.86854033947914,0.363150039763137,-0.196048987462474,-3.12891994494843,-0.240011346063367,-0.196048987462474,0.177705921521314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715_E3_30-34,0.808409379321661,0.673747056757518,0.206072744259714,-2.72057312608557,0.886215925183979,-1.09214561024206,0.206072744259714,-0.211645022184002,0.337863566766199,0.0258700180632198,0.771406751015398,-1.09214561024206,-1.18984725906058,0.0804476866599667,1.54970692506391,1.16465360977382,0.906298503058126,0.0258700180632198,0.0258700180632198,-0.864651153722501,1.0567675920733,0.28166108327578,-0.490222039540488,0.0258700180632198,-0.490222039540488,1.08123937445711,1.57502340318488,0.996314561559714,1.04612433818784,1.12701955375136,0.717615248794797,0.955974870591175,-1.80430787808143,0.906089807287417,-0.490222039540488,-3.29206656269631,0.673747056757518,0.206072744259714,-0.490222039540488,-3.08923293652576,-1.41282157027889,-0.490222039540488,0.317226060216865,-1.80430787808143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_E1_10-14,-1.93076438091471,-4.27016180094967,0.329176579700371,-2.88794527986857,-3.77093046323726,-3.22858863842087,0.329176579700371,-3.23259953478375,-3.60041354444099,0.00401194025404578,-3.5919897211446,-3.22858863842087,-0.879690209488109,-3.81007519490524,0.465374883968475,0.77407465584641,-2.80247869238962,0.00401194025404578,0.00401194025404578,0.249013463286904,-1.29829832109136,-0.0812319313125043,-0.175103467089554,0.00401194025404578,-0.175103467089554,-1.88935845415564,-2.42268520505411,-3.49042179961959,-0.98381475220812,-0.705895075376601,-1.17300097395646,-1.34087187291704,-3.12891994494843,-4.01853758822953,-0.175103467089554,0.253669811792047,-4.15211413433127,0.329176579700371,-0.175103467089554,NA,0.329243247382136,-0.175103467089554,0.209725714824903,-3.12891994494843,-3.08923293652576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716_E1_20-24,-1.50084577513164,-2.61743274123486,1.1997159703919,-1.72649869673723,-1.21271416794196,-0.0293798575974304,1.1997159703919,-1.71985532697635,-1.43166469978307,0.484595982230101,-1.74950632848537,-1.37000652419067,-0.507556322739745,-0.55778795809251,0.989541697428593,1.20355614181182,0.220360779742099,0.484595982230101,0.484595982230101,0.447830556157764,-0.685908463798205,0.320143310478503,0.214729736687572,0.484595982230101,0.214729736687572,-1.65411694554822,-1.76977009535844,-2.79924807070594,-0.460654490853918,-0.118788018274908,-0.68518198399151,-0.747343580374558,-0.958521925106234,-1.40335922144591,0.214729736687572,0.422094351085635,-1.25861139759868,1.1997159703919,0.214729736687572,0.654246816892708,0.158040634456132,0.214729736687572,0.62247560125594,0.123721337776158,-2.47701216917754,0.654246816892708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
