,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
19,0.9702,0.5686,0.1161,0.8226,0.3913,-1,-1,-0.9548,-0.1328,0.2179,0.9153,0.9232,-0.9406,0.6188,-1,-0.9026,0.4762,0.2162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,0.9976,-1,0.9998,-1,0.8148,1,0.972,0.9152,-1,1,1,0.827,1,1,0.9106,0.5856,-1,0.9266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.9998,0.9824,-1,1,-1,0.7031,0.9998,0.5454,0.8944,0.5356,1,1,0.589,1,1,0.8376,0.9676,-1,0.8004,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.0358000000000001,0.0513999999999999,-1,0.9972,-0.6234,-1,0.2448,-0.807,-0.2448,0.7687,1,1,-0.7894,0.9994,-1,-0.6498,0.9038,-0.0954,-0.3866,0.7772,-0.3282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.8432,0.8392,0.3348,0.9828,0.0469999999999999,-1,-1,-0.7734,-0.719,0.5661,0.992,0.9954,-0.8452,0.9668,-1,-0.9168,0.7688,0.5598,-0.8554,0.8358,0.9192,-0.4682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-1,-1,0.0782,0.4242,0.2842,0.0766,-1,-1,-1,0.1463,0.7963,0.6836,-1,-1,-1,-1,0.3431,0.157,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.4964,-0.8106,-1,0.975,-0.8062,0.6131,0.224,0.00279999999999991,-0.4678,0.2798,0.9582,0.9972,0.0589999999999999,1,1,0.0347999999999999,0.6988,-1,0.0431999999999999,0.9766,-0.6222,-0.0666,0.6238,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.5226,0.1724,-1,0.6984,-0.3242,-1,-1,-1,-1,0.5208,0.9991,0.9924,-1,0.3112,-1,-1,0.8479,0.5154,-0.981,0.5604,0.2882,-0.9982,-0.9266,-1,-0.1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.8232,0.6076,0.0367999999999999,0.0720000000000001,0.1492,0.0395000000000001,0.6434,-0.2094,0.3214,0.0746,0.5399,0.2714,-0.3096,0.8414,0.9998,-0.2226,0.1886,0.0760000000000001,-0.78,0.8122,0.404,-0.0562,-0.3814,-0.8892,-0.03,-0.5936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.8146,0.6188,0.04,0.0466,0.1538,0.036,0.646,-0.1916,0.3468,0.0745,0.542,0.2876,-0.286,0.8558,1,-0.2218,0.1868,0.0783,-0.7716,0.8116,0.4136,-0.0638,-0.3748,-0.8786,0.0167999999999999,-0.5642,-0.9266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.6284,0.7948,0.1849,-0.7178,-0.3596,0.1926,-1,0.425,0.7206,-0.9442,-1,-1,0.6288,0.8474,-1,0.8446,-0.9894,-0.7184,0.4735,0.6948,0.843,0.8702,0.8903,0.3441,0.5908,0.8501,0.1789,0.1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.8228,0.6238,0.0382,0.0884,-0.789,0.0390999999999999,0.658,-0.1856,0.3462,0.0742,0.0906,0.273,-0.285,0.8482,0.9998,-0.2212,-0.6288,-0.9084,0.1169,0.8162,0.4078,-0.0436,0.3308,0.0768,-0.00380000000000003,0.2926,0.0375000000000001,0.0353000000000001,-0.6918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.7094,0.9546,0.2591,-0.8022,-0.2608,0.2609,0.0933999999999999,0.8932,0.9616,-0.3998,-0.9572,-0.8798,0.8892,0.9916,-1,0.9618,-0.99,-1,0.6005,0.8384,0.9924,0.9798,0.9072,0.4557,0.8728,0.9346,0.262,0.2588,-0.9906,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
