,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
49,-1,-0.0942,-0.5204,-0.9908,-0.633,-0.6866,-1,-1,-0.3918,-0.9978,-0.8924,-1,-1,-0.5368,-0.9754,-1,-0.7068,-0.5294,-0.5722,-1,-1,-0.7188,-0.9716,-1,-1,-1,-0.7376,-0.52,-0.4694,-1,-0.8448,-0.8068,-1,-1,-1,-0.4088,-0.5302,-0.5672,-0.8022,-0.9664,-0.5928,-0.63,-1,-0.9398,-0.6554,0.3228,-1,-0.9978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,1,0.9782,0.5436,0.8418,0.8312,0.9992,0.9996,0.989,-1,0.9274,-1,0.999,-1,-1,1,0.984,0.7962,0.9798,-1,0.9964,0.6644,0.6868,-1,0.9956,0.9706,0.9512,0.9914,0.9788,0.9994,0.8162,0.9762,-1,-1,0.9996,0.9292,0.9968,0.6906,0.9994,0.965,-1,0.839,0.999,-1,0.7744,0.9984,-1,0.0218,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.9572,-1,-1,-0.8048,-0.9136,-0.9268,-1,-1,-1,-0.754,-1,0.0633999999999999,-1,-0.8984,-0.7892,-1,-1,-0.9056,-0.7932,0.0652999999999999,-1,-0.783,-0.7726,0.0603,-1,-1,-0.859,-0.8948,-0.8394,-1,-0.473,-0.7206,0.1278,0.0643,-1,-1,-0.8792,-1,-1,-1,-0.9384,-0.9102,-1,-0.7526,-0.864,-0.7864,0.0612999999999999,-0.6262,-0.6254,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.999,-1,-0.8372,-0.7452,-1,-0.7942,-1,-1,-1,-0.7424,0.1206,-1,-1,-0.855,-0.9246,-1,-1,-0.843,-0.9392,-1,-1,-0.651,-0.6922,-1,-1,-1,-0.7694,-0.945,-0.9626,-1,-0.2822,-0.7384,-0.819,-1,0.8166,0.1288,-0.917,0.8682,-1,-1,-1,-1,-1,-0.7164,-1,-0.1446,-0.8184,-0.4956,-0.3666,0.9982,-0.8762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.9918,-1,-0.953,-0.7746,-1,-0.8886,-1,-1,-1,-0.7732,-1,-1,-1,-0.8594,-0.9372,-1,-1,-0.8496,-0.9374,-1,-1,-0.7168,-0.7418,-0.8912,-1,-1,-0.8362,-1,-0.9428,-1,-0.4572,-1,-0.8276,-1,-1,-1,-0.989,0.749,-1,-1,-0.8902,-1,-1,-0.7238,-1,-0.6666,-0.8588,-0.5236,-0.4496,0.9896,-0.7942,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.999,1,0.7338,0.5458,0.6512,0.2482,0.8878,0.9968,0.9506,0.3112,0.8108,-1,0.8452,0.7496,0.571,1,0.9916,0.6148,0.6224,-1,0.997,0.217,0.4094,-1,0.9968,0.9866,0.78,0.842,0.784,1,0.7452,0.7302,0.3104,-1,1,0.916,0.7916,0.5338,0.997,0.8962,0.4338,0.6614,0.997,0.3776,0.58,0.9992,-1,0.7964,0.7098,0.9978,0.5116,0.9036,0.8004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.9998,-0.0888,-1,-0.502,-1,-0.085,0.9974,-1,0.6184,-0.0706,0.6658,-1,0.998,-1,-1,0.8904,0.2044,-0.929,-0.6098,-1,0.9632,0.0424,-0.182,-1,0.6082,-0.365,-0.9198,-1,-1,-1,-0.0188,-0.0268,-1,-1,0.9906,-0.2242,-0.6374,0.9968,0.9222,-0.467,-1,-1,0.905,-1,-1,0.3716,-1,-0.436,-0.00339999999999996,0.9974,-1,-1,-1,0.9844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.9998,-0.596,-0.862,-0.7512,-1,-0.8118,0.7166,-1,-0.7722,-0.7884,0.1502,-1,-1,-0.9994,-0.9918,-1,-0.906,-0.9964,-0.9904,-1,-1,-0.6242,-0.6692,-1,-1,-0.9488,-0.7084,-0.942,-0.9556,-1,-0.2256,-0.7718,-1,-1,-1,-0.1496,-0.9814,0.8832,-1,-0.9428,-1,-1,-1,-0.724,-1,-0.1002,-0.654,-0.438,-0.4346,0.9974,-0.923,-0.935,-1,0.911,-0.8734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,0.4466,-0.63,-0.9452,-0.8534,-0.9584,-0.8966,-0.605,-0.00480000000000003,-0.7884,-0.8388,-0.834,0.0208999999999999,-0.4956,-0.8574,-0.8796,-0.106,-0.608,-0.894,-0.9428,0.0202,-0.0234,-0.8374,-0.8618,0.0207999999999999,-0.3134,-0.8528,-0.9266,-0.9652,-0.945,-0.2664,-0.7932,-0.9452,0.0412999999999999,0.0234000000000001,-0.2224,-0.5102,-0.9736,0.145,-0.6266,-0.6988,-0.8904,-0.9508,-0.4254,-0.7756,-0.9242,-0.8272,0.0235000000000001,-0.749,-0.6796,0.6898,-0.8896,-0.9914,-0.97,0.6578,-0.9212,-0.9804,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,0.7294,-1,-1,-1,-1,0.9978,-1,0.5726,-1,0.2456,-1,0.9968,-1,-1,0.466,0.2864,-0.9224,-0.828,-1,-0.7716,-0.9722,-0.9542,-1,-0.552,-0.5694,-1,-1,-1,-1,-0.9744,-1,-1,-1,0.9968,0.0676000000000001,-1,0.9702,0.4628,-0.652,-1,-1,-0.0502,-0.8362,-1,0.2584,-1,-0.9776,-0.9554,0.9648,-1,-1,-1,0.9398,0.00819999999999999,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
59,0.6082,-0.0596,-0.894,-0.9038,-0.955,-0.8862,0.1956,0.7544,-0.2508,-0.8934,-0.4766,0.0229999999999999,0.3748,-0.901,-0.9348,0.7264,-0.046,-0.9256,-0.9412,0.0216000000000001,0.684,-0.8712,-0.905,0.0212000000000001,0.5368,-0.4898,-0.8886,-0.912,-0.9524,0.6444,-0.7562,-0.7942,0.0410999999999999,0.0219,0.6892,-0.185,-0.8942,0.1188,0.0633999999999999,-0.322,-0.9102,-0.9556,0.4208,-0.8292,-0.9554,-0.4548,0.0206,-0.7904,-0.7164,0.7084,-0.9254,-0.9042,-0.9382,0.6623,-0.5962,-0.8808,-0.9532,-0.4558,NA,NA,NA,NA,NA,NA,NA
60,1,1,0.9958,-1,-1,0.992,1,1,0.9994,-1,0.9332,-1,1,0.9992,-1,1,1,0.9986,-1,-1,1,-1,-1,-1,1,0.9976,-1,0.9488,-1,1,0.9786,-1,-1,-1,1,1,-1,0.9996,1,0.9998,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,0.9994,0.9996,-1,0.9996,-1,NA,NA,NA,NA,NA,NA
61,0.9992,0.5112,-0.9406,-0.7676,-1,-0.6812,0.9528,-1,-0.313,-0.7454,0.0482,-1,0.1464,-0.9798,-0.9012,-1,-0.8976,-0.9574,-0.993,-1,-1,-0.583,-0.7126,-1,0.1654,0.171,-0.7126,-0.9396,-0.93,-1,-0.479,-0.6066,-0.7248,-1,0.9944,-0.733,-0.898,0.5304,0.6152,0.0156000000000001,-1,-1,0.2914,-0.837,-1,0.1348,-0.7232,-0.4794,-0.3588,0.903,-1,-0.8292,-1,0.3052,-0.2768,-0.874,-0.8712,-1,-1,0.9948,NA,NA,NA,NA,NA
62,0.989,-1,-0.9184,-0.7594,-1,-0.8542,0.3994,-1,-1,-0.7232,-0.3972,-1,-1,-0.9294,-0.893,-1,-1,-0.9154,-0.9116,-1,-1,-0.6936,-0.7316,-0.8962,-1,-0.74,-0.8282,-0.9662,-0.9598,-1,-0.4116,-0.855,-0.869,-1,-1,-0.3896,-0.9384,0.684,-1,-1,-1,-1,-1,-0.6758,-1,-0.583,0.0649999999999999,-0.5112,-0.4364,0.9768,-0.9218,-0.959,-0.9874,0.8124,-1,-1,-0.9652,-1,-1,0.9898,-0.9972,NA,NA,NA,NA
63,0.9966,-0.573,-0.7794,-0.7898,-1,-0.839,-1,-1,-0.7526,-0.953,-0.4014,-1,-1,-0.6256,-0.8732,-1,-0.724,-0.7858,-0.9524,-1,-1,-0.7514,-0.8012,-1,-1,-0.993,-0.7208,-0.8468,-0.8134,-1,-0.493,-0.9994,-1,-1,-1,-0.3198,-0.975,0.7876,-1,-0.915,-0.629,-1,-1,-0.7216,-1,0.0184,0.141,-0.595,-0.6066,0.9948,-0.6482,-0.8688,-0.9404,0.7488,-0.3242,-0.9322,-0.9622,-1,-1,-1,-0.8216,-0.912,NA,NA,NA
64,1,1,-1,-1,-1,-1,0.9942,0.776,0.9266,-1,0.1912,-1,0.9978,-1,-1,0.9892,0.9012,-0.2376,-1,-1,0.877,-1,-1,-1,0.9888,0.8046,-1,-1,-1,0.9654,-0.2204,-0.9412,-1,-1,0.9996,0.7458,-0.1578,0.9528,0.862,0.4782,-1,-1,0.9874,-1,-1,0.9114,-1,-1,-1,0.999,-1,0.2652,-1,0.9484,0.8716,-1,-1,-0.5706,-1,1,-0.4962,-1,-1,NA,NA
65,-1,-1,-0.9948,-0.8958,-0.937,-0.9226,-1,-1,-1,-0.777,-1,0.0608,-1,-0.9988,-0.8892,-1,-1,-0.9404,-0.8204,0.0625,-1,-1,-0.8638,0.0622,-1,-1,-1,-1,-1,-1,-0.7182,-1,-0.8584,0.0671999999999999,-1,-1,-1,-1,-1,-1,-0.9184,-0.933,-1,-0.663,-0.8962,-1,0.0625,-0.862,-0.9206,-1,-0.9548,-0.9066,-0.9024,0.6164,-1,-1,-0.9394,-1,-0.9344,-1,-0.868,-0.9464,-0.7006,-1,NA
