,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
15,-1,-1,-0.9992,-1,-0.9228,-0.9214,-1,-1,-1,-0.9984,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,-1,-1,-1,-1,0.9948,0.9992,0.9132,-1,0.1238,-1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,0.8954,-1,-1,-1,-1,0.995,0.704,-1,-1,-0.7194,-1,0.9976,-1,-1,-0.4536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.9736,-0.6778,-0.9942,-0.8248,-0.9034,-0.9718,0.7802,0.6318,-0.8004,-0.8096,-0.2098,-1,0.5426,-0.96,-0.8866,0.785,-0.7772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.9442,-0.4934,-0.9658,-0.8402,-1,-0.9956,0.7238,-1,-0.6442,-0.8564,-1,-1,-1,-0.7772,-0.9028,-1,-1,-0.8786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.9296,0.2316,-0.7726,-0.8072,0.0208999999999999,-0.8196,0.759,0.894,0.0858000000000001,-0.839,0.0589999999999999,-0.9546,0.8134,-0.8662,-0.9124,0.9418,0.156,-0.8736,-0.8336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,-1,-1,-1,-1,0.986,0.9998,0.4628,-1,0.3798,-1,0.9968,-1,-1,0.9982,0.5378,0.313,0.5862,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-1,-1,-0.7464,-0.9952,-0.8158,-0.9198,-1,-1,-1,-1,-1,-1,-1,-0.768,-1,-1,-1,-0.7838,-0.8386,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-1,-1,-0.7748,-0.9994,-0.839,-0.8908,-1,-1,-1,-1,-1,-1,-1,-0.7656,-1,-1,-1,-0.7894,-0.8408,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.745,0.0864,-0.845,-0.8914,0.0213000000000001,-0.8502,0.4598,0.8706,-0.0688,-0.907,-0.2916,-0.9578,0.5898,-0.9248,-0.958,0.8578,0.056,-0.9138,-0.904,-0.9578,0.7684,-0.8324,-0.8548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,-1,-1,-1,-1,0.997,0.9998,0.6446,-1,-0.8212,-1,0.9958,-1,-1,0.9994,0.7394,0.3112,-1,-1,0.9958,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,0.2978,-0.9524,-1,-1,-0.886,0.9732,0.9534,0.5332,-1,-0.2612,-1,0.9964,-0.5,-1,-1,0.5352,-0.5678,-0.892,-1,0.8812,-1,-0.9994,-1,0.8244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.9276,-0.969,-0.9142,-0.9696,-1,-0.7858,0.5438,-1,-0.928,-0.8292,-1,-1,-1,-0.7876,-1,-1,-1,-0.838,-0.9918,-1,-1,-0.74,-0.807,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.9954,-1,-0.9822,-0.7834,-1,-0.8454,-1,-1,-1,-0.7594,-1,-1,-1,-0.9098,-1,-1,-1,-0.8466,-0.916,-1,-1,-0.7654,-0.7606,-1,-1,-1,-0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.9218,-1,-1,-0.8088,-1,-0.9504,-1,-1,-1,-0.7052,-1,-0.8232,-1,-0.8698,-0.9372,-1,-1,-0.8414,-0.8982,-0.8326,-1,-0.8304,-0.791,-0.831,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
