,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
24,0.9918,-1,-1,-1,0.984,-0.814,-0.9996,-1,-0.7972,0.9902,0.0716000000000001,-0.6482,-0.7368,0.9814,-0.7698,-0.7572,-0.563,-0.2898,-1,-1,0.6045,-1,0.2408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.9468,-0.9444,-1,-1,-1,-0.00660000000000005,-0.8678,-1,-0.941,0.859,-0.1762,-0.725,0.0887,0.5846,-0.8982,-0.8444,-0.7174,-0.354,-1,-0.982,0.4601,-1,-0.097,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.874,-0.9332,-1,-0.9374,-1,-1,-0.9744,-1,-0.9272,-1,-0.7584,-0.6732,0.14,-1,-0.874,-0.8894,-0.9764,-0.3202,-1,-0.933,0.1092,-0.933,-0.9266,-0.8056,-0.8688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.867,0.1813,0.18,0.1822,-1,0.0904,0.648,0.1763,-0.2304,-1,0.2398,0.3383,0.1739,0.5436,0.3272,0.3337,0.4576,-0.3628,0.1787,0.1783,-0.17,0.3338,0.482,0.4568,0.3351,0.4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.325,0.2705,0.2611,0.2619,-1,-0.0366,0.3748,0.2646,-0.2428,-1,0.3462,0.4657,0.2624,0.6692,0.4623,0.464,-0.098,-0.3174,0.264,0.2686,-0.0182,0.4683,0.624,0.6168,0.4527,0.0167999999999999,-0.9538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-0.0246,0.4875,0.4835,0.4896,0.9996,0.3126,0.884,0.4847,0.5054,0.1452,-0.756,-0.048,-1,0.4644,0.3296,0.3026,0.0214000000000001,-0.5872,0.4789,0.4818,0.1246,0.7361,-0.9138,0.7338,0.7432,0.3538,0.3712,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.9348,-0.8786,-1,-0.8672,0.9992,0.6682,-0.4548,-1,-0.4668,0.9276,-0.1824,-0.732,0.0900000000000001,0.8468,-0.7878,-0.8646,-0.7234,-0.37,-1,-0.8742,0.4612,-0.9926,-0.1422,-0.8112,-0.8338,-0.874,0.3337,0.465,0.7375,NA,NA,NA,NA,NA,NA,NA,NA
31,0.623,0.0464,0.0452999999999999,0.0488999999999999,0.9666,0.3458,-0.5656,0.0482,-0.6496,0.6904,-0.5136,0.0914999999999999,0.0432999999999999,0.6462,0.0943000000000001,0.0952,-0.8708,-0.8292,0.0483,0.0446,-0.583,0.0949,-0.3674,0.1404,0.0898000000000001,-0.7926,0.1856,-0.7414,-0.0872000000000001,0.0908,NA,NA,NA,NA,NA,NA,NA
32,0.6524,-0.9114,-0.9046,-0.9136,0.5892,-1,-0.9894,-0.91,-0.9608,0.0986,-0.5488,-0.8292,0.0469999999999999,0.2914,-0.8618,-0.8412,-0.7718,-0.5896,-0.9118,-0.9092,0.2588,-0.8468,-0.5324,-0.816,-0.9022,-0.791,0.1812,0.2604,0.4889,-0.8304,0.0471999999999999,NA,NA,NA,NA,NA,NA
33,-0.1168,-0.268,-1,-1,-1,0.9262,0.8708,-1,0.629,-0.633,-0.8666,-1,-1,0.7314,-0.0546,-1,-1,-0.00739999999999996,-1,-0.2612,0.6188,0.194,-0.1474,0.6714,0.335,-1,0.8394,0.608,-0.274,0.4878,-1,-0.2784,NA,NA,NA,NA,NA
34,0.9542,-1,-1,-1,-1,-0.4664,-0.9284,-1,-0.9066,0.923,-0.1392,-0.7132,0.0940000000000001,0.8522,-0.8582,-0.8322,-0.7072,-0.3578,-1,-0.9858,0.4676,-1,-0.0114,-1,-1,-0.8762,0.3298,0.4616,0.7364,-0.813,0.0918000000000001,-0.9868,0.3574,NA,NA,NA,NA
35,0.6434,-0.9026,-0.9094,-0.9024,0.9662,0.364,-0.5926,-0.9086,-0.6458,0.7054,-0.5062,-0.8624,0.0499000000000001,0.6484,-0.8336,-0.8566,-0.8384,-0.729,-0.8972,-0.9084,0.2701,-0.8638,-0.3408,-0.7204,-0.8478,-0.85,0.185,0.2604,0.4921,-0.8446,0.0492999999999999,-0.9036,0.1576,-0.8276,NA,NA,NA
36,0.8052,-0.925,-1,-0.9218,-1,-1,-1,-0.9212,-0.5792,-1,-1,-0.9112,-0.8456,-1,-0.8506,-0.8956,-0.8024,-0.61,-1,-0.929,0.4598,-0.898,-1,-0.9244,-0.8486,-0.8606,0.3188,0.4614,0.3162,-0.8586,0.0946,-0.9196,-1,-0.8466,-1,NA,NA
37,0.8528,-0.9088,-1,-0.9036,-1,-0.101,-0.6958,-1,-0.7772,-1,-0.3748,-0.6542,0.1361,0.2442,-0.8428,-0.8566,-0.8984,-0.5946,-1,-0.908,-0.0648,-0.9136,-0.8628,-0.734,-0.8352,-0.95,0.4573,-0.086,0.2544,-0.8158,-1,-0.9096,-1,-0.8334,-1,-0.8232,NA
