,711_E-2-S,711_E-2-M,711_P-1-S,711_P-1-M,711_P-1-D,711_P-2-S,711_P-2-M,711_P-2-D,711_P-3-M,711_P-3-D,711_S-1-S,711_S-1-M,711_S-2-D,712_E-1-D,712_P-1-S,712_P-1-M,712_P-1-D,712_P-2-S,712_P-2-M,712_P-2-D,712_P-3-S,712_P-3-M,712_P-3-D,712_S-1-X,712_S-2-D,712_S-3-S,713_E-1-X0,713_E-1-X1,713_E-2-X1,713_E-3-D,713_E-3-X0,713_E-3-X1,713_P-1-X1,713_P-3-M,713_P-3-X1,713_S-1-X0,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_E1_20-24,714_E1_30-34,714_P1_20-24,714_P1_30-34,714_P3_30-34,714_S1_10-14,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,715_E3_20-24,715_P1_10-14,715_P1_20-24,715_P1_30-34,715_P2_10-14,715_P2_20-24,715_P3_20-24,715_P3_30-34,716_P1_1-5,716_P1_10-14,716_P1_30-34,716_P2_1-5,716_P2_10-14,716_P2_20-24,716_P2_30-34,716_P3_1-5,716_P3_10-14,716_P3_20-24,716_P3_30-34,716_S1_1-5,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S3_10-14,716_S3_20-24,717_P1_10-14,717_P1_20-24,717_P2_1-5,717_P2_10-14,717_P2_20-24,717_P3_1-5,717_P3_10-14,717_P3_20-24,717_S2_1-5,717_S2_20-24,717_S3_1-5,717_S3_10-14,717_S3_20-24
711_S-1-S,0.914078036730159,0.535126103899028,0.449326675239245,0.64021303638093,-0.212217483029377,0.898752365428088,0.736103112251332,-0.270210681802461,0.384001456906972,-0.309395005564551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-1-M,0.914078036730159,0.535126103899028,0.449326675239245,0.64021303638093,-0.212217483029377,0.898752365428088,0.736103112251332,-0.270210681802461,0.384001456906972,-0.309395005564551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-D,0.375875284385641,NA,-0.0924806881164277,0.60482363399097,-1.00755857608376,0.368216626222919,0.18800551658524,-1.00513843999184,0.336267951652022,-0.0419007612441805,0.535126103899028,0.535126103899028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-D,0.243605477942398,-1.51911408403726,-0.230849645685678,-0.375198776113894,-2.12011588969039,0.220036053942625,-0.637853599891081,-0.511813921410872,0.113842236483525,-0.0730978431205984,0.408688736552516,0.408688736552516,-1.51911408403726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-S,0.853722486935819,-0.578756716317655,0.463256358533812,0.631161460305992,-1.87398061236391,0.823802481118364,0.121050639947608,1.83518972600795,0.518083255661022,0.323569725991237,-0.738948915486728,-0.738948915486728,-0.578756716317655,0.345358384479665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-M,0.28547736513865,1.03390194266662,0.480826074480303,1.42293796911529,1.36571219383871,1.01150081768418,1.2261572465901,1.85052618106964,1.28527870954152,0.0938897820695556,-1.4627711875975,-1.4627711875975,1.03390194266662,0.829236074406673,0.0178624893021722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-1-D,1.06677399759697,-0.476127276805786,0.383527672285793,-0.736099381249273,-0.0355907002585392,0.330517843541332,-0.616535824406341,1.67061747497986,-0.0643095929255929,-0.696857205714497,-0.594647854251332,-0.594647854251332,-0.476127276805786,0.747726719398788,-0.825573033473565,0.892154490073648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-S,0.046936861059604,-0.0924806881164277,NA,0.172037945302217,0.437477069581059,0.0220168200249248,-0.0432029051675531,2.39060760123768,0.0999819112609312,0.624941812504936,0.449326675239245,0.449326675239245,-0.0924806881164277,-0.230849645685678,0.463256358533812,0.480826074480303,0.383527672285793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-M,-0.461786707583712,0.843889965146112,0.244874860890058,1.04474821182752,0.702816841458319,0.905167823207344,1.00375593179023,0.882218647681915,1.00639058699249,-0.598571361266139,0.125902136894848,0.125902136894848,0.843889965146112,0.657224540670046,0.293835064812151,-0.719386510136132,0.0520529629778081,0.244874860890058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-2-D,1.21125981344772,0.527700903420539,0.975832839645197,1.17538969697128,-0.298157369366679,0.301764468508125,1.81528381334573,-0.684832260581183,2.14463264095421,-0.674501499550439,-1.53658955124621,-1.53658955124621,0.527700903420539,0.141720435099838,-0.132837032593715,-0.269092767079163,-0.570922776290732,0.975832839645197,-0.882511539384543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-S,-0.982454338215428,0.354862519892256,0.0220168200249242,0.923756661417205,0.732886111173818,0.0220168200249246,0.507680788960917,1.35982329440445,0.802747026548881,-0.00609850150382464,0.964556895969287,0.964556895969287,0.354862519892256,0.182969821008618,1.12821322355924,1.06230131373389,0.604639410638114,0.0220168200249242,1.05379481065608,0.679776561680338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-M,0.0417160561994307,0.863765536586833,0.509164496776294,1.04474821182752,1.10263713222534,1.04379665608484,1.00375593179023,1.3513132061724,1.00639058699249,-0.539377850406162,-0.840605904752676,-0.840605904752676,0.863765536586833,0.676051787654403,-0.341061345964526,-0.719386510136132,0.19952432816118,0.509164496776294,NA,-0.798395407494562,1.161343060422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_P-3-D,0.540194479312795,0.00426075406001266,0.314052604607177,-0.0677899320773713,-1.4834161148215,-0.258264019237193,0.487345442365825,2.90973138553596,0.0719985414081129,-0.718228362648064,0.262265635914443,0.262265635914443,0.00426075406001266,-0.375912741183591,0.419999216076805,0.91031008506549,-1.36216518578694,0.314052604607177,0.303292286297553,-0.785017842352735,0.105356760393896,0.577706612678321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-1-X,0.243605477942398,-1.51911408403726,-0.230849645685678,-0.375198776113894,-2.12011588969039,0.220036053942625,-0.637853599891081,-0.511813921410872,0.113842236483525,-0.0730978431205984,0.408688736552516,0.408688736552516,-1.51911408403726,NA,0.345358384479665,0.829236074406673,0.747726719398788,-0.230849645685678,0.657224540670046,0.141720435099838,0.182969821008618,0.676051787654403,-0.375912741183591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-D,0.914078036730159,0.535126103899028,0.449326675239245,0.64021303638093,-0.212217483029377,0.898752365428088,0.736103112251332,-0.270210681802461,0.384001456906972,-0.309395005564551,NA,NA,0.535126103899028,0.408688736552516,-0.738948915486728,-1.4627711875975,-0.594647854251332,0.449326675239245,0.125902136894848,-1.53658955124621,0.964556895969287,-0.840605904752676,0.262265635914443,0.408688736552516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,0.914078036730159,0.535126103899028,0.449326675239245,0.64021303638093,-0.212217483029377,0.898752365428088,0.736103112251332,-0.270210681802461,0.384001456906972,-0.309395005564551,NA,NA,0.535126103899028,0.408688736552516,-0.738948915486728,-1.4627711875975,-0.594647854251332,0.449326675239245,0.125902136894848,-1.53658955124621,0.964556895969287,-0.840605904752676,0.262265635914443,0.408688736552516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
