,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
17,0.848,1,-1,-1,-1,0.8504,0.8438,1,0.996,0.999,-1,-0.316,1,0.669,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.2557,0.9806,-0.8224,-1,-1,0.2524,0.2542,-1,-1,-0.9924,-1,-0.9164,-1,0.517,-0.8778,-0.6528,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.2331,0.8656,-0.6964,-1,-0.8764,0.2299,0.2294,-1,-1,-0.9776,-1,-0.9442,-1,-0.513,-0.9504,-0.7068,-1,-0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.6939,0.9948,0.5162,-1,0.325,0.6956,0.6872,1,1,0.9496,0.111,0.3142,1,0.9954,0.4244,0.2874,1,0.2592,-0.4412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.0553999999999999,-1,-0.8254,-0.8862,0.0525,0.0484,0.0551999999999999,-1,-1,-0.2424,0.0995999999999999,-1,-1,-1,-0.6052,0.1017,-1,-0.57,-0.6176,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.0285,0.9304,-0.8582,-0.92,0.0273000000000001,0.0245,0.0253000000000001,0.9328,0.8336,-0.3608,0.0484,-0.1994,0.9942,0.6134,-0.703,0.0476000000000001,0.8454,-0.7432,-0.7696,0.337,-0.9556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.844,0.9926,0.8958,0.5392,0.6526,0.8429,0.8422,0.9468,0.919,0.9986,0.7638,0.6982,1,0.9962,0.5598,-1,0.9506,0.8696,0.5744,0.7034,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.052,0.935,-1,-0.9784,-0.9692,0.0510999999999999,0.0533999999999999,-1,-1,-1,-0.9478,-1,-1,-1,-0.8228,0.0992,-1,-1,-1,-1,-0.8808,-0.9146,0.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0750999999999999,0.9984,-0.9716,-0.9496,-1,0.0820000000000001,0.0753999999999999,-1,-1,-1,-0.9166,-0.5454,1,0.9196,-0.6734,0.1528,0.926,-0.894,-0.821,0.7684,-0.8572,-1,0.936,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-1,0.9992,0.9606,0.8136,0.8861,-1,-1,1,1,1,0.9212,0.8068,1,0.999,0.9234,0.7428,1,0.9336,0.7118,0.974,-1,-1,0.9714,0.9124,0.9842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.0276000000000001,0.8656,0.1035,0.0824,0.0263,0.0273000000000001,0.0242,0.8904,0.5832,0.4035,0.0532999999999999,-0.2352,0.821,-0.0244,0.2289,0.0537000000000001,0.8076,0.2578,0.2362,-0.073,-0.9242,0.0269999999999999,-0.136,0.0516000000000001,0.079,0.2698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0527,0.9404,-0.9478,-0.9714,-0.9524,0.0515000000000001,0.0488999999999999,-1,-1,-1,-0.9514,-1,-1,0.4744,-0.8116,0.1015,-1,-0.957,-0.9346,0.1296,-0.9228,-0.9048,0.6618,-0.9974,-0.9892,0.8456,0.0519000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.7305,0.6488,0.6208,-0.2342,0.0620000000000001,0.733,0.7333,1,1,0.9874,-1,0.6554,1,1,0.7758,0.17,1,0.7498,0.5702,0.8048,-1,-1,0.9998,-1,0.678,0.9346,-1,-0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
