,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34
712_E-2-M,-1.41300527044689,-1.78518187431362,-1.61030709341521,-0.900289129837076,-0.754039754471315,-1.56078746915277,1.23834482332253,1.27831285702397,-0.822240733044895,0.669102534811082,-2.08142594574623,-1.23408271371365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,-0.284346223482303,-0.617707715723244,0.208173957533804,-0.340789787920002,-0.743556857013998,-1.23967778204041,-0.115156034405421,-0.0345581284546828,-1.66801402598998,0.209132045380056,-1.61864993500367,-0.444657636679104,-1.55444594794793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,-1.27352654057433,-0.57419180581855,-0.0799905000668928,-0.70118784089858,-0.64329930254662,0.104360433770274,-0.635743449322706,-0.814331894346355,1.05807918028997,0.206009842532275,-0.502829839920297,-0.659039034040599,-0.495593425917779,1.18971824431411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,-1.62625727605087,-1.35000003342986,-0.601843989778415,0.077820606765487,-1.13685739044842,-0.0757190689921468,-1.49137839177155,0.0519758812182544,0.582523616784462,-1.46116338282887,-0.172764811261687,-0.160659683932432,-1.49035234275642,-0.209513611470741,0.534353147036572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-D,-0.0735379439649594,0.0654667890973626,0.46219805563387,-0.153985720238627,-0.542024082770694,-0.970499359490912,-0.0257390783743146,-0.0700805982886548,0.539965062237816,0.295128390686525,-0.856335795656137,-0.579783481255569,-1.39564181780157,0.66750126884023,0.0138921198928739,0.344446695321775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-S,-1.42256122068355,-0.970718325685448,0.000565915677359778,-1.04090514073172,-0.155893902419011,0.641574784133033,0.80332330967513,0.93083697372976,-0.748706957503768,1.81018287242429,-1.76656867731117,-1.28752204387541,-0.655125538829841,0.132481918274131,-0.0560528005120129,-0.0698359055814643,0.0304538179358062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-M,-1.71789811727298,-1.01361707251577,0.554271290780665,-1.80102553605042,-0.464327684761934,1.50798733064248,0.130084268208757,0.730031414371943,-0.676192240523044,2.36117296749797,-1.45448620346179,-1.5583098067892,-1.03517745193005,0.433190140060612,0.0541439684446498,-1.30152532182102,0.189181099836606,0.176895794812758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-D,-1.52954548376026,-1.16985492629381,0.674214061167825,-1.9968277848385,-0.396593114461782,0.0396080466431043,0.160832428057476,-0.206861943777422,-1.72960246462483,0.938959094855981,-1.74629380898335,-1.51339937797905,-1.50307469697181,-0.581445946691832,0.0592009815128022,-1.11420552465134,-0.244745700028104,-0.346511419174154,0.639437469407632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X0,2.60114568421321,0.723450510209971,0.830552998035204,0.00529265476836587,-0.243622721690028,-0.363822417515527,1.76935088953372,1.07458586863304,0.984092363911425,1.71437719870218,1.86028471063181,1.06236749759259,0.94784230831713,0.844363675408798,0.939306848177956,0.995513419674894,1.78725616175374,0.975916100323269,1.10413014371599,0.205267358585931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-1-X1,1.77401631564412,-0.00487028634551649,-1.13961137482649,0.0163800789891266,-0.997081661527848,-1.29783636445457,0.281756833251903,-0.0818783611655775,-0.64245533330111,0.292171807391845,0.498701188463979,0.210315632819839,0.799540469514268,-0.896889440390212,0.575084343023932,1.02954494294423,-0.466367160721892,0.183151793992069,0.427763253841852,-0.245423154843802,0.485134896314235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-S,-2.15805836851982,-2.14757275113225,-0.783646789028775,-1.09446946174862,-1.71984889358846,-0.756626234098932,-0.495237837940383,-1.11257956725705,-0.0149354690489898,-0.951679462028781,-0.678365246448145,-1.88077052687402,-3.06943694917012,-0.612414827102653,-0.583702840232648,-1.0533137781426,-0.216001788901453,-1.01141703296962,-1.61210683471264,-1.63535472769875,0.487173129589853,0.602236198174331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-M,-1.88718093651658,-1.57335614262884,-1.06594121455637,-1.26309420625721,-1.40815865930819,-0.427831218891571,0.681556004787477,-0.72812790052006,0.342028224723712,1.21445351514009,-1.99990036695682,-1.94752822747318,-2.41460570644034,-0.644489840590028,-1.08933274879893,-1.29301342673433,-0.22785676118063,-0.707737869923834,-0.76400106876247,-0.528174908093702,0.935717514884147,-0.018252637637225,-2.36058775654287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-D,-1.52062539141899,-2.59175360905383,0.962523363111505,-0.189437561229647,-0.823105737523553,0.688690244290253,0.0406637820184954,-0.0739445498447538,-0.458455119850929,0.486638583129123,-1.86956335037751,-2.45134131874777,-2.6509881229371,0.216074012561816,0.105928672867377,-0.410539085858853,0.565858205092077,-0.198033585196822,-0.215628975371687,-0.247066411776448,0.717421941596405,0.426308438686039,-0.518410720439864,-0.964274365020397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X0,1.33930228329595,1.16886871648532,1.27313568666488,0.545761790357093,1.21443551833197,0.992841480917383,1.06681356221185,0.902908346726284,2.26924412570151,1.14573954581091,2.55807194893564,0.878190652000083,0.854076746863006,2.05092922603722,1.22789393091064,0.970854629166509,2.40421748702665,0.853975740949612,0.951513037941593,1.0690877521221,2.04508715604362,2.15619377082448,0.386080970566609,0.127271527112449,0.942918560621814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-2-X1,1.62786758090605,-0.359721636196915,-0.836743400857766,0.142307870416181,-0.903609193170262,-0.726994735860435,0.866295314135726,0.619919969739253,-0.323868078818132,-0.0167905316606462,0.562324973297464,0.237794350547988,0.471296391526867,-0.694470577797823,0.52414967890828,0.768189210092618,-0.344562012902956,0.152471032257732,0.0402954673592665,-0.176177069835448,1.80522006953587,0.29212436209468,0.268949003224563,-0.600801744891816,1.27468188251791,0.827591919092905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-S,0.287191893968482,0.781993805606867,-0.0618380023273461,-0.52586398582609,0.382818405977589,0.686285548160125,0.0649848125251886,0.683620523137389,2.08098497932726,0.729593328319615,-0.64044941394803,-0.0905725171680973,-0.921908769764581,0.596667199275862,-0.506314521606981,-1.44293083478656,1.11654160549819,-0.734193213686023,-0.707872384124658,-0.729405476601335,1.98375141859267,0.421286058101503,-1.87075052909171,-0.863830735652946,-1.68308504684807,0.306720934895872,0.0138653726991819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-M,0.339492496497807,0.136555490348377,0.892485870681487,-0.689718198991815,-0.436846402646464,-0.159729128650111,-0.110202534711286,-0.117980427777128,2.20712327138736,0.71875559214969,-0.756111097776813,-1.0652427382868,-1.74971948584295,1.26335302008768,-0.0536787814171579,0.279238559930062,0.845164409393555,0.16409330594302,0.160599491661995,-0.0411630251787907,2.01954099557331,-0.125473781716729,-0.135221913652287,0.0965433431430242,0.57788912896283,1.15445464744392,0.69017838693836,0.354256384658196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-D,2.53732494780795,0.279189832522564,1.12945042874406,0.673153189654928,0.0573964056537871,0.24558089465301,2.12278985968823,1.57163340783819,1.78240222862534,1.25566845353073,2.43633786062783,1.34165443334244,1.64111900771133,0.753483228876059,1.20751104959179,0.88456364076709,1.80126559894488,1.16144374713601,0.914821064128707,0.263538292208097,1.40393959472848,1.20921377593863,0.657958853240182,0.667299625798057,1.59182921616068,1.03146199365784,0.501386773303984,1.141177196569,1.85164753862254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X0,2.35125794358599,-0.00148952497477276,0.481522487429876,0.641491712833698,0.0240166446344881,0.0159566162436048,1.980241476625,1.29317725211347,1.24189252343794,0.647662515503168,1.57891821797799,1.07599150245712,1.52563343846438,0.151670827280285,1.51887427124327,0.750091793215106,1.5375483952558,0.838639082738152,0.824255937278675,-0.168464400562302,2.07422842536879,2.25730652706828,0.175787037132604,0.101881519589887,1.57860545621167,0.906979213698561,1.50464266045487,0.489460984952393,1.73229230201006,-1.01292119450709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_E-3-X1,1.10516736534052,-0.647521480294392,-0.787719197994832,-0.47989902803514,-0.782631981147463,-0.913781878617585,0.620714369319427,0.462936554880802,-0.0395265846532486,-0.420280132891181,0.791767543917522,-0.353173026338641,-0.137363868817411,-0.797595782276433,0.508149500958749,0.440375538419632,0.0436142387644865,-0.417782561218201,-0.374316023804826,-0.675538095671874,0.189627664529796,0.0856555756708484,0.228377662812695,-0.658915320191716,0.68937950242734,-0.758041911422846,0.630166756296486,-0.376290422650412,0.480908706909189,-1.06864779493504,-0.884071250949572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
