,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
17,0.6081,0.6014,0.7998,0.5682,0.1178,0.3708,0.3605,0.4164,-1,-0.0292,-1,-0.1988,-0.167,0.6922,0.1626,-0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-0.8072,0.367,0.9158,-1,-0.5394,-0.9376,-1,-1,-1,-0.193,0.1384,-0.2748,-0.2662,-0.633,0.4943,-0.2538,-0.6632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-1,-1,0.1506,0.996,-0.7162,-1,-1,-0.2306,1,-0.00360000000000005,0.9966,0.0516000000000001,0.0124,-0.2276,-0.6514,0.6582,0.6802,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-1,-1,0.8472,0.9956,-1,-1,-1,0.9232,1,0.7278,0.9956,0.4494,0.4414,-1,-1,0.8924,0.2458,-1,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-1,-1,1,0.9994,-1,-1,-1,0.9998,1,0.9996,0.8022,0.9936,0.9932,-1,-1,1,-1,-1,0.9998,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,-0.9268,0.0967,0.3794,0.5628,-0.874,0.0522,-0.9386,-0.2706,0.79,-0.4986,0.4718,-0.6692,-0.682,-0.878,0.1491,-0.6266,0.2011,-0.9138,-0.185,0.3826,0.7842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.9224,0.1013,0.3826,0.5828,-0.876,0.0544,-0.9318,-0.2418,0.8166,-0.5,0.4776,-0.6896,-0.684,-0.8818,0.1502,-0.631,0.1923,-0.9122,-0.1616,0.383,0.7928,-0.9502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-0.7222,-0.9818,-1,-1,-1,0.241,-0.763,-1,-1,-1,-1,-0.9452,-0.9752,-1,-0.9538,-0.3106,0.6992,-0.6134,-1,-1,-1,-0.8854,-0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.4588,-0.9996,-1,-1,-0.9758,0.3228,-0.6404,-1,-1,-1,-1,-0.9992,-0.9976,-0.8382,-0.9286,-0.2814,-0.2026,-0.2706,-1,-1,-1,-0.7652,-0.7734,-0.9888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.0934,-0.8798,0.7984,0.9762,-0.7586,0.4105,0.4143,-0.1216,-1,-0.5714,0.5342,-0.6972,-0.7104,-0.7084,-0.7712,-0.283,-0.4152,-0.5232,-0.1114,0.7518,0.8926,0.2309,0.2193,-0.831,-0.8894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.0988,0.1002,0.3614,0.5406,0.1766,0.0507,0.0543,-0.3114,0.768,-0.5598,0.448,-0.8182,-0.8184,0.1243,0.1488,-0.5788,-0.6838,-0.9228,-0.2304,0.307,0.7356,0.0251999999999999,0.0264,0.1264,0.1739,-0.8876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,-0.836,-0.4918,0.4164,0.9384,-0.1462,-0.8178,-0.7738,-1,0.9956,-0.2016,0.9062,-0.139,-0.1862,-0.3182,-0.4656,-0.0684,-0.1896,-0.7902,-1,-1,0.9956,0.1014,0.1058,-0.4048,-0.2006,-0.5436,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,-1,-1,0.5746,0.9898,-0.7576,-1,-1,-0.0294,1,-0.1316,0.9376,-0.1424,-0.1782,-0.3658,-0.6994,0.4986,0.1828,-1,-0.2638,0.4464,0.9996,-1,-1,-1,-1,-0.1954,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,-1,0.2772,0.9322,0.9878,0.6038,-1,-1,0.9686,1,0.797,0.9736,0.9196,0.9028,0.4992,0.4522,0.789,-0.1298,-1,0.9464,0.9218,0.9994,-1,-1,-1,-0.325,0.5102,-1,0.8836,0.9118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,-1,-1,0.991,0.9848,-1,-1,-1,0.9988,0.9768,0.9922,0.6994,0.9222,0.9108,0.9568,-1,0.9924,0.5366,-1,1,0.9868,0.9746,-1,-1,-1,-1,0.6334,-1,0.9632,0.9896,0.9868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,-1,-0.5436,0.8798,0.8808,-0.3458,-0.239,-1,0.5584,-1,-0.2126,0.5202,-0.166,-0.166,-0.4348,-0.4934,-0.6674,-0.704,-0.3452,0.4054,0.6512,0.9442,-1,-1,-0.7692,-0.4222,-0.4724,-1,-0.3548,0.362,0.2692,0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,-0.9216,0.2797,0.1322,0.8078,-0.6096,0.1448,-0.8324,-0.5442,0.9842,-0.5898,0.7924,0.0904,0.0165999999999999,-0.8664,-0.4676,-0.5766,0.5125,-0.7254,-0.0168,0.3416,-1,-1,-1,-0.6644,-0.3962,-0.4412,0.0760000000000001,-0.6444,-0.1128,0.648,0.964,-0.5316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
