,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
17,0.7472,0.9528,0.9636,0.4834,1,0.798,0.85,0.8974,0.505,1,0.8254,-0.9708,0.3846,-0.9828,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.9994,1,0.6448,0.9804,0.827,-0.3152,1,1,0.999,1,0.999,0.8774,0.8028,-0.2238,-1,0.2684,0.9782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.9978,0.9996,0.9608,0.9656,0.9646,0.696,0.9998,0.998,0.9998,1,0.9958,-0.8168,0.1798,0.7626,-1,-1,0.9976,0.5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.999,1,0.7044,0.9912,0.9786,-0.9738,1,1,0.8264,1,0.983,0.8496,0.949,-0.728,0.1118,0.6826,0.4854,0.9602,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.969,0.6288,0.2582,-0.5286,-1,0.2026,0.768,0.84,0.3454,1,0.7274,0.9082,0.9688,-0.8788,0.361,0.4276,-0.139,0.936,0.9274,0.9392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.999,0.9276,0.7052,0.0728,-1,0.7532,0.8642,-1,0.5826,1,0.9666,0.9812,0.9732,-0.671,0.7522,0.877,0.38,0.9778,0.9802,0.9812,-0.9866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,-0.1172,0.8762,-0.8948,-0.082,0.8102,-0.9704,-0.0446,0.9218,-0.028,1,-0.3636,0.8268,0.921,-0.7182,0.1858,-0.9022,-0.904,0.1108,-0.3802,0.724,0.7494,0.9556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.999,0.9712,0.445,0.9298,0.9842,-0.0278,0.9862,0.9746,-0.2374,1,0.952,0.999,1,-0.8764,-0.816,-0.895,-0.7388,0.9778,0.89,0.9792,0.9258,0.8922,-0.7588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,0.9974,0.849,0.815,0.9224,0.768,1,0.9968,0.539,1,0.998,0.9952,0.9996,0.3518,-0.9146,0.6428,0.5042,0.9952,0.9736,0.9996,0.8802,0.9086,0.6414,0.9794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,-0.2374,-1,-1,-0.8746,-1,-1,0.0189999999999999,-1,-0.5978,1,-0.3732,-0.398,-0.1664,-1,-0.6876,-0.4432,-1,-1,-1,0.195,-0.6492,0.6232,-0.5052,-0.2412,-0.7496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
