,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
17,0.138,-0.7606,0.2966,0.00360000000000005,-1,0.6178,0.1064,-0.988,-1,0.789,-1,0.6172,0.8786,-0.0734,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.4422,-0.6586,-0.129,-0.093,0.5754,-0.717,-1,0.9408,-1,-0.7768,0.6772,0.1124,-0.0532,-0.248,0.3502,0.3422,0.9267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-1,0.2384,-1,0.2038,-1,0.4674,0.0341,-0.9634,-1,0.4005,-1,0.4762,-1,0.3273,-1,-1,-0.9702,0.5738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.8546,-0.6558,0.6858,0.2436,0.6628,0.7982,0.1511,-0.9994,0.8292,0.8779,0.6068,0.832,0.9826,0.0271999999999999,-1,-1,-1,0.918,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.742,0.1251,0.2908,0.109,0.9226,0.2723,0.0168999999999999,-0.7928,0.9228,0.2221,0.839,0.5092,0.6528,0.1821,0.0199,-0.9628,-0.8374,0.3449,-0.9444,-0.7398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.7486,0.1253,0.3144,-0.8234,0.9334,-0.5958,0.0197000000000001,0.1586,0.9238,-0.7982,0.8368,-0.3044,0.6794,-0.7926,0.0156000000000001,0.0212000000000001,0.1088,-0.6408,0.0362,0.14,0.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.5312,-0.4168,0.3586,0.2996,-1,0.1522,0.054,-0.7894,-1,0.5276,-1,0.7206,0.7482,0.4626,-1,-1,-1,0.7182,-0.8918,-1,-1,0.0528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.6894,-0.3244,-0.3564,0.2898,0.8408,0.7554,0.1823,-0.9946,0.7316,0.6786,0.641,0.8956,0.1442,0.199,-1,-0.7488,-0.9654,0.9204,-0.978,-0.9934,-0.771,0.18,-0.7348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.9994,-0.4722,0.9812,0.712,0.9902,0.7936,0.2701,-0.9962,0.9834,0.868,0.9934,0.984,1,0.245,-1,-1,-1,0.9282,-1,-0.9518,-1,0.2733,-1,-0.9954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.868,-0.288,0.847,0.5002,0.4538,0.8494,0.2159,-0.9598,0.7756,0.7416,0.7908,0.8328,0.9768,0.0868,-1,-1,-0.9766,0.8528,-1,-0.999,-1,0.2188,-1,-0.9952,-0.9956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
