,711_E-1-S,711_E-1-M,711_E-1-D,711_E-2-S,711_E-2-M,711_E-2-D,711_E-3-S,711_E-3-M,711_E-3-D,711_P-1-M,711_P-1-D,711_P-2-D,711_P-3-D,711_S-2-M,711_S-2-D,712_E-1-M,712_E-1-D,712_E-2-S,712_E-2-M,712_E-2-D,712_E-3-S,712_E-3-M,712_E-3-D,712_P-1-D,712_P-3-D,712_S-1-X,712_S-2-X,712_S-3-D,712_S-3-X,713_E-1-S,713_E-1-M,713_E-1-D,713_E-1-X0,713_E-1-X1,713_E-2-S,713_E-2-M,713_E-2-D,713_E-2-X0,713_E-2-X1,713_E-3-S,713_E-3-M,713_E-3-D,713_E-3-X0,713_E-3-X1,713_P-3-X1,713_S-2-D,713_S-2-X0,713_S-3-S,714_E1_1-5,714_E1_5-9,714_E1_20-24,714_E1_30-34,714_E2_1-5,714_E2_5-9,714_E2_20-24,714_P1_20-24,714_P1_30-34,714_S1_20-24,714_S1_30-34,714_S3_1-5,715_E1_1-5,715_E2_1-5,715_E2_20-24,715_E2_30-34,715_E3_1-5,715_E3_10-14,715_E3_20-24,715_E3_30-34,715_S1_30-34,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_E1_1-5,716_E1_10-14,716_E1_20-24,716_E1_30-34,716_E3_1-5,716_E3_10-14,716_E3_30-34,716_P1_30-34,716_P3_1-5,716_P3_30-34,716_S1_20-24,716_S1_30-34,716_S2_30-34,716_S3_30-34,717_E2_1-5,717_E2_10-14,717_E2_20-24,717_E3_1-5,717_E3_10-14,717_E3_30-34,717_P2_20-24,717_P3_20-24,717_S2_30-34,717_S3_20-24
711_P-3-D,-1.07255340956261,-1.73397699400444,-2.068191078768,-1.27395979826953,-2.33834491356375,-2.1168219674521,-0.855775566988504,-1.5735392901915,-2.21237076047483,0.526011742436426,-1.94585074614987,-1.31960903475367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-M,0.457406706825767,-1.29569954340436,-1.20321663435865,-0.54623461583069,-2.87304158055589,-2.0454287736815,-0.198701350046455,0.0747180308699179,-1.89278643645171,0.637865071880284,-0.262858619869763,1.02501147015381,-2.49997369249627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711_S-2-D,0.457406706825767,-1.29569954340436,-1.20321663435865,-0.669731671251405,-2.87304158055589,-2.0454287736815,-0.277667692740482,0.0747180308699179,-1.89278643645171,0.681483469469036,-0.262858619869763,1.02501147015381,-2.51552945595464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-M,-1.76843027346724,-1.47386588020941,NA,-1.161085399669,0.947967672883103,1.74382256573481,-1.40533429572595,-1.93220234056908,NA,0.663669893325704,0.918942531124828,0.421521129618838,-1.52822458682253,-0.401017615597143,-0.401017615597143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-1-D,-0.998594339015495,-1.01557127830801,0.864180882196057,-0.73734816453138,1.08969139935811,-1.58697642474938,-1.11143706828082,-0.743609316552715,1.17116121896387,1.05026145225964,1.40634507965172,1.53570317578067,-1.89496914639385,0.801096874668826,0.801096874668826,0.17535968008698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-S,-1.64551346839359,-1.44137049350386,0.232120256828297,-1.95770377239556,0.266494714269636,0.38215955396902,-2.34952431991521,-1.80015683962581,0.138384916250816,1.40562553705717,1.13621161268665,1.21286153424673,-1.92143066949259,-0.980730761545646,-1.11800525807928,-1.42593351757253,1.62288412163976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-M,-0.108469458812079,0.951005196473509,0.236813605320196,1.65375667807305,2.02801194703943,0.704886959781799,0.511385202362085,-0.269208836836138,-0.147183067090022,1.74818881097182,1.35477299052401,0.893667504499933,-1.37740245297934,-0.658933874809184,-0.791807064749207,-0.786243072976062,-0.246030156824545,-1.26847596215396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-2-D,-1.60386814525808,-1.47386588020941,NA,-1.02928885289579,0.965432038011042,1.74382256573481,-1.15749095369996,-1.72207372404332,NA,0.703983997870632,0.918942531124828,0.597756347763574,-1.77677077395086,-0.566966776151342,-0.566966776151342,NA,1.1515774466078,0.00971148944796634,-0.586249822100872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-S,0.419385541776422,-1.22342410340533,-0.693123638193434,-1.76646914998116,-2.6281802650139,-1.86963102144616,-1.00168231775326,-0.0328052444143266,-2.02641481507241,1.26848391724973,0.485104997386612,1.58712213834159,-2.09884369161692,0.219858091517184,0.219858091517184,-0.556474942926107,0.787051024005282,-2.29403798168126,-1.88006268759494,-0.689237183809606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_E-3-M,-0.827496305690569,-0.80778253061154,-1.04404960642861,-0.2943473401526,0.866671729086895,-0.941652330599183,-1.918580919812,-1.06712869699347,-1.49556389544022,1.42058281419562,1.66179742009473,1.12621088828405,-1.48857173986512,-0.856253095647879,-0.950612341786175,-1.85119642664997,-1.14642857706182,-2.13825596343117,0.280456344436996,-1.64778657627774,-1.77902975131016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
