,711_S-1-S,711_S-1-M,711_S-1-D,711_S-2-M,711_S-2-D,711_S-3-M,712_S-1-S,712_S-1-M,712_S-1-D,712_S-1-X,712_S-2-D,712_S-2-X,712_S-3-S,712_S-3-D,712_S-3-X,713_S-1-S,713_S-1-M,713_S-1-D,713_S-1-X0,713_S-1-X1,713_S-2-S,713_S-2-M,713_S-2-D,713_S-2-X0,713_S-3-S,713_S-3-M,713_S-3-D,713_S-3-X0,713_S-3-X1,714_S1_1-5,714_S1_5-9,714_S1_10-14,714_S1_20-24,714_S1_30-34,714_S2_1-5,714_S2_5-9,714_S2_20-24,714_S3_1-5,714_S3_5-9,714_S3_10-14,714_S3_20-24,714_S3_30-34,715_S1_1-5,715_S1_10-14,715_S1_20-24,715_S1_30-34,715_S2_10-14,715_S2_20-24,715_S2_30-34,715_S3_20-24,715_S3_30-34,716_S1_1-5,716_S1_10-14,716_S1_20-24,716_S1_30-34,716_S2_1-5,716_S2_10-14,716_S2_20-24,716_S2_30-34,716_S3_10-14,716_S3_20-24,716_S3_30-34,717_S2_1-5,717_S2_10-14,717_S2_20-24,717_S2_30-34,717_S3_1-5,717_S3_10-14,717_S3_20-24
712_S-2-D,-0.826271783343359,-0.0062832499390985,-0.349442197896749,-1.40143368528158,1.56164510701954,1.24558533588451,0.244655874827063,1.74106548189135,-0.675381669035847,-0.522127016606985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-2-X,-0.32561458932722,0.371916736819198,0.951600939415181,0.796276126494947,0.372412658711178,-0.79287936248772,-0.849755484959351,1.7284556600129,0.968915118457514,-1.42703416742552,0.194559568058984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-S,0.850295292095874,1.07270835496361,0.623031724596101,0.124295994192073,-0.39744805641454,0.758918056315246,-0.741180010011286,2.54918295657306,0.588757049796458,-0.263434513484745,-1.35117947185765,-0.159651887311381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-D,-0.111253639325947,0.77668826253385,0.734759872429483,0.790695180491048,1.01479444854836,0.774615263884704,-1.34968728740095,1.2929707680308,0.658000101801566,0.251174414153794,0.893483808342814,1.02477447632157,0.0410472537716962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712_S-3-X,-0.105163576123784,0.822587349348257,0.738266636170992,0.779985511781201,0.984787450806009,0.787579594265787,-1.34547483884556,1.26528188073525,0.643420941598141,0.331768066804105,0.92044986739365,1.00603353616222,0.00871226347471413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-S,1.35269924497445,0.354432369883237,-0.204653998030216,-1.61813097808503,0.0410779933915918,0.44248960203363,0.757625931336089,2.47498536478404,-1.0470933332427,-0.625873493241862,-0.896113197955769,-0.413418149261761,1.93374654837426,-1.46715195331024,-1.47072877724616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-M,1.02992600026258,1.26737609361388,-1.44106099737608,0.737519783883999,1.2022624126465,0.0387233479859861,1.58634676388112,2.08518347300221,0.747197233317085,0.2723648543373,0.248721915859467,1.2230914467655,0.885649777059267,0.868954903699266,0.870775146751937,0.779209471627678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-D,0.418544702881593,0.434540341305297,-0.559002184860711,1.41984737021495,0.783757789461762,-1.39260636216858,-0.643972083403,2.50758156687278,-0.279774244180559,-1.20179121830481,1.12518610632478,-1.10735321172877,0.686535641765809,0.551515337252185,0.57032733672901,-0.0253773156645637,-0.21009888920069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X0,0.731050614020085,0.767532465337809,-0.775898610968087,1.13852508367544,0.952435039483124,1.07821530733414,0.081260122018983,1.58661210593854,0.972955484441652,-1.27812688951357,0.837393306851972,0.75317490747148,0.648032137495452,0.718206300845033,0.72798130397309,0.166535129051037,-0.849591549352131,0.81865176688935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713_S-1-X1,-0.286961898848498,0.701853414049213,0.951600939415181,0.796276126494947,0.712578742121883,-0.79287936248772,-0.863786013947168,1.61685944163438,0.968915118457514,-1.3224893278107,0.194559568058984,NA,-0.159651887311381,1.02477447632157,1.00603353616222,-0.263076628645843,1.2230914467655,-1.10735321172877,0.75317490747148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
