"OTU_ID"	"rank"	"raw_rank"	"MeanBC"	"proportionBC"	"IncreaseBC"	"OccupancyProp"	"AverageRelativeAbundance"	"CoreStatus"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29"	"1"	1	0.0010783214600815	0.00176640340593622	0	1	0.00182779336248428	"core"
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45"	"2"	1	0.0040982867188489	0.00671342256151583	3.80061685736936	1	0.00704224180563044	"core"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28"	"3"	1	0.00505213009560968	0.00827591783941989	1.23274198273485	1	0.0028271076160975	"core"
"20170700_S34_32"	"4"	1	0.00553248978940943	0.00906279729106153	1.09508062633169	1	0.00230890166284166	"core"
"Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23"	"5"	1	0.00674656829719434	0.0110515849491159	1.21944523243567	1	0.00263978423666339	"core"
"20110800_P3S_8"	"6"	1	0.0157458867483997	0.0257934104174806	2.33391052380628	1	0.0152130220857167	"core"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88"	"7"	1	0.016975861913987	0.0278082384647181	1.07811406148417	1	0.00280474853581614	"core"
"PMST01"	"8"	1	0.0210361612187883	0.03445943366636	1.23918074530613	1	0.00652719714344297	"core"
"20120600_P2M_9"	"9"	1	0.0239612448135215	0.0392510267261831	1.13905025561986	1	0.00612712548688314	"core"
"20150700_P15_3"	"10"	1	0.0351455901209216	0.0575721548642294	1.46676812471315	1	0.0163510940545186	"core"
"20110800_P3S_5"	"11"	1	0.0369454046918666	0.0605204394953545	1.0512102532566	1	0.00432907604352101	"core"
"3300038478_6"	"12"	1	0.039779386204386	0.0651627978100043	1.07670728027357	1	0.00541757303918731	"core"
"20150700_P13_7"	"13"	1	0.0417734641729081	0.0684293062174634	1.05012842476444	1	0.00365566440940937	"core"
