"OTU_ID"	"rank"	"raw_rank"	"MeanBC"	"proportionBC"	"IncreaseBC"	"OccupancyProp"	"AverageRelativeAbundance"	"CoreStatus"
"20120700_P3D_40"	"1"	0.866666666666667	0.00102897641010448	0.00127443033605335	0	0.981481481481482	0.00232150292235876	"core"
"20160700_P15_3"	"2"	0.825	0.0213935728689255	0.0264968351003868	20.7911208253581	0.888888888888889	0.0259503109632933	"core"
"20170700_S34_32"	"3"	0.720833333333333	0.02182407046948	0.0270300243905953	1.0201227538379	0.944444444444444	0.00156759119550398	"core"
"20120700_P2M_1"	"4"	0.691666666666667	0.0291324700148451	0.0360817830093045	1.33487793010866	0.87037037037037	0.012517483035048	"core"
"20120700_P1M_1"	"5"	0.6625	0.0356244049139568	0.0441223160029338	1.22284189757352	0.814814814814815	0.0109181168907071	"core"
"20160700_P15_8"	"6"	0.656547619047619	0.038050059099236	0.0471265902002215	1.06808967591565	0.796296296296296	0.00295844313177572	"core"
"20110800_P3M_11"	"7"	0.645833333333333	0.0429018005501723	0.0531356749829649	1.12750943272605	0.777777777777778	0.00637642170468574	"core"
"20120500_P31_6"	"8"	0.645833333333333	0.0460258095194649	0.0570048907992583	1.07281766567441	0.777777777777778	0.00506757324916658	"core"
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29"	"9"	0.641666666666667	0.0474279122140844	0.0587414536502025	1.03046340106254	0.777777777777778	0.00256728657296975	"core"
"20120700_P3D_87"	"10"	0.639880952380952	0.0487870953725433	0.060424858859868	1.02865787455125	0.759259259259259	0.00194217022911241	"core"
"20120800_P2M_7"	"11"	0.6375	0.0630457082695064	0.0780847475098771	1.2922619760017	0.759259259259259	0.0195237235185789	"core"
"20120600_P3M_11"	"12"	0.625	0.0689441984676366	0.0853902744117496	1.0935589488965	0.740740740740741	0.0100803695456956	"core"
"20150700_P21_1"	"13"	0.625	0.0722141549382289	0.0894402523148131	1.04742903019066	0.740740740740741	0.00720330389019269	"core"
"3300036901_8"	"14"	0.625	0.0739262481274842	0.0915607513632953	1.02370855396314	0.740740740740741	0.00309047655444949	"core"
"20120600_P3M_2"	"15"	0.604166666666667	0.0753638284573861	0.0933412547499128	1.01944614215269	0.703703703703704	0.00237990573075434	"core"
"Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57"	"16"	0.595833333333333	0.075683996792814	0.0937377966291106	1.00424830242812	0.703703703703704	0.000536452002920863	"core"
"Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28"	"17"	0.591666666666667	0.0763615028399022	0.0945769162151283	1.0089517741636	0.685185185185185	0.00122146948639006	"core"
"20160700_P15_13"	"18"	0.570833333333333	0.0805879747099174	0.0998115784607637	1.05534820181416	0.888888888888889	0.00593165966385671	"core"
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45"	"19"	0.566666666666667	0.0828724273591948	0.102640968647873	1.02834731431706	0.648148148148148	0.00388822522762922	"core"
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50"	"20"	0.5625	0.0830894265158418	0.102909731182576	1.00261847231416	0.87037037037037	0.00048257049035058	"core"
"20150700_P21_8"	"21"	0.558333333333333	0.0854392537324774	0.105820090506615	1.02828070086857	0.62962962962963	0.00408592847008575	"core"
"20150700_P15_5"	"22"	0.532738095238095	0.0896763769274207	0.111067944863823	1.04959223085223	0.814814814814815	0.0060049206257721	"core"
"20110800_P3M_18"	"23"	0.523809523809524	0.0918913633128055	0.113811298176649	1.02469977558502	0.777777777777778	0.00298464307417479	"core"
"20170700_P31_1"	"24"	0.516071428571429	0.107432746062614	0.133059950960205	1.16912778513149	0.777777777777778	0.0293113617414306	"core"
"20111000_P2M_7"	"25"	0.511904761904762	0.107806642622968	0.133523037493951	1.00348028486711	0.759259259259259	0.000589613462528522	"core"
"20150700_P15_9"	"26"	0.5	0.116051736149357	0.143734930799222	1.07648038493532	0.740740740740741	0.0135999709050495	"core"
"20150700_P15_11"	"27"	0.499404761904762	0.12223967538034	0.151398952438764	1.0533205226936	0.740740740740741	0.0078172397746325	"core"
"20120500_P23_6"	"28"	0.49047619047619	0.141565495218275	0.175334788895952	1.15809776799393	0.703703703703704	0.0264989514248997	"core"
