"OTU_ID"	"rank"	"raw_rank"	"MeanBC"	"proportionBC"	"IncreaseBC"	"OccupancyProp"	"AverageRelativeAbundance"	"CoreStatus"
"PMWT01"	"1"	1	0.00417404127953112	0.00619836886063056	0	1	0.00839833598599786	"core"
"Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78"	"2"	1	0.00630247835047948	0.00935905587325639	1.50992238179002	1	0.00464452441406869	"core"
"20120600_S3D_7"	"3"	1	0.0414846565946711	0.0616038956996723	6.58227673110769	1	0.0629330260440911	"core"
"20140700_S11_5"	"4"	1	0.0501701806022291	0.0745017273073066	1.20936714246958	1	0.0129131497127543	"core"
"20120600_S1S_4"	"5"	1	0.0730074628982157	0.108414640468715	1.45519633419402	1	0.0442744452242611	"core"
"20140700_S22_7"	"6"	1	0.0765636144600988	0.11369545530228	1.04870942532055	1	0.00832518554264755	"core"
"20120800_E1D_14"	"7"	1	0.0893507685993472	0.132684126646159	1.16701345971476	1	0.0142675484990491	"core"
"20150700_S23_11"	"8"	1	0.0910224709044734	0.135166571552286	1.0187094339683	1	0.00472222710981206	"core"
"Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72"	"9"	1	0.0958700167021528	0.142365081320305	1.0532565832317	1	0.00795640876006682	"core"
"20120700_S3X_7"	"10"	1	0.102078285219403	0.151584237451908	1.06475714442126	1	0.0100160019795319	"core"
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33"	"11"	1	0.104335955420042	0.154936833109703	1.02211704669398	1	0.00339379981962768	"core"
"Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93"	"12"	1	0.104736435852836	0.155531538642708	1.00383837413653	1	0.000920209253455309	"core"
"20170700_S24_14"	"13"	1	0.107284015706373	0.15931464440919	1.02432372108896	1	0.00518828523421418	"core"
"20120700_S1D_76"	"14"	1	0.110416821425306	0.163966799027274	1.02920104824849	1	0.00581795246727401	"core"
"20120600_S3M_3"	"15"	1	0.139347159610621	0.206927779843331	1.26201024274988	1	0.065922890122508	"core"
"Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10"	"16"	1	0.142088430414397	0.210998512845422	1.01967224026263	1	0.00638771079510006	"core"
"20140700_S12_15"	"17"	1	0.146442833991675	0.217464716155959	1.03064572931504	1	0.00904942768453975	"core"
"20120700_S1D_95"	"18"	1	0.14703300150607	0.218341103258721	1.00403001975793	1	0.00140777375254529	"core"
"20120700_S1D_69"	"19"	1	0.147730731231197	0.219377218120012	1.00474539537369	1	0.00141716672990528	"core"
"20140700_S21_17"	"20"	1	0.151121206004282	0.224412006194414	1.02295036885574	1	0.00528459543694248	"core"
"20140700_E14_11"	"21"	0.476190476190476	0.162327905126322	0.241053733052542	1.07415702546552	0.952380952380952	0.0117531751556128	"core"
"Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.5_81.58_0.43"	"22"	0.476190476190476	0.163561641785736	0.242885807624836	1.00760027463211	0.952380952380952	0.00240902914019532	"core"
"20120600_S3D_1"	"23"	0.476190476190476	0.171058187778712	0.254018030363746	1.04583315446782	0.952380952380952	0.0122097952592637	"core"
"20130700_S3M_8"	"24"	0.476190476190476	0.174590459685022	0.25926338438042	1.02064953424433	0.952380952380952	0.00440723136280832	"core"
"20120700_S1D_96"	"25"	0.476190476190476	0.177819940462857	0.26405909955159	1.01849746420086	0.952380952380952	0.00706135707089208	"core"
"20110800_S1S_6"	"26"	0.476190476190476	0.186321805903892	0.276684201815289	1.04781165384998	0.952380952380952	0.0150749772541414	"core"
"Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29"	"27"	0.476190476190476	0.187185441104682	0.277966683031221	1.00463518049646	0.952380952380952	0.00193027584943282	"core"
"20120700_S1D_43"	"28"	0.476190476190476	0.188214511157336	0.279494831734746	1.0054975966431	0.952380952380952	0.00214591587107981	"core"
"20130700_C2M_2"	"29"	0.476190476190476	0.191057020254709	0.283715901603321	1.01510249703859	0.952380952380952	0.00414193039058497	"core"
"Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72"	"30"	0.476190476190476	0.195487292508168	0.29029476839954	1.02318822018449	0.952380952380952	0.00620958090383837	"core"
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00"	"31"	0.476190476190476	0.204166456073276	0.303183154875759	1.04439758438388	0.952380952380952	0.00969005397676942	"core"
"Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52"	"32"	0.476190476190476	0.205232999782746	0.304766951219532	1.00522389294492	0.952380952380952	0.002139564407909	"core"
"20110800_S3M_18"	"33"	0.476190476190476	0.207649988550657	0.308356131803102	1.01177680378141	0.952380952380952	0.00417773418648325	"core"
"20110800_S2M_3"	"34"	0.476190476190476	0.211572510787301	0.314180999852676	1.01889006719442	0.952380952380952	0.00415863208678745	"core"
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86"	"35"	0.476190476190476	0.216499285711614	0.321497163308929	1.02328646054244	0.952380952380952	0.00630624976745572	"core"
"20111000_S3M_6"	"36"	0.476190476190476	0.223244196406879	0.331513222475925	1.03115442470443	0.952380952380952	0.01155184294056	"core"
"Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.2_81.64_4.58"	"37"	0.476190476190476	0.225891518968514	0.335444444193964	1.01185841604953	0.952380952380952	0.00441009428598139	"core"
