Habitat__,genome,tpm
Bog,20120800_E1D_14,144050.82495387725
Bog,20120700_S3X_7,47681.756866245996
Bog,3300022861_2,38030.5294433499
Bog,PLGY01,36002.49176670848
Bog,Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72,24141.18681328401
Bog,20170700_S24_14,21175.135086884584
Bog,Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.30_90.30_1.69,18182.952134574065
Bog,20140700_S11_11,16683.36965359897
Bog,20170700_S33_24,15751.325111430999
Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00,14903.546689827184
Bog,20120700_S1D_59,14676.023290421517
Bog,20110600_S1D_11,13773.01233739178
Bog,20120600_S3M_3,11708.808184802261
Bog,PLGF01,10733.959991261996
Bog,20170700_S34_24,10326.568378475582
Bog,20140700_S12_15,10275.148709351473
Bog,20150700_E14_10,10104.166689911228
Bog,Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.16_87.66_1.12,10080.877557571077
Bog,20130700_E2Y_10,7386.264659238075
Bog,3300037141_6,7271.8186318316
Bog,Bog.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.33_99.27_3.62,7005.228601876906
Bog,20110800_S2M_3,6767.555317333918
Bog,20170700_S24_8,6765.5302187751595
Bog,20140700_S21_14,6527.045053696411
Bog,20150700_S15_15,6268.9357895825315
Bog,20140700_S32_12,5736.705436073541
Bog,20130700_S1X_7,5728.590308103614
Bog,20110700_S2D_21,5709.467727640417
Bog,20120700_S1D_55,5543.792752405253
Bog,3300037207_8,5531.266783341987
Bog,20110700_S3M_11,5284.542088628227
Bog,20170700_S24_4,5028.783708930048
Bog,20170700_S31_5,5009.839402242903
Bog,20111000_S1D_12,4982.199783942245
Bog,20110800_S3S_27,4702.858346873695
Bog,20110800_S1D_14,4666.684075446419
Bog,20120600_S1D_7,4500.20358541167
Bog,20140700_E14_11,4375.09411259613
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26,4353.86891369626
Bog,20170700_S33_22,4293.023531764192
Bog,20110800_S3M_18,4169.448215709915
Bog,20150700_E14_2,4158.615839939066
Bog,20170700_S25_32,4149.417887554784
Bog,20110800_S3S_23,3904.4466368581006
Bog,20160700_S23_17,3799.702241713093
Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86,3764.472462852895
Bog,20120700_S1D_43,3711.2174591811977
Bog,20110700_S3M_18,3681.854240849308
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70,3677.919794661988
Bog,PLNV01,3579.656671805599
Bog,20120700_S1D_5,3576.1478177268996
Bog,20110700_S3M_15,3562.521443731668
Bog,Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,3522.222444900298
Bog,20140700_S15_2,3473.1761929270806
Bog,PMWT01,3466.9965563653604
Bog,Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.116_96.93_0.86,3388.4045283393284
Bog,20170700_S31_11,3384.3952281638703
Bog,20160700_S11_1,3376.25439745052
Bog,20150700_E15_20,3358.271299877364
Bog,20130700_C2M_2,3349.611273117941
Bog,20120700_S1D_70,3268.330489312511
Bog,20120700_S1D_76,3140.810195474804
Bog,20170700_S24_9,3140.2708888765155
Bog,20110600_S1D_17,3133.3827330173376
Bog,20150700_S21_10,3114.6565301094492
Bog,Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.66_77.13_3.14,2967.178224292879
Bog,20120600_S3D_7,2963.3916674202637
Bog,Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.60_95.04_1.94,2950.588801591268
Bog,20120700_S1D_98,2928.5385121248028
Bog,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,2887.1159209442
Bog,20150700_E14_4,2844.3290074103847
Bog,20110600_S1D_15,2806.719043777669
Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.340_100.00_1.76,2784.7190465935164
Bog,20110800_S3D_28,2770.9986892835173
Bog,20110800_S3S_24,2769.8452859925387
Bog,Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.46_85.62_3.11,2754.345407779432
Bog,20130700_S2S_8,2726.0633868110554
Bog,20140700_S36_11,2712.04353627227
Bog,20170700_S24_18,2559.115274646289
Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35,2427.4522385628034
Bog,20140700_S22_6,2393.018900523038
Bog,20120600_S1S_4,2373.0775723369616
Bog,20120700_S1D_97,2187.2034502390266
Bog,20120600_S1D_1,2151.402236891143
