194,39,0.6352
164,39,0.6709
294,39,0.6462
113,39,0.6524
232,39,0.6343
165,39,0.6052
235,39,0.6805
307,46,0.5264
119,46,0.4768
104,46,0.4747
138,46,0.5081
324,46,0.4537
181,46,0.4855
38,46,0.513
182,46,0.5577
190,125,0.6179
219,125,0.5523
161,125,0.6987
311,125,0.6261
294,125,0.6457
163,125,0.6001
84,125,0.5521
231,125,0.5737
331,125,0.5774
236,125,0.572
342,125,0.5817
329,125,0.6326
91,125,0.7332
306,125,0.6335
165,125,0.5609
304,125,0.7092
193,125,0.7646
230,17,0.6342
121,17,0.568
173,17,0.5813
309,17,0.6254
36,17,0.6075
106,17,0.5324
144,17,0.552
194,81,0.64
31,81,0.6308
291,81,0.5761
177,81,0.6052
100,81,0.6075
349,81,0.605
74,81,0.6137
121,230,0.6956
162,230,0.7579
173,230,0.6946
107,230,0.7566
177,230,0.7894
192,230,0.7453
143,230,0.5352
92,230,0.7421
349,230,0.729
309,230,0.7713
36,230,0.6986
232,230,0.6628
78,230,0.7713
74,230,0.6928
235,230,0.6924
106,293,0.5418
85,194,0.6199
31,194,0.8586
164,194,0.7198
291,194,0.6313
113,194,0.8182
41,194,0.6959
100,194,0.7417
129,194,0.598
349,194,0.7294
78,194,0.6789
74,194,0.6987
235,194,0.724
168,93,0.6474
95,93,0.529
51,93,0.5267
59,93,0.6481
169,93,0.5929
18,93,0.5384
166,93,0.6376
272,93,0.5463
77,93,0.5029
158,93,0.5192
170,93,0.5867
103,93,0.5238
31,85,0.6237
164,85,0.5499
113,85,0.5749
164,31,0.657
113,31,0.775
41,31,0.688
100,31,0.7348
349,31,0.6951
74,31,0.6767
235,31,0.6712
209,204,0.4465
207,266,0.5618
234,190,0.6387
163,190,0.5793
84,190,0.6006
91,190,0.7067
290,190,0.6457
306,190,0.5848
193,190,0.6925
83,121,0.6195
162,121,0.7405
271,121,0.5986
173,121,0.6004
107,121,0.7479
192,121,0.6203
349,121,0.6578
309,121,0.8065
36,121,0.7453
232,121,0.6178
108,121,0.6038
78,121,0.6708
144,121,0.6827
83,234,0.6187
163,234,0.5411
290,234,0.5062
306,234,0.5855
36,234,0.6153
100,298,0.5783
166,298,0.5435
163,219,0.5226
91,219,0.5817
304,219,0.5702
193,219,0.5811
345,338,0.5289
236,338,0.5227
294,83,0.5758
163,83,0.5865
162,83,0.6022
271,83,0.6442
107,83,0.6173
309,83,0.6645
306,83,0.5595
36,83,0.678
106,83,0.5449
