node_id,genome_id
225,20170700_P14_3
226,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86
227,PNAZ01
228,20110800_P2D_1
229,20120600_E2D_21
124,20110800_P2D_12
231,20110800_P2D_8
232,20110800_P2D_9
446,20120800_P2M_7
234,20170700_S25_3
235,20150700_P24_12
236,20170700_S25_1
237,20110700_P3D_13
238,20170700_S25_8
239,PLXO01
240,20110800_P1S_2
241,PLZO01
242,20110800_P1S_5
243,20120700_P3D_39
244,20120700_P3D_38
245,20120700_P3D_33
246,20120700_P3D_37
247,20120800_E1D_14
248,20150700_P23_12
249,20150700_P23_11
321,Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.54_94.98_2.76
250,Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.65_73.50_0.43
251,20150700_P14_8
252,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.52_71.83_0.86
253,20150700_P14_6
254,20150700_P14_7
255,20150700_P14_4
256,20111000_P1S_1
257,20111000_P1S_2
258,20111000_P1S_5
259,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.30_89.06_2.80
260,20160700_S15_2
261,20120500_P31_6
262,20120500_P31_3
263,20170700_P24_2
264,20170700_P24_4
265,20120500_P37_6
266,PMUP01
267,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.5_87.01_6.92
268,PLZA01
269,PLYO01
270,20110700_P2D_26
43,20110700_P2D_27
272,3300037159_6
273,20110700_P2D_21
274,3300037159_8
275,20150700_P13_2
276,20120600_P3D_3
277,20150700_P13_7
94,20110700_P2D_29
279,3300037237_7
280,20111000_P1M_8
281,20111000_P1M_2
282,20110800_P1D_3
283,20111000_P1M_7
284,20111000_P1M_5
285,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.14_80.71_5.34
286,20120600_P3S_2
189,20110800_P3M_11
288,20111000_P1D_14
289,20110800_P3M_18
290,Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48
291,20120500_P19_10
292,20120500_P19_11
293,20120700_P3D_79
294,20120700_P3D_75
295,20120700_P3D_74
296,PMZK01
297,20120700_P3D_71
298,20120700_P3D_73
299,20120700_P3D_72
300,Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15
301,Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.100_93.16_1.99
302,20120600_P3M_9
303,3300037233_9
304,20120600_P3M_6
305,20120600_P3M_5
306,20120600_P3M_4
307,20120600_P3M_3
308,20120600_P3M_2
309,20110600_P1M_24
310,20110800_P1M_19
311,20110800_E3D_18
312,20110600_P1M_20
313,20110600_P1M_23
314,20110800_S2M_3
315,PLCS01
316,20150700_P24_7
318,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.247_71.06_5.63
319,20150700_P11_6
320,20150700_P11_4
137,Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.4_95.88_2.80
322,20130700_C2M_2
323,PMOL01
324,PKYA01
325,20120600_P1M_1
326,20170700_S24_5
327,20110800_P3S_8
328,20110800_P3S_9
329,PNBE01
330,20110800_P3S_2
331,20110800_E2D_15
332,20110800_P3S_5
333,20150700_P15_3
334,20150700_P15_1
335,PKWP01
336,20150700_P15_5
337,20150700_P15_4
338,PMOO01
339,20150700_P15_9
340,20170700_P23_1
341,20110800_E2D_31
342,20150700_P21_10
343,20130700_P1Y_11
344,20130700_P1Y_10
345,20130700_P1Y_12
346,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.238_96.77_6.03
22,20110700_P2D_19
348,3300037076_33
349,3300037076_30
350,20120800_S3X_7
351,20110700_P2D_11
352,PMLV01
353,20150700_P31_3
354,20150700_P31_7
355,20110700_P1S_2
356,20110800_P1M_8
357,20110800_P1M_9
358,20110800_P1M_5
359,20120700_P3D_128
360,20120700_P3D_129
361,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56
362,20130700_P1Y_8
363,20130700_P1Y_5
364,20130700_C2Y_6
365,20130700_P1Y_3
366,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.15_88.82_6.04
367,20120600_P2M_10
368,3300036901_8
369,Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84
370,20110700_P1M_3
371,20120700_P3D_24
372,20120700_P3D_22
373,20120700_P3D_23
374,20120600_P3M_11
375,20120600_P3M_10
376,PMMQ01
442,20120500_P17_2
377,20110800_P1D_31
378,20111000_P1M_10
379,20110800_P1D_36
380,3300037316_8
381,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78
382,Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85
317,20120700_P3D_47
384,3300037147_7
385,20130700_S2Y_8
386,20120500_P15_4
387,PLBP01
388,20111000_P3M_43
389,20111000_P3M_40
390,20111000_P3M_44
391,20111000_P3M_45
392,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.241_91.03_4.38
393,3300037155_10
394,3300037155_12
395,20110600_S1D_17
396,20140700_E22_12
165,20120700_P3D_5
398,3300037316_10
399,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28
400,20150700_P15_13
401,20150700_P15_12
402,20150700_P15_11
403,20150700_P15_16
404,20170700_P31_1
405,20120500_P24_8
406,20110800_P1D_13
407,20120500_P24_7
408,20120500_P24_5
409,20110600_P1M_18
410,20120500_P26_8
411,20111000_P3M_32
412,20120500_P26_5
4,20120500_P26_1
414,20111000_P3M_39
415,PMTF01
416,20110700_P1D_6
383,20120500_P32_4
417,20120700_P3D_61
44,20120700_P3D_66
48,20120700_P3D_64
50,20120600_S1D_7
421,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.190_90.54_5.98
422,PMOU01
423,3300037353_11
424,PLXS01
425,3300037241_7
397,3300037104_17
427,20110600_P3S_11
127,3300038478_6
429,PLUL01
430,20110700_P3S_8
431,20110700_P3S_3
432,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.70_95.73_0.85
433,20110700_P3S_5
434,20120700_P3D_19
435,20130700_S3M_11
436,20120700_P3D_15
188,20120700_P3D_14
438,20120700_P3D_10
439,20110700_P1S_11
440,20110700_P1S_10
441,20110700_P1S_12
197,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.320_77.36_1.34
215,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.264_97.44_0.71
443,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.137_79.13_4.55
444,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.82_91.99_3.21
445,3300031525_28
233,3300036886_17
447,PNAG01
448,20130700_S1X_7
449,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.128_97.22_0.00
450,20120700_P3S_3
451,Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50
452,Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12
453,20120700_S1X_12
454,20140700_S15_2
455,Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.203_90.06_2.84
456,20120500_P25_12
457,20110600_P1D_1
458,20110600_P1D_7
459,Palsa.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.31_87.45_2.00
460,20110600_P3S_4
461,Palsa.Labelled.R1.T1.F3.JGI.BFC.metaspades_bin.27_84.23_6.23
462,3300037155_22
463,20120500_P14_1
464,Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88
465,20120700_S1D_69
466,PLBY01
467,20120800_P2D_2
468,20120800_P2D_5
271,20150700_P13_8
469,20120500_P13_9
470,Palsa.Labelled.R1.T1.F3.trimmomatic.metaspades_bin.27_85.91_3.87
471,20120700_P3D_139
472,20170700_S34_32
473,20120600_S3M_3
474,20120700_P3D_131
475,20120700_P3D_130
476,20120700_P3D_135
477,20120700_P3D_134
478,20120700_P3D_137
479,20120700_P3D_136
480,20130700_S3Z_1
481,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45
482,PLYW01
483,PMST01
