63,86,0.6778
327,481,0.743
431,481,0.767
150,231,0.75
327,286,0.7451
146,286,0.6929
197,286,0.7492
431,286,0.7388
220,11,0.7716
32,11,0.8668
45,11,0.7884
3,11,0.7504
156,11,0.7956
207,11,0.7292
1,11,0.7858
90,11,0.8046
192,47,0.6048
408,365,0.7868
13,365,0.7775
219,365,0.8554
345,205,0.7422
408,205,0.7836
219,205,0.7494
42,126,0.7063
64,309,0.6946
479,309,0.6988
214,309,0.7811
468,309,0.6799
172,309,0.7631
27,309,0.6693
357,309,0.735
263,309,0.7785
118,309,0.7164
268,309,0.7517
264,309,0.813
32,109,0.8013
90,109,0.8077
235,46,0.7743
176,46,0.7728
178,46,0.7826
13,46,0.8175
219,46,0.7348
479,64,0.6767
357,64,0.6887
263,64,0.7217
118,64,0.6529
268,64,0.7112
411,64,0.7017
264,64,0.7353
28,274,0.8051
221,274,0.7629
283,274,0.765
108,274,0.8242
125,415,0.8501
313,415,0.817
141,415,0.8356
217,415,0.8898
22,415,0.7195
172,415,0.8464
221,415,0.7788
134,415,0.8066
283,415,0.8157
263,415,0.8167
457,415,0.8113
411,415,0.8156
108,15,0.6561
313,125,0.7787
217,125,0.8123
172,125,0.8084
283,125,0.7889
457,125,0.8513
411,125,0.7749
77,271,0.6077
479,103,0.6562
264,103,0.7441
214,479,0.7725
216,479,0.6686
357,479,0.7166
263,479,0.7776
83,479,0.7194
118,479,0.6891
268,479,0.7869
411,479,0.7563
264,479,0.7849
28,383,0.7773
141,313,0.7999
217,313,0.7795
378,313,0.7492
172,313,0.791
245,313,0.729
283,313,0.8129
263,313,0.7419
457,313,0.7703
217,141,0.8677
378,141,0.8088
172,141,0.8182
221,141,0.7859
134,141,0.7786
150,141,0.788
283,141,0.8324
263,141,0.7798
457,141,0.8382
439,258,0.6642
483,258,0.6954
146,258,0.7033
73,258,0.719
431,258,0.7608
180,258,0.7343
3,220,0.73
156,220,0.7697
1,220,0.8048
284,220,0.746
289,220,0.749
333,439,0.7202
180,439,0.6663
256,322,0.7066
73,322,0.7559
432,322,0.692
180,322,0.7618
37,322,0.7187
483,327,0.7839
146,327,0.8003
306,327,0.7746
333,327,0.781
302,327,0.8252
147,327,0.8205
452,327,0.7507
404,327,0.8966
59,327,0.842
99,327,0.8024
182,327,0.7798
146,483,0.7077
333,483,0.7169
257,483,0.6938
20,483,0.6925
180,483,0.6988
306,146,0.7472
302,146,0.7251
147,146,0.7462
191,146,0.713
404,146,0.7885
59,146,0.7508
197,146,0.7289
182,146,0.7354
152,435,0.7151
193,435,0.6387
206,435,0.6319
473,435,0.704
468,214,0.7179
172,214,0.7855
224,214,0.7195
4,214,0.656
153,214,0.6576
134,214,0.7176
357,214,0.8089
263,214,0.8102
83,214,0.7309
118,214,0.7468
268,214,0.7888
411,214,0.7976
264,214,0.777
333,215,0.713
257,215,0.6683
301,215,0.6719
432,215,0.6936
20,215,0.683
99,215,0.7157
180,215,0.7287
37,215,0.6862
302,306,0.7176
147,306,0.742
197,306,0.7332
240,306,0.6472
182,306,0.7355
172,244,0.6846
411,244,0.7314
301,250,0.6711
378,217,0.7831
22,217,0.7093
172,217,0.8635
134,217,0.8049
283,217,0.7827
263,217,0.8209
457,217,0.8199
83,217,0.7353
411,217,0.8161
73,333,0.7703
301,333,0.7223
45,32,0.8215
156,32,0.8227
90,32,0.858
332,148,0.658
275,148,0.6587
242,148,0.6757
105,148,0.6703
77,148,0.7282
342,148,0.7501
261,148,0.7325
432,427,0.6926
180,427,0.6436
158,339,0.8023
116,339,0.8221
90,45,0.7873
150,28,0.7322
284,28,0.7417
108,28,0.7471
242,332,0.6939
77,332,0.7157
342,332,0.7151
276,332,0.6854
169,332,0.6742
330,127,0.7149
261,127,0.6887
77,275,0.7302
342,275,0.7451
261,275,0.6905
42,93,0.6915
234,425,0.7184
192,425,0.6923
186,344,0.7505
234,344,0.7547
152,344,0.7359
63,344,0.7236
225,344,0.8189
91,344,0.8312
175,344,0.8234
172,468,0.7275
263,468,0.7446
264,468,0.7192
221,378,0.7751
283,378,0.7808
77,242,0.7205
342,242,0.7551
261,242,0.6929
235,186,0.817
225,186,0.8324
91,186,0.8213
175,186,0.8412
134,22,0.6861
152,204,0.6835
225,204,0.7929
91,204,0.7323
234,235,0.7516
62,235,0.7716
63,235,0.8054
225,235,0.8695
345,235,0.8425
91,235,0.8842
175,235,0.9216
178,235,0.8034
42,235,0.8302
13,235,0.8488
73,290,0.7016
452,290,0.6879
301,290,0.6577
180,290,0.6773
63,176,0.8067
345,176,0.8594
408,176,0.8787
178,176,0.7923
13,176,0.8715
219,176,0.8256
128,176,0.7488
456,172,0.7089
134,172,0.8056
357,172,0.7701
263,172,0.8396
457,172,0.8654
83,172,0.7562
118,172,0.7518
268,172,0.7299
411,172,0.8564
264,172,0.7879
104,266,0.7309
152,234,0.7303
63,234,0.7491
316,234,0.753
206,234,0.7282
473,234,0.7138
91,234,0.7548
480,234,0.7149
175,234,0.7947
42,234,0.7448
316,152,0.7626
206,152,0.785
473,152,0.7444
91,152,0.7973
480,152,0.7568
42,152,0.7443
192,152,0.7824
225,62,0.7832
345,62,0.7742
91,62,0.7829
175,62,0.8139
178,62,0.7213
42,62,0.7158
13,62,0.7256
147,302,0.8147
404,302,0.8287
59,302,0.8313
256,257,0.7121
73,257,0.7051
301,257,0.6859
20,257,0.7088
431,257,0.7011
180,257,0.7268
37,257,0.7135
114,426,0.6629
455,426,0.7049
197,426,0.6923
76,426,0.6844
316,63,0.7658
345,63,0.801
408,63,0.791
175,63,0.8133
42,63,0.8028
13,63,0.7953
147,6,0.7986
433,6,0.8186
446,6,0.823
191,6,0.855
114,6,0.7091
375,6,0.7401
197,6,0.7804
76,6,0.8624
307,6,0.8242
106,6,0.7659
119,6,0.7684
73,256,0.7282
452,256,0.685
248,256,0.6677
432,256,0.7034
305,256,0.7145
180,256,0.7195
37,256,0.7119
404,355,0.7422
91,225,0.9093
175,225,0.9352
190,225,0.844
90,225,0.8328
342,105,0.6534
261,105,0.6656
134,224,0.7004
263,224,0.7244
411,224,0.7344
345,316,0.7715
42,316,0.7727
192,206,0.7288
118,4,0.6433
411,456,0.7289
91,473,0.7216
480,473,0.7
192,473,0.71
207,3,0.6944
1,3,0.8195
284,3,0.7278
289,3,0.7196
408,345,0.8127
91,345,0.8024
175,345,0.8812
178,345,0.8331
42,345,0.8369
13,345,0.8759
219,345,0.8403
433,147,0.8835
374,147,0.8175
446,147,0.8417
191,147,0.8541
404,147,0.9166
59,147,0.8598
116,147,0.8692
76,147,0.8453
307,147,0.7934
119,147,0.7855
374,433,0.8904
446,433,0.8504
191,433,0.8865
104,433,0.8724
114,433,0.7655
262,433,0.7871
116,433,0.8365
455,433,0.7461
76,433,0.9027
307,433,0.8168
261,433,0.7649
106,433,0.7814
119,433,0.8183
268,27,0.6668
1,156,0.7515
284,156,0.7565
289,156,0.7685
42,408,0.7475
13,408,0.8316
219,408,0.8445
128,408,0.7753
330,77,0.7112
375,77,0.6972
342,77,0.8032
276,77,0.6809
261,77,0.74
106,77,0.7026
169,77,0.7108
175,91,0.9056
42,91,0.7912
190,320,0.812
446,374,0.8
191,374,0.8199
104,374,0.9033
116,374,0.8428
76,374,0.8426
368,374,0.7158
261,374,0.7925
191,446,0.8223
104,446,0.8003
404,446,0.8232
114,446,0.7327
375,446,0.7377
262,446,0.7369
116,446,0.7987
455,446,0.7661
76,446,0.8486
261,446,0.7133
106,446,0.773
119,446,0.8161
174,480,0.6422
42,480,0.7068
452,73,0.7561
301,73,0.7693
432,73,0.7361
430,73,0.6942
267,73,0.7073
180,73,0.7839
37,73,0.7097
375,330,0.7316
342,330,0.7641
261,330,0.7502
169,330,0.6811
264,153,0.6851
1,207,0.6818
301,452,0.7432
432,452,0.6981
430,452,0.6857
267,452,0.7012
180,452,0.7245
37,452,0.7006
432,301,0.7311
305,301,0.7513
20,301,0.72
180,301,0.7754
37,301,0.738
305,248,0.6647
180,248,0.6242
305,432,0.6804
20,432,0.6977
267,432,0.696
182,432,0.7442
180,432,0.708
37,432,0.6872
404,191,0.8351
114,191,0.7292
116,191,0.8355
455,191,0.7381
197,191,0.802
76,191,0.8719
307,191,0.8371
119,191,0.7917
116,104,0.8058
76,104,0.7917
261,104,0.7755
59,404,0.9062
116,404,0.8911
178,175,0.8331
42,175,0.8064
13,175,0.8761
180,304,0.7417
116,59,0.8481
150,221,0.7883
283,221,0.7457
457,221,0.7733
13,178,0.8142
263,134,0.7933
457,134,0.7641
83,134,0.733
118,134,0.7259
411,134,0.7742
264,134,0.7012
375,114,0.7086
262,114,0.7211
76,114,0.789
307,114,0.7065
261,114,0.6973
106,114,0.7244
169,114,0.6635
119,114,0.7359
284,1,0.7628
289,1,0.7437
157,150,0.7324
108,150,0.8055
342,375,0.7712
76,375,0.7537
106,375,0.7891
289,284,0.7442
108,284,0.7863
20,305,0.696
180,305,0.7249
276,342,0.6965
368,342,0.7175
261,342,0.7834
106,342,0.758
169,342,0.731
180,20,0.7171
37,20,0.6873
457,283,0.7938
76,262,0.7691
307,262,0.7554
106,262,0.7628
180,99,0.7252
197,455,0.7385
119,455,0.766
457,232,0.7052
263,357,0.8443
83,357,0.7123
118,357,0.7482
268,357,0.7865
411,357,0.825
264,357,0.8236
83,263,0.7633
118,263,0.7745
268,263,0.7864
411,263,0.869
264,263,0.8462
219,13,0.8614
407,13,0.7629
177,457,0.7792
76,197,0.8273
307,197,0.769
119,197,0.7907
407,219,0.7293
140,219,0.7099
90,190,0.8394
90,448,0.6917
368,76,0.7112
307,76,0.856
106,76,0.833
119,76,0.8476
169,368,0.6693
140,128,0.6611
118,83,0.7599
411,83,0.7469
264,83,0.7527
268,118,0.7615
411,118,0.7623
264,118,0.7949
469,118,0.688
411,268,0.7491
264,268,0.8169
264,411,0.836
106,307,0.7579
119,307,0.7646
106,261,0.7478
169,106,0.7127
119,106,0.751
