node_id,genome_id
243,20120700_S1S_1
171,20160700_S34_5
172,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.47_85.24_5.81
174,Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.66_77.13_3.14
175,20170700_S31_11
176,20120700_P3D_87
177,20150700_E14_2
178,20150700_E14_5
179,20150700_E14_4
180,Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21
181,Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05
182,20120600_E2D_21
101,20160700_S13_16
184,20120600_E2D_28
185,20170700_S25_3
186,20170700_S25_1
187,20170700_S25_7
249,Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.24_99.14_0.86
189,20170700_S25_9
190,20170700_S25_8
191,Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15
261,PLCS01
192,Bog.None.R3.T0.JGI.BFC.metaspades_bin.166_92.84_2.72
396,20120600_S3D_1
195,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.53_92.50_2.78
196,Bog.None.R3.T0.JGI.BFC.metaspades_bin.123_97.95_1.37
197,20120700_S1D_6
198,Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88
199,20120800_E1D_18
200,20140700_S21_6
201,20150700_P14_7
202,20110800_S1S_6
203,20110800_S1S_1
205,20110800_S1S_9
206,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.30_89.06_2.80
207,20160700_E23_21
208,Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.129_89.36_9.06
209,20120700_S1D_87
210,20120700_S1D_86
211,20120700_S1D_85
212,20120700_S1D_84
213,20120700_S1D_89
214,20150700_S15_1
256,Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.8_92.23_3.04
216,20110800_S3S_13
217,20110800_S3S_12
218,20120800_E1D_14
219,20120700_S1D_79
220,20120700_S1D_76
221,20120700_S1D_77
222,20120700_S1D_73
223,20110800_S1M_8
224,Bog.None.R1.T0.trimmomatic.megahit_bin.240_81.43_2.70
225,3300037175_6
226,20110700_P2D_26
418,20170700_S25_13
227,20160700_S11_1
228,20160700_S11_6
229,20110800_S1M_17
230,PMGM01
231,20110800_S3D_28
232,20140700_S33_15
233,20170700_S34_11
234,20170700_S34_10
235,20170700_S34_13
236,20100900_E1D_10
237,Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.57_88.81_1.01
239,Bog.None.R2.T0.trimmomatic.megahit_bin.247_70.69_0.00
240,20120700_S1X_2
241,Bog.None.R2.T0.JGI.BFC.metaspades_bin.269_78.13_8.62
242,Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94
170,Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.46_85.62_3.11
244,20120700_S1S_3
245,20120700_S1S_6
246,Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27
247,20140700_S31_3
322,20120700_S1D_98
389,PMWT01
188,Bog.None.R2.T0.trimmomatic.megahit_bin.344_99.28_6.76
250,20140700_S31_6
251,Bog.Labelled.R2.T2.F2.JGI.BFC.metaspades_bin.30_90.30_1.69
252,20120600_E1D_41
193,Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77
254,20140700_S31_9
255,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.21_87.09_0.86
215,20120600_P3M_9
257,20140700_S33_2
