genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20120700_P3D_82,generalist,NA,NA
20120700_P3D_83,fermenter,NA,NA
20120700_P3D_84,generalist,NA,sulfur_oxidiser
20120700_P3D_85,fermenter,NA,sulfur_oxidiser
20120700_P3D_87,generalist,NA,sulfur_oxidiser
20120700_P3D_88,generalist,NA,sulfur_oxidiser
20120700_P3D_89,fermenter,NA,sulfur_oxidiser
20120700_P3D_9,fermenter,NA,sulfur_oxidiser
20120700_P3D_90,generalist,NA,NA
20120700_P3D_91,generalist,NA,sulfur_oxidiser
20120700_P3D_92,fermenter,NA,NA
20120700_P3D_93,generalist,nitrogen_fixer,NA
20120700_P3D_97,fermenter,NA,NA
20120700_P3D_99,methanogen,nitrogen_fixer,NA
20120700_P3S_1,generalist,NA,sulfur_oxidiser
20120700_P3S_2,generalist,NA,NA
20120700_P3S_3,fermenter,NA,NA
20120700_S1D_102,generalist,nitrogen_fixer,NA
20120700_S1D_103,fermenter,NA,NA
20120700_S1D_104,generalist,NA,NA
20120700_S1D_106,methanotroph,nitrate_reducer,sulfur_oxidiser
20120700_S1D_107,generalist,nitrogen_fixer,NA
20120700_S1D_108,generalist,nitrogen_fixer,NA
20120700_S1D_113,generalist,NA,NA
20120700_S1D_114,generalist,NA,NA
20120700_S1D_115,generalist,NA,sulfur_oxidiser
20120700_S1D_12,macromolecule_degrader,nitrogen_fixer,NA
20120700_S1D_13,generalist,NA,NA
20120700_S1D_19,generalist,NA,NA
20120700_S1D_20,generalist,NA,NA
20120700_S1D_21,fermenter,NA,NA
20120700_S1D_24,fermenter,nitrogen_fixer,NA
20120700_S1D_25,fermenter,nitrogen_fixer,NA
20120700_S1D_26,generalist,nitrogen_fixer,NA
20120700_S1D_27,generalist,nitrogen_fixer,sulfur_oxidiser
20120700_S1D_28,generalist,nitrogen_fixer,NA
20120700_S1D_29,generalist,NA,sulfur_oxidiser
20120700_S1D_30,generalist,nitrogen_fixer,NA
20120700_S1D_31,methanotroph,denitrifier,sulfur_oxidiser
20120700_S1D_33,generalist,nitrogen_fixer,sulfate_reducer
20120700_S1D_39,generalist,nitrogen_fixer,NA
20120700_S1D_41,generalist,nitrate_reducer,sulfate_reducer
20120700_S1D_43,generalist,NA,sulfur_oxidiser
20120700_S1D_45,fermenter,NA,sulfur_oxidiser
20120700_S1D_46,generalist,NA,NA
20120700_S1D_48,generalist,NA,NA
20120700_S1D_49,generalist,nitrogen_fixer,NA
20120700_S1D_5,generalist,NA,sulfur_oxidiser
20120700_S1D_51,generalist,NA,NA
20120700_S1D_52,generalist,NA,NA
20120700_S1D_55,generalist,nitrogen_fixer,NA
20120700_S1D_57,fermenter,NA,NA
20120700_S1D_59,methanogen,nitrogen_fixer,NA
20120700_S1D_6,fermenter,nitrogen_fixer,NA
20120700_S1D_60,generalist,NA,NA
20120700_S1D_61,homoacetogen,NA,NA
20120700_S1D_63,fermenter,nitrogen_fixer,sulfate_reducer
20120700_S1D_64,generalist,NA,NA
20120700_S1D_66,fermenter,NA,sulfur_oxidiser
20120700_S1D_67,generalist,nitrogen_fixer,NA
20120700_S1D_69,fermenter,NA,NA
20120700_S1D_70,fermenter,nitrogen_fixer,NA
20120700_S1D_73,generalist,NA,NA
20120700_S1D_76,generalist,NA,NA
20120700_S1D_77,generalist,nitrogen_fixer,NA
20120700_S1D_79,generalist,nitrogen_fixer,NA
20120700_S1D_84,macromolecule_degrader,NA,NA
20120700_S1D_85,fermenter,NA,NA
20120700_S1D_86,fermenter,NA,NA
20120700_S1D_87,fermenter,nitrogen_fixer,NA
20120700_S1D_89,generalist,nitrogen_fixer,NA
20120700_S1D_9,generalist,nitrogen_fixer,NA
20120700_S1D_90,generalist,nitrogen_fixer,NA
20120700_S1D_95,generalist,nitrogen_fixer,sulfur_oxidiser
20120700_S1D_96,fermenter,NA,NA
20120700_S1D_97,homoacetogen,nitrogen_fixer,sulfate_reducer
20120700_S1D_98,generalist,nitrogen_fixer,NA
20120700_S1S_1,macromolecule_degrader,NA,NA
20120700_S1S_11,fermenter,NA,NA
20120700_S1S_3,fermenter,NA,NA
20120700_S1S_6,generalist,NA,NA
20120700_S1X_12,fermenter,NA,NA
20120700_S1X_15,generalist,NA,NA
20120700_S1X_2,generalist,NA,NA
20120700_S2X_13,generalist,NA,NA
20120700_S3X_18,generalist,NA,NA
20120700_S3X_22,fermenter,NA,NA
20120700_S3X_7,generalist,NA,NA
20120800_E1D_12,generalist,nitrogen_fixer,NA
20120800_E1D_14,generalist,NA,NA
20120800_E1D_15,generalist,NA,NA
20120800_E1D_18,generalist,NA,NA
20120800_E1D_19,generalist,NA,NA
20120800_E1D_21,generalist,NA,NA
20120800_E1D_7,generalist,nitrogen_fixer,NA
20120800_E1D_8,generalist,NA,NA
20120800_E1X_12,fermenter,NA,NA
20120800_E1X_14,fermenter,nitrogen_fixer,sulfate_reducer
20120800_E1X_20,fermenter,NA,NA
20120800_E1X_3,methanogen,NA,NA
20120800_E1X_5,fermenter,NA,NA
20120800_E1X_7,macromolecule_degrader,NA,NA
20120800_E1X_8,macromolecule_degrader,NA,NA
20120800_E1X_9,methanogen,nitrogen_fixer,NA
20120800_E2D_10,generalist,NA,NA
20120800_E2D_13,generalist,nitrogen_fixer,NA
20120800_E2D_18,macromolecule_degrader,NA,sulfur_oxidiser
20120800_E2D_20,generalist,NA,sulfur_oxidiser
20120800_E2D_22,macromolecule_degrader,NA,NA
20120800_E2D_3,macromolecule_degrader,NA,NA
20120800_E2D_4,fermenter,NA,sulfur_oxidiser
20120800_E2X_11,generalist,NA,sulfur_oxidiser
20120800_E2X_13,generalist,NA,NA
20120800_E2X_14,generalist,NA,NA
20120800_E2X_16,generalist,NA,NA
20120800_E2X_21,macromolecule_degrader,NA,NA
20120800_E2X_3,fermenter,NA,NA
20120800_E2X_5,methanogen,NA,NA
20120800_E2X_6,fermenter,NA,NA
20120800_E3D_2,generalist,NA,NA
20120800_E3D_4,generalist,NA,sulfur_oxidiser
20120800_E3D_5,macromolecule_degrader,NA,NA
20120800_E3D_7,generalist,NA,NA
20120800_E3S_10,generalist,NA,sulfur_oxidiser
20120800_E3S_15,generalist,NA,NA
20120800_E3S_17,fermenter,NA,NA
20120800_E3S_18,homoacetogen,NA,NA
20120800_E3S_6,homoacetogen,NA,NA
20120800_E3X_14,generalist,NA,NA
20120800_E3X_15,macromolecule_degrader,NA,sulfur_oxidiser
20120800_E3X_18,generalist,NA,sulfur_oxidiser
20120800_E3X_22,generalist,NA,NA
20120800_E3X_23,fermenter,NA,NA
20120800_E3X_26,macromolecule_degrader,NA,NA
20120800_E3X_27,generalist,NA,NA
20120800_E3X_28,fermenter,NA,sulfur_oxidiser
20120800_E3X_29,fermenter,NA,NA
20120800_E3X_3,generalist,NA,NA
20120800_E3X_6,fermenter,NA,NA
20120800_P1D_1,generalist,NA,NA
20120800_P1D_2,generalist,NA,NA
20120800_P1D_3,fermenter,NA,NA
20120800_P2D_2,generalist,NA,NA
20120800_P2D_5,macromolecule_degrader,NA,NA
20120800_P2M_7,generalist,NA,NA
20120800_S3X_7,macromolecule_degrader,nitrogen_fixer,NA
20130700_C1D_1,methanogen,nitrogen_fixer,NA
20130700_C1D_10,generalist,NA,NA
20130700_C1D_14,fermenter,NA,NA
20130700_C1D_16,fermenter,NA,sulfur_oxidiser
20130700_C1D_18,generalist,NA,sulfur_oxidiser
20130700_C1D_19,fermenter,NA,NA
20130700_C1D_3,generalist,NA,NA
20130700_C1D_5,generalist,NA,NA
20130700_C1D_6,homoacetogen,nitrogen_fixer,NA
20130700_C1D_8,generalist,nitrogen_fixer,NA
20130700_C1D_9,generalist,nitrogen_fixer,NA
20130700_C1M_6,fermenter,NA,sulfur_oxidiser
20130700_C1X_10,generalist,NA,sulfur_oxidiser
20130700_C1X_17,generalist,NA,NA
20130700_C1X_5,fermenter,nitrogen_fixer,NA
20130700_C1X_6,generalist,NA,NA
20130700_C1X_8,homoacetogen,nitrogen_fixer,NA
20130700_C1Y_13,generalist,nitrogen_fixer,NA
20130700_C1Y_5,generalist,nitrogen_fixer,NA
20130700_C2D_3,generalist,NA,NA
20130700_C2D_7,fermenter,NA,NA
20130700_C2M_13,homoacetogen,nitrogen_fixer,NA
20130700_C2M_16,fermenter,NA,NA
20130700_C2M_17,generalist,NA,sulfur_oxidiser
20130700_C2M_2,generalist,NA,NA
20130700_C2M_20,generalist,NA,NA
20130700_C2M_3,fermenter,NA,NA
20130700_C2M_5,generalist,nitrogen_fixer,NA
20130700_C2M_8,fermenter,nitrogen_fixer,NA
20130700_C2M_9,generalist,NA,NA
20130700_C2X_10,generalist,nitrogen_fixer,NA
20130700_C2X_11,generalist,nitrogen_fixer,NA
20130700_C2X_12,fermenter,NA,NA
20130700_C2X_13,generalist,NA,NA
20130700_C2X_3,fermenter,NA,NA
20130700_C2X_5,generalist,NA,sulfur_oxidiser
20130700_C2X_6,generalist,nitrogen_fixer,NA
20130700_C2Y_2,homoacetogen,NA,NA
20130700_C2Y_6,fermenter,NA,NA
20130700_E1M_4,generalist,nitrogen_fixer,NA
20130700_E1X_5,generalist,NA,NA
20130700_E1Y_1,fermenter,NA,NA
20130700_E1Y_3,generalist,NA,NA
20130700_E1Y_5,generalist,NA,sulfur_oxidiser
20130700_E1Z_4,fermenter,NA,NA
20130700_E2D_3,generalist,NA,NA
20130700_E2M_2,fermenter,NA,NA
20130700_E2M_4,homoacetogen,NA,NA
20130700_E2X_2,generalist,NA,NA
20130700_E2Y_10,generalist,NA,NA
20130700_E2Y_17,fermenter,NA,NA
20130700_E2Y_3,fermenter,NA,NA
20130700_E2Y_4,macromolecule_degrader,NA,NA
20130700_E3M_6,generalist,NA,NA
20130700_E3X_9,homoacetogen,NA,NA
20130700_E3Z_1,fermenter,NA,NA
20130700_E3Z_10,generalist,NA,NA
20130700_E3Z_11,generalist,NA,NA
20130700_E3Z_4,methanogen,NA,NA
20130700_E3Z_5,generalist,NA,NA
20130700_E3Z_8,generalist,NA,NA
20130700_P1Y_10,generalist,NA,NA
20130700_P1Y_11,generalist,NA,NA
20130700_P1Y_12,generalist,NA,NA
20130700_P1Y_3,generalist,NA,sulfur_oxidiser
20130700_P1Y_5,generalist,NA,NA
20130700_P1Y_8,fermenter,NA,NA
20130700_S1X_7,methanotroph,NA,sulfur_oxidiser
20130700_S1Z_14,generalist,NA,NA
20130700_S1Z_5,generalist,nitrogen_fixer,NA
20130700_S2D_2,generalist,NA,NA
20130700_S2M_1,generalist,nitrogen_fixer,NA
20130700_S2S_12,generalist,NA,NA
20130700_S2S_8,fermenter,NA,NA
20130700_S2Y_13,homoacetogen,nitrogen_fixer,NA
20130700_S2Y_8,generalist,NA,NA
20130700_S3M_11,generalist,NA,sulfur_oxidiser
20130700_S3M_3,generalist,NA,NA
20130700_S3M_8,fermenter,NA,NA
20130700_S3Z_1,generalist,NA,NA
20130700_S3Z_17,fermenter,NA,sulfur_oxidiser
20140700_E14_1,methanogen,nitrogen_fixer,NA
20140700_E14_11,generalist,NA,NA
20140700_E14_2,generalist,NA,NA
20140700_E15_1,homoacetogen,nitrogen_fixer,NA
20140700_E15_11,generalist,NA,NA
20140700_E15_14,fermenter,NA,NA
20140700_E15_15,fermenter,NA,NA
20140700_E15_18,macromolecule_degrader,NA,NA
20140700_E15_2,generalist,NA,NA
20140700_E15_7,generalist,NA,sulfur_oxidiser
20140700_E22_1,generalist,nitrogen_fixer,sulfate_reducer
20140700_E22_12,generalist,NA,sulfur_oxidiser
20140700_S11_11,generalist,NA,NA
20140700_S11_15,generalist,NA,NA
20140700_S11_5,fermenter,NA,NA
20140700_S11_6,generalist,nitrogen_fixer,NA
20140700_S11_7,macromolecule_degrader,NA,sulfur_oxidiser
20140700_S12_11,generalist,NA,NA
20140700_S12_15,methanotroph,nitrogen_fixer,sulfur_oxidiser
20140700_S15_2,fermenter,NA,sulfur_oxidiser
20140700_S16_1,generalist,NA,NA
20140700_S16_20,generalist,NA,NA
20140700_S21_12,generalist,NA,NA
20140700_S21_13,generalist,nitrogen_fixer,NA
20140700_S21_14,generalist,NA,NA
20140700_S21_17,fermenter,NA,sulfur_oxidiser
20140700_S21_18,generalist,NA,NA
20140700_S21_3,fermenter,NA,NA
20140700_S21_6,fermenter,NA,sulfur_oxidiser
20140700_S22_6,generalist,NA,NA
20140700_S22_7,generalist,NA,NA
20140700_S31_11,fermenter,NA,NA
20140700_S31_3,generalist,NA,NA
20140700_S31_6,fermenter,NA,NA
20140700_S31_9,generalist,NA,sulfur_oxidiser
20140700_S32_12,generalist,NA,NA
20140700_S33_15,fermenter,NA,sulfur_oxidiser
20140700_S33_2,fermenter,NA,sulfur_oxidiser
20140700_S36_11,generalist,nitrogen_fixer,NA
20150700_E14_10,generalist,NA,NA
20150700_E14_13,generalist,NA,NA
20150700_E14_2,generalist,NA,NA
20150700_E14_4,generalist,nitrogen_fixer,NA
20150700_E14_5,generalist,nitrogen_fixer,NA
20150700_E15_13,fermenter,NA,NA
20150700_E15_18,generalist,NA,NA
20150700_E15_20,generalist,NA,NA
20150700_E15_22,generalist,NA,NA
20150700_E15_4,generalist,nitrogen_fixer,NA
20150700_E15_6,fermenter,NA,NA
20150700_E23_13,fermenter,nitrogen_fixer,sulfur_oxidiser
20150700_E23_6,fermenter,nitrogen_fixer,NA
20150700_E23_7,fermenter,nitrogen_fixer,NA
20150700_E25_9,fermenter,NA,NA
20150700_E34_11,fermenter,NA,NA
20150700_E34_4,generalist,NA,NA
20150700_E35_2,generalist,nitrogen_fixer,NA
20150700_P11_4,generalist,NA,NA
20150700_P11_6,macromolecule_degrader,NA,NA
20150700_P13_2,generalist,NA,NA
20150700_P13_7,generalist,NA,NA
20150700_P13_8,fermenter,NA,NA
20150700_P14_12,fermenter,NA,NA
20150700_P14_4,generalist,NA,sulfur_oxidiser
20150700_P14_6,generalist,NA,NA
20150700_P14_7,fermenter,NA,sulfur_oxidiser
20150700_P14_8,generalist,NA,NA
20150700_P15_1,fermenter,NA,NA
20150700_P15_11,generalist,NA,NA
20150700_P15_12,generalist,NA,NA
20150700_P15_13,generalist,NA,NA
20150700_P15_16,generalist,NA,NA
20150700_P15_3,generalist,NA,sulfur_oxidiser
20150700_P15_4,generalist,NA,NA
20150700_P15_5,generalist,NA,NA
20150700_P15_9,generalist,NA,NA
20150700_P21_1,macromolecule_degrader,NA,NA
20150700_P21_10,generalist,NA,NA
20150700_P21_2,fermenter,NA,NA
20150700_P21_5,fermenter,NA,NA
20150700_P21_8,macromolecule_degrader,NA,NA
20150700_P23_11,generalist,NA,NA
20150700_P23_12,generalist,NA,NA
20150700_P23_7,fermenter,NA,NA
20150700_P24_12,generalist,NA,sulfur_oxidiser
20150700_P24_5,fermenter,NA,NA
20150700_P24_7,fermenter,NA,NA
20150700_P24_8,generalist,nitrogen_fixer,sulfur_oxidiser
20150700_P31_13,generalist,NA,NA
20150700_P31_3,generalist,NA,NA
20150700_P31_7,generalist,NA,NA
20150700_S15_1,generalist,NA,NA
20150700_S15_12,generalist,NA,NA
20150700_S15_15,generalist,NA,NA
20150700_S21_10,generalist,NA,NA
20150700_S21_2,fermenter,NA,sulfur_oxidiser
20150700_S21_6,generalist,NA,NA
20150700_S21_9,generalist,NA,sulfur_oxidiser
20150700_S23_11,generalist,NA,NA
20150700_S23_2,generalist,NA,NA
20150700_S23_3,generalist,NA,NA
20150700_S25_3,generalist,NA,NA
20160700_E13_6,NA,NA,NA
20160700_E21_11,generalist,NA,NA
20160700_E21_3,fermenter,NA,NA
20160700_E21_6,generalist,NA,NA
20160700_E23_11,generalist,nitrogen_fixer,NA
20160700_E23_20,generalist,NA,NA
20160700_E23_21,generalist,NA,sulfur_oxidiser
20160700_E23_26,generalist,NA,NA
20160700_E23_6,generalist,nitrogen_fixer,NA
20160700_E25_11,generalist,NA,NA
20160700_E25_13,generalist,nitrogen_fixer,NA
20160700_E25_15,generalist,NA,NA
20160700_E25_16,generalist,nitrogen_fixer,NA
20160700_E25_27,generalist,NA,sulfate_reducer
20160700_E25_5,macromolecule_degrader,NA,NA
20160700_E25_7,methanogen,nitrogen_fixer,NA
20160700_E33_2,homoacetogen,nitrogen_fixer,NA
20160700_P15_10,fermenter,NA,NA
20160700_P15_13,generalist,NA,NA
20160700_P15_15,fermenter,NA,NA
20160700_P15_16,generalist,NA,sulfur_oxidiser
20160700_P15_17,fermenter,NA,NA
20160700_P15_18,generalist,NA,NA
20160700_P15_19,generalist,NA,NA
20160700_P15_2,fermenter,NA,NA
20160700_P15_24,generalist,NA,NA
20160700_P15_25,generalist,NA,NA
20160700_P15_3,macromolecule_degrader,NA,NA
20160700_P15_5,generalist,NA,NA
20160700_P15_8,fermenter,NA,NA
20160700_P15_9,generalist,NA,NA
20160700_S11_1,generalist,NA,NA
20160700_S11_6,generalist,NA,NA
20160700_S13_16,generalist,NA,NA
20160700_S13_19,fermenter,NA,sulfur_oxidiser
20160700_S14_9,generalist,nitrogen_fixer,sulfur_oxidiser
20160700_S15_2,generalist,NA,NA
20160700_S23_13,fermenter,NA,NA
20160700_S23_14,generalist,NA,NA
20160700_S23_17,generalist,nitrogen_fixer,NA
20160700_S23_5,generalist,NA,NA
20160700_S23_8,fermenter,nitrogen_fixer,NA
20160700_S33_6,generalist,NA,NA
20160700_S34_5,generalist,NA,sulfur_oxidiser
20170700_E11_3,fermenter,NA,NA
20170700_E14_6,generalist,NA,NA
20170700_E15_6,generalist,nitrogen_fixer,NA
20170700_E15_8,generalist,NA,NA
20170700_P14_3,generalist,NA,sulfur_oxidiser
20170700_P23_1,generalist,NA,NA
20170700_P24_2,fermenter,NA,sulfur_oxidiser
20170700_P24_4,macromolecule_degrader,NA,NA
20170700_P31_1,macromolecule_degrader,NA,NA
20170700_P33_1,generalist,NA,NA
20170700_P34_1,fermenter,NA,NA
20170700_P34_4,generalist,NA,sulfur_oxidiser
20170700_P34_5,generalist,NA,NA
20170700_S24_10,generalist,NA,NA
20170700_S24_14,generalist,NA,NA
20170700_S24_16,generalist,NA,NA
20170700_S24_18,generalist,NA,NA
20170700_S24_4,generalist,nitrogen_fixer,NA
20170700_S24_5,generalist,nitrogen_fixer,NA
20170700_S24_8,generalist,NA,NA
20170700_S24_9,generalist,nitrogen_fixer,NA
20170700_S25_1,generalist,NA,NA
20170700_S25_13,generalist,NA,NA
20170700_S25_14,generalist,NA,NA
20170700_S25_23,fermenter,nitrogen_fixer,NA
20170700_S25_25,fermenter,NA,NA
20170700_S25_26,generalist,NA,NA
20170700_S25_3,generalist,NA,NA
20170700_S25_32,generalist,NA,sulfur_oxidiser
20170700_S25_36,generalist,NA,sulfur_oxidiser
20170700_S25_38,homoacetogen,NA,NA
20170700_S25_7,generalist,NA,NA
20170700_S25_8,generalist,NA,NA
20170700_S25_9,macromolecule_degrader,NA,NA
20170700_S31_11,generalist,NA,NA
20170700_S31_5,fermenter,NA,NA
20170700_S33_13,fermenter,NA,NA
20170700_S33_22,generalist,NA,sulfur_oxidiser
20170700_S33_23,generalist,NA,NA
20170700_S33_24,fermenter,NA,sulfur_oxidiser
20170700_S33_29,fermenter,NA,NA
20170700_S33_33,fermenter,nitrogen_fixer,sulfur_oxidiser
20170700_S33_37,generalist,NA,sulfur_oxidiser
20170700_S33_5,generalist,NA,NA
20170700_S34_10,generalist,nitrogen_fixer,NA
20170700_S34_11,macromolecule_degrader,NA,NA
20170700_S34_13,fermenter,NA,sulfur_oxidiser
20170700_S34_2,fermenter,NA,NA
20170700_S34_23,generalist,NA,NA
20170700_S34_24,generalist,NA,NA
20170700_S34_25,monomer_degrader,NA,NA
20170700_S34_26,fermenter,NA,sulfur_oxidiser
20170700_S34_29,generalist,NA,NA
20170700_S34_32,generalist,NA,sulfur_oxidiser
20170700_S34_36,generalist,NA,NA
20170700_S34_41,generalist,nitrogen_fixer,NA
20170700_S35_14,generalist,nitrate_reducer,sulfur_oxidiser
20170700_S35_18,generalist,nitrogen_fixer,NA
20170700_S35_19,generalist,NA,NA
20170700_S35_2,generalist,nitrogen_fixer,NA
20170700_S35_4,methanotroph,nitrogen_fixer,sulfur_oxidiser
20170700_S35_7,homoacetogen,nitrogen_fixer,NA
20170700_S35_8,fermenter,NA,NA
3300022824_1,fermenter,nitrogen_fixer,NA
3300022861_2,generalist,nitrogen_fixer,NA
3300022861_3,generalist,nitrate_reducer,NA
3300022861_4,homoacetogen,NA,NA
3300023232_1,generalist,nitrogen_fixer,NA
3300023248_5,generalist,nitrogen_fixer,NA
3300023254_4,generalist,NA,NA
3300023254_8,fermenter,NA,NA
3300024238_3,homoacetogen,nitrogen_fixer,NA
3300026366_1,generalist,nitrogen_fixer,NA
3300026368_2,generalist,NA,NA
3300026450_3,generalist,nitrogen_fixer,sulfur_oxidiser
3300028731_7,fermenter,NA,NA
3300028776_13,macromolecule_degrader,NA,NA
3300028795_9,macromolecule_degrader,NA,NA
3300028857_5,generalist,NA,NA
3300029985_7,generalist,NA,NA
3300031524_30,generalist,nitrogen_fixer,NA
3300031525_28,macromolecule_degrader,NA,NA
3300031726_16,generalist,nitrogen_fixer,NA
3300031726_9,generalist,NA,sulfur_oxidiser
3300036876_12,fermenter,NA,NA
3300036876_9,generalist,denitrifier,NA
3300036884_16,homoacetogen,NA,NA
3300036884_17,NA,nitrogen_fixer,NA
3300036884_7,homoacetogen,NA,NA
3300036886_10,homoacetogen,NA,NA
3300036886_17,macromolecule_degrader,NA,sulfur_oxidiser
3300036888_6,generalist,NA,NA
3300036901_8,generalist,NA,NA
3300036929_5,generalist,nitrogen_fixer,NA
3300037040_8,methanotroph,nitrogen_fixer,sulfur_oxidiser
3300037049_16,fermenter,NA,NA
3300037049_8,macromolecule_degrader,NA,NA
3300037054_4,generalist,denitrifier,sulfur_oxidiser
3300037054_6,generalist,NA,NA
3300037062_11,methanogen,nitrogen_fixer,NA
3300037076_10,generalist,NA,sulfur_oxidiser
3300037076_11,generalist,NA,sulfur_oxidiser
3300037076_20,fermenter,NA,NA
3300037076_21,fermenter,nitrogen_fixer,NA
3300037076_25,fermenter,NA,NA
3300037076_30,fermenter,NA,NA
3300037076_33,fermenter,NA,NA
3300037076_8,macromolecule_degrader,nitrogen_fixer,NA
3300037076_9,fermenter,nitrogen_fixer,sulfate_reducer
3300037085_4,fermenter,NA,NA
3300037089_14,methanogen,NA,NA
3300037089_15,fermenter,NA,NA
3300037090_15,fermenter,NA,NA
3300037091_10,homoacetogen,NA,NA
3300037104_11,generalist,NA,NA
3300037104_17,macromolecule_degrader,NA,NA
3300037104_19,methanogen,nitrogen_fixer,NA
3300037104_21,methanogen,NA,NA
3300037104_22,homoacetogen,NA,NA
3300037105_13,macromolecule_degrader,NA,NA
3300037109_9,macromolecule_degrader,NA,NA
3300037110_7,macromolecule_degrader,NA,sulfur_oxidiser
3300037129_8,fermenter,NA,NA
3300037132_13,fermenter,NA,NA
3300037132_15,macromolecule_degrader,NA,NA
3300037132_8,generalist,nitrogen_fixer,NA
3300037132_9,monomer_degrader,NA,NA
3300037134_11,macromolecule_degrader,NA,NA
3300037136_8,fermenter,NA,NA
3300037138_9,macromolecule_degrader,NA,NA
3300037139_5,generalist,NA,sulfur_oxidiser
3300037140_10,fermenter,NA,NA
3300037141_6,generalist,NA,NA
3300037147_7,fermenter,NA,sulfur_oxidiser
3300037149_6,generalist,nitrogen_fixer,NA
3300037155_10,generalist,NA,sulfur_oxidiser
3300037155_12,macromolecule_degrader,nitrogen_fixer,NA
3300037156_10,macromolecule_degrader,NA,NA
3300037156_12,macromolecule_degrader,NA,NA
3300037156_13,macromolecule_degrader,NA,sulfur_oxidiser
3300037156_8,generalist,nitrate_reducer,NA
3300037159_6,fermenter,NA,NA
3300037159_8,fermenter,NA,NA
3300037165_5,generalist,NA,NA
3300037175_6,homoacetogen,NA,NA
3300037180_6,generalist,NA,NA
3300037185_7,fermenter,NA,NA
3300037196_13,fermenter,NA,sulfur_oxidiser
3300037196_14,homoacetogen,NA,NA
3300037198_12,homoacetogen,NA,NA
3300037200_7,fermenter,NA,sulfur_oxidiser
3300037207_8,macromolecule_degrader,NA,NA
3300037222_12,macromolecule_degrader,NA,NA
3300037224_12,generalist,nitrogen_fixer,NA
3300037225_15,homoacetogen,NA,NA
3300037225_16,homoacetogen,NA,NA
3300037225_17,generalist,NA,NA
3300037226_12,fermenter,NA,NA
3300037228_7,generalist,NA,NA
3300037231_11,generalist,NA,NA
3300037231_14,macromolecule_degrader,NA,NA
3300037231_15,fermenter,NA,NA
3300037231_17,fermenter,NA,NA
3300037233_9,generalist,NA,NA
3300037237_7,generalist,NA,NA
3300037239_6,fermenter,NA,sulfur_oxidiser
3300037241_7,generalist,NA,NA
3300037243_8,generalist,NA,NA
3300037262_8,fermenter,NA,sulfur_oxidiser
3300037316_10,fermenter,NA,NA
3300037316_8,fermenter,NA,NA
3300037342_8,generalist,NA,NA
3300037349_11,generalist,NA,NA
3300037349_9,generalist,NA,NA
3300037353_11,fermenter,NA,sulfur_oxidiser
3300037355_2,generalist,NA,NA
3300037359_10,fermenter,nitrogen_fixer,sulfur_oxidiser
3300037360_7,generalist,nitrogen_fixer,sulfur_oxidiser
3300037361_6,generalist,nitrogen_fixer,NA
3300037361_7,macromolecule_degrader,nitrogen_fixer,sulfur_oxidiser
3300037365_14,methanogen,NA,NA
3300037394_5,generalist,NA,sulfur_oxidiser
3300037401_3,macromolecule_degrader,NA,NA
3300037549_11,fermenter,nitrate_reducer,NA
3300037549_12,generalist,NA,NA
3300037549_13,fermenter,nitrate_reducer,sulfur_oxidiser
3300037549_14,fermenter,nitrogen_fixer,sulfur_oxidiser
3300037549_16,generalist,NA,NA
3300038457_7,generalist,NA,NA
3300038458_11,generalist,NA,NA
3300038461_4,homoacetogen,nitrogen_fixer,NA
3300038461_5,generalist,NA,NA
3300038473_8,fermenter,NA,NA
3300038475_6,homoacetogen,nitrogen_fixer,NA
3300038476_2,generalist,NA,sulfur_oxidiser
3300038478_6,generalist,NA,NA
3300038519_6,fermenter,NA,NA
3300039216_15,methanogen,nitrogen_fixer,NA
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.116_96.93_0.86,generalist,NA,NA
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.122_90.43_7.26,generalist,NA,NA
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.128_96.67_1.72,generalist,nitrogen_fixer,NA
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92,generalist,nitrogen_fixer,NA
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.64_100.00_1.08,fermenter,nitrogen_fixer,NA
Bog.Labelled.R1.T2.F1.trimmomatic.megahit_bin.69_82.85_0.58,NA,NA,NA
Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.66_77.13_3.14,generalist,NA,NA
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.103_71.98_4.06,macromolecule_degrader,NA,NA
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.54_94.58_0.00,macromolecule_degrader,NA,NA
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.70_92.60_2.94,generalist,NA,NA
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.89_90.44_1.43,generalist,NA,NA
Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.96_95.35_0.00,NA,NA,NA
Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.24_99.14_0.86,generalist,NA,NA
Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.102_98.52_1.39,macromolecule_degrader,NA,NA
Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.118_92.33_1.72,generalist,NA,NA
