genome,specialisation,nitrogen_specialisation,sulfur_specialisation
20110800_E3D_5,fermenter,NA,NA
20110800_E3D_9,generalist,NA,NA
20110800_E3M_2,macromolecule_degrader,NA,NA
20110800_E3M_4,generalist,NA,NA
20110800_E3M_6,generalist,NA,NA
20110800_E3S_2,generalist,NA,NA
20110800_P1D_10,generalist,NA,NA
20110800_P1D_13,fermenter,NA,NA
20110800_P1D_14,generalist,NA,sulfur_oxidiser
20110800_P1D_16,fermenter,NA,NA
20110800_P1D_18,fermenter,NA,NA
20110800_P1D_20,macromolecule_degrader,NA,NA
20110800_P1D_21,generalist,NA,sulfur_oxidiser
20110800_P1D_22,fermenter,NA,NA
20110800_P1D_24,generalist,NA,NA
20110800_P1D_29,generalist,NA,NA
20110800_P1D_3,fermenter,NA,sulfur_oxidiser
20110800_P1D_30,fermenter,NA,NA
20110800_P1D_31,generalist,NA,sulfur_oxidiser
20110800_P1D_36,macromolecule_degrader,NA,NA
20110800_P1D_37,generalist,NA,NA
20110800_P1D_38,fermenter,NA,sulfur_oxidiser
20110800_P1M_14,fermenter,NA,sulfur_oxidiser
20110800_P1M_16,fermenter,NA,sulfur_oxidiser
20110800_P1M_19,generalist,NA,NA
20110800_P1M_20,fermenter,NA,NA
20110800_P1M_21,generalist,NA,sulfur_oxidiser
20110800_P1M_22,macromolecule_degrader,NA,NA
20110800_P1M_25,generalist,NA,NA
20110800_P1M_28,macromolecule_degrader,NA,NA
20110800_P1M_5,macromolecule_degrader,NA,sulfur_oxidiser
20110800_P1M_8,macromolecule_degrader,NA,NA
20110800_P1M_9,fermenter,NA,sulfur_oxidiser
20110800_P1S_2,generalist,NA,NA
20110800_P1S_5,generalist,NA,NA
20110800_P2D_1,generalist,NA,NA
20110800_P2D_10,generalist,NA,NA
20110800_P2D_12,generalist,NA,sulfur_oxidiser
20110800_P2D_17,generalist,NA,NA
20110800_P2D_8,generalist,NA,NA
20110800_P2D_9,generalist,NA,sulfur_oxidiser
20110800_P3M_11,fermenter,NA,NA
20110800_P3M_18,fermenter,NA,NA
20110800_P3M_3,generalist,NA,NA
20110800_P3S_2,generalist,NA,NA
20110800_P3S_4,generalist,NA,NA
20110800_P3S_5,generalist,NA,NA
20110800_P3S_8,generalist,NA,sulfur_oxidiser
20110800_P3S_9,generalist,NA,NA
20110800_S1D_14,generalist,NA,NA
20110800_S1D_5,generalist,NA,NA
20110800_S1M_17,generalist,NA,sulfur_oxidiser
20110800_S1M_20,generalist,NA,NA
20110800_S1M_32,generalist,NA,sulfur_oxidiser
20110800_S1M_8,generalist,NA,NA
20110800_S1S_1,fermenter,NA,NA
20110800_S1S_12,generalist,NA,NA
20110800_S1S_13,generalist,NA,NA
20110800_S1S_18,generalist,NA,NA
20110800_S1S_3,generalist,NA,NA
20110800_S1S_6,fermenter,NA,NA
