"SampleID_from","SampleID_to","BetaDiversity","Year___from","Habitat___from","DepthLumping_from","Year___to","Habitat___to","DepthLumping_to","ReferenceYear"
"X712_E.2.S","X711_E.2.S",0.365072887444887,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.2.S",0.241726495588489,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.2.S",0.665319230964232,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.2.S",0.530322820936747,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.2.S",0.51897004881378,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.2.S",0.510005605083351,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.2.S",0.475724543424143,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.2.S",0.548984330328187,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.2.S",0.402215794881506,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.2.S",0.618098129740681,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.2.S",0.578750145043242,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.2.S",0.610060544176272,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.2.S",0.420761670620406,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.2.S",0.612886695049727,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.2.S",0.458032889838579,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.2.S",0.408916834746817,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E3_1.5","X711_E.2.S",0.566397350494726,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E1_1.5","X711_E.2.S",0.348554014679404,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E3_1.5","X711_E.2.S",0.644756552587795,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E2_1.5","X711_E.2.S",0.505631857475578,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E3_1.5","X711_E.2.S",0.526637317292915,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.1.M","X711_E.2.M",0.484758486521424,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.S","X711_E.2.M",0.411590911309518,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.2.M",0.463194171581102,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.2.M",0.719693771642421,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.2.M",0.697126511897474,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.2.M",0.411557635409746,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.2.M",0.391204946725614,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.2.M",0.614660043644555,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.2.M",0.600752122971176,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.2.M",0.42479021585427,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.2.M",0.648697043516595,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.2.M",0.621814216430172,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.2.M",0.572750784926526,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.2.M",0.505803256854834,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.2.M",0.406637708837271,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.2.M",0.441923156722943,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.2.M",0.598988787549313,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E3_1.5","X711_E.2.M",0.730158921034975,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E1_1.5","X711_E.2.M",0.551210188540274,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E3_1.5","X711_E.2.M",0.732603353062852,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E2_1.5","X711_E.2.M",0.61693801518976,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E3_1.5","X711_E.2.M",0.683976186308102,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.1.D","X711_E.2.D",0.586198379097881,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X712_E.2.D","X711_E.2.D",0.217627037686823,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X712_E.3.D","X711_E.2.D",0.282709261225356,2012,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.1.X0","X711_E.2.D",0.767017949575815,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.2.X0","X711_E.2.D",0.714695348812522,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X713_E.3.X0","X711_E.2.D",0.83123858339689,2013,"Fen","20-29",2011,"Fen","20-29",2011
"X714_E1_20.24","X711_E.2.D",0.624618597800166,2014,"Fen","20-29",2011,"Fen","20-29",2011
"X714_E2_20.24","X711_E.2.D",0.282651454494364,2014,"Fen","20-29",2011,"Fen","20-29",2011
"X715_E2_20.24","X711_E.2.D",0.298771521877701,2015,"Fen","20-29",2011,"Fen","20-29",2011
"X715_E3_20.24","X711_E.2.D",0.408180691684775,2015,"Fen","20-29",2011,"Fen","20-29",2011
