"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-D" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20160700_E23_20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.444924 0.10041162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.55658364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8893224 0.108787455 0 0 0 0 0 0 0 0.09703775 1.1410748 0.9850424 0 0 0 0 0 0 0.35499808 0.23824719 0 0 0 0 0 0 0.3641601 0.4411629 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3741523 0 0 0.4927993 0.24378446 0 0.063242525 0.07794253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.121712044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7639282 0
"20120700_S1D_113" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12786625 0 0.13597335 0 0.11157137 0 0.18480836 0 0 0 0 0 0 0 0 0.07902227 0 0 0 0 0.10590501 0.11857419 1.4690934 0 1.017961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83423334 0 0 0 0 0.105079696 0.20683256 0 0.29853952 0.3957233 0.089064226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7195269 0.6095069 0 0 0 0.78145915 0.11378539 0 0.0980384 0.16144747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1164874 0.31485736 0.065011606 0 4.250811 1.3437839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2892123 0 0 0 0 0 0 0 0 0 0 0 0 1.1788405 0.84338677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1316933 0.66555417 0
"3300036876_9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.21327 1.5198667 1.3846413 0 6.076536 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45740467 1.3829309 11.476898 0.11989047 2.3376977 0.17063718 0 0.7555729 0.57673734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.479105 0.6707462 27.57247 5.79908 0.6292893 0.12466902 1.0567611 2.2556667 0.48872346 0 0 0.37518 2.098637 2.0594854 4.5297327 0 0 0 0 0 0 0 0 0 1.2720878 1.3515176 6.644844 0.07105267 0 0 0.45274886 2.208039 0 1.2462435 1.9809707 1.3966666 1.1478791 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.116407 0 0 0.28352597 0.34540758 0 0.59567785 0.41091427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.861961 3.478307 1.4031713 0 5.0336356 1.4786407 3.8282669 1.344259 0.14246097 0.1831209 0 0 0 0 0 0 0 0 0 0 0 0 0 4.47363 0.98162264 6.5016675 0 0.33702046 0
"20140700_S22_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14258866 0 4.834326 1.3702922 0.46691 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15178704 0.32278463 3.8876712 0.96341324 7.40677 1.438428 0 0.20368916 0.18641411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09723505 0 0.65660226 0.4548467 0.98191655 0.15444502 0.4301952 1.1707278 1.1097609 0.7381534 0.7054787 1.7325097 0.6729369 0.17347902 0.10306888 0 0 0 0 0 0 0 0 0 3.3345392 4.0384927 3.973497 0.7807791 1.4811031 1.228377 9.184607 1.0053756 0.07545335 1.6236365 5.298705 0 0.2374304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.4320757 2.7224748 1.2759451 0.8325224 2.496299 1.0172945 0.6204129 1.5140641 1.5408341 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27599502 0 1.856912 0.675096 1.17473 0 0.98449147 0 0 1.8516982 2.3103302 0.9211695 0 0 0 0 0 0 0 0 0 0 0 0.71563256 0 0.059592444 0.32221335 0.5459056 0.83927864 1.5331026 1.0969213
"20120700_S1D_46" 0 0 0 0.0598191 0.22626926 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7910523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.062679574 5.3185825 0 1.8013564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27285317 2.0170221 0.17568408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6941041 0.6574663 0.59567857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19537233 0.78679127 0 0 1.2410532 0.1074743 0 0 0.101114035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1468876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7278885 0
"20120700_S1D_55" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.843742 0.939232 3.6274726 1.1266934 0.91615087 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5522932 6.4626794 11.663824 0.1302574 3.4218328 0 0 0.056835428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.87731045 11.338838 3.789106 0.55117494 0 1.2253797 3.7451913 3.135611 0.094800584 0.059311613 2.0917928 3.8772938 1.1366963 0.16019699 0 0 0 0 0 0 0 0 0 2.9022124 1.9662715 6.20773 0.5557137 0 4.5468197 3.8203316 0.6623707 0 3.659006 3.9023578 1.565486 0.2622092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8871384 3.0977037 0.908152 0 4.538195 5.415066 0.1284143 0.34901774 0.6031653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.1413355 0.43925375 0 0 5.436831 0.5232202 0 6.2485585 2.229889 0.1851243 0 0 0 0 0 0 0 0 0 0 0 0 0 8.949253 1.2038308 0.09620865 0.5923262 2.841272 0.29817066
"20120700_S1D_102" 0 0 0 0 0.1978655 0 0 0 0 0 0 0.25833943 0 0 0.32384774 0 2.1303365 0.29481608 3.9121087 0.63725644 0.32143304 0.10901909 0.07889148 0 0 0 0 0 0 2.1271138 0 0 0 0.20185354 0 0 3.7172909 0.13783224 1.6409322 0.12940928 0 0.21825518 0.20343925 0 0 0 0 0.14318694 0 0.17316864 0 0 0 0.06935491 0 0 0 0.31886092 0.12536356 13.949654 0.6305227 0.2965149 0 0.17739256 1.720102 1.0976386 0.28816748 0 0.7424111 0.42936856 0.36840692 0.18836103 0.06454216 0.25452083 1.6337297 0.45814824 0 0.1355099 0 0.1186451 0 0 1.390815 2.6403334 0.7030655 0.29771042 0 0.8777558 0.41958377 0 0.93733674 5.094356 0.38065776 0.48003623 0 0 0 0 0 0.088210545 0 0 0 0 0 0 0 0 0 0 1.2232908 0.9054188 0.13938515 1.5261066 2.189727 0.689344 0.8197994 0.5904958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3722541 0.8247318 0.16468029 0 0 0 0 0.5888411 1.2204568 1.0335691 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3609337 0.24062231 0.13520758 0 1.2536515 0.53929186
"20120700_S1D_19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.93049 0 17.527338 10.37666 6.419069 1.9030662 2.863275 0 0 0 0 0 0 0 0 8.411039 0 0.11264254 0 0 0.8753137 4.518745 10.939028 0.40194744 4.846275 0.5729375 0 2.5892634 2.4174042 0 0 0 0 0 0 0 0 0 0 0 0 17.480572 0 4.258903 6.9414234 17.765123 4.3390665 0.5876181 0.10303366 3.5818858 7.6079392 2.8424854 1.6662914 0 2.3693414 6.911264 4.9653993 1.494173 0 0 0.063115805 0.33122507 0 0 0 0 0 7.176176 2.725295 5.8382535 0.99004984 0.7078506 3.1173878 5.9496055 2.8337188 0.070398234 10.166741 15.260425 17.987864 2.5809062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8770043 4.69509 1.2111436 2.7947104 2.439684 3.5587509 1.2389952 1.2613676 2.259527 0 0 0 0 0 0 0 0 0 0 0 0 1.3777759 0 0 0 0 0 4.9701886 1.2615769 1.6247741 0 5.8381867 1.7364123 1.5970291 2.8635218 1.069937 1.0000961 0 0 0 0 0 0 0 0 0 0 0 0 0 5.937474 1.7811682 1.4096793 0.4722379 6.1924043 0.8603672
"20140700_S12_11" 0 0.33466247 1.8366796 0.6229957 2.4697878 1.6929473 0.071867764 0.8352328 0.5087164 0 0 0 0 0 0 0.14329797 13.851233 1.7512842 14.35632 4.3223224 1.4070661 2.273668 8.884264 0.2873654 0.082070574 0.6389065 0.38161215 0 0 0 0 0 0 0 0.6637336 0.62794644 43.622887 2.5097134 10.058913 0.0939104 0 0.29548946 0.2833035 0.43688518 0.5786123 0.7838108 0.62853354 0.2151498 0 0.4269937 0.21003209 0 0.51492894 0.44709462 0 0 0 0 0 12.247239 2.9695063 0.2311611 0 1.704599 23.770037 9.472688 2.5132704 0 5.3108454 4.8608356 0.5543708 0 0.24852802 1.8501219 25.935297 9.697296 0.18485883 3.3121574 2.5462992 0 0 0.41197568 11.170574 13.816241 2.2365456 0.47767878 0.12549472 1.2950068 1.5218763 0 3.7911358 12.499363 2.1070545 1.87056 1.1787746 0 0.61298406 0.90760064 0.41276968 2.8810303 0.77593434 0 0 0 0 0 0 0 0 0 10.101695 3.4481366 0.11953497 14.32323 7.832315 0.5634492 1.009957 1.4889501 0 1.329089 0.480779 0.82477283 0 0.5353858 0.18574451 0 0 0 0 0 0 0 0 0 0 0 11.373849 0.7326977 0.4434046 0 0.4777246 0 0 4.75342 4.4245024 0.7300586 0.7990654 0.7961792 0 0.17718092 0 0 0 0 0 0 0 0 0 6.910682 0.33609357 0.12546946 0.056615647 7.276075 1.9126009
"Bog.Labelled.R2.T3.F3.trimmomatic.megahit_bin.126_96.49_2.19" 0 0 0.06398379 0 0.57174945 0 0 0 0.064675145 0 0 0 0 0 0 0 0.30912837 0 0.31800714 0.27476862 0 0.22615527 0.8913393 0 0 0 0 0 0 0 0 0 0 0 0 0.21198946 1.0436585 0 0.13051265 0 0 0 0 0.1563585 0.20515728 0 0 0 0 0 0.09156525 0 0 0 0 0 0 0 0.39424008 3.8098857 0.43551844 0 0 0.55513424 0.6679728 0.32207772 0 0 0.29930395 0 0 0 0.06447253 0 3.296415 1.9064857 0 0.28846204 0 0 0 0.11622057 0.36248872 0.325674 0.0958275 0 0 0 0 0 0.5613312 1.1083659 0.09951979 0 0.063916825 0 0.06962371 0 0 0.32924038 0 0 0 0 0 0 0 0 0 0 0.12714735 0.07016062 0 0.37563202 0.12409423 0 0.10816864 0.15965667 0 0.23557791 0 0 0 0.11781304 0 0 0 0 0 0 0 0 0 0 0 0 0.9195353 0.2551544 0.13125949 0 0 0 0 0.09841466 0 0 0 0 0 0.06739658 0 0 0 0 0 0 0 0 0 0.18962528 0.176059 0 0 0 0
"20150700_E15_22" 0 0 0 0 0 0 0 0 0 0 0 0.27492282 0 0 0 0 1.1013422 0.24722232 0.27753738 0.3789785 0.26956317 0 0.28142178 0 0 0 0 0 0 0 0 0 0 0 0.21365361 0.54923165 2.4306808 0.09494824 3.308024 0.36247468 0 0.49868664 0.43034366 0 0.05698652 0 0 0 0 0 0 0 0 0 0 0 0 0 0.863995 0.7754438 6.3835387 0.18152931 0 3.773037 1.4200429 1.4163426 0 0 0.12799846 6.38137 0.82688236 0.45272028 0 0 0.36369732 0.13555117 0 0 0.2457661 0 0 0.7708069 0 1.6627901 0.39083403 0.1935568 0.06582882 0.20798318 1.1530896 0 0.2584243 0.27122977 0.561595 1.3026597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1502286 0.24598332 0.12385653 0 0.5010931 1.1944573 0.062686995 0.44646248 0.5822457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.108302996 0.7769928 0.34255365 0 0 0.32236972 0.92317003 8.535536 2.436103 0.32601064 0 0 0 0 0 0 0 0 0 0 0 0 0 5.1888084 0.14271508 0.69843656 0.1742794 0.28217536 0.27214807
"20120700_S1D_114" 0.09558322 0.3176178 0.9062573 0.058011975 0.823442 0.24961817 0 0 0.097166084 0 0 0 0 0 0 0 10.9943695 3.5564108 12.031335 4.1710334 3.396942 0.44145393 1.3829359 0 0 0.17076243 0.10124981 0 0 0.88569236 0 0 0 0 0.8467535 1.5185149 37.3378 1.1220884 10.4083605 1.7913415 0 2.6647851 2.381178 0.8250398 0.767867 0.30187428 0.18200694 0 0 0.092427656 0.07721287 0 0.06616719 0.08298961 0 0.118152834 0 0.7700374 0.40317246 21.769924 5.9154634 2.2324255 0.47189724 2.9715981 17.770653 9.125608 1.8110989 0 4.979947 4.0050044 6.170095 2.4549375 0 0.105482206 10.192331 1.9171059 0 0.3830694 1.0519193 0 0 0.30315354 6.4762354 16.988535 3.8079786 2.134392 0.5276824 8.860566 9.125655 0.08668255 2.8813992 22.803566 8.242195 3.4468307 0.15901041 0 0.06525724 0.079745084 0 0.60968447 0.44142497 0 0 0 0 0 0 0 0 0.4162076 8.268944 5.1229196 1.3330168 12.437927 13.9913025 1.406526 2.8408024 4.086094 0 0.40110448 0.07101189 0.085439436 0 0.11221488 0 0 0 0 0 0 0.25437778 0 0 0 0 0 9.233583 2.9150407 3.5736382 0 1.7853901 3.1228373 3.6446323 3.4776547 4.1671476 3.3539886 0.12325071 0.12917104 0 0.08287468 0 0 0 0 0 0 0 0 0 16.040926 2.6569812 3.9485126 0.17725448 7.3099275 2.572032
"20120700_S1D_57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06391482 15.930752 8.864694 4.603313 0.53645176 2.1992893 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45257586 1.4688835 15.058664 0.16051292 5.318601 0.42380825 0 0.6239617 0.6017694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32279125 4.909772 4.79399 0.5385884 0.07359215 8.41736 4.556984 2.8765852 0.0984408 0 1.5336692 5.6700296 3.8794215 0.8339071 0 0 1.6372796 0.38952196 0 0 0 0 0 0.31008962 1.1104653 6.187592 0.38291663 0.14973457 0.24663897 3.9145823 4.5021267 0 0.13623738 3.6985044 5.533916 0.99066144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6609088 2.935015 0.55208564 0 0.6071055 3.8002226 0.21866156 0.87627226 0.41850665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.6621 1.5985037 0.5064084 0 2.3696313 1.8760548 2.4062836 2.2310376 1.7814231 0.39409626 0 0 0 0 0 0 0 0 0 0 0 0 0 27.471249 3.3676615 1.4953082 0.21000303 1.6471275 0.20606352
"20160700_E23_21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.831607 0.14796339 0 0 0.1275773 0 0.21158658 0 0 0 0 0 0 0 0 0 0 0 0.10332038 0.11787006 5.481605 0 0.21367098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07357426 21.487583 0.48313636 0 0 0.8649704 1.0364076 0 0 0 0 0.38844296 0 0 0 0 0.1637248 1.735973 0 0 0 0 0 0 0.4459884 0.82983476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41731846 0 0 0.27150255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6259284 0 0 0 0 0 0 0.9978578 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.2902126 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77" 0 0 0 0 0.089881174 0 0 0 0 0 0 0 0 0 0 0 0.6830592 0 0.09276005 0.06445083 0.06688563 1.521895 0.10281126 0.056837443 0 0 0 0 0 0 0 0 0 0 0 0.51542246 3.1734273 0 0.27856216 0 0 0 0 0.056906812 0.1925734 0.07050694 0 0 0 0 0 0 0 0 0 0 0 0 0.36164054 3.2883956 0.5375553 0 0 0.93250734 0.89825314 0.2713792 0 0 0 2.20222 0.09696385 0 0.071902454 0.24108167 0.6931362 0.43186426 0 0.6517636 0.20984451 0 0 0.1794046 0.118779555 0.4804413 0 0 0 0 0.061313268 0 0.11975796 0.15884538 0.7482949 0.0658733 0.06863222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0741016 0 0 0.49094355 0.14924945 0 0 0.09641013 0 0.06215203 0.06668874 0 0 0.18432964 0 0 0 0 0 0 0 0 0 0 0 0 0.46668547 0 0 0 0.18161859 0 0 1.6485679 0.08144721 0 0.08111733 0 0 0.08773262 0 0 0 0 0 0 0 0 0 2.5664847 0 0.06640794 0 0.06940858 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.55_93.55_2.59" 0 0 0.16418825 0 0.117141 0.2134398 0 0 0 0 0 0 0 0 0 0 2.7399025 1.778159 0.7456729 0.3456854 0.7662093 0.22292466 2.1662295 0.063234515 0.06449846 0.13335106 0.08442473 0 0 0 0 0 0 0 0.3860375 0.25686362 21.976278 0.4369314 1.7159315 0.2163976 0 0.11357369 0.1104911 0 0.13366804 0.097061194 0 0.3590354 0 0.084418125 0 0 0 0 0.07889349 0 0 0 0 16.192268 3.6788037 0.26368952 0 0.7263323 4.66014 1.4765478 0.15675779 0 0.12237244 4.2393613 1.0467049 0.27421644 0.16145301 0.34204313 0.9713813 1.4300672 0.07263617 0.34233668 0.5208506 0.14028095 0 0 0.4560289 3.201171 0.38053632 0.41822186 0 0 0.8298483 0 4.6294346 11.79773 6.1457796 1.5513649 0.070792094 0 0 0 0 0.088797025 0.08565599 0 0 0 0 0 0 0 0 0 0.80842066 0.17649454 0.059942912 0.06442681 0.6874314 0.14518914 0.5214294 0.5947015 0 0.06590504 0.0690857 0 0 0.07068512 0 0 0 0 0 0 0 0 0 0 0 0 2.9467225 0.75714743 0.4180353 0 0.34962416 1.0681212 0.20097438 2.4992578 0.67257214 0.10214471 0.08868014 0.10381742 0 0.056307916 0 0 0 0 0 0 0 0 0 16.15006 0.29850146 0.30642852 0 1.2154348 0
"20150700_E15_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1742442 0 0 0 0 0.63128465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0327833 0 0.3594147 0 0 0 0 0 0.10589329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21820608 2.5272107 0 0 0.07019493 0.19518732 0.11919021 0 0 0 2.8171608 0 0 0 0 0 0 0 0 0.05984792 0 0 0 0 0.4835527 0 0 0 0 0 0 0.3153717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.097853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_E14_2" 0 0 2.595777 0 0 0 0 0 0 0 0 0 0 0 0 0.06270208 11.956612 8.516919 1.2832518 0 4.1649804 0 1.1809698 0 0 0 0 0 0 0 0 0 0 0 0.2805612 0.32196778 17.94279 0.2148528 1.4807295 0 0 2.7770731 2.4955997 0 0 0.12120699 0 0 0 0 0 0 0 0 0 0 0 0 0.49234807 17.29898 4.0470867 0.1821843 0.15268946 4.354821 5.5055323 0.42098457 0.07539707 0.05593862 2.7914178 5.6958055 3.1887426 5.3675714 0 0 2.467041 0.9548416 0 0 1.7652501 0 0 0.9221859 1.2427844 3.0174224 0.1199877 0.21348956 0.10893901 1.45497 0.8590201 0.14024642 10.514326 21.168598 26.145933 0.45061904 0 0 0 0 0 0.07389257 0.8035135 0 0 0 0 0 0 0 0 0 0.96914035 0.08272056 0.35759127 2.3939402 0.35689822 0 0.75375307 1.1401716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.2617183 1.6769943 3.6463842 0 0.87165546 0.8670579 0.6284186 5.515112 0.17937988 0.33785135 0 0 0 0 0 0 0 0 0 0 0 0 0 30.904894 1.739345 0.40469712 0.5309659 5.7429333 0.38928393
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.163_88.86_2.16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1276126 0 0 0.07028634 0 0 0 0 0 0 0 0 0 0 0 1.0326684 0 0.07412878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22237338 0.24978872 0 0 0.16593507 0.124525376 0 0 0 0 0.6314067 0 0 0 0 0.057280466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.096483245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.63291353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.996488 0 0.058134563 0 0 0
"20130700_S2M_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.474455 1.2926788 1.5384815 0.27939454 0.71568054 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2248881 3.208059 22.694246 0.386822 5.6020722 0.26415116 0 0.114633776 0.101051874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9497786 41.373005 8.727206 0.29352003 0.08719086 12.704766 11.607819 2.9944222 0.20469843 0 0.97891825 20.422268 0.52805394 0.22445104 0 0 0.3828623 0 0 0 0 0 0 7.822557 3.6862411 7.390387 0.75651854 0.22748856 0.7457226 2.0996928 1.3744246 0 3.413895 5.0272517 1.6231905 0.28226557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5800579 2.4585726 0.71046746 0.11547004 4.6873193 2.2609696 0.18803255 1.5749063 2.1620243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.74327064 0.44612986 0 0 1.159339 1.8739778 4.0436916 8.755999 0.9002741 0.29059428 0 0 0 0 0 0 0 0 0 0 0 0 0 8.301171 0.16499089 0.2114793 0.23766029 0.8740017 0.3510684
"20120700_S3X_7" 0 0 0 0 0 0 0 0 0 0.46585196 0.84338266 0 0 0.3369284 1.5831363 0.62844473 40.613884 40.55499 1.757237 0.07444625 22.682034 0 0.13782747 0 0 0 0 0 1.1854306 1.8487842 0 0.529001 1.9782758 0 10.121195 33.999092 30.020905 0.9648123 9.156347 0.26915306 0.1698571 67.149216 60.521523 0 0 0 0 0 0 0 0 0 0 0 0 1.3614526 0 0.29388836 11.603908 30.311247 13.241014 4.9381347 0.8164175 23.6083 4.054531 1.6386588 0.19335765 2.0448356 5.713767 7.4876294 23.076868 15.0095005 0 0 0 0 0 0 0.11868896 0 3.2385361 12.969863 3.199908 6.7378206 0.243878 0.44153097 6.081525 23.556664 10.636241 0.7974057 16.284416 18.79885 16.302307 2.395141 0 0 0 0 0 0 0 0.53183246 0.4647547 1.6511128 0.10562159 1.9787761 0 0 2.3129776 2.1886823 1.8652421 0.30398878 4.8385253 1.6999222 0.16086239 0 2.3704371 1.8169236 0 0 0 0 0 0 0 0 0.5020925 0 0 0.6424829 7.6052794 0 0 0.064137764 0 3.1532366 10.415297 6.9537716 5.141128 0.744401 21.593815 17.82916 40.033207 17.458834 0.8098212 0.45097414 0 0 0 0 0 0.14365385 1.3870776 0 0 0 0 0.10087654 3.2706985 45.037693 18.857363 12.472241 13.059201 6.834708 0
"20170700_S33_23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33122024 0.18707983 2.1803713 2.6442757 3.609008 0 0.05836115 0 0 0 0 0 0 0 0 0 0 0 0.07292322 0.27439043 4.2770123 0.10927886 4.907725 2.6133637 0 0.10452722 0.0862564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15587296 0.5321849 4.630157 1.5375279 0 0.35953414 2.5931416 1.5596077 0.47621724 0.15554759 2.3930779 1.6299196 0.12851696 0.2190942 0 0 0 1.9348028 0 0 0 0 0 0.33163613 1.5224286 8.005368 0.9108746 0.59431994 0.4416256 5.584317 2.0758548 0 0.9835401 7.433676 0.19735666 0.8704333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47113305 3.78949 1.1243391 0 1.8444805 1.3522607 0.24907799 0.8331719 1.0866474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.347073 2.0758865 0.6752267 0 18.775915 1.4165896 0.28293058 5.5225096 2.1285603 0.52983063 0 0 0 0 0 0 0 0 0 0 0 0 0 7.752356 4.653697 0.37095484 1.4380189 5.1340523 0.60002947
