"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-D" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20160700_S34_5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1417638 0 1.7051142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12789163 0 0 6.3832116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12449778 4.945707 0 0.10362103 0 0 0 1.6672322 0.6672863 0 0 7.0065975 0 0 0 0 0 0 0 0 0.54881436 2.4669178 0.11480844 0.37563178 0 0 0.08191214 0.07873745 0 0.068263456 2.5394666 1.879004 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1721766 0 0 0 0.5427481 0 3.3400488 0 0.7323579 0 0 0.064227186 0.09640002 0 0 0 0 0 0 0 0 0 0 0 0.49714002 0 0 0 0 0.07852194 0.6834797 0 0.68085915 0 0 3.8562913 0.80567354 0 5.657717 28.881908 0.65620315 0 0 0 0 0 0 0.7483697 0 0 0 0 0 0 0 0 0 5.033986 1.7398826 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88" 0 0 0 0 0.096 0 0.10516836 0.06060641 0 0 0 0 0 0 0 0 2.104611 0.80458015 0 0 1.3092295 0.092895046 0.058983035 0 0 0 0 0 0 0 0 0 0 0 0 0 0.728225 0 0.17225446 0 0 0.23410197 0.24983555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.9728408 0.48400018 0.65296006 0 1.5837848 0.17756207 0.12394258 0 0 0.6582953 0.61167955 0.6429379 0.23650537 0.076423526 0.2572859 0.7748441 0.23324718 0 0.05827845 0 1.2141594 0 0 0.14540479 0.087540604 0 0 0 0 0.36521906 0 1.3510765 2.9367783 0.2887824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05614516 0 0 0.12055437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8433754 0.4987146 0.19066627 0 0.25432914 0.39754742 0.48008657 0.37012452 0.18834539 0 0.061243296 0 0 0 0 0 0 0 0 0 0 0 0 3.3430738 0.7803568 0.2136094 0.47073632 0.09813632 0
"20170700_S33_37" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2672546 3.1215029 1.5318584 0.06030002 0.07283426 0 0 0 0 0 0 0 0 0 0 0.1217976 0 0 0 0 0.78029823 0 1.0653268 0 0 0.1770915 0.17427608 0 0 0 0 0 0 0 0 0 0 0 0 2.2056713 0 0.059167493 0 0.88253486 0 0 0 0.08394257 0.09379864 0 0 0 0 1.2843717 2.8808906 0.1966907 0 0 0 0 0 0 0 0 0 0 0.26028645 11.238398 0 0 0 0.3687425 0 0 0 2.3639214 0.3692278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7612233 0.45892733 0 3.7853537 0.28764355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.88767034 0 0 0 0 0 0 0 0 0 0.4556009 0 0 0.5268344 2.6736941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16763462 0 0 0 11.317333 0
"20140700_S33_2" 0 0 0 0 0 0 0 0 0 0 0 0 0.06585385 0 0 0 1.3655924 4.2513604 0 0 0 0 0 0 0 0 0 0.07908796 0 0 0 0 0.30754498 0 0 0 0 0 0.97521305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28636476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.884934 4.215676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1560475 4.8699336 0 0.0743595 1.0847318 36.32276 0.06418726 0 0 0 0 0 0 0 0 0 0 0 0 0.058634847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2471254 0 0 0 0 0.29961756 0.08296056 0 0 0 4.222727 0 0 3.1291454 2.2763617 0 0 0 0 0 0 0 0 0 0 0.22170821 0 0 0 0.06894532 0 0 0.061895885 0.693831 0
"3300036876_12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33457544 0.3047679 0.5154614 0.06292251 0.41111118 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23161183 0.606728 2.99 0.099584706 0.683635 0.11499347 0 0.10957385 0.069742575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5346342 15.092264 0.105558515 0.6788979 0.06860423 0.6479505 0.6950914 0.23441195 0.1327996 0 0.056244634 0.12281661 0.15339431 0 0 0 0 0 0 0 0 0 0 0.3607681 0.5032048 2.1911726 0.07974171 0.16024974 0.097749986 0.47130275 0.83919686 0 0.1356028 1.9207579 0.70866853 0.05692103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.082338914 0.7264455 0.3979553 0.09404441 0.10684443 0.94935256 0.20186731 0.6520242 0.16417591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2625455 0.14163195 0 0.6129216 0.3855288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1389963 0.109541565 0.59457976 0 0.8094193 0
"20120700_S1D_39" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46249983 0.8254698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1796663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2545863 0 0 0 0 0.06749193 0 0 0 0.10385827 0.30505228 0 0 0 0 0 0 0 0 0 0 0 0 0.2699306 3.6499262 0 0 0 0.5368422 0 0 0.4547139 0.5002003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21206929 0 0 0 0 0 0 0.1670692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.2176695 0 0 0.07004133 0.092110194 0
"PLTZ01" 0 0 0.9973973 0 0 0 0.09509499 0.069962785 0.071715206 0 0 0 0 0 0 0 0 0 5.8768573 1.2033744 0 0.3355927 1.8270566 0 0 0 0 0 0 0 0 0 0 0 0.14327323 0.074862435 14.745756 0.39069876 5.8265204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41113853 0.13338594 1.1712792 0 0.47984603 13.859275 3.0062268 0.3537476 0 0 0 0 0 0.20097175 0.39378124 1.7858975 0.13598013 0.061044704 0.11862343 1.2850928 0 0 0.24586089 4.65087 4.352437 0.2811974 0.13871472 0 0 8.027333 0.46212053 20.194971 14.400286 0.15827857 0.5172396 0 0 0 0.2308791 0 0.06686 0.08950604 0 0 0 0 0 0 0 0 0.6393493 11.66172 0.9608243 0.107476704 0.50298214 0.22120696 0 2.033799 1.3419843 0 0 0 0.06524886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25437427 0 0 0 0 0 0 31.389593 0.81930995 0.09172232 0.075222686 0.29657945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52636606 1.3087528 0.10900779
"20120700_S1D_98" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1509104 1.581431 0.17314585 0.0820479 0.6935509 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15613787 0.22236949 5.9710283 0 2.6143131 0.15439288 0 3.28172 3.0324893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.575851 6.3928704 0.8358897 0 1.214117 2.0160003 0.67414933 0 0.22088034 1.1831915 4.983066 2.349068 0.91748416 0 0 0 0 0 0 0 0 0 0.1404491 0.30347618 2.9879832 0.41384333 0 0 0.6889874 1.66015 0.06121975 1.774877 5.4612093 0.9413408 2.3887722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24848656 1.630352 0.38485563 0.30494437 2.7757363 0.2042678 0 0.8470576 0.37335858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.70070267 16.609362 1.4551058 0 2.4113133 0.13522702 0.20833845 10.046946 8.070263 0.111947306 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6402442 0.40167218 2.3634508 0.38827497 3.2121341 0
"20120700_S1D_49" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24535155 0 0.58216417 0.2727484 0.22480802 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22082643 0.59035057 2.7438478 0.085969925 1.8807192 0.061584562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.080423474 1.1955397 0.185135 0.12229753 0 1.2955954 1.0809 0.9068829 0 0 0 0.5764838 0.1374931 0 0 0 0 0 0 0 0 0 0 0.18102904 0 0.8049195 0.25642204 0 0 0 3.0856247 0 0.13577728 0.9143118 1.2449893 0.4283483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12179514 0.26388463 0.23303996 0 0.07581961 1.9151679 0.10580405 0.4182433 0.10353291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3860502 0.71752995 0.16990533 0 0 0 0.17965746 1.9452994 1.1559074 0.48368028 0 0 0 0 0 0 0 0 0 0 0 0 0 6.3054147 3.8807492 0.47814354 0 0.4204518 0.8900601
"20120700_S1D_9" 0 0.060789336 0 0 0 0 0 0 0.08330292 0 0 0 0 0 0 0 1.2839297 0.33748266 0.5686573 0.057100277 0.28298095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.5782394 0 0.47620204 0 0 0.19005987 0.18023138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1140499 5.4855103 0.07862306 0 0 0.37311116 0.60943186 0.24007238 0 0.1657427 1.9849808 2.4082124 1.8263618 0.64301825 0 0 0.09301392 0 0 0 0 0 0 0.09402338 0.79815984 6.1858315 0 0 0 0 0.56651443 0 2.3748367 3.4092104 0.3900038 0 0.06718762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1843534 0.25770447 0 1.2065679 0.48574394 0 0 0 0 0 0 0 0 0.09120555 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33003616 0 0 0 0 0.3965571 0.44217655 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.460244 1.6560129 0.16860652 0 0.17969587 0
