"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-1-D" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_5-9" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20150700_S25_3" 0 0 0 0 0 0 0 0 0 0 0.119222075 0 0 0 0 0 0 0 0.6671052 0 0 0.4162301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26740244 0 0.80433834 0 0 0 0 0 0.090491876 0 0 0 0 0 0.41550812 0 0 0.069185816 0 0 0 0 0 0 0 0 0 0.21194716 0 0 0.19156396 0.21402098 0 0 0 0 0 0 0 0 0.9684285 0 0 0 0 0.21647355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.378541 0 0 0 24.673271 0.09370167 0.2002967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16630037 0 0 0 0 0 0.71348524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20110700_S2D_14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.7834103 23.739252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33359948 1.683766 0.792859 5.801364 0.1384736 0.119319804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.84015733 0.07044757 0 0.32276464 2.4501011 5.5545 0 0 0 0 0 0 0 0 0 0 0 0.06776381 0 0 0 0 0 0.13495402 7.114031 1.8637512 0 1.6595755 0 0.09197846 0.23524892 9.287749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.7197323 4.427598 0 0.109514505 5.2742906 5.378389 10.42593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24155504 0 0 0 0 0.5007173 4.106569 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0405006 0 0.1324811 4.8469243
"20120700_S2X_13" 0 0.50964135 0.6822823 0.097760156 1.2225724 0.661954 0.10146562 0.3420095 0.68714803 0 0 0 1.5868211 0 3.693188 0 0.3143474 1.5596335 1.4005094 0.08156009 0.114150696 0.5917453 0.21723402 0.08175983 0.3666366 0 0.22275156 0 28.383497 0 9.228272 0 0 0 0 0.103732504 10.7068615 0.38764763 72.816086 17.2363 16.11081 0.68286157 0.64061224 0.4437054 0.06523294 0 0 0 0.15548287 0 0 0.3751276 0.19469321 0 0 0 21.285267 0 18.502909 0 0 0 1.1585431 3.3323066 0 0.27245542 1.0901444 9.817094 0 0 0.3851795 3.9792619 5.3657284 0 0 0.76984316 0.118509226 0 0.1746292 0.80345553 0 0 0 0 0 0.608954 0.85294443 8.930752 0 2.2541287 0.0692775 1.5429434 0.25594887 0.5345749 0.99347895 0.063026465 0.92193097 0.3382625 0 0.1039771 0.08373248 0 0 0 2.8557103 0 0 0 0.31074777 0.82000875 5.6462893 0 7.774359 2.4419103 16.195496 6.482175 0 1.565599 0.69683033 0.2193795 0 0.7993892 0.20820597 5.703157 0.8802657 0 0.79724157 13.477513 0 0.79292375 2.783062 0.24812499 14.679958 21.747423 0 2.5044065 34.85353 0.12493758 2.8357673 3.2800217 0 0.112383775 0.16951564 0 0.11900022 0.08652773 0 3.8206184 0 1.5767901 0 0 4.3872366 36.694202 0 3.6687636 5.408474
"20170700_E14_6" 0 0 0 0 0 0.106121585 0 0 0.06989102 0 0 0 0 0 0 0 0 0.6052754 1.5240805 0 0 0.3128966 0 0 0.15270905 0 0.10273818 0 0 0 0 0 0 0 0 0 7.6103706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5098631 6.757435 0 0 0 0 0 0 0 0.06474529 0.060528263 0 0 0.0873971 0 0 0 0 0 0.06847007 3.592432 33.312775 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.6751518 0.30052936 1.0094496 0 0 0 0 0 0 0.0568555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16015206 0 0 0 0 0 0.08023173 0 0 0 0 0 0 0 0 0 0 4.1849055
"20120800_E1D_7" 0 0.058155347 0.06371344 0.065629214 0.12738158 0.08370682 0.07822335 0 0.07176143 0 0 0 2.7255054 0 0 0 0.07011597 1.2817736 5.6277595 0 0.073794074 0.05838035 0.07159582 0.10660316 0.19059058 0 0.07532076 0 0.50067955 0 0 0 0.33583847 0 0 0.6645217 2.4975083 0.14256991 2.3929803 0.8118441 0.79822206 0 0 0 0.109820604 3.2205873 0 0 0 0 1.0120779 0 0 0.31687605 0.5026129 0.58772415 0 0 0 0 0 0 0.47331437 0.15462343 0.08044217 0.2614158 1.7282778 5.6179347 0.113042235 0 0 0.61016476 0.52049553 0.05847515 0.25511724 3.674963 2.1786344 0 0.31504557 1.5895387 0 1.4017586 0 0 0 0.30844775 2.3735077 3.2207122 0 1.1720797 0.13624963 0.51755375 0.93854195 2.0628428 0.09312043 0.09632151 0.05882503 0 0.111491956 0.057719428 0 0 0 0 0 0 0 0 0.10477724 2.4832497 0.7094304 0 1.9666324 0.89618367 0.9831384 0.7504496 0 0 0 0 0 0.061247535 0 0 0 0 0 0 0 0 0 0 0.7592621 1.2709733 0 0.14325102 1.1886755 0 0.31847927 3.8189073 0.08688847 0.056938574 0.08631816 0.06242129 0 0 0 0 0 0 0 0 1.2939786 6.234887 0 0.16447715 2.7056634
"20110800_S1D_14" 0 0 0 0 0.08130129 0.23020296 0 0 0 0 0 0 0 0 0 0.14866123 0.4120008 30.817797 40.947773 2.360141 0 0.16167979 0.12619658 0 0.13491394 0 0 0 0.07584737 0 0 0 0 0.06952705 0 4.4886107 33.105507 7.448131 46.68475 6.9952602 6.604166 0.9272703 0.66345817 0.5025332 0 0 0 0 0 0 0.060517788 0 0 0 0.083691895 0 0.4967699 0 4.3096695 0 0.11691251 1.3579113 18.23653 6.0000663 0.17275575 5.703071 19.773872 26.813944 0 0.06522366 0.5690154 4.7435093 3.1031358 0 0 0.4942833 0.29368958 0 0 0.35367808 0 0 0 0.16753837 0.21136679 5.545021 21.779287 51.13827 0.27150598 27.599268 1.2920793 8.54724 1.3165201 8.991286 0 0 0 0 0 0 0 0 0 0 0.10599841 0 0 0.1096054 0.22944559 20.362127 26.723476 0.31046835 19.055235 22.529703 35.946922 31.525608 0 0 0 0 0 0 0 0 0 0 0 2.8605208 0 0 0.37539044 4.309447 18.271183 37.843494 0 0.30487916 1.8680817 4.776917 9.405108 32.081234 0 0 0 0 0 0 0 0 0 0.7227622 0.937732 1.7152452 8.761676 19.134066 0.18976074 12.550173 39.721203
"20170700_S25_9" 0 0 0 0 0.18129651 0.3621169 0 0 0 0 0 0 1.6158822 0 0 0.2549884 0.17290345 11.769983 41.79296 3.8786418 0.2024619 0 0 0 0.3400701 0 0.09786934 0 0.16016293 0 0 0 0.05556754 0.09404871 0.160175 2.3008685 18.300316 28.637287 42.759144 3.8155706 3.6723118 0.22716336 0.40044916 0.44441998 1.1187932 2.967188 0 0 0 0 0.39572498 0 0 0.75925374 1.695331 0.7532119 0 0 0.7427276 0.11859442 1.085537 2.4048035 21.592552 7.696152 0.36600193 1.0004036 20.762894 51.77692 0 0.07199185 0.14270507 0.39812207 3.8456078 0 0 0.81235296 0.13387734 0 0 0 0 0 0 0 0.22436541 3.227319 52.030403 50.88623 0.10488113 54.013954 0 0.5316565 0.9113114 12.243537 0 0 0 0 0 0 0.115719594 0 0 0 0 0 0 0 0.08550512 28.787472 19.307722 0 10.676142 34.96198 44.210995 58.80054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.3395314 4.096695 10.354932 0.7400556 20.073355 40.131332 0.08368476 2.5872502 46.61516 0 0.1318654 0.10160826 0 0 0 0 0 0 0 0 16.43312 5.2454114 23.867388 0 0.6671735 53.489857
"20170700_S34_23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45389566 1.5492401 0.061845716 0 0.3391808 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22344987 3.4877415 0.26744434 1.6375468 0.12305458 0.10029396 0 0 0 1.1050637 0 0 0 0 0 0.7323285 0 0 0.8735372 0.58931506 0.09118965 0 0 0 0 0 0 0.45690715 0.7982198 0 0.20448071 0.5387607 4.2783246 0 0 0.07082308 0.11267981 0 0 0 0.09549291 0.08376439 0 0 0.13003731 0 0 0 0 0 0.19672395 1.5489264 3.1306744 0 0.8456025 0 0 0.08103049 0.2516414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.56673235 1.4095912 0 0.29180261 0.7581057 0.6503738 4.826555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07763251 0.109383434 0.7503112 0 0.36539653 2.5249116 0 0 1.6508716 0 0 0 0 0 0 0 0 0 0 0 0.4879218 0.16595781 1.0923005 0 0 23.540348
"20150700_S15_15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.800749 6.4335604 1.6821162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.6656337 6.616839 5.6585326 15.54046 0.32907134 0.29449117 0 0.09310311 0.08369684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9738459 2.1729124 0 3.8448756 4.624663 4.5972495 0 0 0 0.12407967 0.07625657 0 0 0 0 0 0.3576216 0.7055181 0 0 0 0 0 1.8855367 2.0084848 6.9049053 0 10.491347 0 0 0.25553104 0.27266032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47795382 4.85776 44.904305 0 6.074359 3.6729436 18.514423 16.268406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060526803 0.07053514 1.7345253 0 0.13076967 3.7597966 0 0.28040496 3.2631087 0 0 0 0 0 0 0 0 0 0 0 0.13727205 0.114191435 2.0715356 0 0.37848338 5.5510116
"20120800_E3X_27" 0 0 0 0 0 0 0 0 0.06881067 0 0 0 0 0 0 0 0 0.16757077 12.098934 0 0 2.8895364 0 0 0 0 0.059128348 0 0 0 0 0 0 0 0 1.5988187 192.2995 0.27164066 289.5066 0.2082979 0.18160893 0 0 0 18.729507 25.807749 0 0 0 2.2371583 33.473824 0 0 30.004816 39.971653 63.217934 0 0 0 0 0 0 0.090570554 6.474512 0.68651575 0.9726958 8.387799 174.72539 0 0 0 0 0.24830781 0 0 0 1.9738227 0 0 0 0 1.025379 0 0.19691099 0.3338994 3.1753461 33.14853 531.2485 0 0.32229754 0 0 0 0.13068718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.127552 22.378937 0 0.49962956 117.07477 17.689753 84.628944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2886157 41.97905 0 0 0 0 0 25.279099 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2317178 0 0 29.944904
