"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-1-D" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_5-9" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20140700_S16_1" 0 0 0 0 0.08745817 0.101777345 0 0 0 0 0 0 0.10256878 0 0 0 0 0.42590672 1.0956312 0 0 0 0 0 0.1930786 0 0.05854569 0 0.62683123 0 0 0 0.20804863 0 0 0 6.05853 0.1963858 5.9324203 0 0 0 0 0 0.106164776 0 0 0 0 0 0.43059787 0 0 0.05609699 0.11867792 0 0 0 0 0 0 0.07654763 0.21038547 0.36870694 0 0 0.58682394 2.6400962 0 0 0 0 0 0 0 0 0 0 0 0.19118045 0 0 0 0 0 0 0.9555354 3.0354688 0 0.50555813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19243424 0.2691684 0 0.38804665 0.7961934 2.002221 0.97550225 0 0 0.060250565 0.13833939 0 0 0 0 0 0 0 0 0 0 0 0 0.29108754 0.5198522 0 0.11239627 0.5414541 0 0.2152547 1.3419918 0 0 0 0 0 0 0 0 0 0 0 0 0.08248301 0.45061263 0 0.060741942 0.674383
"20170700_S25_14" 0 0 0 0 0.0774405 0.09033311 0 0 0 0 0 0 0 0 0 0 0 0.47631368 1.5620685 0 0 0 0 0 0.16933393 0 0 0 0 0 0 0 0 0 0 0 6.268825 0.3351442 20.80028 0.34767357 0.31083214 0 0 0 0.093426265 0 0 0 0 0 0.37129834 0 0 0 0.097489245 0 0 0 0 0 0 0.07799853 2.3466725 8.918295 0.12281822 0 0.7282736 7.26781 0 0 0 0.2781821 0.14793691 0 0 0 0 0 0 0.1595061 0 0 0 0 0 0 0.8568856 2.6967456 0 4.7661967 0 0 0.08836889 0.2252072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6091358 13.554606 0 0.38922608 7.803062 22.985773 44.837036 0 0 0 0.11196382 0 0 0 0 0 0 0 0 0 0 0 0.13484834 2.28078 13.582093 0.08288305 5.594745 47.07731 0 0.22917044 2.1175106 0 0 0 0 0 0 0 0 0 0 0 0.08570187 2.5895708 33.99356 0 0 0.9762793
"20170700_S25_1" 0 0 0 0 0 0 0 0 0 0.5140602 0 1.3534498 8.920238 1.0115533 12.080296 0 0 1.764933 7.682818 0.17274456 0 0.110981956 0 0 0 0 0 1.0163612 9.323572 0.6970827 9.092845 0.31126586 0.7239595 0 0 0.06543301 3.5830436 1.1498932 26.30821 19.633736 18.248684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.116131 0.22109376 13.67053 0 0 0 3.5875347 2.4923415 0 0 3.2882507 12.137893 0 0 0 1.7209599 9.6242075 0 0 0 0 0 0 0 0 0 1.6525522 0 0 0.13196257 6.5816154 18.754766 0 4.473176 0 0 0 1.932751 0 0 0 0 0 0 0 0 1.0451642 0.05625331 3.2862732 0.11259371 2.1234694 0 0 3.5419395 21.84841 0 3.691949 10.494013 14.020929 29.928854 0 0 0 0 0 0 0 1.2874684 0.19033259 0.40581217 1.610875 3.065797 1.287493 0.06893584 2.0481963 0.652351 17.84727 25.558207 1.4195405 7.452284 29.77161 0 1.4089464 13.247677 0 0 0 0 0 0 0.17269625 1.3545293 2.5469644 1.4025149 0 0 10.096386 49.136734 0 0.7821193 12.704436
"20120700_S1X_12" 0.37884173 0.13317858 0 0 0.74796426 0.120248556 0 0 0 0 0 0 1.2213978 0 27.422428 0 0 0.6860283 1.4785695 0 0 0 0.086370215 0.11633088 0.08933221 0 0.074162096 0 7.0960927 0 4.9735003 0 0.11894243 0 0 0.28223485 32.90235 0.93258727 23.297207 0.5013544 0.43050542 0.42542902 0.48993334 0.6130559 0 0 0 0 0 0 0.08721293 0.086166926 0 0 0 0 19.16919 0 9.833046 0 0 0 0.06325826 1.8256533 0 0.18836446 1.035758 18.351233 0 0 0 0.07933669 0.14603375 0 0 1.4066306 0 0 0.5526998 3.8428378 1.534449 0 0 0 0 0.28108928 2.376577 36.677814 0 1.4959645 0 0.07653271 0 0.34931698 0.1495617 0 0.07001341 0 0.058373347 0.5869858 0.21460174 0 0 0 0.9649294 0 0 0 0 0.7655514 3.872738 0 0.50161016 9.179512 9.161746 8.152097 0 0.19607392 0.2214419 0.16457173 0 0 0.095250644 2.2077398 0.30916214 0 0.35082984 14.961003 0 0.52041054 4.819796 0 0 2.6337056 0 0 0.8446508 0 0.21484591 11.779424 0 0.08826171 0 0 0 0 0 0.3248959 0 1.7178522 0.6034196 0 0 0.109289736 0 0.16515318 3.5385506
"20170700_S25_26" 0 0 0 0 0.44938964 0.16538446 0 0 0 0 0 0 0 0 0 0 0 16.421114 65.64409 0.18747815 0 0.1353794 0.13288133 0 0.46862102 0 0.16839875 0 0 0 0 0 0 0 0 0.42528874 114.698296 2.150198 66.93357 0.73269975 0.65537095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21.330774 13.901682 0.09801021 0.37098742 12.57606 112.444984 0 0 0 0.51737964 0.38699874 0 0 0 0 0 0.13190287 0.4870825 0 0 0 0 0 0.47278744 31.713486 134.30844 0 26.923708 0 0 0 2.8260658 0 0 0 0 0 0 0.1474858 0 0 0 0 0 0 0 0.066009 26.653265 25.555866 0 35.55203 86.61991 100.079544 154.32904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31641054 32.522343 66.43519 0 3.5710366 29.681828 0 4.268122 83.84408 0 0 0 0 0 0 0 0 0 0 0 0 0.74429923 38.608883 0 0.2925817 99.57339
"20110800_S3D_19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42.160522 58.18562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.0252028 0.40903997 15.034077 0.10402162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.203047 0.08858362 0 3.9984148 8.677627 1.3431654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.572639 17.344173 0.35950208 0 1.118369 0 0 0 0.9976527 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6265747 27.349966 0.15538092 0.16125147 19.140743 3.6558437 8.670276 7.4696264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.9207044 20.072668 6.8625264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.016809 25.652248
"20110800_S1M_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.440504 2.5278711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1332533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36011913 14.921542 0 0 0 0 0.06402441 0 0 0 0 1.2136284 0 0 0 0 0 0 0 0 0 0 0 0 0 0.74046934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.104251124 0 0 0 0 1.1338273 0 0 0 1.5324019 0.35414892 0.46572384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5041838 0 0.5160533 0.4206431 0 0 0.50235295 1.7436068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.808751
"20110800_S1M_20" 0 0 0.121726654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36373577 13.461582 0 0 0.07781158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2815552 0.15141098 0.087734394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.69936204 0 0 0 0.44034374 2.0202432 0 0 0 0 0.119332716 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5404987 1.0298021 0 0.19621556 0 0 0 0.119877905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7134198 0.6087846 0 0.46408114 1.8811741 1.1958722 1.4332347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4384111 0.40833426 0 0 0 0 1.0537186 2.4186513 0 0 0 0 0 0 0 0 0 0 0 0 0.13643898 0.06467347 0 0.2835165 6.1967645
"20170700_S25_38" 0 1.2416537 5.609899 0 0.92763054 1.8146734 0 0 2.0535142 0 0 0 0 0 0 0.073621064 1.2142254 4.932132 7.0072136 1.2136419 0 3.992399 0.30113745 0 3.4565556 0.30177748 3.1220171 0 0 0 0 0 0 0 0 1.4507362 4.0402837 2.559297 5.545775 2.029962 1.7964363 1.1747129 1.609858 1.1975919 4.117037 1.1900336 0 0.3116714 0.77612835 0.97362447 5.2795005 0.47833115 0.9782613 3.6286721 2.919414 0.552535 0 0 0 0 0 0.24074282 4.7272577 0.82913613 0 1.7444121 4.7814384 5.899702 0 0 0.704522 2.3300745 2.8765914 0 0 6.1234107 5.8557043 0 0.74184835 3.4659126 0 0 0 0 0 4.2146487 6.634183 6.05828 0 6.0739512 0 0.09703969 0.44916528 4.0315213 2.3834429 0 3.3841684 2.7097871 0 1.4879886 5.4389324 0 0 0 0 0 0 0 0.45210907 4.959796 3.8758526 0 5.2233377 4.2618213 6.501317 8.432537 0 2.630268 3.0977619 4.4107184 0 1.4758167 2.5354385 0 0 0 0 0 0 0 0 1.2418283 2.9192722 4.2674875 0.08123902 5.5411377 5.746681 0.12331282 2.908458 7.282388 0 0.2647299 1.8661301 0 0.95107406 1.0754882 0 0 0 0 0 1.0846922 4.664561 8.048634 0 1.6471472 6.0749345
"20170700_S34_25" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11937118 8.453053 0 0 2.1678855 0 0 0 0.13775703 0 0 0 0 0 0 0 0 0 0 6.4811234 0 2.0225468 0 0 0 0 0 0.574172 0.38276565 0 0 0 1.5054936 0.34549052 0 0 1.3718361 1.3499082 0.43498144 0 0 0 0 0 0 0 0 0 0 0.63195264 5.1984982 0 0 0 0 0 0 0 0 1.5192331 0 0 0 0 0 0 0 0 0 4.1804557 9.821515 0 0 0 0 0 0 0 0 0 0.058220007 0 0 0.46675053 0 0 0 0 0 0 0 0 1.45876 2.1690676 0 0 3.5529878 5.3627415 9.8861475 0 0 0 0.33830526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.575948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.5107517
"20170700_S35_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.78894335 2.681882 0 0 0.1459516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.50037 0 0.10057304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23547629 0.12945491 4.086942 0 0 0 0 0 0 0 0.06088913 0.15737583 0 0 0 0 0 0 0 0 0 4.4137673 5.6984124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.1780224 0.26208165 0 0 0.34751958 0.5017662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9669242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8239086
"3300037175_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7557021 23.355904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.062942035 15.324117 0 8.372645 1.034114 0.8563021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.819761 1.8044503 0 0 0.57993394 9.377822 0 0 0 0.058927037 0.101189904 0 0 0 0 0 0 0 0 0.12248136 0 0 0 0.12823902 5.717981 18.914103 0 0.58290625 0 0.09577082 0.10594652 1.5402727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42783776 7.629019 0 0.094580986 11.987818 8.564673 5.905186 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43957466 12.691663 0 4.4407997 36.731686 0 0.35370004 16.739576 0 0 0 0 0 0 0 0 0 0 0 0.4614452 4.68012 3.5558553 0 0.11694684 20.9475
"PLNE01" 0 0 0 0 0.07151666 0 0 0 0.27958915 0 0 0 0.53760415 0 0.11658812 0 0.112788394 0.76427954 1.9945905 0.31022578 0 0.74465877 0 0 0 0 0 0 2.2528298 0 0 0 1.5753819 0 0 0.18423298 2.7227523 0.5781707 4.0393987 2.1624918 2.1191597 0 0 0 1.4540006 0.20230445 0 0 0 3.8718834 1.1400763 0 0 0.5995334 1.3897442 0 0.44502732 0 0.59169734 0 0 0.21710366 0.8602935 0.35280582 0 0.28756866 1.3722843 2.7862222 0 0 0 0.9547214 2.2410388 0 0 0 0.98546433 0 0 0 0 0 0 0 0 0.26908365 1.7438816 3.808859 0 3.0951145 0 0 0.12070637 0.6987912 0 0 0 0 0 0 0.061465476 0 0 0 0 0 0 0 0.091128334 1.1269152 1.555534 0 1.0158876 3.03281 2.716252 7.954169 0 0 0 0 0 0 0 0 0 0 0 0.06305119 0 0 0 1.5140516 2.5830612 2.0149014 0.151675 0.41396442 1.8746257 0 0.5673292 1.9719367 0 0 0 0 0 0 0 0 0 0.05966572 0 0.08506908 1.1829461 1.0015501 0 0.24033523 2.1874127
"20120500_P26_8" 0 0 0 0 0 0 0 0 0 0 0 0 3.3553097 0 0.6806942 0 0 0.925167 2.8615007 0.17749126 0 0 0 0 0 0 0 0 13.085106 0 0 0 14.098854 0 0 0.14600159 5.470483 0.8280171 8.621721 3.736084 3.7077458 0 0 0 1.240885 0.37504733 0 0 0 0.10087536 0.12813415 0 0 0.09289081 0.1388653 0 0.57215905 0 1.2582319 0 0 0.089742385 1.5398405 0.6297707 0 0.23242624 1.6817936 5.35353 0 0 0 0.7734507 0.94266045 0 0 0 0 0 0 0 0 0 0 0 0 0.25853813 2.5522091 7.53048 0 5.830085 0 0 0.103180975 1.0810485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9606787 2.978343 0 1.3663898 6.367079 4.9170585 16.81487 0 0 0 0 0 0 0 0 0 0 0 0.081495 0 0 0 0.1676821 2.7632465 3.3963537 0 0.69096 3.6222575 0 0.6207845 3.592435 0 0 0 0 0 0 0 0 0 0.48757544 0 0.06690655 1.5504954 2.1080794 0 0.23229903 3.815137
