"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-S" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_20-24" "717_P2_1-5" "717_P2_20-24" "717_P3_1-5" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_S1D_103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9696536 1.5393411 1.162233 1.5553348 0 0.13692823 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0356958 0.23925358 0.55359125 0.6728424 1.0087827 0.90377533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79590464 1.222693 0 0 1.3470864 1.4835734 0.3385356 0 0 0.31012633 1.1726148 0.52411985 0 0 0.41625834 0.5935018 0 0 0 0 0 0 0 0 2.1173222 1.2201735 0.41275427 0 0 1.2450657 0 0 0 0.37803665 0.67329866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5607169 1.094256 0.26424178 0 1.6863204 0.39841524 1.3515717 0.5937679 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27799782 1.1166695 0.26613966 0 0 0 0 0 0.8167296 0.121454306 0 0 0 0 0 0 0 0 0 0 0 0.55307966 1.3490372 0.66644627 0 0.8180851 0.20721251
"20160700_E23_26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51897234 0.089991204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5466625 0.27323657 0.65979594 0.10668322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.096492134 0 0 0.8475903 0.91595167 0.21190551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2159841 0.13332364 0.07050146 0 0 0.6895327 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.40917116 0 0.08486956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1020037 0 0 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.32_99.32_2.03" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34719598 0.13955377 0 0.09953963 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.68984467 0.081354834 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13683608 0 0 0 0 0 0.079301655 0 0.24262516 0 0 0.09269842 0 0 0 0.59072715 0.29145318 0 0 0.090075135 0.071119994 0 0 0 0 0.27551448 0 0 0 0 0 0 2.1080613 0.5830347 0.10104191 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21034437 1.2333351 0 0 4.3576894 0.42453805 3.0344763 0.81532776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44206324 0 0 0 0 0 0 0 0.8642134 0 0 0 0 0 0 0 0 0 0 0 0 0.095939614 0 0 0 0.06278017 0
"20120700_S1D_89" 0 0 0 0 0.07045871 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24747851 2.2097998 3.365181 0.74753004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0541143 3.3487303 2.209607 1.0511155 0.6688189 0.59527916 0.0589348 0.07067341 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23090553 1.4757581 0.51101714 0 0 1.5746192 4.5154123 1.1869992 0 0 0.07067036 0.70187765 0.13161811 0 0 1.1072329 0.116544016 0 0.13002703 0 0 0 0 0 0.15886186 2.0493317 3.1637352 1.8781729 0 0 4.196583 0 0 0.30969167 0.84771717 2.456923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33211562 0.47820956 0.5140408 0 1.3877252 0.31501845 0.85313094 0.33893967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27092448 2.5635948 0.2173381 0 0 0 0.16597115 0 2.410176 2.3762734 0 0 0 0 0 0 0 0 0 0 0 0.3976367 1.653893 4.944657 0 0.5654099 3.1696527
"20110800_S3D_14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7689034 1.5881892 2.0339556 0 0 0.3480326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.913474 0.3562564 0.21053678 1.0978281 0.9900261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.8383126 0.40918034 0 0 2.1563118 0.6420696 0 0 0.633893 4.8894386 3.490405 0 0 0.071236715 1.8525606 0 0 0 0 0 0 0 0 0 3.5714133 0.63198036 0 0 6.446879 0 0 0 0 0.869809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.122245334 1.444769 0.87097925 0 0.48579156 0.60906976 3.9222865 3.1538022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30028206 0.68784857 0 0 0 0 0.16978137 3.9905105 1.1032265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3282553 1.7142236
"PLGF01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.21414691 6.058017 4.8306284 22.39834 4.751121 0 0.05977247 0 0 0 0 0 0 0 0 0 0 0 0.11704459 0.063474976 3.5568817 36.898487 5.8746877 19.623611 4.4813666 4.1975102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.199307 11.232872 26.476093 9.021839 0.14601156 11.470467 15.015309 25.745598 0 0 4.6866183 4.9823675 6.6694474 0 0 0.26430443 0.39230618 0 0.13524553 0 0 0 0 0 0.078593075 11.867169 29.625795 20.504288 0 0 24.957233 0.0805227 0.101719856 3.2900903 3.737521 19.662018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.6680555 16.763308 17.505735 0 13.149776 14.285362 54.256332 33.438526 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.7961802 86.315 34.135777 0 0 0.4266153 2.412674 0.6604583 23.428955 18.979692 0 0 0 0 0 0 0 0 0 0 0 2.9887462 2.4610662 20.56148 0 10.86869 15.253599
"20120700_S1D_61" 0.06273971 0 0 0.07434231 0.12592411 0.0915022 0 0 0 0 0 0 0 0 0 0.0654261 0 0.4188364 0.84972 5.419736 6.5450444 2.3774557 0 0.08936571 0.08572823 0.24451464 0.13986012 0 0.06085713 0.06871166 0.105090424 0 0 0 0 0 0 3.21196 2.5878882 5.698871 3.1247187 2.6351209 2.4328303 0.06424034 0 0 0.15119892 0 0 0 0 0 0.19395262 0 0 0.16450913 0.11435118 0 0 0 0 0.09689404 1.0065285 5.440909 0.30004522 0 5.909823 3.76123 4.5074015 0 0 1.2500485 1.9732864 3.2236946 0 0 0.28602865 0.43953326 0 0 0.16960445 0 0 0 0 0.32279098 5.3731427 5.44991 3.939356 0 0 6.847851 0 1.3911018 5.8745947 1.1595584 2.9053724 0.089460835 0.06364674 0.09052036 0.05676739 0.11509026 0.101580255 0 0 0 0 0 0 0 0 2.390865 6.539892 1.552203 1.0665737 4.7795825 3.3818016 9.159988 5.2711115 0 0.059713446 0 0 0 0 0 0 0 0 0 0 0 0 1.7269951 4.4098773 1.434416 0 0 0 0 1.8421204 9.895087 9.652522 0.12149829 0.057937685 0.07264477 0.099444665 0 0 0 0 0 0 0 0.10170326 0.8002473 1.1145976 0.1041557 5.137614 7.707843
"20120800_E1D_21" 0.10490302 0.18750134 0.35459498 0.12454035 0.50215626 0.23081425 0.1762529 0.29009482 0.17106679 0 0 0 0 0 0 0 0 0 0.08077636 10.088955 9.410125 2.9892023 0.33021206 0.6942633 0.1346697 0.22202739 0.26041734 0 0.12024748 0.1795684 0 0 0 0 0 0.17015955 0.09741852 6.8419747 6.368434 2.052777 5.4319806 5.161444 4.735326 0.2840641 0.30114684 0.14630598 0.54970694 0.88901967 0.11685069 0.16748287 0.1384156 0 1.591862 0.15360984 0 0.6663871 1.2777847 0.44104582 0 0 0 0.62470233 1.0054039 3.0053144 0.25055215 0.11281123 10.184163 7.323606 3.0680728 0 0 0 1.2780998 1.9441024 0 0.14625692 1.4045038 2.5157468 0.0754755 0.36756703 0.3798713 0 0 0 0 0.7110476 5.5916724 3.5491493 5.6336913 0 0 2.6194837 0 0 0.24993604 3.4144096 9.555825 0.2956925 0.15194865 0.30955863 0.22265404 0.39095697 0.31856078 0.18769982 0 0 0 0 0 0 0 1.8454859 6.5991325 2.9199293 0.060925346 6.2072906 3.1272275 7.6252737 6.1785097 0.07046698 0.22447865 0.17703606 0.116687894 0.15867878 0.13797386 0 0 0 0 0 0 0 0 4.6428666 6.241687 6.286757 0 0 0 0 0 2.523418 2.514868 0.1801249 0.25956038 0.28792253 0.13215724 0.25509033 0.14601566 0 0 0 0 0 0 2.6423883 3.5743558 0 4.4385905 2.3963006
"20120700_S1D_85" 0 0 0.22810619 0 0.23742248 0.4104492 0 0 0 0 0 0 0 0 0 0 0 1.0041038 3.1366239 3.7371175 4.310394 2.24713 0 1.1979345 0.05654004 0 0.49177244 0 0 0.21150196 0 0 0 0 0 0 0 4.2728424 1.6213249 2.2493634 13.3701315 2.4796011 2.3493538 0 0.07802159 0.2113779 0.56833285 0.059164178 0 0 0 0.06954145 0.514442 0 0 0.25372493 0.2772867 0.08454496 0 0.13993694 0 0.29847664 0.59422773 1.1059549 1.0558184 0 3.353182 3.0219235 1.5971215 0 0 0.84768784 3.6348858 1.8059599 0 0 0.57944727 1.0181084 0 0.13905069 1.4193909 0 0 0 0 0.27316025 4.572773 1.5117022 4.279081 0 0 6.1746764 0 0 1.8362287 5.356194 1.7657856 0 0 0.10944684 0.14613944 0 0 0.21623495 0 0 0 0 0 0 0 0.9066785 0.6398269 5.7735558 0 1.4247925 1.6318567 3.6885734 5.52071 0 0 0.05795409 0.16910125 0 0.07245305 0 0 0 0 0 0 0 0 1.8827308 0.89276695 1.387185 0 0 0.7614748 4.9561768 0.2936154 0.79061586 2.581052 0 0 0 0 0 0.06870292 0 0 0 0 0 6.1373534 3.9937713 2.7291985 0 1.0507902 1.2805943
"20120700_S1D_77" 0 0 0 0 0.065424964 0.14721872 0 0 0.06778422 0 0 0 0 0.110130645 0 0 0 0.26193315 0 1.7772533 2.5625927 0.24195415 0.057618167 0 0 0 0.17294666 0 0 0 0 0 0 0 0 0 0.05668353 2.4684546 0.54342675 0.9023773 0.6632256 0.084209576 0.08664882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83361435 0 0.8881987 0 0.22332099 0.532869 1.5661032 1.4043589 0.15759037 0.15356532 0.122186355 0.073248796 0 0 0.06871855 1.2121658 0.42072517 0 0 0.85241205 0 0 0 0 0 0.58258754 0.85388076 0.25618783 0 0 0.4790444 0 1.2566711 1.043386 0 0 0.21305062 0 0.19657539 0 0 0 0 0 0 0 0 0 0 0.2118085 0.94347584 4.19285 0.29195744 0.08036762 5.080388 0.80713886 2.821519 1.5845244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1700074 0.070224375 0 0 0 0 0 0.1873163 1.0839112 1.6396482 0 0.077294834 0.1397115 0 0 0 0 0 0 0 0 0 0 0 0.11894934 0 1.6925248
