"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-S" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-3-S" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_20-24" "717_P2_1-5" "717_P2_20-24" "717_P3_1-5" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_S1D_67" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.54038167 0.4262221 0.20628045 1.0185866 0 0 0 0 0 0 0 0 0 0 0 0 0.08281777 0.062048305 1.4551867 0.35014498 0.73605686 0.38338125 0.38540643 0.3530625 0 0.22815895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.074750796 0 0.34039405 0 0 1.148436 1.0070422 0.106825545 0 0 0.2957314 0.104905024 0.27317274 0 0.121188745 0.3601166 0 0 0 0 0 0 0 0 0 0.8998244 0.43847585 0.30101275 0 0 2.1060526 0 0 0.26152113 0.35545984 0.49746937 0.0644859 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13314243 0.07230753 0 0.31056628 0.109562665 0.35809454 0.16122468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.66300166 0.48390633 0 0 0.16975029 2.1398053 0.24918397 0.2979197 0.5021968 0 0 0 0 0 0 0 0 0 0 0 0.5623657 0.5356608 1.5850378 0 0.14667825 0.57018876
"20150700_E14_5" 0 0.080958 0 0 0.07708593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7379312 1.4101355 0 1.3123579 0.19740191 0 0.076549865 0 0 0 0 0 0 0 0 0 0 0 2.7171364 0.9804135 0.9499886 2.5664356 0.76646316 0.7276242 0 0.23654777 0 0 0.77689606 0 0 0 0 0 0 0 0 0.1818444 0.09343619 0 0 0 0 0 0.46625623 0.12254878 0 1.8607484 1.5232908 0.87334824 0 0 0 0 0 0.1108185 0.95263195 4.867708 0.7900989 0 0.48953044 0 0 0 0 0 0 4.4556146 0.4675979 1.384828 0 0 1.3229734 0 0 0 1.4583434 0.16794325 0.38818926 0 0 0 0.083787106 0 0 0 0 0 0 0 0 0 0.08122001 0.9989055 0.6041616 0 0.5983639 0.8005996 2.39876 1.3878487 0 0 0 0 0.2532909 0 0 0 0 0 0 0 0 0 0 0.2766828 0.5785218 0 0 0 0 0 0.101022296 0.25839958 0.52120537 0.058120657 0.091130264 0 0.061602388 0 0 0 0 0 0 0 0 0.8612489 0 0.09856365 0.10014605
"20110700_S2D_6" 0.14686084 0.2002113 0.33676437 0 0.53415143 0 0 0.19206792 0 0 0 0 0 0 0 0 0 0 0 15.506732 19.033348 0 1.8006301 4.288888 0 0 0.07403489 0 0 0.07684779 0 0 0 0 0 0.07411814 0 4.099045 1.1993902 2.0206234 0 0 0 0.6214852 0.45885792 0 0.1764776 0 0 0.1064118 0.060580544 0 0 0.0644013 0 0 0 0 0 0 0 0 0 0 0 0.057465497 16.12064 18.315481 14.361165 0 0 0 0 0 0.17207618 2.0579243 13.912786 5.4281654 0.10477531 0.67500484 0 0 0 0 0 0 10.98428 16.967865 1.0868819 0 0 0 0 0 0 0 0 0.07492662 0 0.16383275 0.3655048 0.058743306 0.21714486 1.5075686 0 0 0 0 0 0 0 0 5.436884 2.4750042 0 8.117926 8.21025 13.414115 7.605652 0 0.21182944 0.10372326 0.42482397 0.3475274 0.10540017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9015161 7.6455054 0 0.33180043 0.19119126 0 0.08462256 0 0 0 0 0 0 0 0 0 0 0.7852134 8.43611
"20150700_S15_12" 0 0 0.25637516 0 0 0.10491763 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12795319 0 0 0 2.6091466 0 0 0.123780176 0 0 0 0 0 0 0 0 0 0 0 0.8861123 0.237127 8.003403 0.5761051 0.38004133 0 0 0 0.46828672 0.33555427 0 0 0 0 2.022257 0 0 0.45924285 0.9518279 0.19375753 0 0 0 0 0 0.20923878 0.3642771 0 0 0.10707934 0.43776667 0 0 0 0 0 0 0 0 6.5387554 0 0 0.25047222 0 0 0 0 0 0 0.24330743 0.7117562 0 0 0 0 0 0 0.61383086 0.26541838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0694965 32.84283 0 0 0.369543 1.126229 2.149866 0 0 0 0.45008886 0 0.2613058 0 0 0 0 0 0 0 0 0 0 1.5455666 0 0 0 0 0 0.23210964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.114704154 0.39484164
"20130700_C1Y_13" 0 0 0.18803857 0 0.0678466 0.16033903 0 0 0.11029011 0 0 0 0 0 0 0 0 0 0 5.3067436 1.4017897 0 0.08138663 1.5236678 0 0 0.1757117 0 0 0.15907721 0 0 0 0 0 0 0 0.8847264 1.7178197 1.0582764 6.2425404 0 0 0.099642225 0.14457656 0.14670809 0 0.48689407 0 0 0 0 0.19864114 0 0 0.07534113 0.08871801 0 0 0 0 0 0 0 0 0 3.4987504 1.2850655 1.8851352 0 0 0 0 0 0.24742389 1.9485356 3.5652921 0.79547596 0 0.6951159 0.5542244 0 0 0 0 0 3.3328304 0.06088503 1.1872618 0 0 0 0 0 0 0.30965036 0 0.107265055 0 0.104667686 0.07550349 0 0.08847446 0.13395967 0 0 0 0 0 0 0 0.2840657 0.1330792 5.1969666 0 0.58767337 0.13258313 0.27598906 1.7618049 0 0.1160726 0.18261975 0.09533462 0.10067841 0.20496604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08795458 0 0 0.1131318 0 0 0.1960156 0 0 0 0 0 0 0 0 0 0.11312027 0.33287942
"20170700_S34_29" 0 0 0 0 0.31690252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.015893 7.7388396 2.0843575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2565463 0.94509906 5.964041 0.09865641 2.4930694 2.3854618 0.07057804 0.07100322 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6935856 3.1609535 0.11072922 0 5.1962175 4.9790244 2.130564 0 0 0.1413926 0.93156445 3.7297416 0 0 0 0 0 0 0 0 0 0 0 0 2.5832152 4.658022 1.5406228 0 0.20475481 3.9162822 0 0 0 0 2.3811426 0 0 0 0 0 0 0.57795846 0 0 0 0 0 0 0 3.437348 9.22384 0.9438447 0.18705334 11.09899 3.0616574 4.546186 3.6429036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5452057 4.356926 2.757552 0 3.1305363 1.4037782 1.5753912 1.0754468 10.749398 5.2636495 0 0 0 0 0 0 0 0 0 0 0 3.0301359 6.5377445 2.4658062 0 5.2220902 5.9590416
"20170700_S25_8" 0 0 0.21345037 0.07701063 0.3163175 0.4081863 0 0.081892036 0.06570702 0 0 0 0 2.352476 0 0.116564445 0 0.74511707 7.021534 2.5635185 7.704445 0.20000635 0.20569369 1.1928355 0.05613358 0 0.1108554 0 0 0 7.318372 0 0 0 0.061834518 0 0 2.48644 4.3101616 1.69518 8.240292 2.1493092 2.0447369 1.5453917 2.466849 1.7249179 1.4002483 6.284105 0 0 0 0 10.01772 0 0 0.54093504 0.7457014 1.706138 1.2661711 8.648869 0 0.31594232 0.45832223 2.0861328 0.18167685 0 1.5313895 1.8608044 6.5843506 0 0.07440416 1.4988856 4.324589 1.3752595 0 0.1488794 2.6312954 1.6739571 0 0.30151227 1.8997391 0 0 0 0 0.16627917 0.84406227 1.938623 5.9240046 0 0.10418824 6.2059608 0 0 0.08691537 2.2016795 5.0832043 0.07924001 0 0 0 0.065537915 0.2215498 0.10115579 0 0 0 0 0 0 0 0.7292502 2.2077177 1.7552837 0.18584797 2.8017821 3.1617792 2.8407118 8.031922 0 0.2555262 0.418912 0 0 0.07193126 0 0 0 0 0 0 0 0 2.4393258 1.3022887 1.429253 0 5.8381295 3.6497073 4.168625 0 0.3122072 6.677828 0 0.08057854 0 0 0 0 0 0 0 0 0 5.624473 3.1643353 7.2660446 0 0.32142812 4.084951
"20120600_S2D_6" 0.06654343 0.46462175 1.1050736 0.15882947 4.948535 0.5052984 0.058846552 0.8545083 0.40666094 0 0 0 0 0 0 0 0 4.6644244 1.6814871 23.29234 7.8591313 5.7628274 6.3569856 0.765023 0.26377016 0.09745515 1.075217 0 0 0.6457442 0 0 0 0 0 1.714746 1.8072289 21.051985 5.183314 7.2827797 6.7996435 2.150191 2.0353062 1.200258 2.173765 0.43631384 0 0.12435982 0 0.08329133 0.17692284 0 0.8759983 1.0983139 0.1307531 0.3141169 0.28336355 1.0439457 0 0 0.23789664 5.1225486 2.1781769 5.0346947 0.56886107 2.9767494 21.60973 26.82268 4.972605 0 0.35035273 1.5620581 1.964765 1.1178216 0.2155555 2.6012635 7.546741 1.2388994 0.12304852 1.9562209 1.4855577 0 0 0 0.11616085 1.823936 18.985943 8.047148 9.060719 0 0.23325847 7.0642934 0 0.07896704 1.5804832 4.3540673 1.4492675 1.4312271 0 2.4173083 0.73675644 0.87462735 1.176892 0.6243312 0 0 0 0 0 0 0 6.9303627 5.4266505 2.7515614 1.3568717 22.007214 3.1593225 6.0666523 2.4441454 0 1.2394313 0.9314251 0.8044504 0.3690748 0.6069575 0 0 0 0 0 0 0 0 1.9530629 1.2680339 0.5437549 0 0.2046266 0.15055877 1.1200528 0.10784587 1.9902048 6.3976746 0.27322507 2.7705956 1.4787205 0 0.31039047 0.14212295 0 0 0 0 0 8.182638 0.34776962 0.7113759 0 6.217085 5.148533
"20170700_S34_24" 0 0 0.22257385 0 0.225099 0.24546367 0 0 0 0 0 0 0 0 0 0 0 1.4448189 2.6407633 10.353341 13.203431 3.7161496 1.3012987 1.0122155 0.06077074 0 0.25438514 0 0 0.13293277 0 0 0 0 0.061559293 0.28986534 0.20685844 26.311365 8.874883 15.932973 14.752617 2.5275822 2.319584 0.28678307 0.5489056 0.3696652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.6395552 4.3367352 3.1367683 1.3149546 0.4882006 24.97947 15.392052 9.776281 0 1.2133546 5.5636806 4.8739276 5.1207433 0 0.52442545 14.066412 3.5922322 0 1.0124383 1.9651872 0 0 0 0 0.35909075 16.618187 13.731909 15.369716 0 0.55232656 18.615316 0.0598986 1.6912066 16.546179 6.5947413 9.185939 0.09858681 0 0.08797793 0 0 0.10424927 0.1446455 0 0 0 0 0 0 0 6.3643613 9.90467 2.7657437 0.91749275 21.41189 6.0281863 24.466646 12.618289 0 0.443188 0.21835114 0.06569996 0.2679629 0.05807135 0 0 0 0 0 0 0 0 2.249278 6.02981 4.917812 0 0.98132676 2.7820742 21.807611 2.521297 10.203999 10.305181 0 0.060635526 0.05695029 0 0.1172533 0 0 0 0 0 0 30.219461 8.6172495 18.188454 2.0492637 7.5757136 22.189568
"PLCS01" 0 0.08075541 0.36536378 0 0.46950495 0.14766869 0 0 0 0 0.74351436 0 0 1.6486446 0 0 0 0.1518766 0.23756678 0.86541444 0.7881635 1.1490251 0.29925326 0.54448956 0.11699941 0.08952902 0.17357701 0 0 0.1089154 0 0 0 0 1.355815 0 0 2.3401682 1.9265712 1.3722636 1.6476744 1.2421468 1.1233772 0.579981 0.86089414 0.311673 0.23094721 0.5230137 0 0.05607648 0 0 1.7078025 0.059936766 0 0.099467136 0.13309632 0.67957145 0 0 0 0.63445336 1.3275436 0.87030065 0.39024812 0.18153687 2.331003 2.2007067 1.4195633 0 0.075963415 0.6136511 0.43991044 0.6282762 0 0.083375305 1.4437231 0.4289052 0 0.5884307 1.1497793 0 12.267273 0 0 0.07556161 1.1483169 1.5277702 1.9088099 0 0 1.3355162 0 0.23277394 0.7616381 2.0659912 1.4100225 0.10811519 0 0 0 0.08806375 0.22969101 0.16112566 0 0 0 0 0 0 0 0.28618538 0.39708862 1.6487817 0.0620008 1.5329239 0.45262757 1.8509318 1.5021607 0 0.140603 0 0 0.22836399 0 0 0 0 0 0 0 0.27769166 0 0.54719126 1.1296554 0.8395397 0 0 0.10398289 0.48140946 0.415227 1.3258137 0.5673073 0 0.1185499 0 0 0.29527953 0 0 0 0 0 0 0.53717333 0.18688811 0.33663833 0 1.1373618 0.4920939
"20110700_P2D_11" 0 0 0.41126904 0 0.44731048 0.1323063 0 0 0 0 0 0 0 7.953675 0 0.37366074 0 0.18522465 0.4962388 2.2329235 4.25533 10.087372 0.26322958 0.74403614 0.09560439 0.0708462 0.13985544 0 0 0 0.6360114 0 0 0 1.7667698 0.07755581 0.073984064 4.4570265 7.9797463 9.12311 10.12643 11.4229 10.338918 0.5777724 0.7207141 0.28712 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27854076 0.0687221 1.9121836 17.230736 11.350911 4.3809032 0.49882093 8.688566 18.386978 5.6771107 0.12769404 1.9116739 4.828306 5.1531663 9.86549 0 0.07344877 1.6336403 0.46843114 0 0.6597971 1.2789315 0 3.18335 0 0.06529634 0.4593868 6.21245 12.235748 9.886122 0 0 13.564726 0.07100594 3.8916082 6.227245 2.7058947 18.494335 0.09246987 0 0 0 0.059564453 0.20843379 0.15920976 0 0 0 0 0 0 0 1.0601536 2.055406 7.9315534 0.8472038 10.039045 3.6911218 11.943443 10.2440815 0 0.10511828 0 0 0.15518816 0 0 0 0 0 0 0 0.05974536 0 1.6031253 16.716047 10.04835 0.41660234 0.3123065 0.8883616 6.3549223 5.1322722 26.858656 3.4966414 0 0.07802499 0 0 0.18916343 0 0 0 0 0 0 0.96280104 1.0961509 2.003947 0.19204831 7.1130433 2.3341548
"20130700_S2D_2" 0 0 0.063201785 0 0.16051503 0 0 0 0 0 0 0 0 0 0 0 0 0.086911134 9.565511 2.810826 3.3027918 0 0 0.13388772 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7359262 9.7844925 5.597832 0.5791117 3.4576607 3.0978267 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2996006 2.8287487 0.056512907 0.5259778 16.513493 18.649258 4.962407 0 0 1.2637177 0.104768686 0 0 0 0.17146906 0 0 0.15130486 0.06687822 0 0 0 0.08195719 0.49172753 6.2467895 8.376459 4.5702753 0 0 0.15811472 0 1.4493701 10.173883 1.2402316 7.6686254 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0939819 6.8288527 4.914138 2.1630523 4.1128078 10.331893 0.76738244 7.997664 10.754952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5814624 9.059669 1.2459984 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.079967 1.6233766
"20110600_S1M_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34589678 1.0276554 3.0668652 1.7862556 1.4575971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0011537 1.1569554 4.3807464 1.0741247 0.517538 0.4492277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.67402756 12.583936 2.915067 0.3437187 0 3.767428 4.884914 0.90166074 0 0 0.20859757 0.26562142 0 0 0 0.6021168 0.06923677 0 0.13610719 0.1788975 0 0 0 0 0.28890595 7.059437 2.7177424 1.7291176 0 0 1.8943125 0.10687511 10.461946 17.861746 1.7920567 2.5888014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.326314 3.2823439 0.6712916 0.24197963 7.543887 0.6500883 4.3310533 3.7659388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1974006 0.78591 0.9474114 0 0 0 0.08210994 1.2750069 2.9042115 3.5150847 0 0 0 0 0 0 0 0 0 0 0 0 0 0.32134625 0.32537085 5.0682907 1.8310229
"PLPO01" 0 0.34896994 12.030259 0 0.101101905 9.170167 0 0 7.1444573 0 0 0 0 0.07380492 0 0 0 0.23102655 3.0262613 2.9452739 1.3447046 24.36923 1.7551603 29.062366 1.114683 0.093404405 9.894686 1.0959285 0 11.251446 0 0 0 0 0 0 0 0.7170555 14.458537 2.68005 40.03831 97.00523 89.899445 2.4130313 3.2570622 4.3766837 0.6124217 1.4434303 0 0.087311156 0.43371734 0.15759796 0.14242548 0.47840837 0.85608643 0.10718808 0 0 0 0.086964644 0.06666507 0.46487072 8.87169 4.891446 7.9406514 0.11906495 0.5642381 0.28687274 4.0626473 0 0.12811555 0.6173165 3.8762016 2.3026884 0 0.49152687 5.6033244 0.33842066 0.13777205 0.5898865 16.624735 0 0 0 0 0 2.22106 0.27402815 4.2205205 0 0 2.616113 0.1360273 0.14248002 3.2147992 37.46386 1.0822481 1.4609947 0 2.7033613 6.7825947 0.07415968 3.0525463 3.805496 0 0 0 0 0 0 0 2.2486033 0.2972054 232.11615 0 0 0.9774067 10.086546 9.065018 0 1.022248 4.4343896 5.8627234 2.0610428 10.108541 0 0 0 0 0 0 0 0 6.2126913 12.825969 26.914928 0 0 0.87883204 0.8261731 0.35233894 0.058942065 0.12348802 0 0.23029819 1.8104881 0 0.15389735 6.512922 0 0 0 0 0 23.236313 5.632806 1.760842 0 9.523378 0.13685063
"20120700_S1D_41" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47206724 6.2881646 5.683636 1.8860637 0.9617548 0 0.8137966 0 0 0 0 0 0 0 0 0 0 0 0 0 4.547074 1.5118711 2.9371915 3.9732473 4.409406 4.040539 0 0 0 0 0 0 0 0 0 0.23837586 0 0 0.13390929 0.2308664 0.28438714 0 0 0 0.098487064 0.23626459 0.43653154 0.2561806 0 3.7595549 8.829508 1.6791823 0 0 0.6698041 3.9933171 0.84580964 0 0 0.16552691 0.62350893 0 0 0.24886015 0 0 0 0 0 4.231012 3.7822783 3.8985803 0 0 9.927921 0 0.41127843 2.7291458 10.022312 1.6798234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.201758 4.065718 4.476942 0 5.089834 2.1262047 7.98708 2.5242968 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.0070906 2.4453704 1.1961108 0 0.22372168 0.89397025 3.5072398 0.29343498 3.4088976 2.2539997 0 0 0 0 0 0 0 0 0 0 0 4.882313 1.9789494 1.5663126 0 6.0402136 1.5331639
"20120700_S1D_86" 0 0 0 0 0.12770733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.8356347 1.0420911 0.1751483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.8348284 0.08245431 6.1297235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.073092006 6.601894 1.4408776 0.07356496 0 0 0 0 0.19363669 0 0 0 0 0 0 0 0 0 0 0 0.6141947 2.9451258 0.058251444 0 0 0 0 0 1.3456088 0.22999756 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19356509 2.233241 2.4316516 0 3.9149618 5.1327133 0.05797394 0.40419638 0.6167391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.73664343 0 0 1.2338684 3.3083756 0.115102366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060360894 4.1037564 0.9324102
"PLHP01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.114495 0.104116835 0 0 0 0 0 0 0 0 4.48731 0 0 0 0 0 0 0 1.0707917 0.08801197 0.060439598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5869366 1.0392146 0 0 0 17.080496 0 0 0 0 2.8893046 0 0 0 0.3399843 17.021984 0 0 0 0 0 0 0 0 0 0 0 0 0 8.515566 2.5224996 0 0 0.23318481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.617998 0 0 0 0 2.711873 0 0 0 6.9750524 4.1416974 8.557559 0 0 0 0 0 0 0 0 0 1.204728 5.6384745 0 0 0 0.07822404 0.0852009 0 0 1.0584875 9.652133 1.7898964 0.056415882 4.182165 44.4051 0 0 0 0 0 0 2.9507256 0 0.19906619 0 0 0 0 0 0 0.07053265 20.512539
"20160700_S15_2" 0 0.061763346 0.1274931 0 0.54922956 0.29132393 0 0 0.08158421 0 0 0 0 0 0 0 0 0.26569384 0.4555517 41.978706 30.987566 7.4582834 0 0.7333768 0.14665002 0 0.24625202 0 0 0.17830913 18.577457 0 0 0 0.085551925 0 0 4.1800175 12.837551 9.454455 13.092369 4.5266666 4.125421 0.8777127 0.848433 0.59159195 0.10048377 0 0 0 0 0 0 0.103028335 0 0 0 0 1.9288305 2.8923593 0 0.12066839 1.1722552 10.328747 2.5476446 0 4.4336123 14.122874 20.126362 0 0.36695886 1.3301717 3.3600647 8.81352 0 0 0.26102263 0.4300658 0 0.33004108 0.46303424 0 0 0 0 0.18368863 8.678588 23.297913 36.888176 0 0.64568883 16.176262 0 0 0.36576816 0.94836533 10.974507 0.11107671 0 0.09802768 0.09577718 0 0.069658786 0.20855361 0 0 0 0.9313204 0 0 0 4.5243187 19.94428 4.7548857 0.35522285 27.581825 11.758308 19.172468 22.094524 0 0.13212977 0.165259 0.15293398 0.090788536 0.07566858 0 0 0 0 6.935441 0 0 0 9.335093 64.925865 52.585472 0 2.2041833 9.362307 31.126959 1.7902163 19.44028 20.759703 0 0 0 0 0 0 0.3707472 0 0 0 0 3.5865815 9.207142 25.921274 0 6.234736 32.43515
"20170700_S33_29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4946103 2.2244256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26080534 0.077656254 1.5806011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2916353 5.3111925 0.14806777 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4885808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1716773 1.3644085 19.517609 0 1.0277843 16.495565 0 0.46169582 0.41698787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.558676 30.096264 0.7690695 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.151232 17.34034 8.54083
"20130700_S3Z_1" 0 0 0 0 0 0 0 0 0 0 0 0 0.08687928 0 0 0 0 0 0.1027692 0 12.2260065 2.3108733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16884597 0 0 4.5691214 4.086764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3972096 6.0141153 0 0 0 17.032923 0.30872753 0 0 0 6.665899 0 0.059897233 0 0.22746041 11.060973 0 0 0 0 0 0 0 0 0 15.710955 0 0 0 6.079034 1.7045625 0 0 0.4303602 0 0 0 0 2.2904358 0 0 0 0 0 0 0 0 0 0 32.06913 0 0 0.14796287 0 26.723772 1.0181737 0 0 4.227831 21.282467 21.45235 0 0 0 0 0 0 0 0 0 0.56962764 7.782753 0 0 0 0.4390425 20.65907 9.069713 0 2.0075047 12.157116 34.053055 0.16913237 0.16204166 2.668745 0 0 0 0 0 0 8.844119 0 0 0 0 0.28152364 4.166279 6.6300225 0 0 1.0001733
"20120700_S1D_13" 0 0 0.086879194 0 0.10692934 0 0 0 0 0 0 0 0 0 0 0 0 0.07399703 0.76466835 2.9594843 3.3197682 1.2078462 0 1.39985 0 0 0 0 0 0 0 0 0 0 0 0 0 1.858675 2.3618236 2.1265197 2.554134 3.419476 2.9865391 0 0.07819223 0.08107185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5335027 1.848275 0.58923566 0 1.939949 3.405639 2.889377 0 0 0.43433163 1.3491007 1.6861771 0 0 2.1203995 0.98997426 0 0.22390889 0.2646699 0 0 0 0 0 1.4174048 2.8173444 3.1253915 0 0 4.1398244 0 0 0 1.1229568 2.1360548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46529806 1.8303335 2.9193196 0 2.893428 1.8035061 3.4241338 3.068903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7453944 2.4945364 2.6687024 0 0 1.3445656 2.848875 0 1.0477152 2.6009855 0 0 0 0 0 0 0 0 0 0 0 1.9976747 6.9764028 3.619103 0 0.7193489 2.7407477
"PLSJ01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06684761 0 0.06733462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2042333 0 0.2917563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.055918906 0 0 0.61005276 0.16226438 0 0 0 0 0 0 0 0 0.5857928 0 0 0 0 0 0 0 0 0 0.5975635 0 0 0 0 0.11601501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05615299 0 0 0 0.10831993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3661319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38470897 0
