"genome" "711_E-1-M" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-D" "712_E-2-S" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-X0" "713_E-1-X1" "713_E-2-X1" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E3_20-24" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_1-5" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120600_E2D_21" 1.0026822 0.40950316 10.06728 0.42775944 0 0 0 0 0 20.493444 0 0 23.318136 0.12664104 0 0 0 0 0 0 0.45323145 0.2609934 0.072509274 0 0 16.287937 0 0 2.3604467 0 0 0.30369642 0 0 0 0 0 0 0 2.3071585 2.484186 0.8221806 0.68879926 0 0 0 0 0 0 4.311761 0 3.8254082 0 0 0 0 0 0 0 0 0 0.24535449 0 0 0 0 0 0.13702857 7.0489516 0.06617416 0 0 0 0 0 0 0 0 0.09257391 0 0 0.14250967 0.124906056 0.074821755 0 0 0 0 0 0 0 0 0.12625603 0 0 0 0 0 0 0 0 0 0 0 0 0.13117559 0 0 2.3743675 0.33082256 0 0 3.5833056 0 0 0 2.8686755 0.36058593 0 0 0 0.11339826 0 0 0 0 0 0 0 0 0 0 1.000719 0 0 0.1863964 0 0 0 0 0.09131575 0 0
"20130700_P1Y_5" 0 0 0 0 0 0 0 0 0 0 0 0 2.8283348 0 0.06985073 0 0 0 2.7204382 0 0 0 0 0 0.7652255 0.43443584 0 0 1.0043631 0 0.3734571 0 0 0 0 0 0.108278625 0 0 0 0 0 0 0 0 0 0 0 0 30.60422 0 4.5435653 0 0 0.36287907 0 0 0 0 0 0 0.24070586 0.39601916 0.06007767 0.30882812 0.6420175 0 0 0 0 0 0 6.932311 0 0 0 0 0 0.3708415 2.1274545 0 0 0.10031181 0.37124082 0 0 0 0 0 0 0 0 1.1662498 0 0.11132112 0.50627494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2759518 10.646175 0 0 0.22441703 0 1.3796296 0.056131687 0 1.1595728 0.5778431 11.332134 0.6173076 0 2.698705 0 0 0.22442143 1.5639424 0 0 0 0 0 0 0.16743696 0.31813458 0 0 1.929062 0.1741424 0
"20120700_P2D_5" 0 0 0 0 0 0 0 0 0 0.24507122 0 0 16.29027 0 0 0 0 0 0 0 0 0 0 0 0 1.8842916 0 0 27.986115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96094173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24686457 0 0.7256283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6269378 0 0 0 0 0 0 0 0 0 0 0 0 4.916048 0.7808039 0 0.91078264 10.300047 0.09996993 0 0 0.39153904 0 0 0 0 0 0 0 0 0 0 0 0 2.0996177 0 1.0392629 0.8580655 0 0 0 0 0 0 0 0 0 0
"20130700_P1Y_10" 0.070661545 0 0.335113 0 0 0.22825898 0 0 0 0.5592376 0 0 6.400442 0.1130779 2.2308607 0.76164186 1.1736375 0.40466195 1.8174591 0 0 0 0 0 0 4.0587053 0 0 6.031884 0 0 0 0 0 0.540331 0 4.6779776 0 0.29445085 0.11259485 0.09553207 0.30347344 0.31272426 0 0 0 0 0 0 21.491545 0 9.519965 0 0 2.1572092 1.144718 0 0 1.5577207 3.0795274 0.10661398 5.9186053 3.190287 3.878764 1.2788883 3.7896621 0 0 0 0 0.35402864 0 0 0 1.8030876 10.820903 0.25748932 0 0 3.8110476 2.369866 0.74370134 17.173998 26.355867 0.08121411 0 0.08817106 0 0 0 0 0 1.2159574 0 0 0.18567556 0.09969395 4.5679235 1.4168491 0.1979769 10.920233 5.234281 0.14673102 0.96790045 0.7620713 0.09333142 0.07605889 0 8.90329 1.4343863 0 3.4975903 6.8343964 0 0 0.32052958 1.5954561 0.5398743 1.9639268 1.2150496 1.5743909 0 0 0 0 21.131186 8.860709 0.72287196 0 12.768625 0 0.23465572 0.98441905 0 0 1.115623 0 0.2897714 0 0 3.2482557 6.9852405 0.16347663
"20120800_P2D_5" 0 0 0 0 0 0 2.066369 0 0 15.666727 0 0 100.25953 0 0 0 0 0 0 0 0 0 0 0 0 15.326418 0 0 57.76387 0 0 0.43183476 0 0 0 0 0 0 0 0 0 0 0 0 0.096344955 0.21216378 0 0 0 10.29852 0 1.7143939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.073272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.139688 2.3302395 0 0.2372795 1.0056694 0 0 0.117195316 20.305214 0 0 0 0 0 0 0 0 0 0 0 0 1.0701094 0 0.09737946 9.830135 0 0 0.57861596 0 0 0 0 0 0 0
"20160700_P15_25" 0 0 0 0 0 4.596189 0 0 0 0 0 0 34.042072 0 0 0 0 0 0.45368844 0 0 0 0 0 0 3.737609 0 0 25.112865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.102674 0 0.79715276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24.772676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.234516 0 0 5.6909475 0 0 0 0 0 0 0 0 0 0 0 0 19.80091 3.3084848 0 27.973354 4.063091 0 0 3.9910066 0.8445046 0 0.10202592 0 0 0 0.17640325 0 0 0 0 0 0 12.236409 0 4.572164 1.3445967 0 0 2.5445945 0 0 0 0 0 0 0
"20160700_P15_5" 0 0 0 0 0 2.035636 0 0 4.97965 1.817839 0 0 36.13766 0 0 0 0 0.16972873 2.0613651 0 0 0 0 0 0 22.274584 0 0 14.909579 0 0.3971044 0.11757204 0 0 0 0 0.43457904 0 0 0 0 0 0 0 0 0 0 0 0 15.944741 0 2.1091394 0 0 0.2652972 0.07555381 0 0 0 0 0 0 0 0 0 3.0170763 0 0 0 0 0.52566236 0 3.251422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.460544 0 0 18.573517 0 0 0.41378883 0 0 0 0 0 0 0 0 0 31.03343 5.431942 0 22.01519 10.290864 0.2217825 0 11.579916 4.643759 0 0.35225743 0 0 0 0.48065162 0 0 1.1230769 4.723842 0 0 23.055323 0 13.4836445 10.018514 0 0 0.7196934 0 0 0 0 0.09141001 0.15073763 0
"20120500_P13_5" 0 0 0 0 0 0.5701421 0.1607016 0 1.1971914 2.9549387 0 0.19342597 13.366031 0 0 0 0 0 0 0 0 0 0 0 0.18771373 21.324944 0 0 4.2202415 0 0.33216274 0.107297555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2055852 0 0.086623 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26911047 0 0 0 0 0.19716297 0 1.7263385 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18921326 0 0 0.7208676 0 0 2.129686 0 0 0 0 0 0 0 0 0 0 0 0 3.2579806 0.49603945 0 0.9180001 0.77567637 0.20733309 0 0.20494287 9.858661 0 0 0.062053367 0 0 0.5289219 0 0 0 0 0 0 1.0892135 0 0.2966623 0.645125 0 0 0.32617542 0 0 0 0 0 0 0
"20170700_S25_3" 0 0 0 0 0 2.8885386 0.16178796 0 5.7861466 0 0 0 74.72042 0 0 0.46837962 0 1.1585041 1.4568733 1.2852665 0 0 0 0 0 55.147724 0 0 52.278492 0 0 0 0 0 0 0.5158843 0.14774324 0.05912642 0 7.4924407 6.9452515 0 0 0 0 0 0 0 0 39.22894 0 13.615771 0 0 0.50293255 3.1019552 0.24982795 0 0 0 1.2002242 0 0 0 1.4951638 6.112058 0 0 0 0 0 0 0.6649896 0 0 0 0.94158715 0.6973451 0 0 0.62425685 0 0 0 0 0.16250493 0 0 0 0.058809157 0 0 5.347974 0 0 0.66541487 0 0 0.20974725 0.9035073 0 0 0.7755494 2.4496918 1.1152744 0 0 0 17.400337 2.8923295 0 3.4156883 34.39915 0 0 0.44286448 1.9042691 0 0.47446477 40.581665 18.223104 0 1.062221 9.784448 19.724384 0 0.53035617 1.8719907 0 13.979528 0 3.5226715 1.1690713 0 0 0.38387987 0 0.19298854 7.017039 13.6455965 0 0 1.31984
"20120700_P2D_1" 0 0 0 0 0 0 0 0 0.58268404 0 0 0 8.952976 0 0 0 0 0 0 0 0 0 0 0 0 0.38626227 0 0 27.207848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45.9978 0 28.016506 0 0 0 0 0 0 0 0 0 0 0 0 0 0.47459516 0 0 0 0 0 0 1.052818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.360374 14.226903 0 0 0 2.2618752 0 0 2.424933 0 0 0 0 0 0 0 0 0 0 0 0 0.38190013 0 0 0 12.395811 0 0 0 0 0 0 0.0984846 0.5935731 0 0 0.49734414 0.2733825 0 0 0 0 2.8015294 0 0.12541546 0 0 0 0 0 0 0 0 0 0 0
