"genome" "711_E-1-S" "711_E-1-M" "711_E-2-M" "711_E-2-D" "711_E-3-D" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-D" "712_E-2-M" "712_E-2-D" "712_E-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-2-X1" "713_E-3-M" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "715_E2_20-24" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_E1_20-24" "716_E3_10-14" "716_E3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.344_98.63_5.75" 0 0 0 0 0 0 0 0 0 0 0 0 1.5890423 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4232047 0 0 0 0 0 0 0 0.34313646 0 0 0 0 0 0 3.6116917 0 0 0 0 0 0 0 0 0 0.35300055 0 0 1.7551111 0 0 0.4850923 0.2839839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2346916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.598269 0 0 0 0.08214571 0 0 0.15651827 0 0 0 0 0 0 0 0 0 0 0 3.8152716 0 0 0 1.9657199 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.94_71.04_6.96" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07371554 0.2221939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14413115 0 0.15366419 0 0 0 0 0 0 0 0 0 0.16413821 0 0.058376774 0 0 0 0.27890682 0.30847415 0.22627066 0 0 0 0 0 0 0 0 0 0 0 0 0 4.4389424 0.1580726 0 0.29334965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2311493 0.06200056 0 0 0 0 0 0.1354334 0 1.6616869 0 0 0 0 0 0 0 0 0 0 0.24631055 0 0 0 0 0.28922448 0 0
"20160700_S11_6" 0 0.077483945 0 0.09350385 0.13013957 0 0 0 0 0 0 0 0.6759318 0.26360714 0 0 0 0.44147572 0 0 0.12960932 0.18344878 0 0 0 0 0 0 0 0 0.17074117 1.9164827 0.30305713 0.56209713 0 1.1324323 0 0 0 0.10615176 0 0 0 3.418402 0.8336787 0 0 0 7.9615717 0.071271524 17.419353 2.2136548 0.110759445 0 0 0 0 0.09051354 0 0 6.1090207 0 0.06612705 10.303728 4.210776 0.07356687 3.6530254 4.814097 6.4430957 0 0.09370166 0 0 0 0 0 0 0 0 0 0 0 4.9690976 0 0 0 0 0.08381835 0.10191052 0.08302536 0.085665345 0.1865685 0 0 0 0 0 0 0 0 0 0 0 42.347294 0 0 0 0 0.109003946 0 4.1707945 0 0 0.32798088 0 0 0 0 0 0 0 0 1.7357157 0.21072406 0 0 5.554575 0.21667504 0
"3300037349_11" 0 0 0 0 0 0 0 0 0 0 0 0.18063568 11.838203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08015492 0.83234894 0 0.26583427 0 28.58831 0 0 0 0 0 0 0 0 0 0 0 0 0.07922336 0 20.954124 0.18989988 0.15009984 0 0 0 0 0 0 0 1.4849325 0 0 16.938692 0 0.06045622 19.400524 0.6985924 0.17622387 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9825214 0 0 0 0 0.15962686 0.19148521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3247318 0 0 0 43.413666 0 0 0.12537645 0 0 0 0 0 0 0 0 0 0 0 0.25398782 0 0 0 23.119564 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75" 0 0 0 0 0 0 0 0 0 0 0 0.25017068 1.7611872 0.07239086 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13288198 0 0 0 0 0 0 0 0.50919884 0 0 0 0 0 0 0.18095152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5889909 0.09852029 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.095530294 0 0 0 0 0 0 0 0 0 0 0 0 0.07467423 0 0 0 0 0.880487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8558851 0 0 0 0.094825774 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.58_85.62_4.48" 0 0 0 0 0 0 0 0 0 0 0 0 3.0284388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.416068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8621992 0 0 0 0 0 0 0 0 0 0 0 0 0.23389646 0 0 2.6996646 0.08014781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2267451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8138503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5434053 0 0 0 0.6314162 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26" 0 0 0 0 0 0 0 0 0 0 0 0 0.2988511 0 0 0 0 0 0 0 0 0 0.43891814 0 0 2.9109426 0 0 0 0 0 0 0 0 0 1.000208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7479899 0 0 0 0 0 0 0 0 0 0 0 0 0.20170134 0 0 3.0646734 0.17590703 0 0 0 2.3956094 0.8435492 0 0 0 0 0 2.1527076 1.6098238 0 0 0 0 0 0 0 0 0 0 0 0 0.18683884 0 0 0 0 0 0 0 0 0 0 0.59987396 0 0 0 5.4059477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.984902 0 0 0 0.86796814 0 0
"20140700_S21_18" 0 0 0 0 0 0 0 0 0 0 0 0 1.8880869 0 0 0.06832198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5739973 17.071915 0.12448274 1.4118663 0 2.3153977 0 0 0 0 0 0 0 0 0 0 0 0 2.4735966 0 10.3576355 1.3773898 0.07647741 0 0 0 0 0 0 0 2.8800066 0 0 65.963745 0.15599403 0.11578389 1.7707453 7.5058813 4.200228 0 0 0 0 0 0 0 0 0 0 0 0 0 10.070425 0 0 0 0 0.18424824 0.27890798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11920029 0 0 0 0.41529474 0 0.06759341 1.5033147 0 0 0 0 0 0 0 0 0 0 0 0.43994176 0 0 0 14.2670765 0 0
"20150700_P31_7" 0 0 0 0 0 0 0.14511356 0.17927513 0.111212425 0.09315712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.062102318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31132096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20043775 0.18947358 0 0 0 0 0 0 0.12637584 0 0 0 11.775096 0.08171088 0.21681201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1926413 0.14828046 0 0 0 0.49779078 0 0 1.6372691 0 0 0 0.35975516 0.063910894 0 0 0 0 0 0.098073006 0 0 0 0 0 0 0 0.15863232 0 0 0 0.5571155 0 0
"20140700_S21_12" 0 0 0 0 0 0 0 0 0 0 0 0 2.3448062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4013457 0 0.31406796 0 2.8605924 0 0 0 0 0 0 0 0 0 0 0 0 0.41407913 0 15.402714 0.5959876 0 0 0 0 0 0 0 0 1.1211597 0 0 15.2656975 0 0 0.7257062 2.5692577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.6227736 0 0 0 0 0 0.06989256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.462401 0 0 0 0.7491618 0 0 0.24939479 0 0 0 0 0 0 0 0 0 0 0 0.6329714 0 0 0 7.8428607 0 0
