"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-3-M" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-3-S" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-D" "713_S-3-S" "713_S-3-M" "713_S-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S2_5-9" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S2_10-14" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S3_1-5"
"20120700_P1M_1" 4.4668 0.6491167 0 2.2007375 0.72345966 0 10.27258 49.541004 0 0 0 7.193141 27.698267 0 9.356341 20.23415 0.22819889 3.0165029 29.551052 0 0 0 0 0 16.772903 0 0 0 0.08950335 0 0 0 0 2.6505613 0 0.062154915 0 0.8980045 0.57495505 0 3.7210574 3.0947688 4.917817 5.7732725 3.317436 16.149601 7.780806 4.516825 7.4536424 17.514471 22.571445 0 0 3.19605 3.9798045 1.4434404 15.58105 27.97222 0.2936748 0 7.120319 10.90721 20.797012 0.8817266 0.17447194 0 0 1.7382507 0 0 0 0 9.916605 1.9537046 2.355907 0.13998532 0.16092438 7.8807898 20.927656 12.387356 0 0 1.0052073
"20110700_P3M_9" 1.268356 4.375458 0 9.918287 6.9305444 0 7.437749 50.779007 0 0 0 11.493603 24.004467 0 2.33922 28.108677 0 13.514258 12.573035 0 0 0 0 0 20.536959 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1320846 0.9962895 7.5904098 29.415352 12.529815 20.758837 5.5138273 4.304072 16.427826 31.017508 13.706033 0 0 5.942438 20.465473 0 16.476027 45.571236 0.234229 0 45.369923 26.919209 6.926891 0 0 0 0 0.29137346 0 0 0 0 27.852274 0 5.392764 0 0 24.004671 37.18044 6.463633 0 0 0
"20150700_P15_13" 0 0.4480284 0 0 0.5405526 0 0 0.7013764 0 0.17814076 0 0 1.0477934 0 0 3.4047577 0 0.23288846 0.4188565 0 0 0 0 0 0.22731498 0 0 0 0 0 0 0 0 0.09266133 0.14458248 2.079962 0 1.5270984 0.3614107 0 0 7.406856 20.78627 23.351276 0.31370753 6.685144 0.5871564 1.1477062 0 3.5401762 1.2047968 0 0 0.4841873 0.5339764 0 1.2245319 2.409493 0.43618017 0 8.881975 2.665476 0.6404876 0 0.17037421 0 0 0.67460674 0 0 0 0 7.2053356 0.22787425 0 0 0 0 0.943069 0.94114447 0 0 0
"20150700_P14_6" 0 1.0982182 0 0 1.1603336 0 0 1.1922528 0 0 0 0 0.63849884 0 0 0 0 0 0.13674644 0 0 0 0 0 2.4492464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7850711 20.798935 6.497929 0 0.9675801 0.42067084 0 0 1.0316905 0 0 0 0 0 0 0.6265333 1.2996887 0.17283164 0 7.117476 1.3137311 0.41780603 0 0 0 0 0 0 0 0 0 8.474825 0.060286395 0 0.7012683 0 0 4.5899925 0.28986585 0 0 0
"20150700_P21_1" 7.1615763 4.966757 0 9.425169 5.705733 0 3.193023 4.7607393 0 0 0 14.089781 7.1989303 0 8.198899 10.660319 0 8.957105 5.1119933 0 0 0 0 0 9.820189 0 0 0 0 0 0 0 0 0.11246516 0 0 0 0.16080198 0 0 4.760077 5.2832184 3.0485473 2.9555933 5.1559777 7.8530426 1.584652 18.239508 8.233142 7.0062165 1.5033946 0 0 15.030801 7.902504 0 4.9260583 6.9634547 0.97917604 0 3.2751498 7.587071 4.680734 0 0.11707598 0 0 0.84723866 0 0 0 0 8.689577 1.0230758 11.296942 0.07574712 0 9.858292 8.143804 6.9901237 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.298_98.43_2.66" 0 0.97370785 0 0 0.43288267 0 0.6551808 2.7270372 0.36112145 0 0 0 1.4803889 0 0 0.45636877 0.08231809 0 5.9326954 0 0 0.13488002 0 0 1.9373326 0 0.06486361 0 1.0929655 0 0 0 0 0 0 0.12604432 0 14.36282 4.0434947 0.19240779 0.16399623 0.20910007 0.2173903 3.2703588 0.9436114 3.6744795 0.077220656 0.14711373 0 1.9965314 0.19209336 0 0 0.2716599 0.6225411 0.16663681 1.5621675 3.6676319 0.34435686 0 3.3325367 3.7367744 1.5789541 0.13738205 2.687577 0 0 0.69512296 0 0 0 0 1.0513502 0 0.34737787 1.003215 0.17956127 1.5207347 2.4505591 0.4757572 0.76078916 0 2.8289669
"3300036901_8" 2.8759284 1.5915623 0 4.4203653 1.2007425 0 0.21800077 7.548985 0 0 0 3.2958982 3.4884908 0 3.4092555 2.7478695 0 5.4679427 1.5605825 0 0 0 0 0 3.7025878 0 0 0 0 0 0 0 0 0.07819215 0 0 0 0 0 0 0.46474364 12.0982065 7.685531 2.7855384 4.2067657 4.22165 0.7297549 2.8838942 4.860754 2.9887834 0.072589226 0 0 1.0916718 3.6455164 0 1.0025655 4.831356 0.8177908 0 1.3380306 2.0043447 0.106588274 0 0 0 0 0 0 0 0 0 3.0319817 0 4.9217663 1.1079682 0.060460318 0.41774857 4.9416456 0.16798437 0 0 0
"20110700_P3M_3" 0 0 0 0 0 0 0 23.65719 0 0 0 0.061603297 9.852948 0 0 9.325922 0 0 0 0 0 0 0 0 2.5681405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10160334 0.78166103 8.5954685 0 0.41983074 2.001718 3.5366175 0 0 0 0 0 0 0.50867254 4.5037665 0.055809062 0 0.3829179 2.8089151 0.25870717 0 0 0 0 0 0 0 0 0 0.44520319 0 0 0 0 0 6.531947 0 0 0 0
"20120500_P31_6" 8.063174 0.7104132 0 22.23467 1.1073778 0 0.2125074 5.4941616 0 0 0 1.7568933 5.898285 0 3.7115026 8.502897 0 8.866986 2.641084 0 0 0 0 0 6.3945556 0 0 0 0 0 0 0 0 0.6510286 0 0 0 0 0 0 0.7405226 8.834459 15.359235 10.804993 2.5577972 4.6730185 2.9508178 4.0960054 4.3828573 12.810672 1.364535 0 0 0.38809642 2.761282 0.37295267 3.3279881 6.02254 0.5222226 0 4.1313186 2.7390835 2.1759665 0 0.06262728 0 0 0 0 0 0 0 10.063429 0.093086965 14.718172 0.5964194 0.14107369 0.8538968 1.6609647 0.4066723 0 0 0
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.24_90.12_0.10" 1.9628857 0.14685898 0 0 2.6998057 0 7.6641383 4.9048824 0 0 0 0.20767991 2.261158 0 0.36028966 2.31818 0 0 0.07187904 0 0 0 0 0 2.2734344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7331239 2.1826472 1.4639485 0.161006 1.2992102 0.7178557 1.7220435 0 0 0 0.34517604 2.537701 0 1.2812965 5.442089 0.40199766 0 0.3848589 0.94004244 0.09974442 0 0 0 0 0 0 0 0 0 0.35771188 0 0 1.2326655 0 3.0435379 8.718581 0.2416877 0 0 0
"20150700_P15_1" 2.1144016 1.5860112 0 0 3.6659396 0 0.11443639 5.899393 0 0 0 0.058834348 2.7874873 0 0 3.276711 0 0 5.9035993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.87861663 0 0 0 0 0 0 0 0.38280082 0.693208 11.1565695 0.70874655 3.2344828 0 0 0 0.43616876 2.996254 0 0 0 3.2236962 0.7683136 0.4823389 1.7176969 0.6803751 0 1.20484 2.013431 4.184162 0 0 0 0 0 0 0 0 0 1.4846413 0.8749906 0 0 0 0.81602585 2.9336145 2.578162 0 0 0
