"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-3-M" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-3-S" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-D" "713_S-3-S" "713_S-3-M" "713_S-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S2_1-5" "714_S2_5-9" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S2_10-14" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_20-24" "717_S3_1-5"
"20110800_P3S_5" 2.9161882 0.45769837 0 4.9415836 7.122953 0 1.5127778 1.2745174 0 0 0 2.103445 0 0 1.9884725 4.3696384 0 1.8575776 1.546137 0 0 0 0 0 8.355683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2836416 5.899915 7.3057237 1.1035948 2.1850343 5.64757 0.14676146 1.8121485 5.430797 6.418993 0 0 0 0.45500794 5.2412615 0 4.377946 6.8288674 0 0 1.0043234 2.578142 0 0 0 0 0 0 0 0 0 0 1.660472 0 5.2915463 0 0 0.3771807 2.6535463 0 0 0 0
"3300037228_7" 0.35821754 0.42916247 0 0.3181202 0.31564486 0 0 0.3466433 0 0 0 0.4755203 0.3996164 0 0.16501345 0.42887825 0 0.3398914 0.18869612 0 0 0 0 0 1.3575522 0 0 0 0 0 0 0 0 0.08671693 0 0 0 0 0 0 0 0.9037327 0.7438948 0.22816582 0.5209172 1.8967677 0.09353433 0.5601398 1.0729579 3.1362922 0.08841074 0 0 0.51752627 0.97024655 0 1.2359213 1.214024 0 0 0.42796376 2.0528598 0.07845283 0 0 0 0 0.09976471 0 0 0 0 0.62099147 0 0.7363103 0.10441807 0 0.10113544 0.49663353 0.07925291 0 0 0
"20110800_P1S_5" 2.8383923 1.327531 0 2.2137198 2.2800233 0 0.3995162 6.684303 0 0 0 0.9031346 18.465069 0 0.36646724 26.332716 0 3.566552 1.6832521 0 0 0 0 0 7.5372148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7223515 1.3805658 1.0497208 3.9093592 1.3678962 0.60605365 3.0370135 11.517479 0.86577165 0 0 0.4299289 2.8867788 0 1.7172618 15.448251 0 0 2.320938 2.4575186 0.14274874 0 0 0 0 0 0 0 0 0 10.052531 0 9.578247 0 0 0.28666627 5.410593 0.13189766 0 0 0
"20150700_P23_11" 0 0 0 0 0 0 0 22.625753 0 0 0 0 11.7767515 0 0 0.7315218 0 0 4.9802847 0 0 0 0 0 30.818869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51.787502 2.4289608 0 0 1.5117929 0 0 0 0 0 0 13.564227 52.068623 0 0 0.24792062 26.897964 0.0713948 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1496795 0.09238888 0 0 0
"PMUP01" 0 2.6829526 0 1.5865018 12.152268 0 0 28.820448 0 0 0 0.16443817 8.848809 0 0 10.223991 0 3.0134563 5.71767 0 0 0 0 0 13.104734 0 0 0 0 0 0 0 0 0.110613346 0 0 0 0 0 0 0 0 0 0.6815269 1.3326505 7.854932 6.3925333 0.14325736 0.92090183 5.392273 8.194729 0 0 0 0.7210071 0 5.88619 26.760431 0.06369395 0 18.09677 6.5848837 0.80914974 0 0 0 0 0 0 0 0 0 8.708412 0 4.00072 0 0 0.090214804 13.676466 0.70489585 0 0 0
"20150700_P15_4" 2.390656 4.8863707 0 2.5017357 14.256095 0 0 21.433044 0 0 0.25581256 0.6645976 18.040133 0 3.0564418 59.421417 0 4.1499243 11.934663 0 0 0 0 0 14.689875 0 0 0 0.34303546 0.13043737 0.12365947 0 0 2.381521 0 0 0 0 0 0 0.7643642 18.941868 34.69213 91.90872 2.4687665 11.124654 6.4150257 1.0207399 17.62276 22.94376 9.08712 0 0 8.519269 12.735064 0.77501357 2.961497 6.1171117 4.7636514 0 13.127107 5.0943985 21.279604 0 0.2682645 0.06564502 0 0.6644447 11.268087 0.69122154 0 0.13540155 16.15163 1.6421409 1.5257286 0 0 3.160295 5.6845593 1.0774578 0.12101739 0.06912775 0
"20150700_P15_11" 2.1966567 11.853964 0 3.4160156 1.7194747 0 0.15012336 6.997909 0 0 0 0.0839773 16.931692 0 1.5830126 45.116417 0 0.3082146 19.36124 0 0 0 0 0 3.7001982 0 0 0 0 0 0 0 0 0.5784516 0 0 0 0 0 0 1.5127357 5.1664352 12.571989 69.86773 0.51721424 4.4704475 1.2804173 1.9036397 4.688599 37.2075 36.879223 0 0 0.66648316 2.9125755 0.48649722 2.299102 4.9882526 0.3196721 0 7.4315305 3.4957125 2.14238 0 0 0 0 0.38059902 3.2073514 0.20888136 0 0 18.73982 5.2692757 1.0912873 0 0 2.3068995 2.4226124 0.2160922 0 0 0
"20150700_P15_5" 2.6273477 3.5403793 0 1.6017816 3.5215087 0 1.7856734 3.3158393 0.2635798 0.13044868 0 2.2249706 3.0593991 0 1.715542 22.67296 0.58040106 1.0571405 8.27472 0 0 0.43011156 0 0.1542339 0.6388529 0 0.18717577 0 3.080136 0 0 0 0 0.8180681 0 0.17150243 0 0.581299 1.0306107 0.073134445 1.1483214 2.0088577 10.414695 68.94876 1.1441759 4.6270404 0.81596303 9.103022 7.8564434 23.242788 2.0549479 0 0 4.753449 7.531266 0.08465386 5.7270536 6.9005175 0.27961916 1.0510201 1.6805701 10.513503 4.0012064 0 5.6052804 0 0 5.250199 6.5592794 0.2257438 0.5152973 0 12.025132 0.35417402 0.16955084 0 0 4.823678 4.431592 1.2245293 2.063443 0 3.152128
"20120600_P3M_2" 4.9001737 1.5145651 0 0.8462361 2.7026298 0 0.4508589 6.7510915 0 0 0 2.9826012 6.119866 0 0.9880812 2.494134 0 1.433022 2.0085607 0 0 0 0 0 1.1107993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18244672 0.6471836 0.68640786 4.134974 0.21823387 2.423928 0.21352643 0.14289722 1.890963 2.7455986 1.8762877 0 0 0.5962583 5.282761 0 1.8060067 4.598253 0.08470769 0 5.0491366 4.3088183 4.305295 0 0 0 0 0 0 0 0 0 6.8965335 0 0.6597928 0.5091005 0 2.6922696 5.9063144 2.362218 0 0 0
"20120700_P3D_40" 0.28930527 1.8004394 1.3531641 2.0560174 2.0598168 0.313558 0.77552634 5.729583 0.9800253 0 0 0.5767292 5.3867207 0.535554 0.32107794 8.437365 1.2537371 0.60396 2.522174 1.1051189 0 0 0.4919152 0.60253495 2.2876556 0.22851664 0 0 0 0 0 1.4197727 1.339286 1.6987183 0 0 0 0 0 0 0 1.4011105 2.3740406 3.9361243 0.38755563 3.1690936 1.1414515 1.3591735 1.3124202 3.5517273 2.89942 0 0 0.1485901 0.75617635 0.3418031 2.0122602 2.6702766 1.8730773 1.015463 2.755172 1.860248 3.0209901 0.6663638 0 0.6730384 0.06383925 0 0 0 0 0 4.0998716 1.1634196 0.95281285 0.47667804 0.90320116 2.8966365 2.4291112 2.034667 0 0 0
