"genome" "711_P-1-S" "711_P-1-M" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-2-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-X" "712_S-2-D" "712_S-3-S" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-X0" "713_S-2-S" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_P3_30-34" "714_S1_1-5" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_20-24" "715_S2_10-14" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24" "717_S2_1-5" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120600_P2M_9" 4.512414 0.6558078 7.5295587 0 0 2.5375335 0.8702759 0 0 0 0 4.117268 0.7596101 0 1.6381928 0.7331105 0 14.556919 0.06548968 0 0 0 0 0 0.10618429 0 1.0320083 0 0.11861193 0 0 0 0.76849794 0 0 0 0 0.17503712 0.08307227 0 0 0 0.6549621 0 0 0.46654066 0.27962634 0 0.4241455 0.275039 1.1714046 1.6793867 2.2341104 2.5385017 0.28573504 4.6007943 0.45476565 0.5677416 0 0 0 0 0 0 0 3.525077 2.4926906 0 4.593187 2.409775 0.1068194 0 0.93895787 2.4526536 0.101235576 0 0.64613813 0 0 1.0592872 2.3700998 0.07229407 0 0 0 0.8965448 0 1.5759698 0 0 7.678359 2.1376362 0.17031178 0.47029582 0 0.4379795 0 0
"20150700_P15_3" 2.817796 0 1.2747358 0.21033014 0 0.69593734 0.9162306 0 0 0 0 13.586788 1.8102856 0 7.405159 10.36477 0 2.076011 1.1467762 0 0 0 0 0 0 0 9.080413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0732603 18.092165 22.964323 27.523531 6.3875003 14.803852 0.118096255 55.063816 60.374207 30.44121 0 0 0 0 0 0 0 39.40655 30.085802 0 4.9634085 32.530144 0 0 1.1699353 43.145096 0 0 0.05609232 0 0 1.8986093 0 0 0 0 0 26.689331 0 0.7732016 0 0 14.53245 9.203933 0 0 0 0 0 0
"Palsa.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.23_95.38_0.50" 0 0 0.11742195 0.08341929 0 0 0.061821707 0 0 0 0 0 0 0 0 0 0 0 0.1277176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31992337 0 0 0.112178095 0.10491796 0.1862442 0.59864396 0 0 0 0.13529088 0.3491249 0.26946464 0 0 0 0 0 0 0 6.1929607 0.20550555 0 0.20058711 3.0287144 0 0 0 1.0875368 0 0 0 0 0 3.3943121 0 0 0 0 0 0.08305294 0 0 0 0 0 0.86780465 0 0 0 0 0 0
"20120600_P2M_7" 0 0 0 0 0 0 0.06427889 0 0 0 0 0 3.484251 0 0.40561566 0 0 11.338485 0 0 0 0 0 0 0 0 0.6755682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6086109 0.057471972 0 0 0.15691116 0 0 0 0 0 0 0 0 0 0 0.47975886 0.48080707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.445644 0 10.179679 0 0 0 0 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.158_96.58_0.85" 0 0 0.6652057 0 0 0 0 0 0 0 0 2.7992454 0.3835936 0 9.975808 0 0 4.819268 0 0 0 0 0 0 0 0 4.821031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.62374455 0 0 5.0679536 0 0 0 0 0 0 0 0 0 0.6690105 0 0 0.40267974 1.772128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7150792 0 0.095579326 0 0 0 0.19442987 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.263_87.12_8.86" 0.45401075 0 2.1720881 0 0 0.41633272 0 0 0 0 0 0.85773957 0 0 1.4758627 0 0 2.2629986 0 0 0 0 0 0 0 0 1.9329609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.90614825 0 0 0 0.92904764 0.29327795 0 0.9788172 0.87562555 0.072694935 0 0 0 0 0 0 0 1.6651229 0.6558619 0 0.50971615 1.1468164 0 0 0 0.09392006 0 0 0 0 0 0.08528517 0 0 0 0 0 0.088867076 0 0.8811223 0 0 0.9895725 0.12447312 0 0 0 0 0 0
"Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.39_97.73_0.57" 0.29978862 0.13307369 0 0.13652302 0 0 0.07414851 0 0 0 0 0.42757103 0.07198522 0 0.74220836 0.13901888 0 0 0 0 0 0 0 0 0 0 0.07611107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29296443 0 0 1.4211346 2.171444 0.18417412 0 0 0 0 0 0 0 0 0 0 0.906589 0 0 0 0 0.48729414 0 0 0 0 0 0.08704739 0 0 0 0 0 0 0 0 0 0 0.16659448 0 0 0 0 0 0 0
"Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.99_87.92_0.00" 0 0 0 0 0 0 0.2061078 0 0 0 0 0.08375564 0.11673558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8718142 0.16992362 0 0 0.072423205 0 0 0 0 0 0 0 0 0 0 0 0.71154463 0 0 0 0 0 0 0.06135192 1.1056064 0 0 0 0 0 0.84732795 0 0 0 0 0 0.19585432 0 0 0 0 0.8230981 0 0.09756706 0 0 0 0 0
"3300038478_6" 2.7267568 0 11.856883 0 0 0.32591435 0 0 0 0 0 4.984209 0 0 8.146658 0.21370728 0 4.720983 0 0 0 0 0 0 0 0 0.29717714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8631036 0.7137415 0 0 1.2682626 0.63212645 0 4.781454 5.016851 0.06246549 0 0 0 0 0 0 0 1.7260987 3.8441997 0.07013566 1.0382925 3.0981817 0.06836714 0 0.15839683 0.70597297 0 0 0 0 0 0.20420845 0 0 0 0 0 0.20600833 0 5.1062593 0.14959379 0 0.4434447 0.6565975 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03" 2.9347398 0 3.9827123 0.34138048 0 0 0.1173257 0 0 0 0 1.9760674 0 0 5.494617 0.49863005 0 2.6746666 0.24264531 0 0 0 0 0 0 0 0.967461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9074963 4.9121766 3.9263177 0 1.0739286 1.0038766 0 2.7078712 3.8830216 1.7619412 0 0 0 0 0 0 0 1.2908459 0.8307105 0 0.63672364 1.5383071 0 0 0 0.29362082 0 0 0 0 0 0 0 0 0 0 0 1.4572468 0 2.0081553 0 0 0.47489592 1.0362259 0 0 0 0 0 0
