"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-1-M" "712_P-1-D" "712_P-2-M" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_10-14" "716_E3_30-34" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"3300031524_30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20687276 0.19037503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15375382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10071738 0.8165688 3.3891525 0.24604906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20820749 0.13051656 0 0 0 0 0.115402006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R1.T0.trimmomatic.megahit_bin.299_95.52_4.31" 0 0 0 0 0 0 0 0 0 0 0 0.12776305 0 0 0 0 0.07292559 0 0 0.09872869 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27466387 0 0.08613002 0 0 2.1414633 2.1908143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6259369 0.21243395 0 0 2.7443438 0.07177164 0 0 0 0 0 0.13685504 0.07775239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13606808 0 1.5428972 0.12930852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.64863306 1.5045903 0 0 0 0 0.10325424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1078367 1.0687677 0 0 0
"20120700_S1D_73" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29759333 0.426898 0.9691474 1.2593707 0.93598807 0 1.2471999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.3106625 0.5531488 0.9734505 0.45160177 0 0.42858034 0.42493656 0 0 0 0 0 0 0 0 0 0 0 0 0.11063091 0.27509597 0 0 0 0 0 0.7603289 0.32641786 0.42287573 0 0 1.3849018 1.2174627 0.42008603 0 0 0.35396302 0.2722454 0.308815 0 0 0.26406616 0.35754418 0 0 0 0 0 0 0 0.36991346 1.523675 0.6878324 0.6124027 0 0 1.2846445 0 0.0762307 0.9387855 0.47115433 0.35102427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37946314 0.3996455 0.2340403 0.21045914 0.7129486 0.4723858 0.97863734 0.4858179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83622074 0.867928 1.0494245 0 0.15780531 0.25181895 0.87407345 0.4175792 1.0310174 0.6925741 0 0 0 0 0 0 0 0 0 0 0 0 2.284484 1.5785062 0.9285865 0 0.58265024 0.9090285
"20120700_S1D_24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6863187 1.8456017 0.29426327 0 0.88523495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06623158 0 3.201676 0.11995984 0.9163464 0.10701732 0 0.38468924 0.36263227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4192313 1.1615791 0.3794723 0 0 1.5724995 0.47273576 0 0 0.0901681 0.42858806 0.6256271 0.21313784 0 0 0 0 0 0 0 0 0 0 0 0.3157054 3.194087 0.08975701 0 0 0.15786532 0.64843917 0 0 0.44118962 0.5544 0.56477845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.20227796 0.09295179 0 0.06743441 0.273169 0 0.61566544 0.13148418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2330071 0.45342848 0.2443187 0 0 0.16388582 0.7815208 1.0838966 0.7376727 0.09607526 0 0 0 0 0 0 0 0 0 0 0 0 1.4097993 1.6196947 0.8629076 0 0.65965563 0
"20120700_S1D_30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09229573 0.71322584 0.92919654 0.12931499 1.6727014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1658924 0 0.91276175 0 0 0.91256756 0.86093634 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3550577 0.33868015 0 0 0 1.0069902 0.16974029 0.22502758 0 0 0.08737767 0.12814872 0 0 0 0 0 0 0 0.124018475 0.58885545 0.06697392 0.14322326 0 0 0.30179477 0 0.82917076 1.9891659 0.91799706 0.3490551 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31673145 0.059836637 0.076829046 0.19088745 0.14190277 0.27973673 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.85391176 0.45687276 0.7252242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26834702 0.2920143
"20170700_S24_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.90542173 2.4921315 2.147029 2.8408701 4.295465 0 0.07349926 0 0 0 0 0 0 0 0.09345635 0 0 0 0 0.09421879 0 5.571827 1.3866003 2.8201973 1.940157 0 9.603318 8.928515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44085106 0 1.1256849 0 4.310743 3.734415 3.7715435 0.37267834 0.1524906 1.8952293 4.130303 0.6572036 0 0.1651405 2.2764745 2.3621285 3.8089025 0 0 0.16652428 0.8604114 0 0 0 0 0 0 0 0.4518993 2.9260063 2.146347 1.7111871 0 0.1717442 10.328121 0 0.113155715 1.1440214 2.7642655 4.0931444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75667804 2.1448896 0.6867557 1.5745668 2.482627 1.229872 3.1933851 1.8525127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.138638 6.583965 5.2137322 0 4.642683 5.159916 4.9279447 2.2932472 3.3927295 2.1252718 0 0 0 0 0 0 0 0 0 0 0 0 16.689978 37.805264 5.3950825 0 1.8525711 2.1269684
"20170700_S24_8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49426597 0.21927105 0.12328848 0.08120086 1.4520535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9666494 0 0.5939763 0 0 2.6715949 2.4552734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07137889 0.5550076 6.503324 5.4851675 4.11583 0.063821204 0.32658115 0.4794195 0 0 0 0.1788592 0.8461768 1.3931092 0 0 0 0 0 0 0 0 0 0 0.3452571 0.21438591 3.3905056 0.5350134 0.07276706 0 0.8952682 6.630529 0.072764255 1.8177449 3.8694093 21.06476 3.128701 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29644954 0.13962999 0.38668698 0.32148463 0.062065933 0.1539457 0 0.3153974 0.25575408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.6012235 4.272925 2.033792 0 8.342977 12.25928 0.9166394 4.8766236 3.0555015 0.10533714 0 0 0 0 0 0 0 0 0 0 0 0 28.600264 96.74085 15.083123 0.05755232 1.7160169 0.09249705
"20170700_S25_32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4820722 2.5540066 1.041048 1.3171123 3.790207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.077004656 0 3.845876 0.5170463 1.7616911 3.1372147 0 2.632709 2.4091246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05835523 0 4.475142 2.122832 1.5381266 0.1345266 0.08725063 1.4840729 2.3681905 0.54976434 0 0.12506768 1.237189 1.9128865 3.1190603 0 0 0.1013346 0.107056536 0 0 0 0 0 0 0 0.36332095 1.2002009 1.2638882 0.7042897 0 0.22864886 5.904254 0 0.45187354 3.665149 1.4957876 1.5700214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0344042 0.90403366 0.6289928 0 1.2164232 0.32288286 1.792779 0.723275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.393076 4.227952 2.8733826 0 0.4103423 7.322561 5.1546593 0.9489702 1.728549 1.4112875 0 0 0 0 0 0 0 0 0 0 0 0 11.731937 17.95615 15.430263 0 1.0614241 0.6811738
"20170700_S24_9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.084355384 0.55446994 0.93368757 9.89537 6.201922 0 0.2014344 0 0 0.09067602 0 0 0 0 0 0 0 0 0 0 0 1.0604346 2.6720011 0.78764147 4.5589366 0 13.464457 13.074884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.056533445 0.30295905 3.6480994 10.487567 1.1989655 0 0.4545326 3.341052 2.656791 0 0 0.2833147 3.3369594 12.198049 0 0 0.09385411 0.089723885 0 0 0 0 0 0 0 0 0.8179353 4.9859233 6.077401 0 0 13.470856 0 0 0.26486722 5.9112473 3.9901214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28440228 1.1606971 1.9685067 0 0.26142943 2.5710459 3.2876673 3.0709236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.3776445 38.602844 22.961555 0 0.06923934 4.7033796 3.7497928 1.6839702 2.7913897 2.5095472 0 0 0 0 0 0 0 0 0 0 0 0 4.113434 96.70409 7.447972 0 0.78397715 4.0391335
"20150700_E14_4" 0 0 0.21258156 0 0.06574873 0.3666181 0 0 0.17745732 0 0 0 0 0 0 2.1744816 3.7238128 1.250396 1.135502 10.488987 0.072197326 0.49018884 0.08607176 0.08634827 0.3755993 0 0 0.24825318 0 0 0 0 0 0 0.15345167 0.4695321 7.807488 1.0481192 2.8389413 2.2709122 0 21.733065 20.96365 0.109619364 0.12501758 0.13991097 0 0 0 0 0 0 0 0 0.072630845 0 0 0 0 0 4.0537367 0.18844455 6.30648 8.146044 2.7294858 0.6468296 1.2674428 3.5162737 1.2998831 1.0089383 0.174538 2.231786 1.6706591 3.2494485 4.058034 0 0 0.20814382 0 0 0 0.2968815 0 0 0 1.4608691 1.7688255 5.7911754 0.60420454 1.5246958 0.09137991 0.78147465 11.053743 0.22684187 2.3238087 12.769789 18.614328 1.0805781 0.119637266 0 0.109933935 0.08605541 0 0 0.063098885 0 0 0 0 0 0 3.2060015 1.7453132 0.5070756 9.273686 3.3613763 0.47565034 0.40410665 1.7929254 1.9112694 0 0.09038041 0.14563882 0.14280182 0.08756003 0.13325886 0 0 0 0 0 0 0 0 0 17.265331 8.002544 19.563848 0 3.8016183 0.6386486 0.66237575 8.725728 0.3949355 0.4154282 0.087840766 0 0.060884804 0 0 0.22207433 0 0 0 0 0 0 23.488615 11.630786 1.6978679 1.2841167 11.615638 0.34605408
