"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-3-S" "711_E-3-M" "711_P-1-S" "711_P-1-M" "711_P-2-M" "711_P-2-D" "711_P-3-M" "711_P-3-D" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-D" "712_P-3-M" "712_P-3-D" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-2-S" "713_E-2-M" "713_E-3-S" "713_P-1-X1" "713_P-3-X1" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P3_30-34" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_E1_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_20-24" "715_E3_30-34" "715_P1_1-5" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_10-14" "715_P2_20-24" "715_P3_10-14" "715_P3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_E1_10-14" "716_E3_10-14" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_P1_10-14" "717_P1_20-24" "717_P2_10-14" "717_P2_20-24" "717_P3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120700_S1D_5" 0 0 0 0 0 0 0 0 0 0 0 0 0.08555506 0 3.534371 2.7165465 0.6865213 0 0.56662124 0 0 0 0 0 0 0 0 0 0 0 0.88742757 2.1561697 1.9234663 0 1.5832002 0 0 0 0 0 0 0 0 0 0 0.074133806 0 1.2382089 3.530376 0.09673089 0 0 1.9235249 0.72440815 0 0 0 0.1384203 1.6773072 1.7438741 0.31960022 0 0 0 0 0 0 0 0 0.994521 1.3655013 0.52895314 0 0 0.8134195 1.8323637 0 0 0.09332732 1.3109896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37074542 1.7059865 0 0 2.1996238 0 0 0.12600708 0.2522704 0 0 0 0 0 0 0 0.104059815 0 0 0 0 0.12632519 0.4799214 0 0 0 4.9722943 0.34184268 0 2.1694882 0 0 0 0 0 0 0 0 0 0 0 0.21045054 0.13776806 0 0 0.35790694 0.19206916 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.319_70.64_9.53" 0 0 0 0 0 0 0 0 0.07176344 0 0 0.12191936 0 0 0.30131838 0 0 0 0.09719046 0 0 0 0 0 0.23299474 0 0 0 0.27849638 0 0 0.91389674 0.30599877 0 0.5040998 0 0.104866356 0 0 0 0 0 0 0 0 0 0 0.29968175 1.6773008 0.17061664 0 0 0.20251964 0 0 0 0.67622745 0.29745406 0.11168404 0 0 0 0 0 0 0 0 0 0 0.8142949 0.49216908 0.15896465 0 0 0.6191566 0.60205203 0 0.24051577 1.5602589 0.8854508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26069394 0.12068778 0 0 1.5547155 0 0 0 0.05839772 0 0 0 0.062976465 0 0 0 0 0 0 0 0 0.35930535 0.16890086 0 0 0 1.0115806 0.05767949 0 1.4723749 0 0 0 0 0 0 0 0 0 0 0 0.103896044 0.5586267 0 0 0.7153204 0 0
"20160700_S23_17" 0 0 0 0 0.21393107 0 0 0 1.6672039 0.54734904 0 1.2331638 0.30550474 0.16781728 0.50514704 0.14661618 5.5533676 0.06988455 5.348021 0 0 0 0 0 1.7017447 0 0 0 1.7221147 0 0 0.09736116 2.8910437 0 6.5147605 0 0.57532907 0 0 0 0 0 0 0 0 0.24212952 0 0 0.74020463 3.3235037 0.30712828 0 0.13840853 0.40817547 3.052169 0 4.261012 7.9134917 1.1915954 0.29961896 1.982803 0 0 0 0 0 0 0 2.7085083 0.4012942 2.1174412 3.1901178 0 0 3.4921093 4.043689 1.4711686 0.13903318 4.401054 3.2935708 0 0.14991124 0 0 0 0 0 0 0 0 0.5496947 0.6667709 2.961062 0 5.175952 5.848855 2.015469 0.75011086 0 7.2465067 2.7830179 0 0.41450605 0.53275985 0.09995666 0 0 2.2707 0.33428544 0.1035023 2.4550822 0 2.4467907 0.7437899 7.9473352 0.5693371 0.5058844 13.010264 0.19763047 0 0.27019736 35.426914 2.358226 0 13.743692 4.2443027 0 0 0 0 0 0.23873973 6.46213 0 0.29098198 1.3012164 1.108801 1.7260426 3.8643403 0 9.504325 5.851936 0
"20110600_S1S_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.83045477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.7547793 30.107622 0 0 0 0 0.28746903 0 0 0 0 0 0 0 0 0 0 1.4928281 0 0 0 0 3.2351444 0 0 0 0.44255623 0 0 0 0 0 0 0 0 0 0 0 0 6.0628977 0 0 0 0 9.3197975 0 0 0 0.19722514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.798058 0 0 0 0 0 0 0 0.103529185 0 0 0 0 0 0 0 0 0 0 0 0 0.9886549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.None.R3.T0.trimmomatic.megahit_bin.399_80.28_6.52" 0 0 0 0 0 0 0 0 0 0 0 0.06379398 0.49190986 0.92043626 2.5838103 0 0 0 0 0 0 0 0 0 0 0.473895 0 1.1428022 0 0 0.20481528 2.4626653 0.10971135 0 0.41692477 0 0.47858617 0 0 0 0 0 0 0 0 1.0581099 0.10396093 3.9494588 3.1583319 0 0 0 2.134434 0 0 0 2.260221 1.2349873 0.19390722 0 0 0 0 0 0 0 0 0 0.058749504 2.1972733 0.28917915 0 0 0 5.3879914 1.6565967 0 0.24906327 0.9339195 1.6736504 0 0 0 0 0 0 0 0 0.46392977 0.28656062 0.26934168 0 0.14215718 0 0.23133779 2.7710745 0 0 0 2.0584347 0 0 0.05594915 0.15461843 0 0 0 0.97780806 0.11969112 0 0.54405564 0.36694464 0.6298302 0 0.24773806 0 1.9919478 0 0 0 0.16923827 1.0927583 0.110696584 0 1.4185579 0 0 0 0 0 0 0 0.2798355 0.27057385 0.25288984 0.097354144 5.069757 0 0 0 1.5718371 0 0
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.128_96.67_1.72" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.739534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09978352 0.23325433 0.13730021 0 0.21321636 0 0 0 0 0 0 0 0 0 0 0 0 0.11664434 0 0.18517588 0 0 0.18709478 0 0 0 0 0 0.73034436 0 0 0 0 0 0 0 0 0 0 0.2613645 0 0 0 0 1.3677804 0.8034417 0 0 3.24121 0.2285896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36455116 0 0 0 0.0602923 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.953025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25875 0 0
"Bog.Unlabelled.R2.T2.F1.JGI.BFC.metaspades_bin.60_95.04_1.94" 0 0 0 0 0.064746544 0 0 0 0 0 0 0 0 0 8.383153 1.2335799 0.62260556 0.57255936 0.9913874 0.46244276 0.3320153 0 0 0 0 0.1352261 0 0 0 0 0.89669716 8.560315 19.807512 0.31247023 3.2965574 0.7087642 0 0.92633045 0.83512443 0.07454537 0.10119473 0 0 0 0 0 0.23296022 21.187105 27.232876 17.978315 0.6733985 0.14373977 22.869297 5.6010866 1.7633455 0.45377928 0 2.7073157 25.240381 1.3327786 1.1335564 0 0.26662946 1.8964297 0.46905643 0 0.262552 0 0 29.356174 1.9730049 3.2417583 0.7754466 0.57999027 1.6085283 2.8032017 2.2960322 0 2.9631207 2.605408 3.3193624 1.7870857 0 0 0 0 0.16134532 0 0 0 0 0 0 0 0 1.8977557 0.63556224 0.8244234 0.32564554 10.191646 1.3866068 0.38953817 0.95749533 2.4529803 0 0 0 0 0 0 0 0.30607262 0 0 0 0 0.8031443 14.806277 1.3690522 1.0274671 0 8.371885 2.30984 1.0160199 24.862759 2.6005661 0.6739281 0 0 0 0 0 0 0 0 0 0.46180943 13.569321 2.6937745 1.4939598 0.6716261 1.4123994 0.4527184
"20140700_S11_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.7493296 0.32570344 0.7039206 0.301093 0.64441526 0 0.26599526 0 0 0 0 0.1414683 0 0 0 0 0 0.15053363 0.79510677 0.1421482 2.292809 0.42176867 0 0.4279547 0.3885774 0 0 0 0 0 0 0 0.22617926 0.41088635 0.61740416 23.27744 0.27903545 0 1.9120967 0.33556393 0.8251762 0.31274366 0.11165373 4.8573337 4.974921 0.48213744 0.38462105 0 0 0.25772077 17.619663 0 0 0 0 32.73984 2.4431415 1.9771821 0.43287075 0.38135237 5.016571 3.6115828 1.1272275 0 5.8837743 2.3268514 0.4437008 0.56797826 0 0 0 0 0 0 0 0 0 0 0 0 0 2.199548 0.27634963 0.43982914 0.18039241 2.208265 0.46584305 0.15325911 0.65257156 1.3097612 0 0 0 0 0 0 0 0.37505323 0 0 0 0 0 10.281004 0.5468533 0.6565684 0 3.7031755 1.2080995 0.34946007 18.387268 0.8038915 0.34802523 0 0 0 0 0 0 0 0 0 0.24368338 1.6843923 1.1630856 0.6651329 2.2172165 1.2347815 0.19767438
"Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.122_96.77_0.86" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9263213 1.1878483 0 0 0 0 0.09568959 0 0 0 0 0 0 0 0 0 0.12514345 3.6345017 0.363922 0 0.3373201 0 0 1.5031234 1.3826045 0 0 0 0 0 0 0 0 6.7264795 3.816059 0.6444858 0 0 1.6478797 0.48482192 0.21135068 0 0 1.2305666 5.8983335 1.0540239 1.0710524 0 0 0 0 0 0 0 0 8.048632 0.08061075 0.21650271 0 0 0.09223797 0 0.06278084 0 3.5672097 5.373997 0.38139397 0.5710311 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1896483 0 0 0 1.4208833 0.1835586 0 0.06358356 0.8907057 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4095476 0 0 0.14801471 0 0 0 6.3844595 0.7273259 0.24984312 0 0 0 0 0 0 0 0 0 0.63497 0.8663872 0 0 0.25108504 0 0
"20140700_S11_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6773855 0 0 0.22317986 0 0 0 0 0 0 0 0 0 0 0 0 6.6166644 1.7495419 0.25457966 0 0 0.5796352 0 0 0 0.25136685 1.3640339 0.35058868 0 0 0 0 0 0 0 0 0 0 13.006208 0.16888407 0.106583595 0 0 1.1779294 1.1192895 0 0.078506485 11.209854 5.5472245 4.4869113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.948939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9952292 0 0 0 0 0 0 0 0 0 0 0 0 0.53933835 0 0 6.845568 0 0
"20140700_S11_15" 0 0 0 0 0.09535681 0 0 0 0 0 0 0 0 0 3.619281 0.17461804 0.13315621 0 0.31001613 0 0.11810064 0 0 0.07031705 0 0 0 0 0 0 0.3635952 3.6500087 4.2944508 0.068049535 1.3487879 0.16357875 0 0.101925634 0.087519504 0 0 0 0 0 0 0 0 11.90391 15.756713 2.0157592 0.099027015 0 7.202835 1.4923825 0.20979276 0 0 1.8082321 1.0303595 0.32957858 0.4623676 0 0 0.42028725 0.06740813 0 0 0 0 9.519126 1.8860531 0.9439041 0.05703212 0 2.7058907 2.266163 0.6052333 0 2.8928974 6.9898634 0.6365561 0.09376361 0 0 0 0 0 0 0 0 0 0 0 0 0 5.834924 0.5932716 0.078418754 0 3.5336275 0.19667597 0 0.056894388 0.277077 0 0 0 0 0 0 0 0 0 0 0 0 0 4.206758 0.19699769 0.20638269 0 1.1070673 0.27138934 0.14865187 3.4072618 0.20808144 0 0 0 0 0 0 0 0 0 0 0.26126766 8.86536 0.78632414 0.4434448 1.5985183 0.36196002 0
"20110800_S3M_18" 0 0 0 0 0 0 0 0 0 0 0 0 0.08345111 0.13202032 9.155816 12.333137 0 0 15.985038 0 0 0 0 0 0 0 0 0 0 0 1.5073785 8.341577 8.593857 0 1.644394 0 0.08083625 0.064831376 0 0 0 0 0 0 0 0 0 4.24014 16.43166 11.7511215 0.1937099 0 8.47098 2.6622617 0.14149156 0 1.1912051 7.5282254 5.9086056 4.480025 1.1453189 0 0 0 0 0 0 0 0 3.6716213 1.797931 2.5409377 0 0 8.747969 6.5693026 0.7439203 0.07074057 2.9911437 12.605084 5.169674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.2394916 0.4122933 0 0 0.8921058 0 0 0.22737953 0.34888974 0 0 0 0 0 0 0 0 0 0 0 0 4.7005606 2.622395 0.30757388 0 0 11.08926 0.59415305 0 5.589458 0 0 0 0 0 0 0 0 0 0 0 3.0527186 16.765223 0 0.21797328 3.4093206 1.7832097 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.21_87.09_0.86" 0 0 0 0 0 0 0 0 0 0 0.15587287 0 0 0 0.34732795 0 0 0 0.07618977 0 0 0 0 0 0 0 0 0 0 0 0.6876079 7.7110853 1.4672108 0 0.72843766 0 0 0 0 0 0 0 0 0 0 0 0 2.6289132 5.3791733 1.1920711 0 0 6.5799294 0.34475812 0.0977519 0 0 0.46194986 0.58542275 0 0 0 0 0 0 0 0 0 0 7.476482 0.7237852 0.41645503 0 0 0.5864885 0.82252866 0 0 1.038524 1.5093788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9533774 0.06786324 0 0 1.4273362 0 0 0.07950771 0.1439766 0 0 0 0 0 0 0 0 0 0 0 0 0 0.072546974 0 0 0 0.117616296 0 0 1.8596401 0 0 0 0 0 0 0 0 0 0 0 0.10088011 0.09895965 0 0 0.35351297 0.23504975 0
"Bog.Labelled.R1.T3.F3.JGI.BFC.metaspades_bin.108_95.64_2.59" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.73020416 1.0584073 0 0 0.06978757 0 0 0 0 0 0 0 0 0 0 0 0 2.636491 0.0564922 0 0 0 4.282214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.96694833 0 0 0 0 0.5669035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.50174993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.98193395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31371924 0 0 0 0 0 0
"Bog.Unlabelled.R3.T2.F3.JGI.BFC.metaspades_bin.11_93.17_1.72" 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1264887 25.11589 1.7415745 0.5339589 0 0.18763638 0 0 0 0 0 0 0 0 0 0 0 5.023793 20.364325 18.95598 0.6922586 2.8701148 0 2.1032686 0.4084422 0.37336102 0 0 0 0 0 0 0 0 7.320353 32.097553 0.54394805 0.43783605 0.079695985 38.147167 1.4119126 0.7453181 0.119084865 7.203552 3.8128724 1.7229662 0.39980683 0.06960907 0 0 0 0 0 0 0 0 15.801429 4.582902 1.6291151 0 0.12896061 6.010708 4.408281 0.21328102 0.4570792 3.937445 5.6777287 0.17488004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.6964192 0.45294946 0.07586589 0.09165653 5.4268217 0 0 0.63660884 0.51945895 0 0 0 0 0 0 0 0 0 0 0 0 2.5692704 6.3086314 0.8339257 0.5994226 0.20753306 5.013063 0.618007 0 3.6566577 0 0 0 0 0 0 0 0 0 0 0 7.1080985 9.133366 0.07804502 0.78028005 1.6089104 0.09711756 0
"Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.40_72.49_7.33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.49442565 2.242931 0.24114238 0.18224397 0 0.16874805 0 0 0 0 0 0 0 0 0 0 0 5.0686707 17.745487 3.0007663 0.310277 1.093767 0 0.66275775 0 0 0 0 0 0 0 0 0 0 5.0046115 5.8843613 0.24713868 0.14975624 0 14.326359 0.39180377 0.36628368 0 0.6716129 0.329034 0.20222333 0 0 0 0 0 0 0 0 0 0 4.8538175 0.4128903 0.5059742 0 0 2.4712741 1.7937596 0.1120168 0.45477137 1.2943242 0.51016533 0 0 0 0 0 0 0 0 0 0 0 0 0.100046076 0 0 2.2059221 0.07741378 0 0 0.98094326 0 0 0.37514198 0.25640354 0 0 0 0 0 0 0 0 0 0 0 0 1.2520176 0.17372166 0.08452845 0.06885027 1.0138483 0.9438567 0.16329621 0 0.68234354 0 0 0 0 0 0 0 0 0 0 0 0.55464333 0.49444756 0 0.06456865 3.215631 0 0
"Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19103058 0.6693546 0.44373676 0.07812695 0 0.47224385 0 0 0 0 0 0 0 0 0 0 0 0.349206 1.4346926 0.8332857 0 0.33991843 0 0.73078287 0.49870378 0 0 0 0 0 0 0 0 0 0.87854683 0.680101 0.4671124 0.08645601 0 1.6094819 0.13566011 0.07630055 0 1.9259968 0.30846637 0.19893129 0.29157326 0.18515603 0 0 0 0 0 0 0 0 1.4094046 0.08792793 0.18488829 0 0 0.6417067 0.45791072 0.19287853 0.2866505 1.0647742 0.5892678 0.22229435 0 0 0 0 0 0 0 0 0.065495715 0.07268662 0 0 0 0 0.7738573 0 0 0 0.2774919 0 0 0.10908016 0.11147563 0 0 0 0 0 0 0 0 0 0 0 0 1.3029679 0.29448715 0.21887487 0.10595585 0.13503788 1.0886475 0.5305727 0 0.962801 0 0 0 0 0 0 0 0 0 0 0 0.28485292 0.7020142 0.3870642 0 1.6332763 0.1311576 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45" 0 0 0.28573927 0 0 0 0 0 0 0 0 0 0 0 0.6509754 0.7623505 0 0 0.06441078 0 0.071476795 0 0 0 0 0 0 0 0 0 0.06988782 0.33872926 3.3537726 0 0.061863072 0 0 0.1321689 0.11446409 0 0 0 0 0 0 0 0 0.6027779 23.59032 0.80471486 0.12868242 0 11.259535 1.2680075 0.063671626 0 0 0.07597162 0.40595782 0.47313207 0.46849898 0 0 0.31528056 0.15525241 0 0 0.40600684 0 0.65049076 0.082005516 0.08654495 0 0 0 0 0.38134316 0 0.4729574 1.8611459 0.40398693 0 0 0 0.098062344 0 0.105193526 0 0 0 0 0 0 0 0 3.591909 0.07031199 0 0 0 0 0 0.0835989 0.17151238 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44779617 0.52682006 1.0928164 0 0 0 0 0.16708301 0 0 0 0 0 0 0 0 0 0 0 0 1.6625835 0.2348024 0.39953995 0 0.10592769 0
"20120700_S1D_64" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24399753 0 0 0 0 0 0 0 0 0 0 0 0.37430516 0 0 0 2.9800172 9.3408985 2.7490714 0.09877985 0.6762019 0 0 0 0 0 0 0 0 0 0 0 0 0.842095 0.63315785 0 0 0 3.8699472 0 0 0 0.06814066 0 0 0 0 0 0 0 0 0 0 0 0 4.3301063 0.25545797 0.12845217 0 0 2.4231617 0.60251933 0 0 0.083982036 0 0 0 0 0 0 0 0 1.5727103 0.43212652 0.58548754 0 0 0 0.17021266 0 2.0407226 0 0 0 0.7411318 0 0 0 0 0 0 0.11811376 0 0 0 0 0 0 0 0 0 0.7119356 0.20233172 0 0 0 1.373504 0 0 0.12060975 0 0 0 0 0 0 0 0 0 0 0 1.2444687 0.24848257 0 0 0.8581719 0 0
"20130700_S3M_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28057754 0 0.121039994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15353653 0.24228887 0 0.97324556 0 0.120309554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3723966 0.09291283 0 0 0.2763415 8.153866 0.2859286 0 0 0 0 0 0 0 0 0 0 2.0653007 1.3542533 0.2908527 0 0 2.49081 1.8149433 0 0 1.2483344 2.4006426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.40723 0.056720663 0 0 4.6685276 0 0 0 0.1429016 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9474882 0 0 0 3.055665 0.17469443 0 4.8641553 0 0 0 0 0 0 0 0 0 0 0 0 0.5432821 0.07098788 0 1.5307208 0 0
"Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0449184 0 0.059323 0 0.13598455 0 0 0 0 0 0 0 0 0 0 0 0.25026613 0.27947295 0.10122092 0 0.28263968 0 0 0 0 0 0 0 0 0 0 0 0 0.49153924 0.103747554 0 0 0 0.09591755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.40021914 0 0 0 0 2.7016673 1.0376374 0.30714825 0 3.3233714 0.062034406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07906492 0 0 0.17823161 0.124232665 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.41177604 0 0 0 0 0 0 0 0 0 0 0 0.060537826 0 0 0 0.083970666 0 0
"20111000_S1D_12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.40369323 0.4732757 0 0.29185492 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079455726 0.58769536 0.33532327 0 0.6202924 0 0.95102865 0.10902315 0.093359716 0 0 0 0 0 0 0 0 0 0 0 0 0 0.28999966 0.09479741 0 0 5.8938875 0.8286764 0.13898575 0 0 0 0 0 0 0 0 0 0 2.0035396 1.1025269 0.35182896 0 0 1.530385 0.1313223 0 0.49273604 11.654599 8.973018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.586721 0.7597171 0 0 3.1319544 0 0 0.101101466 0.17423967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.9184527 0.07248505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.8171458 0 0
"Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.142_89.72_0.85" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.369799 0.12163241 0.15070944 0 0.34566122 0 0 0 0 0 0 0 0 0 0 0 3.3687124 21.667282 11.652567 0.26134136 1.6547686 0 0.0573213 0 0 0 0 0 0 0 0 0 0 15.349674 18.438473 0.5090719 0.11169435 0 77.92762 1.700982 0.84417903 0.06442792 0 0.09680721 0.2012271 0 0 0 0 0 0 0 0 0 0 3.3296485 1.4102958 0.9388884 0 0 0.29038605 0.18229048 0 0 0.3579545 0.25976536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.4934025 0.25662807 0 0 1.7328632 0.3962619 0 0.19433469 0.22971146 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38773096 0.057402167 0 0 0.17660137 0 0.05866873 0.72556424 0 0 0 0 0 0 0 0 0 0 0 0 1.8363737 0 0 0.7334623 0.064312555 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.166_92.84_2.72" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08474455 1.7664996 0.11109734 0 0 0.06470673 0 0 0 0 0 0 0 0 0 0 0 0.9854678 3.3231215 1.7689477 0 0.38235003 0 1.1116638 0 0 0 0 0 0 0 0 0 0 2.0116942 7.297789 0 0 0 8.009112 0.061622716 0.076499864 0 1.9599025 0.85845673 0.057933822 0 0 0 0 0 0 0 0 0 0 1.8978387 0.10356583 0.08393224 0 0 0.17186113 0.5779231 0 0 4.136655 0.38990957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13822025 0 0 0 0.34230152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6217809 0 0 0.23962827 0 0 0 0 0 0 0 0 0 0 0 0.73722863 0 0 0 3.3352318 0 0
"20120700_S1D_79" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.44722193 0.07791915 0 0 0.072776474 0 0 0 0 0 0 0 0 0 0 0 0.08616876 0.45033145 2.1315367 0 0.32073152 0 0 0 0 0 0 0 0 0 0 0 0 0.0861127 0.3326727 0 0 0 4.7241817 0.12236672 0.10878992 0 0 0 0.33596158 0 0 0 0 0 0 0 0 0 0 0.3194486 0.115070425 0.4411948 0 0 0 0 0 0 0.8417541 0.43134865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4860002 0.10768316 0 0 0.7835804 0.06754411 0 0.07463539 0.06286144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23046279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120600_S3M_3" 0 0.112606436 0 0 1.4900798 0 0 0 0 0 0 0 0 23.169186 71.98306 34.26828 16.77442 0.15308921 10.042233 0 0 0 0 0 0 0 0 0 0 0 7.2258067 75.87311 71.10806 0.8350843 77.5488 0.38973716 16.101854 1.2515854 1.1564261 0 0 0 0 0 0 0.0792818 0 21.80594 29.423407 1.9861982 0.16324124 0 35.335308 42.63151 1.7690307 0.40221703 99.68794 158.10413 97.991135 12.179152 8.982654 0 0 0 0 0 0.73598194 0 0 40.422176 58.571 27.322428 0.71426 0.53865695 111.75512 119.01937 2.5415232 9.587262 73.689735 161.14626 0.7531892 0 0 0 0 0 0 0 0 0 0 0 0.7752822 0 0.096020564 61.35144 49.18434 4.731041 0.3857962 336.6148 2.6273828 0.23313579 4.0571404 5.935117 0.5840432 0.2889678 0 1.7942475 0.2427698 0 0 0 0 0 0 0 55.30933 8.634387 0.3888584 0.26468796 5.7568526 152.98094 6.8062286 0 86.166885 8.345386 0.15063733 0 0 0 0.078881875 0 7.3010216 0 0 0 62.68352 17.871351 0.08040319 0.4935984 25.425375 31.629753 0
